date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,其他預收款,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付退休金－非流動,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-13,1,2013,3664524.0,800000,4464524,52645025,723099,7977340,525377,4542197,6670996,,647927,3149448,12525390,171769,70256,3171762,2629469,11884502,1916479,838470.0,7789701.0,2983144,97110,0.0,,,1000000,14009242,90489,3935425,254035,1460966,45243,14445,542293.0,2077811,8901867,13698797,2013年03月31日,3856424,,,35205417,28226649,7811732,2189631,44704445,17080758,,,7715352,,753153.0,632667.0,,1931285,,8737755.0,616341.0,300005.0,6586176,13698797,,16351,30280,,73152778.0,3498174,,108358195.0,384979,1015610.0,1460288,1139307,22786003,9746710,6978768,28448333,91277437,1157508,319038.0,221313.0,99396.0,7889097,0,
2013-08-13,2,2013,3674149.0,984000,4658149,52390105,776313,6663682,524236,4652078,7961984,,1688730,3371766,12486567,223738,84840,3313229,2774846,11900166,2025663,601307.0,7518615.0,2603699,97110,0.0,410964.0,,1000000,13477804,82141,3691579,48102,1180043,36090,13774,538383.0,2066234,9052068,13698797,2013年06月30日,2373480,,,34454043,27546273,7811732,2358917,46330258,16487354,,,7720553,,355678.0,548884.0,,1931285,,8184635.0,178836.0,522039.0,8399110,14109761,,4135,30348,,73099733.0,3498174,,107553776.0,372908,1017199.0,1463643,942822,20962255,9654543,6907770,26769475,91066422,920682,319375.0,219960.0,86065.0,7604680,0,
2013-11-11,3,2013,3683812.0,684000,4367812,52266179,774298,7140003,539361,4800102,6962414,,1616599,3501665,12639090,233309,63233,3330710,2794843,11785059,2008807,664831.0,7929444.0,3090340,97110,0.0,,,1000000,12163313,57235,4529642,60331,803050,28101,20598,535867.0,2054657,9040385,14109761,2013年09月30日,2849801,,,35134805,28152493,8046083,2358917,44223262,15857960,,,7714854,,174306.0,521896.0,,1931285,,6672860.0,134752.0,471792.0,7672350,14109761,,4135,30416,,70614969.0,3498174,,105749774.0,1393671,0.0,1468012,934384,20562569,9557645,6982312,26391707,89891814,984049,319218.0,218607.0,108525.0,8037969,0,
2014-03-28,4,2013,2493512.0,1445159,3938671,52166888,776374,7855535,552555,4986339,5252331,,1779487,3659643,12013198,252891,83987,3389161,2841682,11607085,1920123,771167.0,7720500.0,2976244,97110,377.0,,,1990702,17693401,151909,3047306,159194,766445,57302,28119,547479.0,2043082,9050368,14109761,2013年12月31日,3565333,,,36529111,29026003,8046083,2358917,46185688,21652112,,,7715184,,437497.0,521897.0,,1931285,,13221405.0,401874.0,418064.0,7462340,14109761,,4135,30483,,74912310.0,3498174,,111441421.0,239974,0.0,1474842,922092,21841434,9464677,7503108,28726622,89789309,1090656,319489.0,222285.0,101136.0,7821636,0,
2014-05-14,1,2014,0.0,2444780,2444780,52231317,777974,8772087,481848,4843068,3985460,,1340252,3443877,11581479,213849,68052,3295226,2749768,11541963,1949863,989520.0,8769939.0,2931440,97110,382.0,,0.0,1991166,12026814,56744,3606794,60184,676516,64296,12067,545458.0,2730495,9088894,14109761,2014年03月31日,3952002,,,37730910,29726789,8046083,2358917,41179076,16178384,,,7713403,,489939.0,521897.0,,2461168,8331154.0,,558016.0,241631.0,9299450,14109761,,4135,31013,,68852740.0,3498174,,106583650.0,231577,0.0,1604259,956255,20752000,9371138,8004121,27673664,90405266,1309230,319710.0,220962.0,152911.0,8922850,0,
2014-08-12,2,2014,0.0,2444733,2444733,51861561,774210,7167631,490482,5096251,6420122,,1458417,3727302,10834734,226921,68487,3260565,2716999,11495182,1934974,870728.0,8046997.0,2633044,97110,111.0,282195.0,0.0,1991631,12292228,66915,4054138,49074,581389,84986,4839,543566.0,2730495,9387954,14109761,2014年06月30日,2130990,,,36092353,28687953,8046083,2575473,41891459,16296293,,,7711343,,744838.0,534896.0,,2461168,8560045.0,,318410.0,245777.0,7851703,14391956,,4135,31083,,70731549.0,3498174,,106823902.0,230766,0.0,1579312,935717,21977499,9340570,7404400,28840090,90527609,1193112,322384.0,219638.0,116083.0,8163080,0,
2014-11-10,3,2014,1000000.0,2444361,3444361,47861828,776667,7502300,474363,4942040,4973206,,1320031,5655307,12190368,258825,62933,3302179,2760424,11417195,1946701,,8321753.0,3100463,97110,113.0,0.0,0.0,992095,12398501,66875,3768892,34019,434378,135292,19394,541755.0,9689275,9258247,14391956,2014年09月30日,2465659,,,38404654,30950627,8207004,2575473,44384845,13608027,,,7723849,,1204190.0,436897.0,,2461168,4990052.0,,234108.0,246174.0,10714741,14391956,,4135,31152,,68252739.0,3498174,,106657393.0,276840,0.0,1714468,943368,17828000,9252179,7454027,23867894,93049366,1343804,,218315.0,165429.0,8487182,0,
2015-03-25,4,2014,1000000.0,1764429,2764429,47426385,783652,7961851,487231,4989668,5495103,,1508732,5900851,10924530,265157,102260,3452843,2878845,11612918,1954939,,7829288.0,2870727,97110,115.0,0.0,0.0,992560,17601054,153238,2991683,63303,527659,191931,2410,573998.0,9667344,9546534,14391956,2014年12月31日,2925210,,,39446214,31655800,8207004,2575473,44419447,19315267,,,7226592,,1204317.0,125000.0,,2461168,10952918.0,,512116.0,200615.0,6674285,14391956,,4135,31222,,72173474.0,3498252,,111619688.0,290895,0.0,1729061,926328,21548341,9472460,7790414,27754027,92304421,975457,,185519.0,65656.0,7894944,0,
2015-05-12,1,2015,1000000.0,1000000,2000000,46984424,780624,8118052,503653,5060907,4647402,,1463378,5998043,10695779,276019,94814,3365338,2803266,11476935,1923937,,8297995.0,3023108,97110,113.0,0.0,0.0,993024,13348354,74213,2409359,47884,394924,189538,36916,,9667344,9494151,14391956,2015年03月31日,3081411,658731.0,150946.0,39753368,31909193,8207004,2575473,39292514,14155322,562072.0,183696.0,7221643,998777.0,,,125000.0,2461168,,5856819.0,,,7406657,14391956,105873089.0,4135,33804,66119721.0,,3498252,105873089.0,,332653,,1746435,906739,20688606,9369302,7844175,26827207,91717767,1109683,,,121765.0,8419760,0,
2015-08-12,2,2015,1000000.0,2200000,3200000,46507881,612604,6814180,498162,4814987,6509120,6509120.0,1530272,5686357,11599006,325465,65305,3340154,2779124,11450229,1926295,,7981289.0,2604668,97110,0.0,0.0,0.0,993489,12148355,68223,2473265,44346,389687,136758,16695,,9665654,9325829,14391956,2015年06月30日,1624633,328231.0,86697.0,37632937,30293635,8207004,2728379,40263430,15204884,561030.0,181608.0,7220503,602048.0,,,225000.0,2461168,,8027809.0,,,7092884,14391956,105915888.0,0,33880,68282951.0,,3498252,105915888.0,,336229,,1763344,888317,21888654,9342326,7339302,28019521,90711004,910554,,,92252.0,8073541,0,
2015-11-10,3,2015,0.0,2200000,2200000,46080597,612090,7496809,471443,4293150,4646139,4646139.0,1512459,4600074,10916590,365628,64159,3353937,2795900,11422369,1960860,1022973.0,8215001.0,3387433,273365,0.0,,,993954,12250329,46795,2754608,438567,1163351,291934,10003,,9665704,9245224,14391956,2015年09月30日,2307262,94393.0,47354.0,36992543,29713648,18353004,2728379,38132793,14610453,558037.0,179520.0,7229372,347492.0,,,127000.0,2461168,,5817019.0,,,6982405,14391956,104180862.0,2967,30989,67188319.0,,3498174,104180862.0,,474833,,1788353,894903,22888293,9281989,7278895,29055526,89570409,1022973,,,135961.0,8350962,0,
2016-03-24,4,2015,0.0,1959200,1959200,45612886,611576,7863493,468682,3689341,4895382,,1687802,3995790,10431043,309764,90102,3497879,2695271,11051582,1873863,,,2997240,97110,0.0,,,994419,16605966,119754,2351020,52224,515195,182970,3393,,10036266,9163153,14169406,2015年12月31日,2673946,182997.0,5782.0,36851871,29246999,8207004,2728379,44141119,18077296,802608.0,0.0,7240992,876847.0,,,127000.0,2461168,,10026630.0,,,9499733,14169406,106337486.0,3000,31058,69485615.0,,3315420,106337486.0,,351111,,1991395,727394,18829745,9177719,7604872,25344496,88260190,871542,,,,8162079,0,
2016-05-11,1,2016,0.0,2159200,2159200,44947655,611062,8168211,456078,3898197,4093894,4093894.0,1424613,4185528,10924251,291618,37268,3363838,2559814,10892722,1918290,1080363.0,,2983365,97110,0.0,,,994885,11956327,55469,2862549,22808,474245,154142,4781,,10035336,9079084,14169406,2016年03月31日,2978664,335592.0,5742.0,37388013,29741455,8207004,2728379,41540853,13861566,804024.0,0.0,7234040,346113.0,,,127000.0,2461168,,6551694.0,,,11285970,14169406,101395503.0,3993,30135,64007490.0,,3315420,101395503.0,,343162,,1997985,708841,16079794,8974432,7646558,22466637,87533937,1080363,,,,8473433,0,
2016-08-10,2,2016,0.0,5318400,5318400,44524852,610549,6853382,437550,3656329,5801056,5801056.0,1876781,3922730,13788283,265964,73843,3424897,2619182,11064354,2194507,918192.0,8123301.0,2440250,97110,,,,995350,11184847,60847,3656095,34490,390706,178323,13664,,10035226,8470005,14169406,2016年06月30日,1423932,447007.0,88198.0,35689570,28163828,8207004,2899856,44335493,13938383,805715.0,0.0,7229289,421886.0,,,227000.0,2529594,,6771577.0,,,9358872,14169406,100448677.0,3996,30203,64759107.0,,3315420,100448677.0,,327413,,2012522,692690,13960642,8869847,7525742,20423614,86510294,918192,,,80618.0,8203919,0,
