date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備抵呆帳－長期應收款項,催收款項,其他應付款合計,其他應付款－其他,其他應付票據,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,員工福利負債準備－非流動,商標權,商標權淨額,商譽,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,專利權,專利權淨額,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－模具設備,累計折舊－機器設備,累計折舊－試驗設備,累計折舊－運輸設備,累計減損－其他無形資產,累計減損－其他設備,累計減損－商標權,累計減損－專利權,累計減損－模具設備,累計減損－機器設備,累計減損－試驗設備,累計減損－運輸設備,累計減損－電腦軟體,股本合計,試驗設備成本,試驗設備淨額,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,長期應付款,長期應付票據及款項合計,長期應收票據及款項淨額,長期遞延收入,長期預付租金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1480890,192.0,738745,,96.0,197382,,0.0,43488,71914,71914,119072,43756,,1468,294098,76334,75316,85902,0.0,79819,,14.0,,59699,,,,19792,43488,354366,354366,5856,1467,903704,903704,,,,,819482,819482,5191,5191,,,600159,,,20979,63385.0,956692,664966,737261,,,4924,2388151,2013年03月31日,260642,1315,,,314629,65795,816653,282336,3317730,3174695,0,380311,1249130,2459383,,44458,97792,,641112.0,5161.0,843.0,150000,192301,291726,,227548,515424,136563,50226,,25463,,,21286,18893,12516,445.0,,2388151,175248,26169,,,,1596045.0,4311,382,3924,5,,4913775.0,,59699,60280,9609,261013,48265.0,,212748,106848,150000,,,96.0,16661,62633,,23198,143035,346915,2454392,0.0,113815,15609,0
2013-08-12,2,2013,1493545,196.0,568115,,96.0,309565,,0.0,67678,57786,57786,95987,83584,4055.0,1419,304071,57023,12403,123193,95.0,88565,,118.0,,52027,,,,7027,67678,354366,354366,6802,1485,1087741,1087741,,,0.0,,1002554,1002554,4265,4265,,645951.0,645951,268.0,268.0,20086,63376.0,972483,671876,738850,,,4791,2388151,2013年06月30日,72779,1339,,,331082,87323,840609,285051,3164969,3028255,0,397544,1515933,2603329,,30135,97792,,595183.0,1763.0,182.0,140000,202033,300607,,242003,536863,139880,50155,2636.0,45015,,,1756,18695,12572,351.0,15.0,2388151,177964,25512,,,,1902850.0,4311,382,3924,5,,5067819.0,,52027,61561,11055,263724,48265.0,,215459,108408,140000,,,96.0,52920,63308,21704.0,21689,136714,386917,2464490,0.0,105904,23558,0
2013-11-13,3,2013,1482275,193.0,1693496,,96.0,213020,,0.0,44219,42314,42314,197155,81454,11252.0,7155,310524,64530,115701,128599,0.0,243857,,8.0,,226523,51891.0,,,7027,44219,344276,344276,7000,1700,1092731,1092731,,,0.0,,1099609,1099609,4586,4586,,2728638.0,2728638,424.0,424.0,4065,63373.0,954691,654191,297440,151724.0,169956.0,4976,2388151,2013年09月30日,1198160,1324,,,356030,97794,842170,283976,4783869,4130177,0,397544,1655732,4706325,,38712,97792,,334650.0,2203.0,202.0,294000,207618,300500,24240.0,250910,542313,137787,50765,4097.0,38376,,,7326,15881,12375,347.0,52361.0,2388151,174402,24240,,51891.0,,2085282.0,4311,382,3924,5,,6869151.0,,226523,63056,11944,249060,,48265.0,200795,95373,294000,,,96.0,58226,62145,76891.0,24530,653692,429550,2162826,179908.0,121937,0,0
2014-03-19,4,2013,1486436,197.0,1684787,,0.0,214348,,0.0,70893,42270,42270,315525,38829,2999.0,2509,320771,62348,276696,135755,0.0,283658,,2.0,,691190,59664.0,16.0,0.0,7027,70893,344411,344411,7195,3327,972147,972147,5286.0,0.0,0.0,,991949,991949,6121,6121,,873814.0,873814,0.0,0.0,6555,59280.0,972740,662923,298969,151590.0,172811.0,8959,2388151,2013年12月31日,1189451,1348,,,382512,105899,841450,278928,4802681,4148142,0,397544,1590408,4608239,,31437,97792,,1629842.0,22920.0,182.0,312800,219383,309817,25432.0,269026,546152,136056,51086,490.0,39040,16.0,5286.0,7587,16370,12917,354.0,55262.0,2388151,169003,20030,,59664.0,,2011301.0,4311,382,3924,5,,6813982.0,,691190,61989,10549,225474,,48265.0,177209,96087,312800,,,0.0,69280,62870,77163.0,21901,654539,420893,2205743,217459.0,118984,0,0
2014-05-13,1,2014,1208846,180109.0,1675947,,0.0,164020,,,81762,44276,44276,624840,55344,3281.0,2533,317454,55706,569496,154490,2313.0,189406,,0.0,,92662,61424.0,16.0,0.0,7027,81762,106488,106488,7650,3580,905114,905114,5286.0,0.0,,0.0,697370,697370,5663,5663,,531222.0,531222,,,18665,59341.0,967820,655266,536049,389513.0,172918.0,10792,2388151,2014年03月31日,1180611,1342,,,386597,96829,837468,263912,4628364,4150171,0,397544,1239660,4054370,,29278,97792,1802313.0,,25531.0,37.0,302800,222879,312554,26382.0,282191,557248,135512,51830,748.0,38869,16.0,5286.0,7577,16308,12873,352.0,57911.0,2388151,167343,18958,,61424.0,,1679088.0,4311,382,3924,5,,6307452.0,,92662,62527,10345,223514,,48265.0,175249,98602,302800,20000.0,20000.0,0.0,65186,62154,77629.0,19718,478193,439428,2253082,0.0,79517,123672,0
2014-08-13,2,2014,1146006,180105.0,912363,,0.0,849399,,,24280,64038,64038,365990,49953,3216.0,2226,312854,49454,316037,176739,1.0,288975,,0.0,,99581,63414.0,16.0,0.0,7027,24280,108348,108348,7684,3763,908842,908842,5286.0,0.0,,0.0,775131,775131,3262,3262,,627642.0,627642,,,8355,59416.0,913298,606992,563396,387653.0,207678.0,10373,2388151,2014年06月30日,307584,1317,,,247748,104881,823131,245880,3873063,3329105,0,506987,2033147,4028222,,28244,97792,1936616.0,,28517.0,595.0,312800,230284,306306,31935.0,135332,563389,136192,50735,990.0,33116,16.0,5286.0,7535,13862,10426,145.0,60550.0,2388151,164684,18066,,63414.0,,2483328.0,4311,382,3924,5,,6356391.0,,99581,61948,11068,210028,,48265.0,161763,111070,312800,45907.0,45907.0,0.0,63731,60575,79541.0,18991,543958,450181,2328169,0.0,80601,224637,0
2014-11-10,3,2014,1149795,201.0,817628,,0.0,162919,,,67222,81009,81009,305968,52897,3276.0,2005,319914,44913,253071,152171,,367163,,0.0,,91563,67423.0,16.0,0.0,7027,67222,108348,108348,9233,1362,947932,947932,5286.0,0.0,,0.0,921687,921687,2436,2436,,753356.0,753356,,,13252,59494.0,935183,617733,566567,387653.0,212540.0,9656,2388151,2014年09月30日,212849,1351,,,262170,103958,842718,243692,3622422,3277312,0,506987,1667776,3505463,,25836,97792,1276888.0,,31725.0,1709.0,468000,241146,317450,33626.0,150621,585576,125809,52213,1271.0,33855,16.0,5286.0,7591,13450,9008,0.0,63743.0,2388151,153488,18671,,67423.0,,2107293.0,4311,382,3924,5,,5729715.0,,91563,63342,11129,219923,,48265.0,171658,105034,468000,23503.0,23503.0,0.0,59941,61687,80547.0,16804,345110,439517,2224252,0.0,114795,304114,0
2015-03-30,4,2014,1164049,209.0,788771,,,158675,,,148314,110055,110055,721001,115764,3409.0,1815,329123,40543,605237,110131,2.0,449418,,0.0,825.0,142083,96928.0,16.0,0.0,7027,148314,108348,108348,9416,3604,763492,763492,5286.0,0.0,,0.0,830620,830620,4716,4716,,697658.0,697658,,56.0,17093,57283.0,963307,632439,570892,387652.0,218791.0,7723,2388151,2014年12月31日,183992,1394,,,295858,115067,871156,237316,3650759,3329547,0,506987,1661796,3420169,,22922,97792,965106.0,,16905.0,0.0,540000,253674,330868,35551.0,173127,616217,130585,54687,1594.0,34906,16.0,5286.0,7664,17623,9203,0.0,67038.0,2388151,158254,18466,,96928.0,,2093221.0,4311,382,3924,5,,5743980.0,825.0,142083,65163,10476,224366,,48265.0,176101,108598,540000,8528.0,8528.0,,34902,63211,81118.0,14080,321212,431425,2323811,0.0,113680,382603,0
2015-05-12,1,2015,1122740,207.0,823021,,,124343,,,105495,75166,75166,247584,50822,3371.0,1525,307248,34120,196762,165959,0.0,470932,,0.0,0.0,106082,98303.0,16.0,0.0,7027,105495,108348,108348,9162,834,710324,710324,5286.0,0.0,,0.0,699943,699943,5222,5222,,522505.0,522505,,0.0,2656,,954761,622716,568116,387652.0,216892.0,7386,2388151,2015年03月31日,218242,1381,18576.0,0.0,284699,107788,861552,222663,3658982,3320978,0,506987,1211250,3055094,57341.0,19683,97792,,1341357.0,,,288000,244309,332045,36428.0,170341,621682,129350,55542,1846.0,28819,16.0,5286.0,6570,17207,4042,0.0,69044.0,2388151,150049,16657,5350956.0,98303.0,1691974.0,,4311,382,3924,5,5350956.0,,0.0,106082,64609,9067,216462,,48265.0,168197,106798,288000,24268.0,24268.0,,75188,62168,80175.0,11131,338004,480724,2295862,0.0,124586,407930,0
2015-08-11,2,2015,1085530,204.0,596151,4463.0,4463.0,374456,135606.0,,66488,77574,77574,226305,55752,3324.0,1239,303658,29041,170553,162868,0.0,484405,,0.0,0.0,100108,100035.0,16.0,0.0,7027,66488,108831,108831,8985,829,751598,751598,5286.0,0.0,,0.0,849942,849942,3239,3239,238850.0,723638.0,723638,,0.0,8438,,942933,611041,563439,387169.0,213277.0,6328,2388151,2015年06月30日,86344,1361,1100.0,421.0,299321,105815,843729,205797,3383467,3055101,0,506987,1621311,3212933,57414.0,17136,2820,,1320900.0,,,315000,246189,331892,37007.0,186954,620932,127251,53765,2085.0,28428,16.0,5286.0,6552,17000,4027,0.0,71874.0,2388151,146952,15674,5479343.0,100035.0,2095876.0,,4311,382,3924,5,5479343.0,,0.0,100108,61735,7970,211662,,48265.0,163397,109368,315000,32001.0,32001.0,0.0,64468,60853,80744.0,8870,328366,474565,2266410,,81525,422723,0
