date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,0.0,60000.0,60000.0,1585773,3734024,216051,,3756,867,88966,28966,45877,45877,0.0,0.0,28859,45261,,867,3211,443787,443787,0,,405892.0,76039,180459,,736515,20018,20018,28859.0,927645,2013年03月31日,,,5100066,5100066,0,,810011,5131613,,2564,,,3858207.0,218496.0,30000.0,927645,,,,1672974.0,437530,,6773040.0,23453.0,48212,7829,380000.0,2564,0,862963,1641427,42050,0
2013-08-06,2,2013,0.0,60000.0,60000.0,1572966,3466794,812267,251284.0,3631,3240,95698,35698,23606,23606,,,28859,37659,0.0,3240,3211,422305,422305,0,,204150.0,65743,166412,560983.0,784430,21765,21765,28859.0,940218,2013年06月30日,2795029.0,,5021960,5021960,0,665544.0,1300174,5362127,,3974,6221.0,,4095393.0,160054.0,0.0,940218,,,,1962224.0,611708,,6984184.0,10997.0,49041,7458,380000.0,3974,0,662050,1622057,34448,0
2013-11-06,3,2013,0.0,60000.0,60000.0,1552236,3768432,285384,285384.0,2439,2034,99796,39796,23301,23301,,,28859,44885,,2034,231,418576,418576,0,,102361.0,74314,162084,,680592,21344,21344,28859.0,946577,2013年09月30日,3096667.0,,5420740,5420740,0,665544.0,762427,5095978,,3845,6221.0,,3945234.0,140849.0,0.0,946577,,,,1291153.0,703697,,6711893.0,4492.0,47506,14949,350000.0,3845,0,528726,1615915,44654,0
2014-03-06,4,2013,0.0,60000.0,60000.0,1533682,4154236,331636,331636.0,2021,3990,98585,38585,28784,28784,,,38639,42153,,3990,212,380504,380504,0,,17555.0,63390,169095,,810223,29532,29532,38639.0,951881,2013年12月31日,3482471.0,,5890696,5890696,0,665544.0,856687,5612441,,3160,6221.0,,4360812.0,193981.0,0.0,951881,,,,1313467.0,780589,,7204163.0,565.0,50586,12727,350000.0,3160,0,456780,1591722,41941,0
2014-05-07,1,2014,,60000.0,60000.0,1516492,4622558,270384,270384.0,3041,5952,95189,35189,27597,27597,,,38639,37577,,5952,1089,385547,385547,0,,0.0,72587,167005,,856962,21012,21012,38639.0,952971,2014年03月31日,3950793.0,,6378172,6378172,0,665544.0,860472,6088587,,2476,6221.0,4794428.0,,255307.0,0.0,952971,,,,1281576.0,796691,,7659748.0,0.0,62465,14616,320000.0,2476,0,421104,1571161,36488,0
2014-08-07,2,2014,,60000.0,60000.0,1489057,4175929,1019796,305068.0,6021,3244,79590,19590,24552,24552,,,38639,58095,,3244,262,350014,350014,0,0.0,0.0,59414,193487,714728.0,859979,24217,24217,38639.0,952971,2014年06月30日,3364565.0,,5928835,5928835,0,805143.0,1534011,6307059,,2058,6221.0,5042276.0,,181724.0,,952971,,,,1943354.0,796691,,7872189.0,0.0,50704,15920,320000.0,2058,0,409343,1565130,57833,0
2014-11-06,3,2014,,60000.0,60000.0,1474360,4613517,350984,350984.0,7623,5673,87920,27920,27664,27664,,,38639,71685,,5673,333,353550,353550,0,0.0,0.0,74554,192000,,872420,24833,24833,38639.0,952971,2014年09月30日,3802153.0,,6368852,6368852,0,805143.0,855428,6049496,,1760,6221.0,4763406.0,,149970.0,,952971,,,,1243371.0,796691,,7612223.0,0.0,59304,14922,290000.0,1760,0,387943,1562727,71352,0
2015-03-06,4,2014,,60000.0,60000.0,1481941,5247170,403699,403699.0,16870,11537,85173,25173,19924,19924,,,40664,41306,,11537,236,387711,387711,0,0.0,0.0,80610,196203,,1024128,26910,26910,40664.0,952971,2014年12月31日,4435806.0,,7008369,7008369,0,805143.0,992979,6872324,,1947,6221.0,5396781.0,,227294.0,,952971,,,,1405175.0,796691,,8413544.0,0.0,81532,16026,290000.0,1947,0,412196,1541220,41070,0
2015-05-06,1,2015,,0.0,0.0,1454053,5642588,305823,305823.0,12556,10041,36362,36362,18500,18500,,,40952,58435,,10041,234,421955,421955,0,0.0,,83306,194482,,976667,22592,22592,,952971,2015年03月31日,4831224.0,304637.0,7402291,7402291,0,805143.0,924610,6905962,40952.0,2506,6221.0,,5453692.0,,,952971,8437747.0,,1035456.0,,796691,8437747.0,,,69894,16791,0.0,2506,0,110846,1531785,58201,0
2015-08-06,2,2015,,0.0,0.0,1428250,5086278,1192799,335125.0,12819,9328,30637,30637,18132,18132,,,41106,61157,,9328,214,407812,407812,0,0.0,,69431,186025,857674.0,904557,25653,25653,,952971,2015年06月30日,4094034.0,237059.0,6845268,6845268,0,986023.0,1715951,7165334,41106.0,2196,6221.0,,5796361.0,,,952971,8674236.0,,1828968.0,,796691,8674236.0,,,71911,17299,0.0,2196,0,113017,1508902,60943,0
