date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,專利權淨額,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-08-09,2,2013,14735,14735,1254785,107770,164184,1870.0,,2739,36.0,-1076,52649,37914,37696,18555,19141,16505,15467,0.0,132399,69627,177.0,421283,421283,103.0,14421,,232006,22396,,11672,,391735,2515,19032,19032,0.0,0.0,15467.0,,0.0,916315,2013年06月30日,,,,1116482,1024415,0,,562704,1145891,,2896,,,256434.0,446.0,,75504,916315,1977.0,,,1470197.0,1406.0,,,,2586679.0,253,50708,891773,2793.0,92067,907493,1440788,46090,0
2013-11-22,3,2013,14523,14523,1214589,130076,110229,1250.0,,3330,36.0,-4775,58258,43735,57969,29603,28366,16276,13796,,146012,65912,177.0,431845,431845,99.0,11728,,263689,16471,,10090,,428844,4585,12539,12539,,0.0,13796.0,,,916315,2013年09月30日,,,,1132780,1043022,0,,578328,1211174,,2708,,,260298.0,0.0,,118280,916315,61.0,,,1482169.0,1406.0,,,,2614949.0,172,40466,889873,2609.0,89758,903841,1403775,63647,0
2014-03-11,4,2013,59635,59635,1230623,169273,146987,602.0,,7763,36.0,-533,92917,33282,47078,31073,16005,7653,12057,0.0,119040,69011,177.0,458519,458519,94.0,11337,,270433,17507,,9259,,476274,949,12130,12130,,263.0,12057.0,0.0,0.0,916315,2013年12月31日,,,,1175784,1085055,0,,582419,1227734,,2537,,,213385.0,0.0,,44708,916315,6.0,,,1444314.0,,,,,2620098.0,8513,40164,841325,2443.0,90729,861895,1392364,42199,0
2014-05-07,1,2014,60145,60145,1210438,208889,129757,409.0,,4018,36.0,299,98452,38307,49871,34381,15490,13907,11272,,145228,72037,177.0,504686,504686,90.0,11025,0.0,322058,14164,,10842,,447582,658,20028,20028,,0.0,11272.0,,,916315,2014年03月31日,,,,1216038,1125503,0,,669317,1354286,,5582,,315817.0,,2219.0,565.0,91410,916315,6.0,,,1533659.0,,,,,2749697.0,8651,34163,844419,5492.0,90535,864342,1395411,59107,0
2014-08-08,2,2014,141251,141251,1178919,168794,214877,122.0,,5498,36.0,-5061,178198,36947,57783,37362,20421,11998,10468,,208393,83721,177.0,534652,534652,85.0,5209,0.0,348832,9296,,7334,,501107,300,17286,17286,,120.0,10468.0,,,1030865,2014年06月30日,,,,1429215,1340069,0,,856262,1360897,,5806,,238341.0,,7987.0,565.0,89595,1030865,21.0,,,1364067.0,145471.0,145471.0,145471.0,,2793282.0,6767,39267,490570,5721.0,89146,507805,1432385,112497,0
2014-11-07,3,2014,141799,141799,1165428,196585,156830,473.0,,5119,,1677,180583,38784,62868,46225,16643,12212,9656,,299822,70555,177.0,552142,552142,,3922,0.0,338280,19491,,6516,,547274,1172,3710,3710,,368.0,9656.0,,,1030865,2014年09月30日,158282.0,,,1465739,1374598,0,18521.0,809523,1273639,,5448,19782.0,96499.0,,16069.0,565.0,91260,1030865,21.0,,,1320372.0,145471.0,145471.0,145471.0,,2786111.0,8316,41774,492877,,91141,510849,1512472,216878,0
2015-03-24,4,2014,221493,221493,1350880,236276,185723,727.0,,2381,,12054,265681,44188,44078,36096,7982,10945,6923,,198150,98010,178.0,558090,558090,,3376,0.0,379089,22723,,7762,,628405,776,3350,3350,,0.0,6923.0,,,1030865,2014年12月31日,197973.0,,,1537822,1424666,0,18521.0,1078338,1407810,,5515,19782.0,166285.0,,23326.0,1069.0,193300,1030865,7.0,,,1465047.0,145471.0,,,,3002869.0,11918,40514,367868,,113156,386709,1595059,89017,0
2015-05-08,1,2015,221109,221109,1397086,249728,160607,100.0,,1332,,8498,268742,47633,49566,36928,12638,10829,6060,,120667,100817,1878.0,617407,617407,,3334,0.0,336132,31768,,6257,,542634,665,20394,20394,,,,,,1030865,2015年03月31日,211425.0,25707.0,498.0,1549226,1434562,0,18521.0,1098870,1469164,6060.0,5680,19782.0,,233334.0,,,269550,1030865,7.0,3030823.0,1481597.0,,145471.0,,,3030823.0,,9696,38226,366971,,114664,382727,1561659,7143,0
2015-08-07,2,2015,285127,285127,1373197,228374,213911,,162368.0,822,,3513,317611,32484,46004,36283,9721,8987,5169,,117529,101904,1878.0,562240,562240,,2967,0.0,284912,23909,9999.0,5840,51543.0,618376,677,27607,27607,,,,,,1030865,2015年06月30日,178374.0,13311.0,0.0,1520551,1408223,0,30218.0,955783,1378769,5169.0,5749,19782.0,,120076.0,,,86290,1030865,0.0,2910375.0,1389824.0,,145471.0,,,2910375.0,,8608,35131,420264,,112328,434041,1531606,4760,0
2015-11-06,3,2015,287330,287330,1360626,278296,171672,,,1352,,21461,335581,48251,38922,33498,5424,9539,4220,,148671,105208,1878.0,581272,581272,,3082,0.0,315443,31771,,5775,,593839,308,37270,37270,,,,,,1030865,2015年09月30日,228296.0,10006.0,0.0,1597181,1476093,0,30218.0,939553,1426656,4220.0,5276,19782.0,,170611.0,,,69305,1030865,0.0,2974887.0,1377706.0,,145471.0,,,2974887.0,,14707,33658,419226,,121088,438153,1548231,32046,0
2016-03-18,4,2015,27000,27000,1311890,320845,189331,,,1583,,12295,70300,43300,38132,38132,0,2378,6189,,136289,99579,,565502,565502,,0,0.0,322437,30068,,4689,,621346,542,32265,32265,,,,,,1030865,2015年12月31日,270845.0,17192.0,0.0,1632247,1509476,0,30218.0,663560,1492391,6189.0,4786,19782.0,,233021.0,,,29543,1030865,0.0,2975172.0,1342925.0,,145471.0,,,2975172.0,,11263,29816,661913,,122771,679365,1482781,34332,0
2016-05-06,1,2016,10333,10333,1307204,361500,161413,,,1854,,5638,64187,53854,42006,42006,0,2378,5259,,135766,96587,,603229,603229,,2994,0.0,323582,36797,,5767,,638262,442,29141,29141,,,,,,1030865,2016年03月31日,311500.0,28722.0,0.0,1670980,1543474,0,30218.0,660468,1579487,5259.0,4299,19782.0,,261559.0,,,40000,1030865,0.0,3055051.0,1384071.0,,145471.0,,,3055051.0,,8959,28295,709385,,127506,723603,1475564,36801,0
2016-08-08,2,2016,79500,79500,1316340,296626,279477,,176391.0,1613,,618,135166,55666,46752,42289,4463,2585,4332,,143462,98217,,598184,598184,,2944,0.0,340570,34405,0.0,4997,103086.0,635660,531,31397,31397,,,,,,1030865,2016年06月30日,232773.0,19403.0,,1599579,1473580,0,44071.0,854018,1613461,4332.0,3813,19782.0,,296380.0,,,40000,1030865,,3104304.0,1504725.0,,145471.0,,,3104304.0,,7930,27228,638445,,125999,650707,1490843,42660,0
