date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,銀行借款,銀行長期借款,長期借款合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,,3556047,82535,-24193,15233,41851,123169,8360,15233,88910,,20516,,,,332749,5563,47537,,43200,1482,,125328,9347,19,151358,9757,5623,264326.0,240383,1327246,2013年03月31日,-171715,1319484,1319224,59299,1746773,696931,,,38070.0,147522,,208808.0,1400000,-171715,1327246,,,3345800.0,2420,2420,,4665284.0,54724,516278,1400000,750000,750000,62860,260,1599027,3968353,156515,,0
2013-08-06,2,2013,,,3548481,82312,-71746,22191,48814,154288,593,22191,83198,,27408,,,,324142,5941,28158,,27470,1482,,97228,4287,700,145202,15409,18418,261331.0,239700,1327246,2013年06月30日,-219268,1278894,1278629,59299,1739701,661550,,,38070.0,147522,,195466.0,1400000,-219268,1327246,,,3330121.0,2420,2420,,4609015.0,54760,516278,1400000,750000,750000,56870,265,1590420,3947465,138754,,0
2013-11-07,3,2013,,,3525790,68160,-104981,20930,47553,173198,1089,20930,101208,,28392,,,,315270,5908,17849,,31426,1482,,119111,26045,2993,145402,14832,10524,258484.0,239017,1327246,2013年09月30日,-252503,1244396,1244133,59299,1822555,750130,,,38070.0,147522,,244976.0,1400000,-252503,1327246,,,3404103.0,2420,2420,,4648499.0,54870,516278,1400000,750000,750000,50878,263,1581548,3898369,180549,,0
2014-03-26,4,2013,,,3494329,67201,-106455,23969,50593,157767,950,23969,69874,,27741,,,,298048,6545,78942,,25189,1482,,166214,31949,6081,194492,17392,1465,246615.0,238334,1327246,2013年12月31日,-253977,1245958,1245698,59299,1861885,742703,,,38070.0,147522,,238128.0,1430000,-253977,1327246,,,3426144.0,2420,2420,,4672102.0,53272,516211,1430000,750000,750000,44888,260,1564259,3929399,146004,,0
2014-05-08,1,2014,,750000.0,3477707,67159,-180544,25658,52282,159000,6559,25658,836164,86164.0,61214,9995.0,51219.0,3265.0,290344,5449,161193,3955.0,27219,1482,0.0,94805,24880,301,135509,13744,4394,243813.0,237651,1327246,2014年03月31日,-328066,1173558,1173298,59299,2625150,609271,,,0.0,147522,225025.0,,1510000,-328066,1327246,,,3431705.0,2420,2420,,4605263.0,5901,516211,1510000,0,0,41082,260,806555,3995992,129706,153973.0,0
2014-08-07,2,2014,,750000.0,3511220,67107,-218342,27235,53837,182120,6154,27235,821635,71635.0,58379,11078.0,47301.0,2783.0,282730,6848,132428,3536.0,23259,1482,0.0,142512,12339,60,95279,20879,7189,238605.0,236968,1327246,2014年06月30日,-365864,1137337,1137077,59299,2718666,653384,,,0.0,147522,228295.0,,1560000,-365864,1327246,,,3517607.0,2420,2420,,4654944.0,5831,516211,1560000,0,0,37277,260,798941,4001560,208119,126109.0,0
2014-11-06,3,2014,,750000.0,3624314,37311,-282613,22088,48665,162144,7660,22088,827410,77410.0,70158,12931.0,57227.0,2767.0,276478,7450,14137,6419.0,34663,1482,0.0,89199,9862,128,88670,15261,7287,235556.0,236286,1327246,2014年09月30日,-430135,1067785,1067659,59299,2728743,628504,,,0.0,147522,211909.0,,1640000,-430135,1327246,,,3521432.0,2420,2420,,4589217.0,5714,516211,1640000,0,0,33472,126,792689,3960713,187182,4951.0,0
2015-03-26,4,2014,750000.0,750000.0,3654891,36462,-340784,24070,50440,165039,6576,24070,791079,41079.0,59833,12204.0,47629.0,2265.0,267402,6938,18190,2514.0,17258,1482,0.0,136220,15675,8215,106061,17548,4977,230797.0,235603,1327246,2014年12月31日,-488306,1011592,1011470,59299,2816228,615847,,,,147522,228195.0,,1700000,-488306,1327246,,,3599841.0,2420,2420,,4611433.0,5653,516211,1700000,0,0,29667,122,783613,3995586,169746,13411.0,0
2015-05-12,1,2015,0.0,0.0,3609568,35034,-478359,21813,47976,124017,4626,21813,66011,66011.0,67533,21007.0,46526.0,2086.0,266014,11892,20277,2095.0,17476,1482,0.0,81738,43729,77,67312,10177,6071,,234920,1327246,2015年03月31日,-625881,871757,871638,59299,2115572,571779,228260.0,,,147522,,203492.0,1800000,-625881,1327246,4519554.0,3647797.0,,2420,2420,4519554.0,,5598,516211,1800000,750000,750000,25862,119,1532225,3947775,189494,16096.0,0
2015-08-06,2,2015,0.0,0.0,3569507,35034,-564099,19238,40441,159467,29420,19238,105237,105237.0,83283,36907.0,46376.0,2086.0,260464,12322,14573,0.0,20803,1433,0.0,66886,12930,102,106830,17339,1506,,234237,1327246,2015年06月30日,-711621,783490,783364,57299,2194622,610995,226084.0,,,147522,,178231.0,1850000,-711621,1327246,4504787.0,3721297.0,,2412,2412,4504787.0,,5430,516211,1850000,750000,750000,22058,126,1526675,3893792,168153,12487.0,0
