date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備抵存貨跌價,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,原料,商品存貨,商譽,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,在製品,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,工程存出保證金,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付票據,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,租賃資產成本,租賃資產淨額,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－租賃資產,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－以成本衡量之金融資產－非流動,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,,665000,665000,3351696,131662,9940,975155,95804,,320468,0,320468.0,10279,,4638,683697,18697,532561,1127,0.0,0,727476,340674,531434,24562,33316,10167.0,10167,59708.0,5738.0,273441,33955,19563,4638,4638,529130,529130,529435,10390,1087348,1053393,33955,,1508,66926,,,511964.0,511964,391556.0,391556,18050.0,18050.0,1321,1037977,47013,14368,23241.0,863748,690266,2458893,2013年03月31日,335609,218191,,20052,3344079,1557069,4755275,4689708,3674000,394853,1554625,3638867,,19563,47501,244693,,830558.0,14099.0,126755,2632.0,2197.0,,,315557,386802,173482,1787010,435.0,,37024,19215,121722,2458893,298820,,,2355897.0,1317948,1317948,,7111172.0,43124,6100,,5738.0,19055,,27284,8069,186508,186508.0,57790,126755.0,829050,72500.0,72500,1321,12759,65567,801272,3472305,0.0,59708,,0
2013-08-05,2,2013,,381250,381250,3248690,131662,3124,920898,93475,,405245,0,,16125,,39913,410093,28843,75977,2657,0.0,0,733846,324766,73320,23366,102662,,6768,,7425.0,283259,41142,19563,39913,39913,529118,529118,562366,10400,1182462,1141320,41142,,674,66926,48443.0,,514386.0,514386,,522201,,0.0,1103,1146584,44041,16186,22263.0,868523,687467,2458893,2013年06月30日,270896,84850,,50570,3492829,1607280,4789595,4721776,3674000,405309,1352467,3444525,,19563,44876,244693,,868723.0,14928.0,0,2635.0,2061.0,,,220326,409080,181056,1885549,574.0,,37554,20060,128538,2507336,344294,,,2076576.0,1320555,1320555,,6866171.0,43328,5774,,7425.0,22363,,27434,7374,160182,160182.0,47607,,868049,18750.0,18750,1103,12895,67819,724109,3421646,,72064,72599.0,0
2013-11-08,3,2013,,285000,285000,3160092,131662,3124,950122,93158,,405389,0,,23870,,10218,311671,26671,123190,4781,0.0,0,735763,306976,118409,22655,104222,,3358,,,290362,43973,19563,10218,10218,534089,534089,535281,8035,1129984,1086011,43973,,575,66926,,,,516901,,531290,,746.0,888,1177172,41287,14379,21767.0,865332,679052,2507336,2013年09月30日,300120,20716,,79794,3561654,1605190,4790585,4723911,3674000,405309,1262106,3507921,,19563,44156,244693,,888317.0,13010.0,0,2633.0,1926.0,,,220326,428787,186280,1956464,707.0,,37827,20026,128538,2507336,309370,,,2049542.0,1323161,1323161,,6840127.0,42926,5099,,6862.0,30811,,27070,7044,151018,,45205,,887742,,90000,888,12669,66674,787436,3332206,,78911,80160.0,0
2014-03-27,4,2013,,185000,185000,3142438,131662,0,945847,100084,,412958,0,,15648,428.0,49162,217210,32210,143415,2682,,0,738869,288851,140733,22620,95611,,3056,,,295021,41755,19563,49162,49162,534119,534119,530527,7929,1131422,1089667,41755,,526,66926,,,,519428,,515435,,0.0,765,1205496,41318,14912,21855.0,870569,675674,2507336,2013年12月31日,295845,78702,,76009,3623795,1552370,4829336,4761186,3674000,405309,1221866,3502637,,19563,42340,244693,,861999.0,26263.0,50000,,,2637.0,1791.0,219836,450018,194895,2071425,,846.0,38757,20987,131662,2507336,321863,,,1980998.0,1325767,1325767,,6810334.0,43292,4535,,9169.0,31742,,27383,6396,146665,,50085,,861473,,61250,765,14157,68150,759132,3307697,,56257,70469.0,0
2014-05-09,1,2014,521967.0,220000,741967,3086494,0,0,988071,103196,,364238,0,364238.0,13903,0.0,46175,786156,44189,178741,2870,0.0,0,741990,272155,175871,21939,81925,2905.0,2905,68082.0,0.0,289034,39927,19563,46175,46175,534243,534243,543473,8416,1123898,1083971,39927,,745,66926,,0.0,0.0,0,520982.0,520982,0.0,0.0,651,1118533,41594,27755,21288.0,870836,669378,2507336,2014年03月31日,338069,91078,,42224,3660525,1507636,4874004,4803029,3674000,405309,1752514,3611973,,19563,48889,244693,1007285.0,,29113.0,50000,2636.0,1655.0,,,295845,469835,201458,2152889,981.0,,39577,21253,0,2507336,305771,,,1967927.0,1328373,1328373,,6841931.0,43423,3846,2025.0,0.0,32182,,27756,6503,143474,143474.0,41976,50000.0,1006540,50000.0,50000,651,14062,70975,215413,3229958,0.0,68082,56542.0,0
2014-08-12,2,2014,335505.0,250000,585505,3030212,0,0,950578,104660,113875.0,414942,0,,16073,0.0,7544,620029,34524,425525,2353,0.0,0,743655,254883,406250,21774,86342,,2809,,0.0,319768,48917,19563,7544,7544,534231,534231,515889,8384,1155501,1106584,48917,16922.0,659,66926,24706.0,0.0,0.0,0,,600910,,,520,1196059,37062,28391,21254.0,873664,667607,2507336,2014年06月30日,292975,122469,,66496,3649641,1436194,5016243,4942820,3674000,412910,1699159,3688827,,19563,59192,244693,729959.0,,13278.0,50000,2633.0,1519.0,,,226479,488772,206057,2213447,1114.0,,39851,21126,0,2645917,316395,,,1853656.0,1405707,1405707,,6869899.0,46813,6962,,0.0,33570,,27473,6347,132723,132723.0,44955,,729300,0.0,0,520,25319,73423,154497,3181072,,66687,49830.0,0
2014-11-11,3,2014,331430.0,250000,581430,3039211,131662,0,1006575,105244,3427.0,444543,0,,15292,0.0,70286,621774,40344,425765,3101,0.0,0,747881,237268,422664,20356,80033,,2514,,,304050,49755,19563,70286,70286,530317,530317,510403,8418,1253655,1203900,49755,,516,66926,,0.0,,0,,652374,,0.0,390,1235636,36532,33103,19966.0,886255,669981,2645917,2014年09月30日,348972,174589,,122492,3746627,1411651,5143555,5069850,3674000,412910,1780195,3910415,,19563,69676,244693,815117.0,,11504.0,50000,2639.0,1387.0,,,226480,510613,216274,2334976,1252.0,,40668,21380,131662,2649344,425015,,,1946836.0,1410571,1410571,,7090391.0,47640,6972,,0.0,42849,,28426,7046,146285,,41169,,814601,,0,390,25904,73705,166641,3179976,,52466,43197.0,0
2015-03-17,4,2014,333051.0,250000,583051,3055918,131662,0,1051565,113802,,460003,878,,12527,0.0,140600,614929,31878,342866,3961,,0,753606,222358,338905,24060,52243,,2789,,,281472,47228,19563,140600,140600,530268,530268,509393,10418,1193348,1146120,47228,,573,152657,,0.0,,0,,470096,,0.0,253,1219101,36295,21640,23807.0,894131,667307,2649344,2014年12月31日,393962,245787,,171259,3830268,1376127,5175957,5102030,8674000,412910,1612276,3806189,,19563,57682,244693,886530.0,,16370.0,50000,2645.0,1260.0,,,222703,531248,226824,2454141,1385.0,,41412,22404,131662,2649344,411375,,,1800033.0,1413178,1413178,,6975990.0,47877,6465,,0.0,41750,,28750,6346,163697,,42077,,885957,,0,253,25625,73927,187757,3169801,,52132,13411.0,0
2015-05-12,1,2015,0.0,250000,250000,3003730,131662,0,1094712,110508,37329.0,443705,0,443705.0,11188,0.0,114183,269056,19056,281555,3201,0.0,0,756797,210567,278354,23244,114710,2429.0,2429,59134.0,0.0,281215,47461,19563,114183,114183,530149,530149,482175,8437,1147039,1099578,47461,,583,66926,,0.0,220470.0,220470,437750.0,437750,0.0,0.0,118,1139967,31024,24241,,890314,658736,2599344,2015年03月31日,437109,286348,16789.0,43147,3819753,1305425,5255156,5183398,3674000,412910,1217300,3702657,23126.0,19563,46763,244693,,968298.0,,50000,2643.0,1133.0,,,393962,546230,231578,2514328,1510.0,,41401,22707,131662,2636673,399933,6881623.0,1626467.0,,1404756,1404756,6881623.0,,47316,5915,0.0,0.0,40211,140.0,28164,5457,165453,165453.0,40823,50000.0,967715,0.0,0,118,90517,71758,409167,3178966,0.0,59134,13327.0,0
2015-08-07,2,2015,0.0,100000,100000,2956264,131662,0,1037550,138576,0.0,539487,0,,17009,0.0,85751,126018,26018,360567,7776,0.0,0,754680,196321,352791,22476,142971,,2268,,0.0,219711,50119,19563,85751,85751,529771,529771,503362,8418,1069081,1018962,50119,0.0,580,66926,0.0,0.0,221548.0,221548,,476021,,,0,1143358,40050,18925,,886004,649789,2636673,2015年06月30日,362821,325967,6240.0,89982,3786800,1243325,5172451,5100410,3674000,430036,1197766,3825228,22476.0,19563,58053,244693,,1085537.0,,50000,2641.0,1007.0,,,272839,558359,236215,2543475,1634.0,,41417,23124,131662,2636673,376412,6984796.0,1812345.0,,1407362,1407362,6984796.0,,46815,5398,,0.0,35848,23.0,27810,4686,170555,170555.0,40747,,1084957,200000.0,200000,0,89044,72041,614579,3159568,,54853,43241.0,0
