date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,工程存出保證金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特許權,特許權淨額,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,長期借款合計,長期應收票據及款項－關係人淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-14,1,2013,4745685,118309631,7895.0,1117812,54265517,4136864.0,2693812,4654750,14284978,10828.0,10707635,1709572,1663949.0,3682055,11395446,2400754,6108620,2324678,,3907301,3734406,6950560,4647133,515709,13691053,197847,11982661,-327632.0,666674,842676,24721127,,49536,25063,,,41731160,19386668.0,102237.0,653084,5388929,,,3577343,27453660.0,674533.0,1187759,,,3314012.0,36509508,100000.0,,99897.0,47567584,50441338,2013年03月31日,16983248,,,176421188,113046312,734000,11820721,84437631,108744884,,21174756,,1793641.0,0.0,,25461548,,5284794,,34834800.0,-127177.0,3351579.0,130133.0,29703068,50441338,,,101058,658192,,177463556.0,4682465,17355.0,3732296.0,932814.0,,353884744.0,19117,673254,10289146,2014869,40639,347312,0,35352982,,2480919,63374876,93025925,245139860,4992129,3219051,3307810,4249007,0,941197
2013-08-14,2,2013,6429668,120014219,7895.0,1211728,48734994,4234947.0,2792773,4674550,29563919,73612.0,25586944,4349059,1654428.0,3915365,13182196,2712197,6235539,1792012,,4000317,3393350,6153234,4470795,635299,18536045,283938,11983297,-194572.0,679270,659081,23577505,,1050177,25063,1008827.0,,47945800,19909804.0,164638.0,432303,8254220,,,3976975,29715046.0,726352.0,1551605,,,3156226.0,35809539,100000.0,,99923.0,45828381,50441338,2013年06月30日,10586201,,,167369274,108756418,734000,12687509,100507095,114908599,,21524807,,1541311.0,0.0,,25461284,,5541193,,37188540.0,-125010.0,2632199.0,49532.0,26073132,51450165,,,178662,675383,,197229963.0,4680957,18433.0,3729710.0,932814.0,,364599237.0,15685,689176,10336150,1991446,26725,370732,3731,32924008,,7258130,58612856,96722868,249690638,4726107,4181662,3096731,4040331,0,943600
2013-11-05,3,2013,14469720,121409096,7895.0,1099240,50309049,,1306898,4826084,16042014,48525.0,12779658,3358428,1652374.0,3905143,21206654,1970271,6875842,2132956,4064770.0,4064770,4694082,5575736,4321600,642822,17725858,196071,11985620,,664700,607080,24194044,24194044.0,48804,25063,,,46418264,17086786.0,156216.0,985691,6830704,,,3262356,29824667.0,647405.0,1425980,,,3014078.0,35798995,99948.0,,0.0,46562882,51450165,2013年09月30日,12168066,,,170742732,110319388,749000,12687509,98428418,112595514,,21883145,,1362648.0,0.0,,25453474,5832755.0,5832755,,36138037.0,,2515636.0,122603.0,32908981,51450165,436455.0,,188365,675881,,193258051.0,4680094,,,,,364000783.0,22391,1202028,10391558,2099969,0,393960,10565,32628370,,7170178,60423344,94829633,251405269,4366152,4176793,2951142,4766663,0,1815521
2014-03-24,4,2013,8845696,129620260,42587.0,926908,52091485,,989348,5257220,15729147,75977.0,12595337,1641758,1258834.0,4634101,15030694,2317709,5933087,1934219,4184122.0,4184122,3946576,4071707,4053762,626973,13238661,239647,11928782,,645013,576314,24184972,24184972.0,52292,25063,,,65638787,,,412498,5117694,17452151.0,261571.0,3133810,,,1473786,26884947.0,856754.0,2781776.0,35307315,99962.0,,0.0,47683367,51450165,2013年12月31日,13955940,,,175680659,112831730,749000,12687509,85777937,97662114,,53847039,,2606689.0,0.0,,25448036,37734135.0,37734135,,26645574.0,,3115500.0,48216.0,28053848,51450165,334939.0,,193328,705863,,210674797.0,4681042,,,,,386355456.0,590,1191688,10454464,2812572,0,421280,4442,43622704,,7406266,62848929,124896860,288693342,3799470,944727,2667808,3867289,0,1199481
2014-05-13,1,2014,9412479,130927414,23128.0,934376,134411678,,1024931,4619259,15439425,96211.0,13110661,2150235,1116206.0,3952470,15272375,1988770,6734730,2813227,4088395.0,4088395,3873730,3689662,3920393,570418,13027409,218631,11928674,,668622,663056,22021964,22021964.0,47773,25063,,0.0,65699639,14900820.0,312770.0,877888,5697160,,,2328764,27727186.0,585676.0,1859954,,,2681353.0,113396345,99975.0,,0.0,59549989,51450165,2014年03月31日,15812227,,,260893912,194470292,749000,12687509,85906639,102158434,,54787763,,2250512.0,272268.0,,105911942,38770694.0,38770694,30283320.0,,,3830532.0,50771.0,28901446,51450165,375609.0,,198244,705850,,221585823.0,4681042,,,,,482479735.0,2664,1695679,13391839,2806478,1495,450921,0,51510542,,7053170,66423620,135679184,380321301,4534167,1402890,2780277,3871126,0,1090849
2014-08-08,2,2014,11438008,128611541,11409.0,932541,132166395,,930314,4685309,29405611,95677.0,27157037,5358342,1206789.0,2101027,18739300,3474845,6883462,2435689,3923640.0,3923640,4399819,3511558,3826164,547846,18018197,304411,11927767,,634864,623203,22448478,22448478.0,47954,25063,1029003.0,0.0,64001564,17581648.0,542251.0,784406,3731757,,,2248574,28507639.0,601297.0,2436516,,,2643454.0,116595948,99988.0,,0.0,57643685,51450165,2014年06月30日,12846236,,,251309536,190396220,749000,13408217,101665942,113731074,,54051192,,2493351.0,269503.0,,105911942,38199785.0,38199785,37077532.0,,,3437306.0,34018.0,26736070,52479168,379294.0,,226163,734222,,245916260.0,3674693,,,,,497225796.0,6459,1326094,14630318,2686806,0,482790,7740,60575260,,6874197,60913316,144250318,383494722,4308105,6704828,2826625,3826447,0,999822
2014-11-11,3,2014,15452883,133757479,0.0,925569,135059867,,868651,4555472,16368633,128602.0,14284266,1670393,1227452.0,4074868,21749379,2284462,6367106,2682890,3794468.0,3794468,3635378,3474816,3771602,528361,16493401,228023,11928955,,673027,664924,23101545,23101545.0,48838,25063,,0.0,59493708,,,204555,5966555,17505441.0,247440.0,2084367,,,2024031,29495653.0,,2570214.0,118228801,0.0,0.0,0.0,59272363,52479168,2014年09月30日,15739708,,,258006025,195255270,764000,13408217,95006071,102320444,,53543303,,2886343.0,193077.0,,105911942,37819880.0,37819880,28628729.0,,,3003537.0,87528.0,29151715,52479168,380381.0,,247761,735445,,234259904.0,3666430,,,,,492265929.0,44582,744266,14755387,2976020,7490,493508,0,60004183,,6999062,62750755,139253833,389945485,5218747,5126576,2992654,4012034,0,1019380
2015-03-19,4,2014,14127895,139055972,0.0,1071152,136538308,,929101,4718618,17382993,73289.0,14180989,2237665,1265765.0,6841068,20253723,2293289,5922229,2227072,3772439.0,3772439,3661203,3044303,4088152,557949,16243375,410481,11930443,,715764,708974,22005555,22005555.0,33954,25063,,0.0,60712019,,,110594,4662532,13502368.0,513625.0,3202004,,,2286911,26761541.0,958481.0,2814439.0,119663209,0.0,,0.0,61839479,52479168,2014年12月31日,17218149,,,263318754,199500429,764000,13408217,88076648,98075086,,53017159,,4114651.0,182583.0,,105911942,37314277.0,37314277,25985419.0,,,3368813.0,68920.0,27638660,52479168,314097.0,,240197,763223,,233285536.0,3666948,,,,,496604290.0,807,1124116,15110447,2737657,14950,535837,0,63999210,,7164761,63818325,145208888,398529204,4414732,4914856,2617900,3832539,0,1214639
2015-05-13,1,2015,17447836,140828088,1184.0,1067490,139335915,,876100,4872780,16987302,,13724342,2027759,,7589657,23306294,1883188,6122353,2343729,3643248.0,3643248,3742857,3028045,3756065,552236,17420576,267066,11882789,,643238,779563,24140537,24140537.0,35767,25063,,,60265948,,,133249,6506779,15336296.0,328795.0,3262960,,,970826,25872454.0,,,121658256,0.0,,,63627283,52479168,2015年03月31日,21530945,2881915.0,78557.0,268839560,203046625,764000,13408217,92503586,105349507,2560591.0,52436004,3842017.0,,,245498.0,104396753,36909967.0,36909967,,36595762.0,,,,26393586,52479168,363817.0,510154056.0,257140,769105,241314496.0,,3666948,,,,510154056.0,,8413,301868,16450076,2648574,0,479978,5625,67089738,1620000.0,7044636,65792935,148810910,404804549,4514465,4681266,2666320,3975270,0,1308950
2015-08-11,2,2015,20695035,141712900,0.0,1067347,136707588,,600696,4737948,31224599,,28535568,5783908,,6147865,27377167,2789259,5964424,2374096,3560892.0,3560892,3540907,2516724,3678430,529526,16953888,281161,11882789,,634040,829370,25465829,25465829.0,49421,25063,1049583.0,,60919170,,,83146,6541190,15833824.0,335381.0,2689031,,,1282285,27306791.0,,,122997977,0.0,,,60127019,52479168,2015年06月30日,13450693,1888735.0,53992.0,259168870,198977422,764000,14511559,112727977,122313109,2514864.0,51719203,3702122.0,,,164040.0,108745336,36275522.0,36275522,,46215049.0,,,,28796587,53528751,377941.0,524363010.0,249885,779725,265194140.0,,2618281,,,,524363010.0,,19322,1584019,16536181,2569579,200,416069,1230,70136588,1620000.0,6915571,60191448,152466163,402049901,4352764,4791062,2618127,3892873,0,1274746
