date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,36630192,400665,42317220,-271096,651617,3662888,15212423,452901,730492,-2633260,,3253338,429183,3695876,1917057,-2380123,15751272,11010203.0,,25631674,188906,,33221348,1110093,1399099,1214351,6011773,24260162,2013年03月31日,27997446,,,105716662,89042956,0,12163682,62231636,124172136,10789863,2156092,,55296148.0,18553,2071768.0,,9399117,24260162,-594.0,6461677.0,,,82459762.0,25098834,164298,,,24934536,,188176424.0,5644,765801,336637,6529561,3040862,7089.0,18295.0,,10002689,16673706,20228126,64004288,3335684,0
2013-07-29,2,2013,37213864,401195,33802641,-636703,633911,5158722,30824149,721206,112264,-2280967,0.0,3346202,479354,3738670,1996643,-1665301,16520408,0.0,,29137202,306540,,34807014,1344585,1790919,1196369,6278721,24273645,2013年06月30日,15953500,,,94547637,81013481,0,13774636,69478870,113992219,11132559,4074505,,53943741.0,21037,1041152.0,,4816555,24273645,0.0,0.0,,,86240883.0,25218162,200996,,,25017166,,180788520.0,7070,44408,247422,7049292,3170806,0.0,17657.0,0.0,5974051,13534156,16762013,66796301,3576752,0
2013-10-28,3,2013,36900998,399893,38330276,111682,717123,5649149,16226077,559626,65019,-2499478,0,3167979,412221,3750082,1941284,-2633598,16871646,0,,30594665,274450,,38513108,1078369,1535301,1978322,6523018,24303894,2013年09月30日,20481135,,,99264768,85522194,0,13774636,56267836,119367757,10826382,4074505,,54971544,22438,1125424,563382,4867605,24303894,0,0,,,87675218,25387502,193279,,,25194223,,186939986,6084,308885,106717,7344718,3246466,5552,25166,0,20312582,13742574,31407382,67572229,3746367,0
2014-03-11,4,2013,37194762,400605,43061469,2104380,686511,7677790,17533426,407045,157570,419768,0.0,3046701,349678,3815895,2639953,-1703490,18041829,0.0,,32628527,187088,808.0,41121837,1083328,1535567,1960453,6696275,24375433,2013年12月31日,25212328,,,107885630,93647592,0,13774636,59367812,126503101,10857876,4074505,,59023870.0,18878,1390013.0,5957.0,4561722,24375433,0.0,0.0,,,89443184.0,25790922,153626,-17453.0,43264.0,25611485,,197328814.0,16883,82749,109810,7431813,3288189,2644.0,13340.0,0.0,18827664,14238038,30075372,70825713,3993820,0
2014-04-29,1,2014,36232740,402617,47630287,1566243,662168,7010428,17346885,462851,761774,672945,0.0,3485598,394114,3859893,2766854,-888441,18218592,0.0,0.0,28640859,226282,618.0,37400626,1077159,1507641,2224231,6310831,24375433,2014年03月31日,29781146,,,113089215,98469378,0,13774636,62531229,123734508,10796091,4074505,58817841.0,,-4857,1460621.0,6065.0,11332534,24375433,0.0,0.0,,,79917570.0,25790713,179228,,,25611485,,193006785.0,19666,84183,112939,8047184,3415546,18166.0,0.0,0.0,5479264,14619837,17386341,69272277,4341494,0
2014-07-29,2,2014,35623106,400786,38756564,1606511,732997,6857648,33577779,514180,27672,-670401,,3473098,462008,3861774,2751645,-2275449,18716271,34548.0,0.0,30550291,269415,0.0,39637351,1177518,1787780,2189034,6560473,24375433,2014年06月30日,22676752,,,102335675,88283811,0,15552256,75158662,127453090,10500889,527556,60504492.0,,-1463,1492694.0,0.0,5778802,24375433,,,,,93856519.0,25822215,210730,,,25611485,,196192194.0,3652,104811,163735,8266923,3691788,12931.0,0.0,,6569160,14051864,18697857,68739104,3753462,0
2014-10-28,3,2014,36208791,402160,44593217,1047224,610363,6362249,18339797,550389,25000,454543,,4106567,694062,3860054,2603163,-596706,20510542,,0.0,33642308,213826,0.0,43107221,1482911,1975728,2162479,6897055,24375433,2014年09月30日,28513405,,,108057506,95262261,0,15552256,65206928,136139536,11626451,527556,62816642.0,,4025,1729817.0,397551.0,7151499,24375433,,,,,98428818.0,25839068,227583,,,25611485,,206486324.0,19199,89211,184977,8734359,3899463,3915.0,0.0,,20627477,12795245,33221890,70346788,3879916,0
2015-03-10,4,2014,36814759,748761,49622630,642078,688324,6967099,19221347,465368,43507,3064085,0.0,4102644,296443,3907668,2659428,2415377,21571975,,0.0,33504170,244813,0.0,42956211,1260102,1971006,2223848,7100336,24375433,2014年12月31日,33542818,,,115639077,102884912,0,15552256,64624362,147832156,11706015,527556,73459818.0,,6630,1698484.0,400804.0,5801298,24375433,0.0,,,,104813345.0,25822764,211279,0.0,0.0,25611485,,220452422.0,51606,39626,115924,9813212,4284096,0.0,0.0,0.0,26468103,12754165,40188983,72620266,4678972,0
2015-04-28,1,2015,36567039,745156,53524819,545521,687397,6828160,19095264,404043,803279,1848093,,3812190,890214,3734379,2403888,1296384,21140731,,0.0,28152174,204375,0.0,37373270,1413573,1900336,2186805,6507535,24375433,2015年03月31日,37445007,1676894.0,425169.0,115709708,105571672,0,15552256,65493980,143677957,11614517,527556,,73315741.0,6188,,,11928468,24375433,,,215320946.0,99611238.0,,25823327,211842,,,25611485,215320946.0,,21570,112917,231357,9795925,4558532,603045.0,0.0,,20586954,10138036,34117258,71642989,5211287,0
2015-07-28,2,2015,37666822,746522,40978981,20662,555157,6175190,37645682,455744,21257,-5328,,4606099,472492,4617356,2705423,-32178,22373268,0.0,0.0,31611166,334283,0.0,42742337,1644704,2147669,2149356,6775198,24375433,2015年06月30日,23356835,1288842.0,904616.0,101126081,91172413,0,17622146,87672341,137417372,25081213,0,,60258877.0,6188,,,12172321,24375433,0.0,,224298067.0,123171986.0,,25823327,211842,0.0,0.0,25611485,224298067.0,,13948,54071,229140,10063916,5351831,0.0,0.0,0.0,20818373,9953668,35499645,86880695,5787180,0
