date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,5748752,10000,10088060,1653358,385734,-29890,341616,180289,,205602,-29890.0,9483037,0.0,,11227013,167,9977146,1483,198524,2525,8448562,2013年03月31日,7118134,,,22105263,22097944,0,2440124,15759594,31414267,,529802,,10060210.0,107904.0,35645.0,1565408,8448562,,162811,,15961075.0,3591212,44460.0,,130592.0,3416160.0,,38066338.0,701317,83523,0,486668,21192,7319.0,201481,6652071,1387489,0
2013-08-08,2,2013,5686994,10000,10254790,2762695,331669,98692,417833,217783,,203997,98692.0,10981674,0.0,,10899823,145,9827682,6532,189612,1936,8448562,2013年06月30日,7338697,,,21726436,21717371,0,2526611,15356403,30831123,,389482,,8180896.0,128613.0,50772.0,966429,8448562,,180865,,15595710.0,2915327,44460.0,,130592.0,2740275.0,,37322146.0,0,104621,1035,398484,20489,9065.0,239307,6491023,1347277,0
2013-11-07,3,2013,5521015,10000,10855885,1910129,280977,50987,497957,217142,,192946,,11399982,0.0,,12456222,10,10234359,0,213663,1296,8448562,2013年09月30日,7939792,,,22275576,22275576,0,2526611,17348016,33635366,,389482,,10124797.0,207483.0,53805.0,2075783,8448562,,196701,,17584554.0,2920142,,,,,,39860130.0,3731,123201,0,285844,19396,0.0,236538,6224764,1418245,0
2014-03-24,4,2013,5583526,10000,11378736,2343323,260736,190146,598087,217729,,188558,,11453060,0.0,,13803209,3505,12086606,1,211706,433,8448562,2013年12月31日,8462643,,,22937586,22937586,0,2526611,18462120,35459063,,389482,,10328590.0,287760.0,3836.0,1200595,8448562,,221810,,18703068.0,2920142,,,,,,41640654.0,3831,0,4471,187368,18748,0.0,240948,6181591,1326234,0
2014-05-05,1,2014,5684288,10000,12348908,2468814,281908,226401,414569,271626,,174374,226401.0,13023160,0.0,0.0,15601377,0,11833584,0,208009,278,8448562,2014年03月31日,9432815,,,23944013,23944013,0,2526611,21941724,39875747,,389482,13381147.0,,476080.0,18377.0,2755882,8448562,,225002,,22231933.0,2920142,0.0,,0.0,2920142.0,,46175946.0,0,27665,253,223250,18330,0.0,290209,6300199,1309906,0
2014-08-11,2,2014,5412395,10000,11453284,4153590,245819,69101,476632,289655,,176051,69101.0,14025237,0.0,0.0,13793943,542,11933670,4911,342054,1524,8448562,2014年06月30日,8339905,,,22891089,22891089,0,2723897,21534825,38574455,,389482,10909101.0,,328770.0,20946.0,2568791,8448562,,212503,,21846625.0,2920142,44460.0,4815.0,130592.0,2740275.0,,44737714.0,54,1270,5016,221235,17129,0.0,311800,6163259,1433501,0
2014-11-07,3,2014,5376345,10000,12158543,2567332,345268,219722,379080,303550,,169682,,14389227,0.0,0.0,14345371,996,12941625,86,417090,2128,8448562,2014年09月30日,9045164,,,23746969,23746969,0,2723897,18454265,36335223,,389482,7304653.0,,272754.0,19785.0,672063,8448562,,216669,,18776275.0,2920142,,,,,,42523244.0,0,10890,1851,212776,16609,0.0,322010,6188021,1323689,0
2015-03-20,4,2014,5848330,0,12692518,2888150,282901,471314,639600,320079,,170059,,15553209,0.0,0.0,15272310,8,12562726,8372,405364,479,8448562,2014年12月31日,9579139,,,24532536,24532536,0,2723897,21550053,39749941,,389482,10002083.0,,386113.0,21207.0,2139056,8448562,,224816,,21892179.0,2920142,,,,,,46424715.0,0,36586,5634,250542,16413,0.0,342126,6674774,1282857,0
2015-04-30,1,2015,5707953,0,13641088,2492092,330570,327781,421237,364960,,158374,327781.0,14196315,0.0,0.0,11233361,0,11231110,3595,397056,0,8448562,2015年03月31日,10527709,526818.0,19427.0,25337573,25337573,0,2723897,17690161,36918545,,389482,,9778481.0,,,2781963,8448562,43416832.0,229928,18079259.0,,2920142,0.0,,0.0,2920142.0,43416832.0,,4762,79240,8777,234904,15361,0.0,389098,6498287,1279807,0
2015-08-06,2,2015,5589114,0,11661300,4971662,258957,233299,295056,389184,,153758,233299.0,11991614,0.0,0.0,10056398,967,11281177,1832,373835,0,8448562,2015年06月30日,8246535,257482.0,23976.0,23263303,23263303,0,3025283,16589622,33937000,,389482,,9126946.0,,,777942,8448562,40258990.0,218745,16995687.0,,2920142,44460.0,4815.0,130592.0,2740275.0,40258990.0,,11370,34813,2609,205283,14272,0.0,406065,6321990,1217685,0
