date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應收租賃款,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收收入／遞延收入,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,4121786,15432077,3600896,,396479,396479.0,365921,-7055,,11878208,7750264,350327,143023,316853,26391,1579525,,985561,,,27612306,60217.0,23105355.0,26641691,,,14198971.0,3536336,92130.0,10021.0,6172,170669,2358000,2013年03月31日,2581911,,7454515,6709456,0,956951,53708355,46289262,,10172,,437639.0,12428.0,,62034,,1495061.0,308730.0,12165397,2392614,,290577,,55026584.0,723001,561166.0,161835.0,,62481099.0,10807,180160,376692,243466,73,593.0,798514,290462,290462,50893.0,745059,1318229,16191837,1029353,6158.0,6158.0,34614,3461
2013-08-08,2,2013,4106947,15510381,3259962,,517308,,356871,15426,15426.0,12816711,8706029,391962,124712,295859,27427,1049771,,385806,,563707.0,25187600,,38331235.0,42450436,,253243.0,,4119201,92531.0,10010.0,6141,166536,2392614,2013年06月30日,2131795,,7078596,6413604,0,1073391,55032889,47194905,,10383,,590305.0,11818.0,,54776,,979449.0,211632.0,15028968,2396043,,310758,,56513973.0,742173,,,,63592569.0,10399,90253,557823,396546,0,496.0,798549,268432,268432,32181.0,664992,1481084,16397664,1022109,3735.0,3735.0,3429,343
2013-11-11,3,2013,4046041,15461860,3611369,,525924,,390911,5025,5025.0,12182633,8133726,410551,108117,315032,29301,1585649,,375050,,900459.0,27902084,,39421486.0,44045134,,340809.0,,4623648,,0.0,6110,169896,2396043,2013年09月30日,2483202,,7517031,6823455,0,1073391,57358425,49988379,,10310,,683448.0,11818.0,,54776,,1233197.0,150698.0,14947413,2406840,,368420,,58834872.0,800221,,,,66351903.0,5744,90299,570215,388498,0,250.0,798115,285731,285731,,693576,1476447,16363524,1208131,,2866.0,10797,1080
2014-03-24,4,2013,3454400,15259533,3871486,,752198,752198.0,274362,26542,,11585275,8129798,515827,140383,329281,28327,1103425,,373586,,307312.0,30169834,,41766876.0,47004536,,224437.0,,5237660,96225.0,0.0,18481,179030,2406840,2013年12月31日,2743319,,8422845,7703849,0,1073391,58777177,52709929,,13446,,613630.0,13462.0,,54776,,1282527.0,213118.0,14975804,2500622,,396182,,60499160.0,1305199,,,,68922005.0,3754,62363,583027,398843,114,41.0,998573,300954,300954,44158.0,718996,1721983,16212076,1628781,1077.0,1077.0,93782,9378
2014-05-09,1,2014,3241664,15319366,4276819,,950873,950873.0,380114,43222,,11523404,8281324,241073,137858,318001,26392,1064479,0.0,390979,,1351624.0,33420635,,45174906.0,50810895,,377845.0,,5635989,99991.0,0.0,18366,224728,2500622,2014年03月31日,3148652,,9159924,8344781,0,1073391,63598868,58196975,,14260,,573074.0,9791.0,,54776,2207904.0,,300490.0,15247946,2534619,,410598,,65333922.0,1490121,,,,74493846.0,2255,58194,599310,392359,64,0.0,997886,291609,291609,37867.0,815143,1735054,16296871,2483397,416.0,416.0,33997,3400
2014-08-04,2,2014,4704280,15529849,3469427,,2598921,2598921.0,382399,471,,12650300,7945875,272294,126225,336634,26796,1564179,0.0,450697,,1283714.0,35906904,,48410844.0,54880310,,430644.0,,6469466,95996.0,0.0,18250,218586,2534619,2014年06月30日,2224061,,8374840,7634279,0,1209778,69538284,62412166,,68111,,612803.0,7845.0,,35588,1453258.0,,180641.0,16038670,2556377,,427368,,70584050.0,1608004,,,,78958890.0,999,13794,619833,367449,70,0.0,299708,309838,309838,30229.0,740561,1045766,16546724,2802485,145.0,145.0,21758,2176
2014-11-10,3,2014,4886217,15628649,3849338,,839942,,487589,40964,,12892746,8006472,147863,118907,368484,48941,2271799,0.0,495153,,915481.0,40157382,,51877450.0,58777700,,286559.0,,6900250,,,18135,223605,2556377,2014年09月30日,2603972,,9151480,8374992,0,1209778,73894034,67111815,,81158,,515028.0,7845.0,,35588,1596291.0,,135714.0,18047142,2608253,,410393,,74652537.0,1876437,,,,83804017.0,22,28431,639596,364326,59,0.0,0,319543,319543,,776488,758503,16692202,3000555,57.0,57.0,51876,5188
2015-03-23,4,2014,4907660,15632136,4129343,,955935,955935.0,398434,146668,,13234476,8326816,100165,138371,1952288,74705,486669,0.0,384539,,283049.0,39282531,,53143318.0,60000778,,372119.0,,6857460,107808.0,,18019,225050,2608252,2014年12月31日,2883977,,9652394,8841929,0,1209778,74280720,66785130,,124329,,483182.0,7874.0,,35588,1699802.0,,215620.0,19495984,2621581,,427386,,75477958.0,1944337,,,,85130352.0,0,42296,659650,385526,1200,0.0,399217,1877583,1877583,30563.0,810465,1197238,18345222,3201685,0.0,0.0,13329,1333
2015-05-11,1,2015,4593846,15670974,4574984,,657848,,380649,86358,,13137390,8543544,79252,149683,1219036,88812,1578471,0,350698,,837134,40435065,,54757230,62592436,,542481,,7835206,,,17904,231217,2621581,2015年03月31日,3329618,311315,10183053,9344576,0,1209778,77210456,71465136,107926,128344,448761,,,5404,35588,,2507774,,21055122,2640737,89125555,424325,78942502,,2042497,,,89125555,,33,57335,683218,387540,1526,,899145,1130224,1130224,41757,838477,1732046,17660419,3277977,,0,19156,1916
2015-08-10,2,2015,4427716,15817375,3708784,,2272741,,405086,51239,,13012254,8584538,86887,133026,1038337,92065,2378273,0.0,375408,,1233230.0,44612324,,57677929.0,66513191,,725289.0,,8835262,,,17788,227551,2640737,2015年06月30日,2311976,219539.0,9364205,8611986,0,1361220,83296009,76782176,,125890,686069.0,,,3813.0,35588,,2795791.0,,21161646,2668232,94403104.0,407270,85038899.0,,2183731,,,94403104.0,,224,87233,711481,390174,1373,,898383,946272,946272,,752219,1742890,17620928,3104357,,0.0,27495,2750
