date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,937283,1076454,82926,25086,-34,52384,64275,22659,218775,-34,285198,,,69291,95389,229730,18366,613866,2013年03月31日,893531,,1923905,1923905,0,177573,392756,1247537,490,5350.0,,624806.0,51540.0,38000.0,613866,,3226,,500610.0,233619,9,8236,225374,,2424515.0,0.0,76.0,28202,20430,56993.0,,107854,1176978,0
2013-08-09,2,2013,945786,868084,405711,26561,20,30639,44478,22668,216570,20,263291,,,62477,96423,253770,18540,613866,2013年06月30日,638645,,1715589,1715589,0,223383,672380,1309368,453,6056.0,,701614.0,35904.0,38000.0,613866,,3226,,778743.0,233619,9,8236,225374,,2494332.0,0.0,1114.0,28202,22155,55493.0,,106363,1184964,0
2013-11-11,3,2013,946785,978445,95264,4870,-15,41021,15777,22676,208908,-15,204806,,,47149,94731,220709,22971,613866,2013年09月30日,749006,,1825915,1825915,0,223383,503225,1256838,505,6056.0,,787705.0,21834.0,200000.0,613866,,3226,,608096.0,233619,9,8236,225374,,2434011.0,0.0,,28202,20975,53993.0,,104871,1177173,0
2014-03-24,4,2013,999452,1097829,94018,8626,50,35080,54333,15255,161728,50,183435,,,71460,111910,262559,10751,613866,2013年12月31日,868390,,1945364,1945364,0,223383,449145,1312746,594,6056.0,,793042.0,33346.0,100000.0,613866,,3227,,546361.0,233619,9,8236,225374,,2491725.0,104.0,,29468,17205,52493.0,,97216,1178979,0
2014-05-12,1,2014,1035467,1205679,76761,7751,40,35027,15828,15263,121727,40,232490,,0.0,69970,116323,241575,19781,613866,2014年03月31日,976240,,2053204,2053204,0,223383,359378,1300136,1030,6056.0,722697.0,,58070.0,0.0,613866,,3227,,424983.0,233619,9,8236,225374,,2478187.0,0.0,60014.0,29349,19827,20993.0,,65605,1178051,0
2014-08-04,2,2014,1039570,952442,391042,9823,-11,44357,24750,15270,122882,-11,244725,61387,0,61377,134757,297711,17264,613866,2014年06月30日,685388,,1861303,1861303,0,267054,686289,1408472,1069,0,729113,,51529,0,675253,,3227,,730908,233619,9,8236,225374,,2592211,0,85086,29349,20218,0,,44619,1183739,0
2014-11-10,3,2014,1052827,1086801,94652,12087,0,45143,32832,15278,134314,0,256500,,0.0,98865,135291,263584,29495,675253,2014年09月30日,819747,,1995673,1995673,0,267054,432908,1264565,865,0.0,625088.0,,55730.0,0.0,675253,,3227,,477534.0,233619,9,8236,225374,,2473207.0,0.0,44979.0,29348,20636,0.0,,44626,1208642,0
2015-03-24,4,2014,1061692,1224464,105987,11630,0,30007,28367,15563,133871,0,249124,,0,119056,141806,267241,19174,675253,2014年12月31日,957410,,2133336,2133336,0,267054,483513,1445742,844,0,794324,,83430,0,675253,,3227,,530475,233619,9,8236,225374,,2663811,0,75882,31399,21662,0,,46962,1218069,0
2015-05-11,1,2015,1041259,1317462,84756,7679,0,60335,22788,15571,161858,0,251879,,0.0,74319,140759,235422,21223,675253,2015年03月31日,1050408,106495.0,2226334,2226334,0,267054,469891,1512826,683,0.0,,934012.0,,0.0,675253,2739750.0,3227,513416.0,,233619,9,8236,225374,2739750.0,,0.0,39823.0,27954,23124,0.0,,43525,1226924,0
2015-08-12,2,2015,1023013,1065790,410034,17754,0,42074,29137,15579,162934,0,219934,0.0,0.0,46729,98913,186316,16029,675253,2015年06月30日,749185,49772.0,1974662,1974662,0,316605,650749,1463687,522,0.0,,969368.0,,0.0,675253,2668433.0,3227,693771.0,,233619,9,8236,225374,2668433.0,,0.0,25149.0,27443,18277,0.0,,43022,1204746,0
