date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,94369,662247,50337,315991,234723,295098,-13213,100912,6543,4271,24898,485255,206762,-13213,9961,14996,301925,,,,,83298,0.0,2643,,,192864,983,14937.0,0.0,,856930,2013年03月31日,138635,,,1554387,1373681,0,167339,623491,1428127,,13832,10017.0,,554229.0,8325.0,,193590,856930,,,,,1146628.0,213973,213973,213973,,,2701015.0,12479,18531,61217,,479708,,250888,180706,523137,1272888,66278,12609,0
2013-08-13,2,2013,87000,661555,50633,222426,335155,341092,-391,95906,8906,6541,20124,439108,159751,-391,10077,15192,318809,,0.0,54844.0,,90052,0.0,2915,,,290962,1024,10047.0,0.0,,856930,2013年06月30日,-55780,,,1527259,1347782,0,185071,692967,1443302,,12812,93135.0,,405513.0,5095.0,,163844,911774,0.0,,,,1138978.0,213973,213973,213973,,,2666237.0,9610,23387,58827,,402500,,251050,179477,446011,1222935,69751,13115,0
2013-11-11,3,2013,79392,643247,162214,241553,277454,312875,-17073,95309,15917,4929,34984,506694,231251,-17073,29274,14242,285911,,0.0,0.0,,76677,0.0,3288,,,263872,127,5710.0,0.0,,911774,2013年09月30日,-36653,,,1521398,1350227,0,185071,714460,1382672,,13220,93135.0,,453308.0,3533.0,81.0,258199,911774,0.0,,,,1243488.0,213973,213973,213973,,,2764886.0,9664,21299,56839,,472745,,245770,171171,529028,1382214,51905,15431,0
2014-03-28,4,2013,72000,643074,50303,272417,297396,374366,-2537,113707,41707,5644,16099,499909,221141,-2537,9562,14068,328857,,,,,88650,0.0,11117,,,238368,1627,6537.0,0.0,113200.0,911774,2013年12月31日,-5789,,,1632781,1395627,0,185071,889388,1651868,,11439,93135.0,,630908.0,8137.0,102.0,370381,911774,,,,,1402790.0,213973,213973,213973,,,3035571.0,9054,41320,65778,,455983,,246406,237154,513402,1383703,62942,18294,0
2014-05-12,1,2014,72000,647632,51426,300436,415434,679608,13322,105121,33121,6266,15911,547928,223268,13322,9543,15004,331061,,,,0.0,102014,,3452,,,208627,756,6368.0,,111093.0,911774,2014年03月31日,22230,,,1682782,1439505,0,185071,1180353,1933901,,14568,93135.0,643203.0,,5319.0,102.0,549013,911774,,,,,1681042.0,213973,213973,213973,,,3363824.0,903,43623,57276,,441155,,252825,243277,500689,1429923,63375,56831,0
2014-08-11,2,2014,72000,648478,50405,263078,442448,396072,-13859,102868,30868,6851,15676,523313,218815,-13859,9373,15698,350310,,,0.0,0.0,88337,,10463,,,294290,771,6303.0,,108293.0,911774,2014年06月30日,75471,,,1613888,1374966,0,185071,1295764,1991679,,14660,2536.0,832269.0,,8237.0,117.0,641491,911774,,,1920.0,,1782856.0,213973,213973,213973,,,3396744.0,1320,50803,59916,,420613,,242100,238922,487092,1405065,109679,46700,0
2014-11-14,3,2014,72000,686471,51341,375854,370946,563905,19161,88642,16642,11414,15904,493632,225830,19161,9630,15402,356347,,,,0.0,142111,,1065,,,287270,1048,6274.0,,109622.0,911774,2014年09月30日,188247,,,1692665,1520762,0,185071,1273369,2050025,,15089,2536.0,727126.0,,14021.0,119.0,651959,911774,,,4625.0,,1772719.0,213973,213973,213973,,,3465384.0,1230,78156,59204,,405290,,212278,171903,499350,1415359,101566,40122,0
2015-03-23,4,2014,72000,758316,53417,381940,362900,615249,87878,82625,10625,10453,15631,525799,229918,87878,6941,14602,379376,,,,0.0,108700,,0,,,266745,865,8690.0,,115803.0,911774,2014年12月31日,194333,,,1776135,1595565,0,185071,1317334,2113048,,14785,2536.0,735496.0,,11936.0,0.0,744608,911774,,,6565.0,,1848253.0,213973,213973,213973,,,3624388.0,702,84303,43220,,430985,,219267,180570,530919,1511340,104162,62012,0
2015-05-13,1,2015,72000,739870,52827,388168,287503,777590,57771,76933,4933,8638,14920,554705,229058,57771,6265,16392,348453,,,,0.0,125786,49978.0,990,,,233354,851,,,111674.0,911774,2015年03月31日,200561,10017.0,0.0,1741088,1571686,0,185071,1495026,2225001,8655.0,13790,2536.0,,745396.0,,,935499,911774,,3744415.0,8320.0,2003327.0,,213973,213973,213973,,3744415.0,,715,82231,46548,,411150,,214184,169402,508301,1519414,110004,95071,0
2015-08-12,2,2015,72000,768290,52084,317031,414277,754163,28609,80416,8416,16548,14836,586066,254839,28609,6216,16151,327896,,,,,118990,49980.0,530,,,259023,579,,,104260.0,911774,2015年06月30日,113506,11665.0,0.0,1633365,1471387,0,203525,1566552,2127760,8620.0,13179,0.0,,656437.0,,,882020,911774,,3693972.0,8674.0,2060607.0,,213973,213973,213973,,3693972.0,,538,69881,42333,,409338,,209255,161978,494055,1566212,112576,105821,0
