date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,9893695,29935933,0.0,2454876,6277666,3487457,109481,1926283,135.0,529949,30518.0,-382961,10219322,6268,517102,498071,61875,,19031,,241418,459288,128499,2910,5660517,0.0,,,1963077.0,3604767,,161832,,149788.0,5884,45277.0,222157.0,3423493,11700,1029911,,0.0,397047.0,77436,8532424,2013年03月31日,2574760,,,25474362,23606055,0,2140979,22608498,27198014,61875,663876.0,40048.0,1561927,,8930745.0,308048.0,,6188584,8532424,,,35452053.0,9178926,,60926415.0,43855.0,0.0,2305365,3737671,192417,6901389,222157.0,16351.0,330789,1868307,12843555,33728401,607381,274082,0
2013-08-09,2,2013,2103857,28932641,0.0,2502172,5512668,4042566,112046,2742398,128.0,521447,1127.0,-246204,2416431,37290,744892,497261,57686,,247631,,230077,489162,153207,2506,5587503,0.0,,,1969917.0,3389721,,269610,,149781.0,6700,46068.0,211745.0,3332961,14537,932110,,0.0,398292.0,77351,8532424,2013年06月30日,1748631,,,24349301,22977814,0,2202110,15637385,27732590,57686,676125.0,40205.0,1561927,,8818524.0,242153.0,,6392928,8532424,,,36155191.0,9178926,,60504492.0,27535.0,0.0,2508746,3805946,162347,14511866,211745.0,15826.0,335955,1371487,20517806,32771902,552052,229216,0
2013-11-12,3,2013,2460357,28547135,0.0,2476313,5687287,2313862,105232,1855599,8.0,585772,1421.0,-447865,2806978,31123,795212,497132,54466,40157.0,298080,40157.0,214578,482627,112894,2248,5594180,0.0,,,1976780.0,3184020,,216028,,149781.0,4697,45930.0,197029.0,3517993,28432,910718,,150829.0,240664.0,77210,8532424,2013年09月30日,1923250,,,24100114,22950772,0,2202110,13929667,26063554,54466,,,1561927,,9557877.0,118749.0,,5584264,8532424,,,34154716.0,9178926,,58254830.0,9543.0,0.0,1991973,3877129,207629,14156562,197029.0,15301.0,329576,1149342,20225049,32191276,615285,269568,0
2014-03-31,4,2013,4682532,27268512,0.0,2537206,4717557,2978784,106093,2115018,112.0,507802,1930.0,-307085,5090628,38636,902132,543340,57481,55288.0,358792,55288.0,204391,570313,180107,2574,6160658,0.0,,,1983668.0,3435639,,394251,,149944.0,4467,46828.0,186686.0,3450044,35659,865236,3074.0,777048.0,242359.0,79459,8532424,2013年12月31日,953520,,,22921039,22123236,0,2202110,17601217,27287175,57481,,,1561927,,8809157.0,102614.0,,6308544,8532424,,,35440829.0,9180340,,58361868.0,0.0,0.0,1962083,3934527,213270,11717026,186686.0,15131.0,334918,797803,17839612,31074693,833568,322632,0
2014-05-14,1,2014,4539032,26899507,,2712312,4487602,2290206,105315,1859688,12.0,598949,1249.0,-19584,4811168,39393,952283,581401,55247,,370882,55395.0,198471,570246,177215,2215,7049180,0.0,,0.0,1990579.0,2906769,,26240,,0.0,476,48424.0,178537.0,2913654,17265,903398,12645.0,793478.0,247542.0,70452,8532424,2014年03月31日,723565,,,22778240,22180782,0,2202110,17352486,26917641,55247,,,1561927,8258582.0,,140964.0,,7606226,8532424,,,34943054.0,9180340,,57721294.0,943.0,,2237789,3914797,143032,11486721,178537.0,17719.0,337636,597458,17590568,30803653,888963,184319,0
2014-11-14,2,2014,12241465,16532063,,2729302,-3585658,1224001,101932,2480090,7.0,359658,1301.0,-317427,12513849,9152,994537,270082,51526,,724455,55270.0,180269,504367,110899,2714,6579956,10047.0,,0.0,1997514.0,3330512,16966.0,16966,0.0,0.0,1218,48009.0,162782.0,3128505,21372,844662,18494.0,149646.0,242406.0,165362,8532424,2014年06月30日,-7349695,,,11049685,13799850,283000,2202110,26239423,26070717,51526,,,1561927,10238212.0,,28758.0,,7867463,8532424,,,35542838.0,9180558,,46592523.0,560.0,,1610018,3912061,194848,3213571,162782.0,14773.0,338198,-2750165,9303415,20521806,900355,215223,0
2014-11-14,3,2014,14175633,15624005,,2806099,-3590140,202619,100566,1853268,167.0,318855,1430.0,-42955,14544109,8639,1737648,293056,47214,,1444592,55419.0,17015,581453,183503,3387,6221143,0.0,,0.0,0.0,2026318,,31250,,0.0,724,202693.0,0.0,2492670,40017,887396,14682.0,0.0,0.0,161846,8529594,2014年09月30日,-7354177,,,10419973,14074009,0,2202110,23177486,21211749,47214,,,1561927,8272952.0,,11494.0,,4710156,8529594,,,30252113.0,9177510,,40672086.0,0.0,,243253,3929041,139154,3128571,0.0,13628.0,342531,-3654036,7074627,19460337,779084,157144,0
2015-03-30,4,2014,14315418,14964893,,2963549,-4067151,278076,104454,2378496,17.0,271645,1037.0,608363,14607552,6526,2335001,273258,40413,,2061743,57417.0,2196,594444,182259,2196,6093351,0.0,755847.0,0.0,0.0,1746953,,27062,,0.0,2224,198243.0,0.0,2071161,16043,876405,17208.0,0.0,0.0,159362,8529594,2014年12月31日,-7831188,,,10331680,14264439,0,2202110,22004772,19797024,40413,,,1561927,5761345.0,,8748.0,61669.0,3233720,8529594,,,28462038.0,9193633,,38793718.0,,,643663,4093284,169579,2361786,0.0,0.0,354768,-3932759,6457266,18996694,614573,87365,0
2015-05-13,1,2015,14155351,14714205,,2918091,-3754701,1180710,103106,2422476,431.0,269817,1253.0,431011,14502660,6302,3780560,237219,51995,,3543341,57301.0,2264,576286,171575,2264,5362653,0.0,0.0,0.0,0.0,2049336,,14518,,,1976,183400.0,0.0,2341468,35112,825542,10056.0,0.0,0.0,155334,8529594,2015年03月31日,-7518738,12907.0,113242.0,10356810,14399537,0,2202110,21982380,20326026,51995,,,1561927,,5424662.0,,,2978076,8529594,38985994.0,28629184.0,,9193633,38985994.0,,0.0,,388087,4101011,140951,2543529,0.0,0.0,347410,-4042727,6646804,18659968,592864,157607,0
2015-08-14,2,2015,13267380,14524411,,2874366,-3160533,1050756,96853,2974879,8.0,185434,1224.0,232903,13695717,3195,3727434,260948,52736,,3466486,57235.0,1093,534744,135468,1093,5108080,0.0,0.0,0.0,0.0,1988884,,22943,,,2026,168206.0,0.0,2516315,11054,522408,14717.0,0.0,0.0,151524,8529594,2015年06月30日,-6924570,56288.0,92107.0,10460344,14885562,0,2202110,21842419,20589819,52736,,,1561927,,6573863.0,,,3101674,8529594,38945811.0,28485467.0,,9283598,38945811.0,,0.0,,103434,4129024,121358,2512931,0.0,0.0,342041,-4425218,6643048,18355992,682993,256936,0
