date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之權益－採用權益法之關聯企業及合資,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,2478451,2478451,14726308,-4204919,-492178,107822,,1503117,169652,-507211,2899956,421505,392,201237,186724,2966199,2697395.0,-15033,2082558,0,,,2531834,399101.0,59689,2547618,74253,14513.0,143871,3218513,2013年03月31日,-4204919,,,9881499,9368044,0,0.0,12844547,9186420,,15016,,134482.0,0.0,,,0.0,,2193889.0,0.0,16737.0,5450850,3218513,,,,,72445,,17587875.0,10861661,,27469374.0,,,57641,323738,0.0,4412005,266664.0,513455,4743328,18282954,2140.0,1966839,0
2013-08-12,2,2013,2525923,2525923,14244185,-1253047,-432592,167408,,1393410,93721,-408552,2910805,384882,14296,153915,139403,2810660,,24040,2279939,0,,,3135222,399187.0,0,2651867,694,14512.0,242037,3441285,2013年06月30日,-1253047,,,9861622,9306885,0,0.0,13440607,9369605,,14430,,94084.0,,,,0.0,,2315739.0,0.0,16893.0,5601983,3441285,,,,,72775,,17321022.0,7527199,,27182644.0,,,75797,334319,0.0,3577928,,554737,3880415,17813039,,1902372,0
2013-11-12,3,2013,2146298,2146298,13821813,-1702120,-439213,160787,0,1547455,136470,-433567,2492442,346144,1252,97450,82929,2506336,,5646,2198169,0,,,3601736,598696,1247,2248362,28701,14521,246830,3441285,2013年09月30日,-1702120,,,9417444,8789285,0,0,13455362,9107370,,13867,,450610,,,,0,,1854757,18086,34084,5175521,3441285,,,,20179,73105,,16769930,7483687,,26187374,0,,79846,330371,0,3064167,,628159,3314568,17080004,,2154965,0
2014-03-27,4,2013,1876237,1876237,13161069,-2392512,-410839,189161,0.0,1264862,53745,-377994,2130155,253918,4173,81275,63130,2306465,,32845,1958286,0,109784.0,,3854202,548442.0,0,2449497,45219,18145.0,130425,3441285,2013年12月31日,-2392512,,,8802563,8148923,0,0.0,12959078,8347977,,14288,,498239.0,,,,0.0,,983742.0,30478.0,27378.0,5110377,3441285,,,,20562.0,73435,,15684835.0,7478144,,24487398.0,,,94240,338013,0.0,2476807,,653640,2725757,16139421,,2217914,0
2014-05-12,1,2014,2134473,2134473,12804265,-2535789,-422189,177811,0.0,907495,61050,-364264,2327861,193388,4759,55604,37397,2127594,,57925,2013248,0,0.0,0.0,3381904,99779.0,3742,2177549,58087,18207.0,130425,3795785,2014年03月31日,-2535789,,,9651743,8978165,0,,11653388,8624434,,13610,,237831.0,,,,,1624878.0,,27609.0,27730.0,4883818,3795785,,,,21180.0,73771,,14553817.0,8082433,,24205560.0,,1698.0,86785,327421,,2684269,,673578,2900429,15581126,,2417604,0
2014-08-12,2,2014,1772663,1772663,12370368,-395795,-425026,174974,0.0,1041016,30742,-409071,1927696,155033,7884,31955,13700,2130399,,15955,2870182,0,0.0,0.0,3673815,0.0,2495,2585276,35054,18255.0,125325,3795785,2014年06月30日,-395795,,,9494198,8691682,0,,11464752,9176266,,13449,,217241.0,,,,,912064.0,,13732.0,35460.0,4779362,3795785,,,,22019.0,74107,,14820952.0,5700763,,24315150.0,4617.0,,83335,324369,,3166803,,802516,3356200,15138884,,2482363,0
2014-11-12,3,2014,2185554,2185554,12072360,-1031710,-441104,158896,0.0,1248601,172099,-370633,2309193,123639,10779,60083,41702,2145978,,70471,2978464,0,0.0,0.0,3830269,0.0,22102,2990393,23934,18381.0,141996,3795785,2014年09月30日,-1031710,,,8922064,8110897,0,,12989342,9816345,,15711,,281330.0,,,,,835415.0,,0.0,38576.0,5556062,3795785,,,,23115.0,74443,,15750968.0,5717455,,24673032.0,,12237.0,89517,321746,,2537583,,811167,2761626,14856687,,2473118,0
2015-03-26,4,2014,2680753,2680753,11635719,-2092879,-469479,130521,0.0,1244784,52951,-308059,2770185,89432,7554,70453,49564,1705294,,161420,2619203,0,0.0,0.0,3941356,0.0,23527,3243368,22928,20889.0,142818,3795785,2014年12月31日,-2092879,,,7947578,7111647,0,,13574905,9692785,,15990,,308878.0,,,,,757189.0,,0.0,18368.0,5571195,3795785,,,,23858.0,74779,,15705677.0,5716800,,23653255.0,,2639.0,108997,330128,,1876543,,835931,2130772,13960470,,2659707,0
2015-05-12,1,2015,2374206,2374206,11220898,-2475498,-460966,139034,0.0,1528030,111066,-329948,2462334,88128,6176,85161,64139,1716063,,131018,2483232,0,,0.0,4085123,0.0,15583,2383871,37458,,139607,3795785,2015年03月31日,-2475498,0.0,19011.0,7503376,6708803,0,,12935916,8866404,21022.0,15610,358464.0,,,,,,,1022687.0,,,4815555,3795785,,,22422444.0,29025.0,75121,14919068.0,,5718464,22422444.0,,266.0,0.0,101153,324828,,1721717,,794573,1983152,13556040,,2444439,0
2015-08-11,2,2015,3112891,3112891,10830165,-908565,-487449,112551,0.0,1547030,169894,-375694,3151232,38341,6319,81774,60619,3126856,,111755,2334025,0,,0.0,4025704,,4343,1836882,101331,,146209,4142615,2015年06月30日,-908565,0.0,13002.0,7499690,6737127,0,,13153032,6584550,21155.0,14716,324172.0,,,,,,,846952.0,,,4400675,4142615,,,21144427.0,24048.0,75463,13644737.0,,3878771,21144427.0,,0.0,884.0,101582,329380,,232886,,762563,491705,14559877,,951089,0
