date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有供交易之金融資產－流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
1925-05-13,1,2014,30830,30830,465671,12586,167245,61544,,,12129,11071,8640,53895,13368,14259,,6583,,72377,801,76771,8559,8640,288548,,,,0.0,197618,52098,4133,300000,37027,35769,51679.0,,129069,753821,2014年03月31日,83146,,967974,951555,0,84099,636440,1026365,,6583,,41708.0,,260637.0,,16027.0,250753,753821,,372,,763180.0,21849,,2350.0,29.0,19470.0,19470.0,,1731154.0,11179,38113,14109,16250,19897,67287,16419,126740,704789,,14038.0,925.0,9697.0,0
2013-05-15,1,2013,43450,43450,499837,12586,197011,67373,,,7153,7772,-275,79106,24566,4712,,7901,,80191,1031,85048,5665,-275,259879,0.0,,,,161421,43584,2612,290744,49622,27310,55119.0,,111329,731865,2013年03月31日,120356,,958796,950450,0,76655,591215,979429,,7901,,41852.0,0.0,,220323.0,12645.0,224417,731865,,57,,751364.0,21849,,2350.0,29.0,19470.0,19470.0,,1710160.0,62589,32874,14030,47084,23701,67527,8346,160149,730731,,7473.0,11856.0,11090.0,0
2013-08-14,2,2013,43540,43540,494295,12586,152938,118860,,118860.0,12488,1982,5119,80145,30151,4578,,7282,,78591,1251,86748,5125,5119,242810,0.0,,21956.0,,144741,57249,1969,321576,64023,27915,54370.0,,116584,731865,2013年06月30日,68839,,942012,933727,0,84099,642296,1010615,,7282,,54940.0,0.0,,255179.0,10766.0,228431,753821,,135,,795042.0,21849,,2350.0,29.0,19470.0,19470.0,,1737054.0,18431,37990,8944,36165,22970,68079,8285,152746,726439,,6693.0,13544.0,6454.0,0
2013-11-13,3,2013,42936,42936,461043,12586,155431,69687,,69687.0,10147,2209,-477,72242,18338,3299,3299.0,6767,,76390,1081,102032,10407,-477,258682,0.0,,,,201418,63718,1535,326806,65437,28968,53606.0,,121708,753821,2013年09月30日,71332,,939235,930624,0,84099,666684,1029589,,6767,,88767.0,0.0,,230362.0,11300.0,246469,753821,,315,,807794.0,21849,,2350.0,29.0,19470.0,19470.0,,1747029.0,1350,38802,13304,25918,21703,65519,8611,141110,717440,9229.0,13562.0,16877.0,10968.0,0
2014-08-13,2,2014,24911,24911,446471,22586,135914,106768,,,13327,6544,3664,56443,14183,35010,,6068,,70151,737,86438,16460,3664,298655,0.0,8260.0,0.0,0.0,215826,62656,3204,317444,58827,29726,50975.0,,132356,753821,2014年06月30日,46726,,932045,915248,0,89188,723843,1068131,,6068,,0.0,,280911.0,,10682.0,267957,753821,,307,,841286.0,21849,,2350.0,29.0,19470.0,19470.0,,1773331.0,1059,36042,11281,11250,18439,65507,16797,117443,705200,,18368.0,4471.0,17349.0,0
2014-11-12,3,2014,18416,18416,446117,22586,171480,75283,,,26118,2683,19371,53683,15034,41896,,5994,,68885,691,79818,9449,19371,350390,,8260.0,,0.0,237430,91023,1417,359972,85568,34218,50319.0,,149503,753821,2014年09月30日,82292,,984036,966521,0,89188,738686,1131087,,5994,,0.0,,201582.0,,5341.0,274247,753821,,262,,856546.0,21849,,2350.0,29.0,19470.0,19470.0,,1840582.0,1061,41475,5477,7500,17875,66928,17515,117860,709495,0.0,19339.0,3441.0,20233.0,0
2015-03-31,4,2013,39227,39227,472789,12586,165347,84352,,,11247,2342,10565,62583,13669,7740,,6022,,74297,1208,77793,9154,10565,229497,0.0,,,,189296,73458,7836,335707,47906,32367,52044.0,,137838,753821,2013年12月31日,81248,,966689,951582,0,84099,639131,1019082,,6022,,42334.0,0.0,,294714.0,11126.0,210133,753821,,347,,773061.0,21849,,2350.0,29.0,19470.0,19470.0,,1739750.0,3354,40883,13640,18750,21045,67939,15107,133930,720668,,11874.0,700.0,9687.0,0
2015-03-31,4,2014,13333,13333,463239,22586,201430,85211,7.0,,10543,3593,32504,47391,19969,4730,,5738,,69653,1503,77514,8850,32504,267034,,,,0.0,168653,85551,4836,365112,87327,37858,50811.0,,151471,753821,2014年12月31日,112242,,1027627,1009604,0,89188,617467,1044687,,5738,,0.0,,254133.0,,3110.0,222365,753821,,343,,742923.0,21849,,2350.0,29.0,19470.0,19470.0,,1770550.0,1062,50386,5315,5417,17339,68664,18023,125456,725863,,13295.0,0.0,14089.0,0
2015-05-13,1,2015,10833,10833,455014,22586,217656,64018,0.0,,10324,12187,26204,41423,16502,7049,,5708,,67612,1424,75915,8405,26204,258107,,,,0.0,197611,55935,3264,357672,59709,36725,,,143499,753821,2015年03月31日,128468,8251.0,1037847,1019530,0,89188,562799,1011314,50135.0,5708,0.0,,,,252363.0,,191913,753821,1719637.0,384,681790.0,,21849,,2350.0,29.0,19470.0,19470.0,1719637.0,,1064,47212,5601,4167,16053,67510,18317,118991,708323,,16114.0,0.0,14088.0,0
2015-08-12,2,2015,8333,8333,441672,22586,172917,98168,10.0,,15599,6631,14574,43597,14516,39403,7780.0,5172,31623.0,59908,1348,73820,7488,14574,290429,,0.0,56946.0,0.0,260848,73503,854,365807,72445,46214,,,143920,753821,2015年06月30日,75458,15568.0,1037378,1019533,0,97459,642352,1098613,43781.0,5172,,,,,244166.0,,148891,810767,1791732.0,913,754354.0,,21275,1776.0,0.0,29.0,19470.0,19470.0,1791732.0,,1065,49177,5949,2917,14779,66310,17845,112002,693119,,16854.0,22.0,20748.0,0
