date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,923729,18018,-47409,-8566,95659,95659.0,226090,89802,136288,26360,2338,57769,11747.0,11747,-8566,1086852,1086852.0,85077,,0.0,,155744,,,667999,94421,24022.0,29838,1941485,2013年03月31日,,,1802913,1802913,4654499,1541140,2376500,,,239397.0,1289737,,1941485,,,1703727.0,2480,,,3506640.0,,,61741,,6227.0,100786,,130000,46022,0.0,162587,1130140,,,0
2013-08-05,2,2013,919979,18018,-82481,-2662,101036,101036.0,119616,24685,94931,26032,2010,69807,23657.0,23657,-2662,916613,916613.0,85077,0.0,0.0,,103332,,107028.0,791850,101933,24022.0,29729,1941485,2013年06月30日,-82481.0,,1773745,1773745,4654499,1526649,2300208,,,282057.0,1203284,-82481.0,1941485,,,1688907.0,2480,2480.0,,3462652.0,11969.0,,36987,,6226.0,124911,130000.0,130000,46150,,162258,1162444,51152.0,51152.0,0
2013-11-11,3,2013,914739,16789,-100955,-11553,101185,101185.0,90769,26471,64298,25741,1719,79272,34281.0,34281,-11553,1009445,1009445.0,85077,0.0,0.0,,198285,,82051.0,715842,145660,24022.0,29295,1941485,2013年09月30日,-100955.0,,1746380,1746380,4654499,1556323,2305329,,,308199.0,1172483,-100955.0,1941485,,,1718290.0,2480,2480.0,,3464670.0,2319.0,,35414,,6226.0,119246,130000.0,130000,44991,,161967,1159341,,,0
2014-03-17,4,2013,956498,6789,-106478,-4597,103202,,103233,43005,60228,28618,1658,58619,,13319,-4597,1033223,1033223.0,85077,,0.0,,159404,49906.0,100957.0,734755,141063,26960.0,29729,1941485,2013年12月31日,-106478.0,,1747813,1747813,4654499,1626855,2369174,,,260428.0,1213381,-106478.0,1941485,,,1799515.0,2480,2480.0,,3547328.0,5.0,,96472,394.0,14042.0,126125,,130000,45300,,172660,1178154,,,0
2014-05-12,1,2014,986947,6789,-209063,8876,149218,,200651,33299,167352,28980,2022,58956,,13393,8876,1117152,,85077,,,0.0,337517,49981.0,98934.0,1032266,59191,26958.0,30762,1941485,2014年03月31日,-209063.0,,1658701,1658701,4654499,2053389,2665013,,184932.0,,1372085,-209063.0,1941485,,,2236892.0,2480,2480.0,,3895593.0,45654.0,7722.0,70821,0.0,16801.0,147126,,130000,45563,,183503,1230580,,,0
2014-08-07,2,2014,972358,6789,-200237,-14683,91468,,220178,65170,155008,29363,2406,54988,,10905,-14683,1450188,,85077,,,0.0,351111,49990.0,60903.0,908871,74014,26957.0,29077,1941485,2014年06月30日,-200237.0,,1643968,1643968,4654499,2296841,2905980,,197080.0,,1738106,-200237.0,1941485,,,2475262.0,2480,2480.0,,4119230.0,5263.0,2257.0,55649,0.0,16801.0,150038,,130000,44083,,178421,1213250,,,0
2014-11-10,3,2014,971592,6789,-221520,-3662,112399,,216269,50635,165634,29735,2778,55305,,10596,-3662,1444293,1444293.0,85077,,,0.0,254454,0.0,79156.0,878902,99086,26957.0,29386,1941485,2014年09月30日,-221520.0,,1633706,1633706,4654499,2306336,2902026,,197906.0,,1846572,-221520.0,1941485,,,2483475.0,2480,2480.0,,4117181.0,13755.0,603.0,65570,0.0,16801.0,152083,,130000,44709,,177139,1215155,,,0
2015-03-23,4,2014,875854,6789,-306089,14252,115333,,262338,38550,223788,55452,18422,47587,,11467,14252,1322622,1322622.0,85077,,98745.0,0.0,203369,0.0,57404.0,740846,174692,37030.0,29681,1941485,2014年12月31日,-306089.0,,1567051,1567051,4654499,2098654,2730438,,121188.0,,1693366,-306089.0,1941485,,,2285472.0,2480,2480.0,,3852523.0,29182.0,1366.0,10007,0.0,,162174,,130000,36120,,186818,1122085,,,0
2015-05-11,1,2015,858691,6789,58271,7865,192973,,496381,31772,464609,49372,13750,62250,,27000,7865,1138728,,85077,,0.0,,274672,0.0,79693.0,827862,74958,,28953,1941485,2015年03月31日,58271.0,,1925024,1925024,4654499,1989112,3052887,35622.0,,353259.0,1406764,58271.0,1941485,4093508.0,2168484.0,,2480,2480.0,4093508.0,,35010.0,0.0,161699,,,83938,,130000,35250,,179372,1040621,,,0
2015-08-07,2,2015,846747,6789,6567,-4412,191534,,777028,30216,746812,49407,13785,44972,,10856,-4412,961625,,85077,,0.0,,145541,0.0,59395.0,738555,99837,,27937,1941485,2015年06月30日,6567.0,,1861043,1861043,4654499,1777609,2805162,35622.0,,182313.0,1346942,6567.0,1941485,3818059.0,1957016.0,,2480,2480.0,3818059.0,,34197.0,0.0,45804,,,86452,,130000,34116,,179407,1012897,,,0
