date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,23500,417358,1029095,12183.0,12289,219350,219350,341701,-6266,172410,148910,54217,9685,32747,1050.0,9522,2760390,0.0,,1947716,140000,63,2251141,88660,31697.0,14078,1790452,2013年03月31日,613002,,,3356578,3332556,0,416093,3379275,6481244,,9685,,15708.0,,,,957113.0,162921.0,660902,1790452,,75913,,,3622870.0,519275,,6979448.0,,131,55486,35272,155362,24022,243595,498204,0
2013-08-12,2,2013,25458,417003,805365,0.0,12278,627845,627845,410743,-6460,139950,114492,57544,8105,32887,1190.0,8819,2906501,0.0,,2206309,140000,61,2422484,104060,31697.0,11304,1790452,2013年06月30日,330365,,,3134885,3108632,0,462085,3971572,6854107,,8105,,15708.0,,12915.0,,933519.0,72109.0,710572,1790452,,74726,,,4210833.0,519275,,7345718.0,,3548,58478,34102,147896,26253,239261,491611,0
2013-11-12,3,2013,23500,412960,948281,0.0,12566,280470,280470,553754,-8090,186209,162709,109053,8143,32887,1190.0,5854,2782396,0.0,,2155938,180000,42,2641082,98311,31697.0,11049,1790452,2013年09月30日,473281,,,3279313,3249918,0,462085,4005523,7013391,,8143,,15708.0,,12915.0,,808750.0,57968.0,1057014,1790452,,87882,,,4215802.0,519275,,7495115.0,,4337,34921,31152,142471,29395,210279,481724,0
2014-03-23,4,2014,23500,421545,1152299,,9544,296233,296233,685808,4487,122941,99441,82749,5050,40680,1050.0,8206,3247562,0.0,0.0,2460181,140000,131,2449736,69836,39630.0,16337,1790452,2014年12月31日,619434,,,3536507,3452025,0,519950,4518976,7758814,,5050,,10177.0,,12915.0,1205467.0,,95517.0,1265089,1790452,,138625,,,4732459.0,504787,,8268966.0,259.0,7479,58407,49470,114396,84482,213483,510152,0
2014-03-24,4,2013,23500,409187,1053598,0.0,10771,271665,271665,631645,-3316,148220,124720,40218,7265,36484,1190.0,14746,2610291,0.0,,2208983,140000,2306,2541676,69437,35294.0,11042,1790452,2013年12月31日,578598,,,3434094,3359936,0,462085,4093681,7270277,,7265,,15708.0,,12915.0,,1354705.0,65675.0,1154434,1790452,,102398,,,4322450.0,519202,,7756544.0,,6597,55378,33256,136907,74158,228769,486267,0
2014-05-07,1,2014,23500,417678,1228746,3472.0,9521,241216,241216,523136,-826,138078,114578,57808,6553,36226,1050.0,9223,2696840,,0.0,2348125,100000,42,2698653,87848,35176.0,11288,1790452,2014年03月31日,753746,,,3609200,3540688,0,462085,3878006,7212389,,6553,,16497.0,,12915.0,1125845.0,,106099.0,838778,1790452,,105264,,,4094480.0,522316,,7703680.0,404.0,2290,48931,37028,131317,68512,216474,491291,0
2014-08-08,2,2014,23500,421108,861915,1002.0,9549,835829,835829,413798,-3100,109274,85774,91255,5455,36631,1050.0,7145,2815745,0.0,0.0,2467122,100000,40,2748982,83843,35581.0,15580,1790452,2014年06月30日,329050,,,3228961,3154054,0,519950,4427071,7355269,,5455,,16383.0,,12915.0,1180129.0,,104947.0,708419,1790452,,101440,,,4623543.0,504787,,7852504.0,,4132,34139,38398,125702,74907,196472,497235,0
2014-11-10,3,2014,23500,423619,1019386,,9530,255385,255385,509167,-535,159395,135895,53392,6028,36660,1050.0,6936,3195556,0.0,0.0,3001471,140000,32,2972466,103198,35610.0,15799,1790452,2014年09月30日,486521,,,3392459,3314090,0,519950,4722537,7822821,,6028,,6041.0,,12915.0,980242.0,,59445.0,983304,1790452,,122762,,,4934196.0,504787,,8326655.0,743.0,2759,54938,41922,120061,78369,211659,503834,0
2015-05-07,1,2015,23500,424299,1292301,0.0,2049,264057,264057,411817,2938,120532,97032,49597,4502,39630,0.0,6717,3668106,,0.0,2025275,140000,42,2342086,59768,,16057,1790452,2015年03月31日,759436,113299.0,,3679025,3590478,0,519950,4082518,7478451,39630.0,4502,4688.0,,,12915.0,,939751.0,,1281681,1790452,7977804.0,136779,,4298779.0,,504787,7977804.0,,853.0,2638,67926,45729,108705,88547,216261,499353,0
2015-08-11,2,2015,23141,418379,832991,0.0,2022,837988,837988,469609,1403,120143,97002,42818,4081,39265,0.0,8613,3328302,,0.0,1808740,190000,42,2279348,93404,,15728,1790452,2015年06月30日,237849,74938.0,,3198565,3113519,0,582227,4608723,7503494,39265.0,4081,9594.0,,249.0,12915.0,,1278191.0,,1447979,1790452,7998209.0,128759,,4799644.0,,488673,7998209.0,,134.0,2228,48310,45643,103346,85046,190921,494715,0
