date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,10638757,,378688,11104980,-198530,4366094,482320,4612531,469935,-264875,255352,9369,115267,931611,-66345,9217018,311277,,,12938648,200319,0.0,5348,16100601,111832,48457,,1431185,6757782,2013年03月31日,8365037,,21004913,18896772,36082186,2306419,20955332,32474043,158004,433524,,1425655.0,1067306.0,1850686,6757782,,,,25626431.0,1610162,,,316718,,1293444,,,46631344.0,25142,28557,15391,136736,4540441,2108141,4671099,14157301,696525,0
2013-08-12,2,2013,11260603,,378362,9153080,-170548,4483243,383629,7879621,634778,-26242,176064,12061,156331,1092103,144306,8247022,311277,389578.0,,12322887,569900,0.0,5324,17605442,57126,79193,,1315829,6757782,2013年06月30日,5004628,,20416159,18221677,36082186,2690843,23916753,33541181,149244,1457609,,1491256.0,900637.0,2027325,7147360,,,,27814435.0,2258756,,,464655,500657.0,1293444,,,48230594.0,34995,14074,51977,109643,3689374,2194482,3897682,14689413,916986,0
2013-11-13,3,2013,11482897,,378362,10086092,-175711,4789298,341064,4961834,442019,-254377,2137939,9935,159886,1107728,-78666,8734724,311277,,,14177978,345214,250000.0,7665,18479997,95529,73082,,900683,6867216,2013年09月30日,5937640,,21545951,19048696,36443007,2690843,26600317,35016576,153066,1457609,,1526626.0,931364.0,3788323,6867216,,,,27988112.0,2661042,615193.0,,464655,7606.0,1573588,,,49534063.0,0,68012,15539,153687,1212370,2497255,1387795,14517487,797354,0
2014-03-12,4,2013,11742080,,458559,11076147,140176,5538044,354649,6044149,385510,307740,650405,1222,162778,1198696,167564,8702039,311277,,,16031520,570688,0.0,15624,18323153,118407,43839,,1276165,6867216,2013年12月31日,6927695,,24303309,21007900,36443007,2690843,25149291,35477983,168216,1457609,,1578337.0,1127318.0,697601,6867216,,324176.0,,26596701.0,3068074,959448.0,,464655,70383.0,1573588,,,50900010.0,11986,117012,36811,223662,923645,3295409,1447410,15422027,670420,0
2014-05-12,1,2014,11898831,,458559,11753080,-300814,5921574,526167,7225792,1538820,36144,220692,4214,112735,1278738,336958,8883579,311277,,0.0,14499225,485456,,6906,16054501,95286,25721,,1282625,6867216,2014年03月31日,7604628,,24823428,21413237,36443087,2690843,25808556,35436207,187915,1457609,2239329.0,,1055316.0,2199816,6867216,,0.0,,26470739.0,3068074,,959448.0,464655,70383.0,1573588,,,51294167.0,115353,31544,49448,225125,500000,3410191,662183,15857960,641639,0
2014-08-13,2,2014,12475373,,458559,9563254,-659726,5153745,528349,9490402,520890,-727710,176786,339,131029,1104061,-67984,7900732,311277,400836.0,0.0,13300991,515570,10000.0,941,16846463,92479,29244,,1230866,6867216,2014年06月30日,6060684,,22235748,19027926,36443007,3069046,26448591,33204525,172343,433524,1681611.0,,1108070.0,1722246,7268052,,0.0,,27125152.0,3235607,,959342.0,632294,70383.0,1573588,,,49360900.0,123585,25669,45532,186824,500000,3207822,676561,16156375,953353,0
2014-11-13,3,2014,13452664,,495690,10573465,-964992,5100039,378646,6701289,415639,-558995,565454,8577,179252,1224066,405997,9663397,311277,,0.0,17261799,531919,0.0,8745,18553777,184149,36510,,1202775,6948654,2014年09月30日,7070895,,23797964,20254588,36625221,3069046,29777457,37093967,255703,433524,2132177.0,,955711.0,3661258,6948654,,0.0,,30493580.0,3602741,,959342.0,632294,118119.0,1892986,,,54291544.0,91282,42937,36871,188033,500000,3543376,716123,17197577,956765,0
2015-03-25,4,2014,14204652,,1097746,11943320,-1282930,5151339,382573,6939367,596465,-52986,567847,27886,179335,1106700,1229944,10018702,311277,,0.0,19115143,425304,,31341,18913995,241285,15999,,1176824,6948654,2014年12月31日,8440750,,25826642,22130452,36625221,3069046,30456782,38590552,246430,433524,1980696.0,,1135472.0,2098920,6948654,,0.0,,31173116.0,3602741,,647068.0,632293,118120.0,1892986,312274.0,,56999758.0,143388,267564,36999,194281,500000,3696190,716334,18409206,1376621,0
2015-05-05,1,2015,14073132,,1097204,12545563,-1422833,5315932,338671,6533717,448240,-451367,543015,873642,180629,1038746,971466,10226355,311277,,0.0,15147110,309115,,6994,16127470,261710,26285,1893084.0,1121746,6948654,2015年03月31日,9042993,1091927.0,26089317,22334314,36625221,3069046,27599689,36617377,238583,433524,,1956849.0,,3916704,6948654,56611572.0,,30522255.0,,3602741,,647068.0,632293,430394.0,1892986,,56611572.0,,51107,51093,36969,193029,2704968,3755003,2922566,19994195,1329801,0
2015-08-12,2,2015,14186288,,1337500,10314439,-2682710,4492457,235326,10336186,728682,-2079791,214491,827864,180648,1015632,602919,9097508,311277,455743.0,0.0,14484063,304852,0.0,11461,19253510,173468,69141,1838337.0,1070013,6948654,2015年06月30日,6403775,1041280.0,22276048,19015869,36625221,3477140,32910469,37916709,291442,433524,,1814918.0,,6412652,7404397,58077755.0,,35801707.0,,3688101,,647069.0,802600,-14564.0,1892986,360010.0,58077755.0,,105484,144290,36925,186508,2673665,3260179,2891238,20161046,1314871,0
