date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,3256944,177975,1695729,-43385,43322,,201845,0,40292,29901,-57047,10572.0,151047,337957,432338,411100,-24234,1293029,187543,516421.0,,,581343,569582,105452,160000.0,301552,996.0,1411637,32560,260338,37615,1011028.0,1122431,3204347,2013年03月31日,622296,,5631708,5229550,18633548,489399,2734737,5611801,188096,,0.0,584034,,1586825.0,29705.0,1040961,3204347,170820.0,,,6216854.0,574064,37,,45005,34225,429847,,64950,,11848562.0,2777,21904,237956,69187,0.0,2230480,402158,3482117,6236761,,0
2013-08-13,2,2013,3273282,177975,1598879,-46449,40720,0.0,364387,187412,48842,203,-7668,25613.0,165750,328601,421572,416903,13168,1193835,100210,,0.0,,452981,549209,99830,0.0,322502,1499.0,1580633,38217,332807,36946,1010657.0,1157811,3308975,2013年06月30日,497059,,5775158,5375259,10332548,517786,2855590,5537623,189072,,0.0,584034,,1911576.0,39218.0,1124659,3308975,,,,6056771.0,575283,37,,82372,38475,404101,,50298,,11831929.0,1124,25243,238355,68606,,2088273,399899,3201181,6294306,,0
2013-11-11,3,2013,3367668,177975,1701945,-49565,36406,0.0,383944,182455,54253,1144,-60901,16531.0,565861,383826,416186,386884,-27867,1322976,77085,,,,0,640274,85720,0.0,328534,1151.0,1566706,35957,373095,31705,1010220.0,1168023,3442655,2013年09月30日,600125,,6033611,5627361,8126548,517786,3260220,5587620,186416,,0.0,584034,,1740006.0,48306.0,1023913,3442655,,,,5920229.0,620747,37,,92790,42543,453416,,31961,,11953840.0,62,41546,237594,69034,,2006229,406250,2660009,6366220,,0
2014-03-21,4,2013,3628199,177975,1804550,-46723,39840,0.0,238642,16864,77933,600,3956,,386635,491932,391135,368873,50679,1379423,54568,26001.0,,,628320,664889,138853,0.0,309020,1037.0,1655060,26245,394062,30258,999028.0,1126875,3554217,2013年12月31日,702730,,6638176,6217170,6014548,517786,2902846,6181182,187673,,171922.0,584034,,1862808.0,59169.0,1078180,3736926,,,,6102020.0,726306,37,,106091,41784,492737,,85657,,12740196.0,9557,25098,243336,70391,,1936383,421006,3199174,6559014,182709.0,12600638
2014-05-09,1,2014,3699321,177975,1919470,-53308,35260,,206651,16864,44411,129618,4039,0.0,311347,494242,392015,566977,57347,1382645,54568,0.0,,0.0,309814,628687,140712,70000.0,310113,0.0,1623803,210802,333850,31822,998761.0,1169592,4008148,2014年03月31日,817650,,7275562,6862773,6014548,517786,2653877,5837579,191996,,0.0,584034,1529532.0,,48729.0,920719,4008148,0.0,,,5436857.0,985684,37,,106091,81455,749104,,48997,,12712419.0,55,21594,243355,70218,,1837796,412789,2782980,6874840,0.0,0
2014-08-13,2,2014,3647163,177975,1653673,-53875,32947,,497714,247804,48536,8556,-85382,0.0,432998,470440,391580,410235,-31507,1323356,49902,244889.0,,0.0,235857,547461,117528,,391857,0.0,1725170,231440,267373,38811,2285.0,1249772,4071272,2014年06月30日,507490,,6910114,6497492,5353548,562149,3311074,6453077,188144,,67346.0,584034,1969341.0,,37084.0,910874,4071272,126347.0,,,5288980.0,907831,37,3781.0,116102,0,741805,6482.0,39624,,12199094.0,1407,24872,242320,70443,,1108149,412622,1977906,5746017,0.0,0
2014-11-13,3,2014,3791886,177975,1987343,-55838,32600,,289611,184,56540,0,35530,0.0,310280,430500,392243,411962,91368,1419003,337459,0.0,,0.0,259671,484163,119672,,304226,,1581743,163625,342483,29300,2302.0,1286772,4128166,2014年09月30日,841160,,7169548,6737353,20208548,562149,2306947,6245464,191635,,74012.0,584034,2090598.0,,50514.0,747346,4128166,0.0,,,5008309.0,923773,37,0.0,116102,10111,771722,0.0,25801,,12177857.0,951,25060,240362,69861,,1809086,432195,2701362,5932393,0.0,0
2015-03-26,4,2014,3896430,172369,2056001,-61414,30516,,290609,11189,81248,5250,202232,0.0,392722,464231,383949,428503,263646,1306923,49902,0.0,,0.0,229749,494632,186768,,278771,1944.0,1676644,139400,347459,30878,2330.0,1289821,3983122,2014年12月31日,909818,,7430574,6979126,5353548,562149,2452868,6112045,199210,,178014.0,584034,1830039.0,,26143.0,769438,3983122,,,,4751547.0,787673,37,0.0,0,10284,754585,0.0,22767,,12182121.0,652,21443,256614,81413,,1428367,451448,2298679,6070076,0.0,0
2015-05-14,1,2015,3971677,172369,2120321,-62744,28204,,289562,3003,67221,75097,148280,,381994,376966,384650,416266,211024,1232014,49902,,,,192694,408430,94497,0.0,266314,388.0,1511406,151239,297934,52313,2269.0,1755252,4008767,2015年03月31日,974138,42090.0,7466068,7027945,5353548,562149,2551694,6032306,197027,126177.0,,584034,,2113731.0,,1064902,4008767,,12631602.0,5165534.0,,800479,37,,0,10284,771086,,19072,12631602.0,,514,4,250686,84436,,1785810,438123,2613840,6599296,,0
2015-08-13,2,2015,3915726,172369,1519174,-61782,27898,,573865,329214,57717,398296,62887,0.0,440398,353087,373955,407951,124669,1213625,49902,0.0,,0.0,932201,348489,192736,150000.0,316305,4699.0,1454463,164309,229956,43920,2193.0,1677553,4056658,2015年06月30日,303393,43592.0,6898082,6462349,5353548,631747,3579902,6550236,194214,0.0,,584034,,2606961.0,,1131306,4056658,0.0,13006384.0,6108302.0,,873532,37,0.0,0,18790,789985,0.0,64720,13006384.0,,49298,4,250686,86142,,971558,435733,2528400,6456148,0.0,0
2015-11-12,3,2015,6017877,172369,1648959,-79239,26165,0.0,294502,189190,59515,298018,417216,0.0,205855,589612,374934,477678,496455,1609610,92817,0.0,,0.0,926251,486858,94414,300000.0,424460,2054.0,1564982,103282,242391,31672,2239.0,1415866,4248937,2015年09月30日,433178,46898.0,7909341,7043589,8685548,631747,4237563,6945737,209457,139737.0,,584034,,2280750.0,,2154653,4248937,,15322953.0,7413612.0,,821294,37,0.0,0,12174,744620,0.0,64463,15322953.0,,38679,3,255167,81730,,1619697,865752,3176049,8377216,0.0,0
2016-03-29,4,2015,5931120,172369,1607376,-81305,25698,0.0,291238,188054,43417,538497,239765,0.0,482782,613628,388925,439485,321070,1399390,49902,0.0,,0.0,813346,468460,49844,,318055,1131.0,1574734,75206,241816,32728,2119.0,1355518,4148937,2015年12月31日,391595,68542.0,7554490,6739491,5353548,631747,3903209,6612356,209004,0.0,,584034,,2067240.0,,1974368,4148937,,14792471.0,7237981.0,,793315,37,0.0,0,10072,718743,0.0,64463,14792471.0,,60735,2,257704,70500,,1874797,814999,3334772,8180115,0.0,0
