date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,1837409,11850,-568880,146432,60776,,,1183,,3134,349969,,7134,,340772,,1929,,1191114,1191114.0,15040,,,307075,2678,74997.0,267380,57899.0,77547,0,213041,58483,78189,740,1701874,2013年03月31日,,,,1163751,1121088,2097951,2023677,1825198,,,,74162.0,505.0,6.0,896262,1701874,,6136,,2598599.0,0,,3762350.0,3026.0,234150,7035,,,,42663,574922,1937152,53070,,0
2013-08-13,2,2013,,1818821,11850,-687892,157066,72116,,,1283,,11256,303143,,7252,,326560,,480,,1051933,1051933.0,15040,,,305425,2764,73928.0,225432,57980.0,89167,0,194162,56894,77646,732,1701874,2013年06月30日,,,,1055409,1010198,2097951,1935583,1635542,,,,63280.0,3.0,4.0,888525,1701874,,6267,,2496293.0,0,,3551702.0,0.0,234150,6631,,,,45211,560710,1916160,14501,,0
2013-11-12,3,2013,,1796068,11850,-708472,166781,76383,,,1898,,17932,421854,,30373,,352252,,479,,1086195,1086195.0,15040,,,307271,3297,73946.0,87162,55154.0,69718,0,196144,76353,77045,788,1701874,2013年09月30日,,,,1044805,996294,2097951,1959105,1699409,,,,62005.0,3.0,16.0,928129,1701874,,5906,,2545528.0,0,,3590333.0,0.0,234171,4694,,,,48511,586423,1890924,9926,,0
2014-03-26,4,2013,,1777351,11850,-795018,177773,74586,,,920,,26368,413842,,34111,,297362,,480,,921495,921495.0,15040,,,256577,2844,67937.0,72120,95159.0,65107,400,206017,47038,76141,692,1701874,2013年12月31日,,,,969196,918184,2097951,1886940,1516218,,,,60680.0,145.0,8.0,898388,1701874,,5342,,2418511.0,0,,3387707.0,0.0,234209,4975,,,,51012,531571,1871489,2669,,0
2014-05-07,1,2014,,1753830,11850,-843566,163057,57730,,,56,,15798,416483,,5006,,283111,,481,,882237,882237.0,15040,,0.0,232997,2806,67862.0,73830,95108.0,47350,0,180428,20025,76041,691,1701874,2014年03月31日,,,,905640,859066,2097951,1814338,1389631,,,89904.0,,145.0,1.0,861972,1701874,,5405,,2331599.0,0,,3237239.0,0.0,234150,4715,,,,46574,517261,1847608,1567,,0
2014-08-13,2,2014,,1728648,11850,-866318,170187,52123,,,448,,21583,459061,,25727,,278170,,480,,953366,953366.0,15040,,0.0,242404,2843,66911.0,92424,94999.0,44591,0,215145,13388,48249,657,1701874,2014年06月30日,,,,889771,842099,2097951,1881249,1490840,,,62234.0,,12.0,3.0,864799,1701874,,5673,,2393578.0,0,,3283349.0,0.0,234159,2625,,,,47672,512329,1792509,5751,,0
2014-11-13,3,2014,,1705542,11850,-286505,160598,51716,,,1527,,14830,346792,,14612,,265050,,480,,828564,828564.0,15040,,0.0,184506,2546,66987.0,83754,95092.0,34647,0,91627,20525,48162,784,1021125,2014年09月30日,,,,780632,734410,1258770,1691968,1201323,,,45719.0,,12.0,3.0,855066,1021125,,5497,,2191190.0,0,,2971822.0,0.0,234172,3681,,,,46222,499222,1770499,3501,,0
2015-03-03,4,2014,,1679761,11850,-365748,27,53082,,,52,,11,349360,,20279,,261058,,480,,757081,757081.0,15040,,0.0,163713,14122,0.0,65641,119788.0,47266,0,102481,20190,48073,694,1021124,2014年12月31日,,,,683256,640347,1258770,1612636,1046755,,,97418.0,,0.0,5.0,841384,1021124,,5546,,2107851.0,0,,2791107.0,0.0,234157,3494,,,,42909,495215,1744352,1956,,0
2015-05-12,1,2015,,1651251,11850,-398498,3,35010,,,12324,,0,342483,,12322,,131045,,12502,,795479,795479.0,15040,2690.0,0.0,75244,114747,0.0,138542,183468.0,19769,19,117009,0,43447,0,1021124,2015年03月31日,,0.0,1.0,612109,607586,1258770,1718725,989635,,,,27400.0,,,827466,1021124,2712340.0,1765,2100231.0,,0,2712340.0,,0.0,237526,3655,12935.0,,,4523,381506,1722705,2619,,0
2015-08-06,2,2015,,1520506,11850,-465718,3,46607,,,21,71826.0,0,287459,,634,,235869,,42,,734007,734007.0,0,21017.0,0.0,146710,64311,0.0,194014,0.0,21390,0,130859,0,22354,8271,1321124,2015年06月30日,,0.0,2.0,855406,855406,0,1262315,1021181,,,,33061.0,,,521852,1321124,2587752.0,1362,1732346.0,,0,2587752.0,,0.0,234162,3548,,,,0,470031,1566571,8361,,0
