date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他預付款,商品存貨,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應收帳款,應收帳款淨額,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-06-15,1,2013,448462,127128,68519,3027.0,68519.0,,123.0,123.0,27051,,,426,426.0,481,274971,73670.0,101037.0,27051.0,27051.0,481,3124,101037,101037.0,,,,466549.0,466549,793011.0,793011,465461.0,441024.0,450000,2013年03月31日,127128,,3378.0,1425.0,1101410,1101410,0,0,581377,1048529,,,,80262.0,38014.0,5268.0,127128.0,24437.0,1953.0,3942.0,3699.0,450000,,,671183.0,497231,497231.0,497231.0,,1772593.0,4985.0,1043.0,8669.0,4970.0,89325,89325.0,631,5268.0,80262.0,271847,89806,724064,73670,,0
2013-08-02,2,2013,450455,234865,77616,39.0,77616.0,,,,46923,,,428,428.0,1955,275115,46822.0,44195.0,46923.0,46923.0,1955,269,44195,44195.0,,,,428612.0,428612,1018788.0,1018788,473403.0,443224.0,450000,2013年06月30日,231169,,3435.0,1372.0,1229019,1229019,0,3696,560096,1169456,,,,59223.0,39857.0,13972.0,231169.0,30179.0,2063.0,4067.0,3961.0,450000,,,666215.0,497231,497231.0,497231.0,,1895234.0,5070.0,1003.0,8817.0,4856.0,104164,104164.0,208,13972.0,59223.0,274846,106119,725778,46822,,0
2013-10-31,3,2013,439802,388652,110023,0.0,110023.0,,,,32837,,,426,426.0,3770,270399,72343.0,98760.0,32837.0,32837.0,3770,266,98760,98760.0,,,,660353.0,660353,1112644.0,1112644,468076.0,432971.0,450000,2013年09月30日,384956,,3397.0,1280.0,1368720,1368720,0,3696,858299,1641761,,,,357588.0,64024.0,23899.0,384956.0,35105.0,2117.0,4067.0,4112.0,450000,,,983284.0,497231,497231.0,497231.0,,2352004.0,5013.0,946.0,8717.0,4605.0,121215,121215.0,42,23899.0,357588.0,270133,124985,710243,72343,,0
2014-03-22,4,2013,441659,610772,176715,0.0,,,,,59521,0.0,,433,,3837,273560,,,,59521.0,3837,270,53343,,,,,,736096,,1558580,,,528000,2013年12月31日,607076,,,,2516920,2516920,0,3696,1048450,2994585,,,,1366015.0,101546.0,34093.0,,,,,,528000,,,1201925.0,1318627,,1318627.0,,3718845.0,,,,,149638,,9041,,,273290,153475,724260,16214,,0
2014-04-30,1,2014,447340,775167,107810,0.0,,,0.0,,47331,,,530,,3822,270860,,,,47331.0,3822,269,129811,,,,,,640690,,1011924,,,528000,2014年03月31日,771471,,,,2669125,2669125,0,3696,818759,2931445,,,1699639.0,,70259.0,0.0,,,,,,528000,,,990886.0,1318627,,1318627.0,,3660011.0,,,,,168305,,10366,,,270591,172127,728566,89541,,0
2014-08-11,2,2014,440813,639772,359147,0.0,,,,,-1602,,,530,,3753,264375,,,,-1602.0,3753,264,22620,,,52800.0,0.0,,592586,,1312970,,,528000,2014年06月30日,578695,,,,2537597,2537597,0,61077,1013719,3024211,,,1611131.0,,61986.0,0.0,,,,,,580800,,,1200456.0,1318627,,1318627.0,,3738053.0,,,,,182984,,8654,,,264063,186737,713842,76960,48.0,0
2014-11-10,3,2014,446589,771839,110781,,,,,,65275,,1.0,654,,3848,269430,,,,65275.0,3848,271,84121,,,,0.0,,829028,,1291645,,,580800,2014年09月30日,710762,,,,2736541,2736541,0,61077,998014,3214746,,,1807354.0,,58204.0,0.0,,,,,,580800,,,1204696.0,1318627,,1318627.0,,3941237.0,,,,,202834,,10472,,,269159,206682,726491,30972,,0
2015-03-23,4,2014,454398,1074437,131675,,,3473.0,,,160603,,5.0,656,,4589,276356,,,,160603.0,4589,285,62148,,,,0.0,,1080784,,1872264,,,580800,2014年12月31日,1013360,,,,3134467,3134467,0,61077,1327337,3979155,,458280.0,1529622.0,,114873.0,0.0,,,,,,580800,,,1577644.0,1318627,,1318627.0,,4712111.0,,,,,245718,,2202,,,276071,250307,732956,52712,,0
2015-05-05,1,2015,443669,1246107,93536,,,6881.0,,,130904,,1939.0,691,,6269,272060,,,,130904.0,6269,283,99564,,,,,,738998,,1205421,,,580800,2015年03月31日,1185030,61698.0,,,3276438,3276438,0,61077,896171,3725270,655720.0,,,1618057.0,,,,,,,,580800,4442787.0,1166349.0,,1318627,,1318627.0,4442787.0,,,,,,263909,,1788,,,271777,270178,717517,138936,,0
2015-08-06,2,2015,431209,1054880,487443,,,,6377.0,,85280,,1276.0,656,,6181,266562,,,,85280.0,6181,278,33129,,,0.0,,,830241,,1572920,,,580800,2015年06月30日,918397,69960.0,,,3039587,3039587,0,136483,1388920,4016749,447570.0,,,1907649.0,,,,,,,,580800,4716355.0,1676768.0,,1318627,,1318627.0,4716355.0,,,,,,281667,,1835,,,266284,287848,699606,48448,0.0,0
2015-11-10,3,2015,442235,1209916,554544,,,,7411.0,,213449,,662.0,702,,6432,275708,,,,213449.0,6432,290,161125,,0.0,,,,1043727,,1548114,,,580800,2015年09月30日,1073433,81728.0,,,3322792,3322792,0,136483,1680661,4579816,569360.0,,,2268182.0,,,,,,,,580800,5319899.0,1997107.0,,1318627,,1318627.0,5319899.0,,,,,,310014,,22140,,,275418,316446,740083,24922,,0
2016-03-12,4,2015,420428,1533243,131262,,,3235.0,,,93352,,3.0,663,,6208,264391,,,,93352.0,6208,280,59573,,,,,,1050916,,1969579,,,580800,2015年12月31日,1396760,115390.0,,,3526022,3526022,0,136483,1719233,4901901,549450.0,,,2304022.0,,421662.0,,,,,,580800,5588163.0,2062141.0,,1318627,,1318627.0,5588163.0,,,,,,336700,,1443,,,264111,342908,686262,15379,,0
2016-05-04,1,2016,412179,1751006,118540,164.0,,2267.0,,,73753,,2034.0,672,,6179,261506,,,,73753.0,6179,278,92748,,,,,,784089,,1257523,,,580800,2016年03月31日,1614523,91260.0,,,3724186,3724186,0,136483,1413713,4791687,546920.0,,,2870250.0,,417626.0,,,,,,580800,5478989.0,1754803.0,,1318627,,1318627.0,5478989.0,,,,,,334911,,13617,,,261228,341090,687302,21307,,0
2016-08-05,2,2016,395554,1601025,446470,,,2399.0,,,-24427,,1360.0,653,,4568,246703,,,,-24427.0,4568,271,40261,,,116160.0,,,890957,,1622926,,,580800,2016年06月30日,1380909,101265.0,,,3592185,3592185,0,220116,1857718,5129940,532950.0,,,2873949.0,,417666.0,,,,,,696960,5780875.0,2188690.0,,1318627,,1318627.0,5780875.0,,,,,,326404,,8678,,,246432,330972,650935,56802,,0
2016-11-10,3,2016,377247,1638431,519958,,,2162.0,,,-159862,,718.0,650,,4002,237361,,,,,4002,235,113327,,,116160.0,,,1023580,,1587296,,,586600,2016年09月30日,1418315,91741.0,,,3579706,3579706,0,220116,2043403,5274315,516230.0,,,3028384.0,,407406.0,,,,,,702760,5943234.0,2363528.0,,1398377,,,5943234.0,,,,,,316123,,54311,,,237126,320125,668919,26266,,0
