date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,待註銷股本股數,應付員工紅利,應付帳款合計,應付票據合計,應付股利,應付董監事酬勞,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,769020,107388,1651683,96920.0,96920.0,111626,,329153,277649,33020,96908,,,38935,38935.0,4887,94928,2780,2780,-12.0,26810,1040876,,,,923313,0.0,,51504.0,750047,8609.0,2534.0,68118.0,235976,0.0,100000,1181476,2013年03月31日,1200759,,3617952,3545020,0,450924,1398783,3739648,,17040,,217694.0,50000.0,,,,1082328.0,63732.0,35000,1181476,,8089,,1498342.0,614953,,5116294.0,561.0,446632,58913,4631,35529.0,,72932,99559,1376646,41395,0
2013-08-07,2,2013,755833,143228,1444815,87701.0,,102407,,636795,279308,16538,87994,,,38769,,2000,89943,2918,2918,293.0,21822,1573619,1573619.0,,62118.0,843900,0.0,295369.0,,706220,4019.0,4788.0,68121.0,234995,0.0,100000,1181476,2013年06月30日,958373,,3434625,3329342,0,486442,1602354,3761806,,15133,,217707.0,50000.0,,,,706933.0,34494.0,43307,1181476,,5089,,1695243.0,615057,,5129868.0,0.0,363393,36434,2946,29521.0,,105283,92889,1368062,64182,0
2013-11-06,3,2013,740346,135249,1561955,72846.0,,87552,,382458,316224,53278,33985,-38923.0,-38923.0,64952,,14391,84136,2633,2633,62.0,16025,1446562,1446562.0,,66234.0,668812,0.0,,,739820,3106.0,6156.0,68111.0,234013,0.0,100000,1191476,2013年09月30日,1075513,,3527304,3431653,0,486442,1215236,3538688,,12067,,219207.0,50000.0,,,,689088.0,57925.0,36000,1191476,,5089,,1301225.0,644237,,4828529.0,0.0,235952,0,1853,15533.0,,95651,85989,1289841,43576,0
2014-03-18,4,2013,703092,59503,1714848,56891.0,,188335,,393003,342861,49125,24196,-33145.0,-33145.0,54006,,3409,89171,2645,2645,450.0,9531,1099663,1099663.0,,50142.0,606823,0.0,,,748284,297.0,331.0,49640.0,258103,0.0,100000,1191476,2013年12月31日,1228406,,3665000,3574757,0,486442,1183062,3697184,,70837,,219207.0,50000.0,,,,979279.0,79336.0,44805,1191476,,5089,,1276364.0,644237,,4941364.0,0.0,359607,0,4131,0.0,30000.0,90243,93302,1244180,49647,0
2014-05-06,1,2014,700664,55495,1858773,85500.0,,233161,,394770,327789,41071,57593,-28273.0,,32873,,2094,73897,25302,25302,366.0,9531,1332576,1332576.0,0.0,66981.0,794596,,,,704343,395.0,2982.0,49366.0,257122,,100000,1191476,2014年03月31日,1372331,,3847264,3752079,0,486442,1501238,4167250,,66985,,219254.0,50000.0,,,1232547.0,,111560.0,162350,1191476,,5089,,1575554.0,644237,,5422818.0,0.0,351197,0,419,0.0,15000.0,95185,74316,1255568,47630,0
2014-08-05,2,2014,721057,51077,1647204,77331.0,,224992,,757943,316451,4268,54669,-22647.0,,34284,,3009,75144,6042,6042,-15.0,11056,1213008,1213008.0,0.0,84049.0,675301,,357443.0,,753353,34.0,,49088.0,256140,,100000,1191176,2014年06月30日,1117905,,3652090,3537880,0,529299,1622833,4102502,,63593,,219278.0,50000.0,,,839208.0,,66748.0,83468,1191176,,5089,,1698321.0,644831,,5350411.0,,778921,0,344,0.0,15000.0,114210,75488,1247909,66431,0
2014-11-05,3,2014,719842,46865,1836128,44038,,191699,,502057,440601,38778,26729,-17816,,89406,,2547,73364,19551,19551,507,9556,935256,935256,0,61456,812049,,,,894967,7,,48808,255139,,100000,1191376,2014年09月30日,1306829,,3820593,3705472,0,529299,1533337,4140921,,60374,,239284,50000,,,1461285,,64620,59623,1191376,,5089,,1607721,651239,,5428314,493,320049,35622,1020,0,15000,115121,74384,1287393,57049,0
2015-03-17,4,2014,724565,43050,2066497,73092.0,,428350,425819.0,521047,420473,9962,61300,-12985.0,,43206,,2418,93772,3443,3443,1193.0,27806,1048468,1048468.0,0.0,100574.0,964759,,,,913775,0.0,,50966.0,254177,,100000,1191376,2014年12月31日,1537198,,4089758,3970412,0,529299,2139129,4626392,,59855,,569184.0,50000.0,,,1198436.0,,97793.0,507235,1191376,,5089,,2232944.0,651239,,6322702.0,,370688,35401,43,,15000.0,119346,93815,1696310,85111,0
2015-05-07,1,2015,718709,79236,2262219,62151.0,,422482,420746.0,546153,415604,50830,52469,-10700.0,,29928,,4934,78494,63903,63903,1018.0,27806,1317271,1317271.0,,130549.0,1054514,,,,994373,0.0,,,253196,,100000,1191376,2015年03月31日,1732920,141477.0,4278636,4157303,0,529299,2431331,5058980,50688.0,58358,544029.0,,,0.0,,,1285325.0,,654170,1191376,6788601.0,5089,2509965.0,,651239,6788601.0,,,372710,35473,140,,0.0,121333,78634,1729621,67026,0
2015-08-07,2,2015,720888,74046,1883943,-27940.0,,369510,383627.0,1079776,397304,15873,-35609,-8391.0,,30092,,7801,77992,63861,63861,722.0,27788,1759585,1759585.0,,118016.0,1293716,,536119.0,28337.0,943147,0.0,,,252214,,100000,1191376,2015年06月30日,1283493,105926.0,3812708,3691048,0,600450,3408814,5614364,50204.0,55466,928518.0,,,0.0,,,1260175.0,,894215,1191376,7299798.0,5089,3487090.0,,651338,7299798.0,,,251055,35332,284,,0.0,121660,78276,1685434,78700,0
