date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,避險之衍生金融資產－非流動,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預付退休金－非流動,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,1759250,19595686,23034,,805643,,1338651,2370729,123439,1391772,469714,77196,-1055201,2049615,290365,2336273,,,452361,202735,,117803,,,2278109,,,,4203451,472826,0.0,,978957,2546002,972841,,,2349901,29292408,2013年03月31日,805643,,29671612,29671612,0,0.0,11254377,21542998,,828953,,,,,12036364.0,,,1836232,29292408,,194407,,16222569.0,628762,,,,,45894181.0,3678,826499,15578,12223,6666.0,0.0,4493587.0,452361.0,452361.0,0.0,4968192,24351183,,84932.0,,0
2013-08-09,2,2013,,943250,19135055,22828,191815.0,3328144,,1250402,2513742,212077,1861978,495909,166476,-999452,1181257,238007,3651719,,,286857,324587,,239206,,,1965301,,,,3861149,755504,0.0,,651764,2393964,1404240,,,2547823,29292408,2013年06月30日,3328144,,32273958,32273958,0,0.0,10382591,21437010,,757100,,,,,10191784.0,,,1642266,29312618,,191815,,13213070.0,632648,,,,,45487028.0,24781,1167617,15578,12223,16269.0,0.0,2511775.0,286857.0,286857.0,0.0,2830479,24050018,,85381.0,20210.0,2021000
2013-11-06,3,2013,558600.0,558600,21714481,301799,190193.0,5519357,,1160524,2701759,336033,1791709,451832,135893,-1072930,808764,250164,3301080,,,287182,513551,427721.0,427721,,,2006105,,,,4405177,182363,0.0,,910050,3518231,1479918,,,2562570,29312238,2013年09月30日,5519357,,34402579,34402579,0,0.0,9558295,19548843,,684759,,,,,8313977.0,,,931455,29321218,,190193,,12099305.0,634934,,,,,46501884.0,2551,341807,15578,12223,0.0,3134.0,2238250.0,287182.0,287182.0,0.0,2541010,26953041,,85830.0,8980.0,898000
2014-03-20,4,2013,558600.0,558600,20920862,300712,194314.0,5675018,,1242016,2559152,110134,1908143,454286,9388,-981496,665887,107287,3728597,,,271528,2110058,119891.0,119891,,,1731461,,,,3354953,97307,0.0,,651009,2439223,1645051,,,2452115,29321218,2013年12月31日,5675018,,34649426,34649426,0,0.0,7889727,17411304,,649043,,,,,6637979.0,,,894150,29321218,,194314,,10447684.0,634686,,,,,45097110.0,13830,765319,16016,11000,31813.0,0.0,2238600.0,271528.0,271528.0,0.0,2557957,27685806,1896489.0,93678.0,,0
2014-05-09,1,2014,558600.0,558600,24951743,298861,191569.0,6751114,,1437301,2540631,468764,1944804,598277,444744,-816150,616730,58130,1655594,,,284829,312881,121098.0,121098,,,1958569,,,0.0,3051282,122130,,,595827,2561576,807285,,,2506952,29321218,2014年03月31日,6751114,,35890868,35890868,0,,7991453,16049461,,595533,,,,7354004.0,,,,975040,29321218,,191569,,10272864.0,634686,,,,,46163732.0,25307,669412,16016,11000,21616.0,,1958950.0,284829.0,284829.0,0.0,2281411,30114271,97691.0,94092.0,,0
2014-08-14,2,2014,558600.0,558600,24698757,298861,190786.0,3643901,,1597492,3146839,591022,2234830,388501,245909,-797910,622422,63822,4147484,,,140870,245212,118062.0,118062,,,2116403,,,0.0,3444456,63520,,,912009,2782145,968065,,,2694950,29321218,2014年06月30日,2094903,,36489727,36489727,0,567502.0,9194729,17696398,,539237,,,981496.0,6388428.0,,,,1134244,33009050,,190786,,11310915.0,634686,,,,,47800642.0,1440,659463,16016,11000,0.0,18735.0,1959300.0,140870.0,140870.0,,2116186,30104244,32644.0,94506.0,3687832.0,369069043
2014-10-31,3,2014,558600.0,558600,23485306,298861,190614.0,2902752,,1564031,2742848,130433,1779553,392017,62063,-269977,610369,51769,3310357,,,133744,241540,123103.0,123103,,,2508132,,,0.0,3574491,107770,,,963295,2344456,932775,,1190738.0,4287474,33011909,2014年09月30日,1353754,,36261820,36261820,0,567502.0,8416967,14981577,,500691,,,981496.0,4677607.0,,,,1033642,33011909,,190614,,10299398.0,617136,,,,,46561218.0,26800,754170,16016,11000,53021.0,0.0,1679650.0,133744.0,133744.0,,1882431,31579641,23516.0,94921.0,0.0,0
2015-03-17,4,2014,,558600,22045178,298861,,2245174,-200770.0,917639,3180970,70949,2467636,409862,81957,-264111,850387,291787,2949398,418231.0,2531167.0,143671,305573,,116272,-193311.0,129970.0,1965513,,496037.0,0.0,2685441,258024,,63747.0,713334,2251381,1218525,3056.0,1189396.0,4192553,33011909,2014年12月31日,696175,,35610108,35610108,0,567502.0,8008092,15821692,,465480,331154.0,,981497.0,5884260.0,,0.0,30949.0,664650,33011909,,190998,,9968418.0,617136,,,,,45578526.0,11977,561703,16422,11000,120233.0,,1680000.0,,,,1960326,29756834,91574.0,97727.0,,0
2015-04-29,1,2015,,558950,21619031,298861,,2936843,-220864.0,902899,2534601,316283,1840138,436895,312210,-278178,626236,67286,2236155,328737.0,1907418.0,154245,309157,,120950,-169668.0,112354.0,2162498,,0.0,0.0,2743102,31434,,57727.0,694463,3176045,569426,14772.0,1188055.0,4159618,33011909,2015年03月31日,1387844,0.0,36261786,36261786,0,567502.0,7089696,15299102,98212.0,789183,,331154.0,981497.0,,5906716.0,0.0,,594700,33011909,44922152.0,183672,8660366.0,,591212,,,,44922152.0,,1941,484385,16425,11000,0.0,14092.0,1400000.0,,,,1570670,29623050,89995.0,,,0
2015-08-06,2,2015,,559300,20521956,298861,,2085183,,679877,2301092,4884,1637846,603229,311887,-512374,697954,138654,3437940,290996.0,3146944.0,25329,179570,,63055,,,2206979,421683.0,829605.0,0.0,3269378,41997,,48393.0,663246,3540218,142241,90348.0,1186714.0,4059510,33011909,2015年06月30日,1199478,125553.0,34754247,34754247,67257000,621594.0,7171601,15351696,98683.0,747264,,331154.0,264111.0,,3712817.0,,,496608,33011909,43367602.0,178233,8613355.0,,591212,,,,43367602.0,,7509,476432,16425,11000,0.0,0.0,1400000.0,,,,1441754,28015906,17832.0,,0.0,0
