date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,6987666,18845,4780136,,211482,2423,-3631,79049,,0,302252,345808,,-3631,,,1405149,183035,,,906846,525.0,1648762,338845,,,20037.0,4031661,2013年03月31日,2342007,,8787294,8787294,11716574,530361,1924796,5478602,,,1907768,,1696114.0,115660.0,609955,4031661,,,4103960.0,162163,151,98035,63977,,12891254.0,,1279,301960,612398,40296,1264514,0.0,2179164,7412652,85349,0
2013-08-13,2,2013,,7206821,18845,4743382,,289194,4334,43990,61518,,39200,302763,98766,,43990,,,1439346,183035,201583.0,,869726,210.0,1711292,325427,,,20025.0,4031661,2013年06月30日,2263327,,8999744,8999744,11716574,572287,1998045,5784499,,22687.0,1907768,,1873359.0,108494.0,668317,4233244,,,4191676.0,162163,0,0,162163,,13191420.0,,586,317492,626354,39777,1264514,0.0,2193631,7406921,74049,0
2013-11-13,3,2013,,7170083,18845,4923324,,250772,29174,8822,68616,,101430,302148,88322,,8822,,,1302212,183035,,,663852,0.0,1693897,512306,,,10017.0,4233244,2013年09月30日,2443269,,9145692,9145692,12302402,572287,1974190,5952414,,42918.0,1907768,,1924900.0,70911.0,919988,4233244,,,4176328.0,163337,151,99208,63978,,13322020.0,,51,328084,635476,39421,1264514,0.0,2202138,7369606,60411,0
2014-03-24,4,2013,96000.0,7137413,18845,4998582,,239971,6625,63426,156222,60222.0,131461,294024,115117,110325.0,63426,,4792.0,1289540,183035,,,673876,0.0,1580847,567393,,,10004.0,4233244,2013年12月31日,2518527,,9275554,9275554,12302402,572287,1762375,5778792,,40664.0,1907768,,1804159.0,67134.0,624915,4233244,,,3864402.0,163337,0,0,163337,,13139956.0,,257,349101,639489,39121,1168514,0.0,2102027,7361164,49666,0
2014-04-30,1,2014,64000.0,7123274,18845,5159271,,225009,1900,58404,139102,75102.0,126650,295386,112873,106489.0,58404,,6384.0,1220731,183035,,,679025,84.0,1727613,542934,,,9998.0,4233244,2014年03月31日,2679216,,9431221,9431221,12302402,572287,1694280,5490769,,52207.0,1907768,1424418.0,,93181.0,557879,4233244,,,3434067.0,163337,151,99208,63978,,12865288.0,,0,378937,665471,57322,778930,,1739787,7374519,67586,0
2014-08-07,2,2014,64000.0,7040799,18845,4842908,,312599,2676,907,131978,67978.0,60997,294727,126194,120760.0,907,,5434.0,1315925,183035,338660.0,0.0,678425,210.0,1709884,374159,,,0.0,4233244,2014年06月30日,2299035,,9396021,9396021,12302402,636105,2141039,5549954,,49250.0,1907768,1596985.0,,87037.0,930790,4571904,,,3427711.0,163337,0,0,163337,,12823732.0,,0,395479,633015,38690,358930,,1286672,7273778,93849,0
2014-11-13,3,2014,0.0,7090407,17449,4913074,,242675,30738,86816,80628,80628.0,26827,295201,117925,110419.0,86816,,7506.0,1471487,183035,,0.0,662539,0.0,1565006,256494,,,0.0,4571904,2014年09月30日,2369201,,9554556,9554556,13286594,636105,1865122,5061066,,46445.0,1907768,1168757.0,,42703.0,834585,4571904,,,2816739.0,165797,151,101668,63978,,12371295.0,,1992,424757,656416,38003,0,,951617,7310229,117000,0
2015-03-19,4,2014,2109.0,7248246,17449,4998970,,241894,1744,186512,69693,67584.0,635,295011,139215,134759.0,186512,6873.0,4456.0,1254054,183035,,0.0,563291,,1698136,282125,288138.0,,0.0,4571904,2014年12月31日,2455097,,9740148,9740148,13286594,636105,1442832,4723521,,47177.0,1907768,1088483.0,,44054.0,523900,4571904,,,2490163.0,165797,0,0,165797,,12230311.0,0.0,0,292838,680546,54703,71774,,1047331,7506790,105506,0
2015-05-04,1,2015,2829.0,7212977,17449,5095803,,226027,31740,145837,79484,76655.0,313,295344,133876,129182.0,145837,6842.0,4694.0,1158739,183035,,0.0,611274,0.0,1836181,271411,,,0.0,4571904,2015年03月31日,2551930,52344.0,9796306,9796306,13286594,636105,1559832,4955801,288502.0,48908.0,1907768,,1277722.0,,590703,4571904,12427911.0,2631605.0,,165797,151,101668,63978,12427911.0,,0.0,0,304032,680674,58900,95755,,1071773,7472110,75663,0
2015-08-13,2,2015,5489.0,7142372,17449,5081550,,311156,1468,101000,82044,76555.0,309,295610,355314,350298.0,101000,6792.0,5016.0,1241321,183035,68579.0,0.0,615387,0.0,1840380,201408,,,0.0,4571904,2015年06月30日,2495373,73466.0,9805795,9805795,13286593,678409,1883791,5234560,288818.0,45460.0,1907768,,1459308.0,,799006,4640483,12852318.0,3046523.0,,165797,151,101668,63978,12852318.0,,0.0,2732,384848,681602,57163,185520,,1162732,7617758,105518,0
