date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,存入保證金,存貨合計,存貨－買賣業淨額,庫存現金,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付短期票券,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,28199,1816930,30763,1215512,322780.0,723040,169016,,73365,55029,26830,70680,48701,21979,,238056,196861,,,,11253,213000,213000,475938.0,31863,,,,,,,1677825.0,,597481,388852,226803.0,1130088,2013年03月31日,1215512.0,,2788774,2674882,1353454,0.0,2133101,2414007,,1907,0.0,,475938.0,21236.0,209995.0,1130088,,,2437961.0,287780,,5226735.0,,,345276,66804,43227,0,,113892,304860,2812728,0
2013-08-08,2,2014,0,2170070,25414,1153382,0.0,1059283,414087,244574.0,65269,20018,20018,176315,52301,124014,,235019,281393,235003.0,235003.0,,12262,197739,197739,431484.0,31863,0.0,,,,,,1708694.0,169513.0,681863,345070,222757.0,1130088,2014年06月30日,894681.0,,2733434,2606686,1353454,258701.0,2289739,1997759,,1909,0.0,431484.0,,36942.0,109998.0,1130088,,,2846212.0,289810,,5579646.0,,,165288,71454,43818,250000,46390.0,126748,556473,3581887,0
2013-08-13,2,2013,12990,1827962,30763,1098389,343846.0,728213,377583,,84192,24571,11581,171918,46884,125034,,238585,198452,,,,11120,111822,111822,323820.0,31863,,,,,,,1487502.0,,596589,379409,227465.0,1130088,2013年06月30日,783154.0,,2686331,2568586,1353454,233803.0,2125722,2288677,,1940,81432.0,,323820.0,36076.0,199990.0,1130088,,,2432243.0,287780,,5118574.0,,,361273,67936,42567,0,,117745,306521,2829897,0
2013-11-12,3,2013,11875,1901719,25414,1181433,353704.0,728457,246254,,89244,50188,38313,210070,79609,130461,,240103,197445,,,,10947,147845,147845,386852.0,31863,,,,,,,1478309.0,,618498,357443,229156.0,1130088,2013年09月30日,866198.0,,2777605,2658712,1353454,233803.0,2115581,2304660,,1918,81432.0,,386852.0,30853.0,309977.0,1130088,,,2424918.0,289810,,5202523.0,,,230248,69234,42910,0,,118893,309337,2897863,0
2014-03-27,4,2013,0,1931642,25414,1234776,376022.0,755900,298001,,132944,13484,13484,230455,46083,184372,281868.0,246719,329799,,,,10967,215778,215778,422029.0,31863,,,,,,,1750091.0,,654664,373801,235752.0,1130088,2013年12月31日,919541.0,,2880102,2755755,1353454,233803.0,2357071,2476007,,1952,81432.0,,422029.0,35507.0,259988.0,1130088,,,2683713.0,289810,,5563815.0,,,203258,79923,43101,0,47931.0,124347,326642,3087808,0
2014-05-12,1,2014,0,2112419,25414,1271519,365540.0,746596,207994,,114786,16863,16863,188037,66735,121302,,231619,247908,,200361.0,,11149,209808,209808,536153.0,31863,0.0,,,,,,1700281.0,,631345,341999,220470.0,1130088,2014年03月31日,956284.0,,2900913,2774340,1353454,233803.0,2228494,2461160,,1945,81432.0,536153.0,,43365.0,259991.0,1130088,,,2737762.0,289810,,5638675.0,,,188278,77649,43233,200000,47547.0,126573,509268,3177515,0
2014-11-10,3,2014,0,2232029,25414,1234926,0.0,1137648,271563,,73062,28300,28300,273684,51784,221900,,236294,252267,,204991.0,,11262,165720,165720,341752.0,31863,0.0,,,,,,1585041.0,,698885,372385,225032.0,1130088,2014年09月30日,976225.0,,2844731,2698053,1353454,258701.0,2389489,2244840,,1958,0.0,341752.0,,24868.0,479717.0,1130088,,,3092367.0,291840,,5937098.0,,,392414,71584,42942,395000,47276.0,146678,702878,3692258,0
2015-03-30,4,2014,6250,2227418,25414,1267414,0.0,1235908,308865,,113419,51310,45060,310456,64710,245746,192804.0,266356,243194,,,,10385,116949,116949,592998.0,31863,0.0,,453724.0,,,,1392363.0,,586225,393602,255971.0,1130088,2014年12月31日,1008713.0,,2965400,2810997,1353454,258701.0,1840159,2217526,,2021,0.0,592998.0,,37621.0,50000.0,1130088,,,3031377.0,331939,,5996777.0,,6850.0,217296,75538,45296,388750,50390.0,154403,1191218,3779251,0
2015-05-06,1,2016,114287,2323766,25414,1348990,,1154981,247096,,11764,138402,24115,373960,61474,312486,,257265,293624,,245995.0,,10047,106521,106521,272206.0,31863,0.0,,447530.0,,,,1115509.0,,514377,286321,,1138832,2016年03月31日,1067701.0,32287.0,2972772,2811187,1353454,281289.0,1533294,1804805,247218.0,1973,0.0,,272206.0,,,1138832,5651552.0,2678780.0,,343464,5651552.0,,,1970.0,251420,59497,46989,379224,47629.0,161585,1145486,3846747,0
2015-05-12,1,2015,40678,2239858,25414,1309841,0.0,1208084,205741,,80995,59978,19300,318024,57858,260166,,259216,243719,,194123.0,,10534,145017,145017,473706.0,31863,0.0,,456118.0,,,,1367421.0,,542804,348472,,1130088,2015年03月31日,1051140.0,43176.0,2977293,2821000,1353454,258701.0,1676316,2036321,248682.0,2101,0.0,,473706.0,,0.0,1130088,5801164.0,2823871.0,,331939,5801164.0,,,5900.0,208298,71999,45667,354322,49596.0,156293,1147555,3764843,0
2015-08-12,2,2015,63296,2314599,25414,1196436,0.0,1198675,427240,257727.0,65885,98891,35595,338783,72221,266562,,262673,254206,205623.0,205623.0,6750.0,10733,114530,114530,456166.0,31863,0.0,458512.0,458512.0,,,,1423912.0,169513.0,613878,358986,,1130088,2015年06月30日,915148.0,18956.0,2848730,2692485,1353454,281288.0,1968999,2106679,251940.0,1974,0.0,,456166.0,,0.0,1130088,5947770.0,3099040.0,,331939,5947770.0,,,6750.0,224336,70402,46223,331704,48583.0,156245,1130041,3841091,0
2015-11-12,3,2015,97854,2296508,25414,1257307,0.0,1178750,262063,,40459,127538,29684,342409,64727,277682,,255346,277464,,227226.0,,10539,126343,126343,,31863,0.0,,460905.0,,,,1204832.0,,567555,355521,,1130088,2015年09月30日,976018.0,8741.0,2894898,2729960,1353454,281289.0,1603174,1808999,244807.0,2054,0.0,,315841.0,,0.0,1130088,5635066.0,2740168.0,,333969,5635066.0,,,5750.0,101330,67847,45877,347146,50238.0,164938,1136994,3826067,0
2016-03-29,4,2015,114400,2349662,25414,1287333,0.0,1142335,310521,,-297,131262,16862,373513,71193,302320,,270027,254029,,205864.0,,10357,102960,102960,238418.0,31863,0.0,,463206.0,1139370.0,,,,,493019,345804,,1130132,2015年12月31日,1006044.0,20858.0,2881113,2719323,1353454,281289.0,1602011,1785082,259670.0,1982,0.0,,238418.0,,0.0,1130132,5605302.0,2724189.0,,334018,5605302.0,,,4749.0,231368,59846,46798,324350,48165.0,161790,1122178,3820220,0
2016-08-10,2,2016,511600,2396498,25414,1276851,,1141342,456995,286171.0,-5502,532695,21095,359715,63565,296150,,244296,254563,208457.0,208457.0,0.0,11017,119011,119011,291562.0,31863,0.0,0.0,0.0,,49996.0,49996.0,1297918.0,170824.0,599863,306225,,1146859,2016年06月30日,974029.0,34783.0,2897362,2738582,1353454,302523.0,2373636,1927836,233279.0,1923,299.0,,291562.0,,,1146859,5795622.0,2898260.0,,352237,5795622.0,,1249.0,0.0,251460,57964,48046,222364,46106.0,158780,524624,3867786,0
2016-11-10,3,2016,428114,2411381,25414,1382392,0.0,1119759,299083,,-30946,451527,23413,380700,76671,304029,,225054,268301,,223939.0,,11006,101764,101764,,31863,0.0,,0.0,,,,1178938.0,,615333,339198,,1199524,2016年09月30日,,32142.0,3080384,2924736,1353454,,1961831,1734330,214048.0,1863,,,253975.0,,141.0,1199524,5610379.0,2529995.0,,405629,5610379.0,,,0.0,43360,55547,49331,287563,44362.0,155648,568164,3876049,0
