date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,工程存出保證金,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據及款項合計,除役、復原及修復成本之長期負債準備,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-19,1,2013,,,115282,1321540,444335,107837,,12785,10,115982,700,40068,40068.0,0.0,32809,,0.0,4263,255909,255909.0,0.0,,,,152279,,900.0,,280125,354498,1004082,2013年03月31日,393923,,1960961,1960961,0,50412,480330,1432016,5787,,390800.0,1300.0,,,97831.0,11288.0,92044,1004082,,4078,,854652.0,512534,,,,,2815613.0,,,400,22161,,369844,0.0,4078.0,374322,1383597,,28546,0
2013-07-19,2,2013,,,112189,1273494,457616,174396,114151.0,11630,176,112603,414,37270,37270.0,0.0,63628,176.0,0.0,4734,236363,236363.0,0.0,,,,145976,,400.0,60245.0,320351,329963,1004082,2013年06月30日,398660,,1914163,1914163,0,58956,717204,1621542,5637,,390800.0,1300.0,,,295165.0,2585.0,281244,1004082,,4109,,1072284.0,452289,851.0,451438.0,,,2986447.0,,,571,20846,,350400,0.0,4109.0,355080,1364905,,58894,0
2013-10-25,3,2013,,,115549,1237032,475865,103433,,15178,71,116151,602,36198,,0.0,95980,71.0,0.0,4710,259798,,,,,,169618,,100.0,,271841,362282,1004082,2013年09月30日,416909,,1932307,1932307,0,58956,711448,1660285,4862,,390800.0,1300.0,,,313122.0,5277.0,316869,1004082,,4140,,1087980.0,452289,851.0,451438.0,,,3020287.0,,,302,20828,372090.0,372090,0.0,4140.0,376532,1360002,11066.0,91270,0
2014-01-22,4,2013,,,261267,1179069,496587,104734,104734.0,1081,223,261873,606,39,,0.0,130163,223.0,0.0,4480,276975,,,,,,189580,,68.0,,259084,361980,1004082,2013年12月31日,437631,,1953181,1953181,0,58956,839202,1651191,4794,,390800.0,1300.0,,,292410.0,7710.0,275237,1004082,,4171,,1034754.0,452289,851.0,451438.0,,,2987935.0,,,201,21418,,191180,0.0,4171.0,195552,1336744,68822.0,125683,0
2014-04-28,1,2014,,,292686,1125414,521095,107654,107654.0,926,182,293381,695,30,30.0,,133750,182.0,,4478,300601,300601.0,,,,,179512,,162.0,,370645,315763,1004082,2014年03月31日,462139,,1977648,1977648,0,58956,796740,1646485,4044,,390800.0,1300.0,,185589.0,,11031.0,205000,1004082,,4202,,955040.0,452289,851.0,451438.0,,,2932688.0,,752.0,295,21695,,153803,,4202.0,158300,1286203,81379.0,129272,0
2014-07-28,2,2014,,,255248,1166110,555174,171947,121743.0,1970,11,256512,1264,60,,,54372,11.0,,4489,318570,,,0.0,,447128.0,217207,,0.0,50204.0,359251,452272,1004082,2014年06月30日,490171,,1998774,1998774,0,65003,818994,2082566,6327,,481800.0,1300.0,,379424.0,,7728.0,155000,1004082,,4233,,1333464.0,439507,851.0,401234.0,37422.0,,3332238.0,10600.0,,793,21563,,62316,,4233.0,514470,1249672,89219.0,49883,0
2014-10-30,3,2014,,,219300,1122512,586004,141585,141585.0,1400,282,221243,1943,22,,65418.0,141232,282.0,65418.0,7466,364363,,,0.0,,449661.0,205938,,0.0,,386219,400359,1004082,2014年09月30日,521001,,2029875,2029875,0,65003,667196,1924242,6421,,391800.0,1300.0,,283304.0,,12298.0,72632,1004082,,4264,,1187647.0,439507,851.0,401234.0,37422.0,,3217522.0,13500.0,,1108,21815,,0,,4264.0,520451,1293280,96775.0,133766,0
2015-02-11,4,2014,,73500.0,73500,1121684,611986,144967,,2733,631,74440,940,31,,23390.0,142016,,23390.0,7788,427124,,,0.0,452209.0,452209.0,157522,,0.0,,403602,279483,1004082,2014年12月31日,546983,,2056206,2056206,0,65003,554817,1960320,5873,,405230.0,1300.0,,333184.0,,14870.0,149668,1004082,,4295,,1197953.0,439507,,,,,3254159.0,13350.0,,3492,22966,159750.0,159750,,4295.0,643136,1293839,108933.0,134228,0
2015-04-27,1,2015,,,74500,1088535,627909,122550,122550.0,3550,516,76472,1972,51,,23390.0,146912,516.0,23390.0,7837,419713,419713.0,,,,454715.0,129873,,0.0,,557717,211426,1004082,2015年03月31日,562906,17684.0,2072014,2072014,0,65003,393007,1864919,5584,393119.0,,,1300.0,,175684.0,,33828,1004082,3128761.0,4326,1056747.0,,439507,851.0,401234.0,37422.0,3128761.0,,12600.0,0.0,1726,21511,,179583,,4326.0,663740,1263842,103659.0,139075,0
2015-08-03,2,2015,457263.0,67000.0,524263,1120566,638744,173077,,1565,375,525696,1433,79,,23390.0,104572,,,7845,409129,,,,,0.0,138814,,,,483239,269451,1004082,2015年06月30日,562201,8917.0,2032504,2032504,0,76543,874989,1858452,5439,418929.0,,,1300.0,,191830.0,,8635,1004082,3100502.0,4357,1067998.0,,389303,,,,3100502.0,,19850.0,,553,10173,164709.0,164709,,,193009,1242050,84230.0,96727,0
