date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,7467053,7467053,54260207,,-42931259,-4148272,153468.0,1465714,4638890,253478,295471,32882,-4379372,10634557,341193,2846818,430078,61537.0,-231100,31048,53347.0,4056487,4056487.0,0.0,,,1419199.0,8032022,3043930,4742002,385865,53932,3364780,434318,27008,2453360.0,4244923,64794541,2013年03月31日,-42931259.0,,20860202,17662402,0,52210958,28517274,,1767768,,2603976.0,,,,16861485.0,192589.0,20233693,64794541,,,,880217,,70525462.0,178492,,91385664.0,0,,3834,,1723464,699700,11444806,362410,315194.0,3197800,18314504,62868390,,683565,2826311,0
2013-08-13,2,2013,81087.0,7764701,7845788,55404096,,-46426168,-2313849,126981.0,1137860,6498031,146933,465146,18444,-2391334,10795233,427659,2600668,712349,712349.0,-69701,25638,,5403649,,,2132578.0,,1434010.0,8755692,3222616,4844371,234024,35208,5095795,70077,26293,2459818.0,1225780,64794541,2013年06月30日,-46426168.0,,22544644,16155541,0,58834267,35408250,,1849604,,5067766.0,17130.0,,,15862857.0,274904.0,23593281,64794541,-7784.0,420140.0,,468660,,73797033.0,178502,,96341677.0,13834,,0,,1635183,586608,8824245,115212,,6389103,14962766,60933427,,1138664,2521786,0
2013-11-06,3,2013,1530453.0,7724187,9254640,53558472,,-45956012,-2368520,108038.0,1102104,5665433,132330,1503809,36594,-2733647,11553320,428946,2601439,637776,637776.0,-365127,34494,,5848109,,,,,0.0,8357193,2974682,3800324,302378,26182,5715490,151877,48282,2427095.0,1167176,64794541,2013年09月30日,-45956012.0,,22786043,16425882,0,56065926,33340489,,1706091,,4543275.0,,,,14130003.0,214568.0,23036920,64794541,,,,479478,,69656029.0,321000,,92442072.0,2596,,8116,,1852125,929964,8657061,139850,,6360161,13590103,59101583,,1246896,1869734,0
2014-03-21,4,2013,1545967.0,7811260,9357227,51676375,,-45594351,-2381389,98265.0,2250817,6592373,269033,1716051,37223,-2551016,11485864,305057,2500441,635697,,-169627,23139,,5434640,5434640.0,,,,0.0,8386696,2708145,3763561,197038,0,6184630,125147,109546,2288451.0,202059,64794541,2013年12月31日,-45594351.0,,23594717,16970698,0,56467258,32136406,,1481862,,3963826.0,,,,13579147.0,132029.0,22913127,64794541,,,,466491,,66919581.0,321524,,90514298.0,19392,320959.0,0,783783.0,2056710,1347299,5107722,188851,,6624019,10452323,58377892,,887931,1823580,0
2014-04-28,1,2014,1479378.0,8249472,9728850,50726051,,-45518101,-2229792,103490.0,2403869,6157673,431914,887882,43322,-2112844,11467576,311751,2481333,678629,,116948,23607,,5946675,,,,0.0,9439.0,8459455,2466360,0,303452,51009,7205478,116875,277979,2255427.0,199143,64794541,2014年03月31日,-45518101.0,,24453465,17483631,0,58722307,43770827,,1446045,,7882036.0,,,20358881.0,,226432.0,29155351,64794541,,,,479728,,77210188.0,320035,,101663653.0,3085,460725.0,0,933090.0,2091817,1505999,12964839,202299,,6969834,18487881,57892826,,948209,1426975,0
2014-08-07,2,2014,1504301.0,4462711,5967012,49351449,194156.0,-45524485,-1902278,96675.0,2824914,5604698,2031661,889418,59563,-2083713,7408647,318087,2430701,661501,,-181435,24618,,6054485,,,0.0,0.0,0.0,8429935,2083793,1209643,224867,43411,6065165,646352,29162,2207823.0,195815,64794541,2014年06月30日,-45524485.0,,24492281,17507264,0,49822593,37827159,,1399171,,6404837.0,0.0,,16741935.0,,123941.0,22661997,64794541,0.0,0.0,,476233,,70357160.0,320921,,94849441.0,0,924839.0,4649,1305670.0,1701567,1089606,15001227,198260,,6985017,20534567,57022282,,834918,1123548,0
2014-11-11,3,2014,600000.0,4342709,4942709,48642073,197773.0,-48071320,-1598307,0.0,3522545,6373855,2049073,1099653,133991,-1479573,6347472,432846,2379245,791792,,118734,17939,,6933121,,,,0.0,600000.0,8638211,1897423,2464968,245807,18252,6039179,46790,7393,2160681.0,186303,64794541,2014年09月30日,-48071320.0,,23899798,15566243,0,54174332,38552590,,1458807,,5668633.0,5028384.0,,17689706.0,,118316.0,25993666,64794541,,,,477820,,77355214.0,322595,,101255012.0,27289,1355888.0,0,1812583.0,1720261,1062162,16647668,200625,,8333555,23180882,62702422,,934124,971917,0
2015-03-30,4,2014,600000.0,5075334,5675334,48486446,206897.0,-50528216,-1989644,0.0,2977004,6229208,1872482,1151480,118925,-1405114,7329114,356070,2663863,542191,,584530,408874,,5654453,5654453.0,,,0.0,600000.0,8557372,1640729,5159421,295885,23238,6292905,79728,6832,2060566.0,191765,64794541,2014年12月31日,-50528216.0,,21616002,13182359,0,54348339,41224615,,1370202,,4947116.0,8725856.0,,20603486.0,,290701.0,22101130,64794541,,,,461349,,83736040.0,321148,,105352042.0,849059,0.0,1465581,10646.0,2118547,1616420,23543942,194423,,8433643,29387701,64127427,,904109,1297710,0
2015-05-08,1,2015,600000,11570981,12170981,47267697,203836,-51687778,-1995509,0,2913795,5716216,1960061,1364889,118783,-1958152,14010074,322478,2687463,638972,,37357,408065,,5047792,,,,,300000,8376899,1730410,5088190,84695,30934,5565394,232350,126,,185281,64794541,2015年03月31日,-51687778,183155,19730063,11469759,0,60339874,46789975,2010782,1406606,10098465,,,8560076,,22051514,,22324868,64794541,,,109385578,456248,89655515,,321148,109385578,,834372,0,1451343,3917,1914143,1415423,23957787,268616,,8260304,29315641,62595603,,859319,1516615,0
2015-08-12,2,2015,600000.0,12058210,12658210,44625490,201910.0,-52896494,-2078223,0.0,2726704,6022789,1486658,1352998,93230,-2375303,13333569,447622,2603224,1121931,617155.0,-297080,399911,,4952183,4952183.0,,,0.0,300000.0,8177926,1615304,3782020,31054,24572,4614601,385755,39,,174443,64794541,2015年06月30日,-52896494.0,117280.0,18109273,9843892,0,57648713,43163221,1956616.0,1297966,9561053.0,,,8479227.0,,19849352.0,,22246303,64794541,,,103096434.0,413419,84987161.0,,321148,103096434.0,,811238,0.0,1457602,0.0,1388299,1305542,22633506,246697,,8265381,27338448,59933213,504776.0,896408,227737,0
