date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,2144902,2144902,4976657,27000,1495156,320962,0.0,448966,,142343,-52979,2195537,50635,1351838,52652,,1299186,595833,151726,110525,1021988,426155,,21084397,276570,0.0,,,902956,88741,419720,98851,,3099883,28700,41201.0,302584,7081803,2013年03月31日,73881,,,12549444,10207899,19013000,839208,11307191,28330834,,,582067,,1532652.0,26841.0,,7085682,7081803,,,23447915.0,1960489,,35997359.0,39097,101726,,74672,1338296,800,,0,,11914326,11914326,,2341545,12140724,7666525,668333,,,0
2013-08-13,2,2013,1134002,1134002,4917277,24300,1400719,145137,0.0,586427,,84124,-99306,1189303,55301,1328247,28082,,1300165,616955,151575,108953,1081372,464417,,20381719,276570,0.0,689167.0,,973553,106070,419778,148178,,3139913,23874,42622.0,299047,7081803,2013年06月30日,-408139,,,12254235,9929301,19013000,878302,10578180,27548238,,,930556,,1609779.0,28930.0,,7066817,7770970,,,22864783.0,1133488,,35119018.0,59124,72377,,71625,1248784,0,,5526,,12063403,12063403,,2324934,12286603,7570780,757542,,,0
2013-11-12,3,2013,5981789,5981789,4848511,24300,1420182,108337,0.0,496069,,218225,-269760,6043235,61446,1344406,42862,,1301544,664864,141059,102415,1177025,512161,,19731972,276570,0.0,0.0,,955517,88912,229871,66363,,3107939,21330,38644.0,294230,7770970,2013年09月30日,-388676,,,13823387,9800939,19013000,878302,14590568,28014718,,,930556,,2492307.0,13101.0,,6652641,7770970,,,21780092.0,1156117,,35603479.0,31048,52282,,60983,1244695,13811,,0,,6987482,6987482,,4022448,7189524,7588761,937920,,,0
2014-03-24,4,2013,551013,551013,4907030,24300,1595928,123195,0.0,509953,,125301,-174436,627503,76490,1352195,2726,525819.0,1349469,476548,134471,94875,865340,388792,,22433127,276570,0.0,,,1064361,156578,229896,73440,,3138740,36695,39596.0,294364,7770970,2013年12月31日,-212930,,,14107019,10064780,19013000,878302,9611028,30225879,,525819.0,930556,,1828222.0,81230.0,19174.0,6835614,7770970,,,24157034.0,1148888,,38264053.0,26223,20124,,109730,1405431,6230,737.0,0,15890.0,14301068,14301068,,4042239,14546006,8038174,1149106,,,0
2014-05-12,1,2014,713226,713226,4992361,24300,1727394,120081,,564152,,105821,71900,778040,64814,1410929,8520,528758.0,1402409,454929,88378,88378,872681,417752,,22297849,276570,,,0.0,1235520,93803,257867,95456,,4247632,16042,0.0,301436,7770970,2014年03月31日,-81464,,,14482711,10427182,19013000,878302,10278301,31293272,,528758.0,930556,1920007.0,,21478.0,20787.0,7119822,7770970,,,24887458.0,1133488,,39370169.0,109259,12580,,119520,1351574,2904,11814.0,12807,5787.0,14389445,14389445,,4055529,14609157,8076897,1128737,,,0
2014-08-13,2,2014,1076979,1076979,4959574,17739,2389592,53134,,1247703,577110.0,424013,-202073,1165682,88703,1398014,4491,403659.0,1393523,465932,79011,79011,873834,407902,107175.0,22769062,0,,0.0,0.0,1406635,106720,277851,79204,670593.0,4493938,29735,0.0,259558,7770970,2014年06月30日,1336854,,,14537015,10673571,0,878302,11423040,32063530,,510834.0,174436,1924106.0,,181871.0,8443.0,6921005,7770970,,,25378665.0,715082,,39915680.0,26873,24795,,110755,1230611,9496,57312.0,0,0.0,13708547,13708547,,3863444,13955625,7852150,938290,,,0
2014-11-13,3,2014,1409742,1409742,4961083,17739,3239390,61257,,770057,770057.0,202149,17074,1478034,68292,1370420,9039,411202.0,1361381,414881,82202,82202,819491,404610,131982.0,24835003,0,,,0.0,1771223,101410,367788,104444,,4432901,30709,0.0,263887,7770970,2014年09月30日,2186652,,,15685780,11742516,0,878302,12474541,34416293,,543184.0,174436,2364640.0,,303960.0,35354.0,7519770,7770970,,,26420039.0,715082,,42105819.0,50190,89920,,126457,1083104,7665,38365.0,4820,1038.0,13698474,13698474,,3943264,13945498,7689526,989120,,,0
2015-03-27,4,2014,1476406,1476406,5398734,20691,3425232,100381,,892820,,144393,468956,1543707,67301,1475142,2393,419629.0,1472749,429430,105847,95433,900819,471389,137320.0,27842367,0,,,0.0,1650309,121668,367809,342654,,3974090,18388,10414.0,274043,7770970,2014年12月31日,2372494,,,16510386,12380240,0,878302,13744887,37187239,,556949.0,174436,1980940.0,,268910.0,750.0,8466171,7770970,,,29069545.0,715082,,45579931.0,71996,122607,,124869,1241456,18843,81101.0,31267,0.0,15012841,15012841,,4130146,15324658,8392692,1496914,,,0
2015-05-12,1,2015,1304905,1304905,5388043,20691,3476652,80270,,652763,,103065,199614,1382712,77807,1637323,11089,445672.0,1626234,404019,75845,70058,1016845,514037,152667.0,28692331,0,,,0.0,1823271,127556,409674,219112,,4583675,41493,,270504,7770970,2015年03月31日,2423914,272476.0,27821.0,16215837,12162318,0,878302,13843537,39144316,5787.0,598339.0,174436,,2419179.0,,,8870495,7770970,47694331.0,31478494.0,,715082,47694331.0,,36949,27767,,53804,1255593,48529,113922.0,26520,0.0,17391386,17391386,98789.0,4053519,17634957,8550015,1504872,2357.0,1502515.0,0
2015-08-12,2,2015,1114314,1114314,5377174,20691,2675518,97194,,1176305,573823.0,370840,37158,1186812,72498,1631775,1068,493602.0,1630707,391339,69733,69733,1028748,540137,119633.0,28986029,226929,,310839.0,0.0,1698390,114110,409697,308638,602482.0,4435204,50419,,266200,7770970,2015年06月30日,1385531,217796.0,106230.0,15214778,11282638,13692000,1115551,13320385,38939101,0.0,613235.0,174436,,2028981.0,,,8116323,8081809,47373900.0,32159122.0,,715082,47373900.0,,45105,195695,,70127,1128751,47209,105416.0,18839,,18593461,18593461,97272.0,3932140,18838737,8434799,1017895,2335.0,1015560.0,31083881
2015-11-12,3,2015,3746214,3746214,6740324,17853,2415062,89061,,634301,634301.0,271136,743983,3874430,128216,1680850,35,498923.0,1680815,359036,78087,78087,839977,381965,141144.0,29007517,463629,,,0.0,1554761,258719,459698,102892,,4300390,68614,,283004,8081809,2015年09月30日,1125075,180836.0,139976.0,15658281,11492307,29753000,1115551,15544935,39710462,0.0,640067.0,174436,,2728086.0,,,8281328,8081809,49407872.0,33749591.0,,715082,49407872.0,,142036,102295,,57594,1176185,55934,163210.0,25376,0.0,17905765,17905765,98976.0,4165974,18204656,9697410,1297161,2390.0,1294771.0,0
2016-03-30,4,2015,3475597,3475597,6718697,19853,2294153,79278,,659926,,168455,803907,3552450,76853,1725528,233,489334.0,1725295,435501,136610,108547,700535,168792,144250.0,27942543,555084,,,0.0,1160898,210748,459734,120464,,3446843,57751,,282083,8081809,2015年12月31日,1004166,188861.0,143425.0,15430973,11339867,36203000,1115551,14115606,37365188,28063.0,633584.0,174436,,2574614.0,,,7578336,8081809,47071805.0,31640832.0,,715082,47071805.0,,133834,113794,167.0,147406,1351698,50355,124659.0,27245,,17116551,17116551,96242.0,4091106,17525226,9706617,1085712,2338.0,1083374.0,0
2016-05-13,1,2016,945155,945155,6686333,19853,2143172,91385,,510728,,319638,494652,1038922,93767,1911733,0,470475,1911733,413066,135470,105591,647125,139796,141827,24418205,647576,,,0,1145024,194497,409715,108890,,4120443,53395,,276060,8081809,2016年03月31日,853185,187657,145143,14816581,10787139,42835000,1115551,10646300,35309992,29879,612302,174436,,3010002,,,6770098,8081809,44896017,30079436,,715082,44896017,,85533,68943,139,63252,1344213,195236,28767,17926,,19205647,19205647,94263,4029442,19433136,9586025,1153179,2304,1150875,0
2016-08-10,2,2016,1182206,1182206,6623402,16200,2099065,98747,,1132709,552243.0,160644,475372,1256915,74709,1842028,2019,460419.0,1840009,442181,124742,105547,740782,207061,141975.0,23375284,647932,,229604.0,0.0,1196776,214472,559692,104364,580466.0,4021163,61785,,276308,8081809,2016年06月30日,809078,39370.0,124250.0,14448188,10570327,42858000,1115551,11461493,33581402,19195.0,602394.0,174436,,2662114.0,,,6535187,8311413,43174735.0,28726547.0,,332409,43174735.0,,223806,76073,0.0,148125,1334247,198202,32271.0,19483,,16959916,16959916,91540.0,3877861,17265054,9593333,1139831,2251.0,1137580.0,0
2016-11-11,3,2016,748243,748243,6606222,16200,2153185,166894,,563087,563087.0,171191,96396,826533,78290,1729388,586,437663.0,1728802,449638,115045,100133,727786,187129,138145.0,23256138,57346,,,0.0,1332509,152623,559601,121408,,3984576,61140,,267965,8311413,2016年09月30日,863198,70314.0,100815.0,14863570,10888037,4118000,1115551,11324019,34669783,14912.0,575808.0,174436,,3817253.0,,,7393738,8311413,44064183.0,29200613.0,,384389,44064183.0,,136589,71393,0.0,142262,1200419,167617,29030.0,0,,17590257,17590257,91019.0,3975533,17876594,9394400,1310995,2172.0,1308823.0,0
