date,season,year,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－流動,以成本衡量之金融資產－流動淨額,保固之短期負債準備,保固之長期負債準備,保留盈餘合計,保證合約之短期負債準備,保證合約之長期負債準備,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產未實現損益－採用權益法之關聯企業及合資,備供出售金融資產未實現損益－母公司,備供出售金融資產評價調整－流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵呆帳－應收票據,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收票據,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他短期負債準備,其他金融資產－流動,其他長期借款,其他長期負債準備,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,分期償付之借款,原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－非流動,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,員工福利負債準備－流動,商譽,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）－採用權益法之子公司,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）－採用權益法之關聯企業及合資,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）－母公司,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,工程進度請款金額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付帳款合計,應付帳款－關係人合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據貼現,應收票據－關係人淨額,持有供交易金融負債評價調整－非流動,持有供交易金融負債－非流動,持有至到期日金融資產－流動,持有至到期日金融資產－流動淨額,指定按公允價值衡量之金融負債信用風險變動影響數-採用權益法之子公司,指定按公允價值衡量之金融負債信用風險變動影響數-採用權益法之關聯企業及合資,指定按公允價值衡量之金融負債信用風險變動影響數-母公司,指定按公允價值衡量之金融負債信用風險變動影響數總額,按攤銷後成本衡量之金融負債－非流動,採用權益法之投資淨額,普通股股本,會計項目,有待法律程序決定之短期負債準備,有待法律程序決定之長期負債準備,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,現金流量避險中屬有效避險部分之避險工具利益（損失）－採用權益法之子公司,現金流量避險中屬有效避險部分之避險工具利益（損失）－採用權益法之關聯企業及合資,現金流量避險中屬有效避險部分之避險工具利益（損失）－母公司,當期所得稅負債,短期借款合計,確定福利計畫再衡量數--採用權益法之子公司,確定福利計畫再衡量數-採用權益法之關聯企業及合資,確定福利計畫再衡量數-母公司,確定福利計畫再衡量數總額,累計減損－以成本衡量之金融資產－流動,累計減損－備供出售金融資產－流動,累計減損－持有至到期日金融資產－流動,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之權益－採用權益法之子公司,與待出售非流動資產直接相關之權益－採用權益法之關聯企業及合資,與待出售非流動資產直接相關之權益－母公司,與待出售非流動資產直接相關之負債,虧損性合約之短期負債準備,虧損性合約之長期負債準備,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產評價調整－流動,透過其他綜合損益按公允價值衡量之金融資產－流動,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,重估增值合計,重估增值－採用權益法之子公司,重估增值－採用權益法之關聯企業及合資,重估增值－母公司,重組之短期負債準備,重組之長期負債準備,銀行長期借款,銷貨退回及折讓之短期負債準備,長期借款合計,長期應付款,長期應付票據,長期應付票據及款項合計,長期預付租金,除役、復原及修復成本之短期負債準備,除役、復原及修復成本之長期負債準備,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-11-13,3,2013,3295681,,,,,,1479431,,,,,,,,,,,578627,578627,39282,,-67281,5574,264202,223596,1527,,40606,,,,149983,26073,,,,,26976,,,,,,-67281,12648,710749,,,,,,,,,1735388,292518,,809645,2154463,,0,,,,,,,,,,,,93262,1528273,2013年09月30日,,,1320510,,5355929,5239547,0,,3255484,5073583,28503,158921,,1095242,,,,,7560,635817,,,,,,,,1528273,,,,,,,,,,,,3285083,2299124,,,,8641012,,,,,29599,,,,,,,,,,,,,,,111262,,,,116382,29599,3567429,0
2014-03-21,4,2013,3305717,,,,,,1592086,,,,,,,,,,,643430,643430,46963,,6227,38044,301958,282044,2264,,19914,,,,153582,26180,,,,,27190,,,,,,6227,12778,666396,,,,,,,,,1472496,333157,,766930,1871607,,0,,,,,,,,,,,,96987,1719323,2013年12月31日,,,1433165,,6224394,6101490,0,,2828081,5496560,29454,158921,,1842706,,,,,1045,339909,,,,,,,,1719323,,,,,,,,,,,,2857906,2783854,,,,9082300,,,,,29825,,,,,,,,,,,,,,,114624,,,,122904,29825,3585740,0
2014-05-09,1,2014,3352720,,,,,,1696081,,,,,,,,,,,748391,748391,42266,,120644,28682,327843,303852,2022,,23991,,,,151937,22969,,,,,27797,,,,,,120644,13544,906906,,,,,0,,,,1610603,184702,,1251695,1152308,,,,,,,,,,,,,,99950,1719323,2014年03月31日,,,1537160,,6440845,6319902,0,,2913884,5750739,29819,158921,2069721,,,,,,299,341207,,,,,,,,1719323,,,,,,,,,,,,2944320,2783854,,,,9385165,,,,,30436,,,,,,,,,,,,,,,115424,,,,120943,30436,3634426,0
2014-08-13,2,2014,3374155,,,,,,1484830,,,,,,,,,,,934213,934213,23499,,5298,17321,386306,349572,1717,,36734,,,,141980,15738,,,,,27245,,,,,,5298,13801,946872,,,,85966,0,,,,1978361,257116,,1507922,1322440,,,,,,,,,,,,,,96357,1719323,2014年06月30日,,,1286420,,6187930,6079271,0,39489,3724037,6300388,28962,158921,2113349,,,,,,14330,522696,,,,,,,,1805289,,,,,,,,,,,,3753912,2783854,,2783854,,9941842,,,,,29875,,,,,,,,,,,,,,,112441,,,,108659,29875,3641454,0
2014-11-04,3,2014,3541316,,,,,,1645291,,,,,,,,,,,758793,758793,27261,,101625,36422,371914,331442,2433,,40472,,,,146654,19398,,,,,27751,,,,,,101625,13417,957112,,,,,0,,,,2321277,196505,,1451315,1924522,,,,,,,,,,,,,,99695,1805289,2014年09月30日,,,1446881,,6419514,6336059,0,39489,3699556,6331574,30184,158921,1599450,,,,,,21511,365048,,,,,,,,1805289,,,,,,,,,,,,3729909,2783854,,2783854,,10149423,,,,,30353,,,,,,,,,,,,,,,113839,,,,83455,30353,3817849,0
2015-03-19,4,2014,3662620,,,,,,1792421,,,,,,,,,,,722024,722024,39764,,327821,79889,392183,355313,3984,,36870,,,,162240,28994,,,,,28873,,,,,,327821,14861,942680,,,,,0,,,,2051019,373865,,1376821,1897672,,,,,,,,,,,,,,109594,1805289,2014年12月31日,,,1594011,,6795781,6709385,0,39489,3779950,6639884,32857,158921,1990764,,,,,,15050,538103,,,,,,,,1805289,,,,,,,,,,,,3811414,2783854,,2783854,,10607195,,,,,31464,,,,,,,,,,,,,,,118385,,,,86396,31464,3967311,0
2015-05-05,1,2015,3565749,,,,,,1863820,,,,,,,,,,,466630,466630,26093,,228576,117656,317216,277098,4484,,40118,,,,154101,24489,,,,,28554,,,,,,228576,13696,789652,,,,,,,,,1693984,141372,,1194574,1368644,,,,633,,,,,,,,,,111827,1805289,2015年03月31日,,,1665410,8480,6762602,6681539,0,39489,2881957,5810936,33038,158921,,2114124,,,,,,453835,,,,,,,,1805289,,,,,,,,9675651,,,2913049,,2783854,,2783854,9675651,,,,,,31092,,,,,,,,,,,,,,,115916,,,,81063,31092,3864715,0
2015-08-10,2,2015,3483282,0,0,0,0,0,1486023,0,0,0,0,0,0,0,0,0,0,975752,975752,23112,0,132020,11622,350108,310500,4352,0,39608,0,0,0,156843,30067,0,0,0,0,28153,0,0,0,0,,132020,12656,924793,0,,,0,0,0,0,0,1638967,212600,0,1038307,1486038,0,0,0,562,0,0,0,0,0,0,0,0,0,115026,1805289,2015年06月30日,0,0,1233193,9874,6282637,6207186,0,93909,3249995,5775678,32505,158921,,1952758,0,0,0,0,,401180,0,0,0,0,0,0,0,1805289,0,0,0,0,0,0,0,9563334,0,0,3280697,,2783854,,2783854,9563334,,0,0,0,0,30702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114120,0,0,,75451,30702,3787656,0
2016-03-17,4,2015,3367782,,,,,,1648650,,,,,,,,,,,652552,652552,18986,,208585,38215,364699,329883,,,34816,,,,135362,14518,,,,,29945,,,,,,208585,8038,1194853,,0,,,,,,,2201348,248420,,1289105,1545308,,1558,,,,,,,,,,,,0,1735289,2015年12月31日,,,1395820,14677,6283233,6219706,0,93909,3647587,6425070,35101,158921,,2010561,,,,,,492375,,,,,,,,1735289,,,,,,,,9963315,,,3680082,,2627182,,2627182,9963315,,,,,,32495,,,,,,,,,,,,,,,112806,,,5156,63527,32495,3538245,0
2016-05-10,1,2016,3233896,,,,,,1731160,,,,,,,,,,,575663,575663,21163,,132590,35693,319783,285577,,,34206,,,,144484,13181,,,,,29361,,,,,,132590,20807,1278178,,,,,,,,,1916822,76161,,1623968,1026272,,2163,,,,,,,,,,,,0,1735289,2016年03月31日,,,1478330,14951,6284431,6226221,0,93909,3102065,6006048,33965,158921,,1734521,,,,,,482775,,,,,,,,1735289,,,,,,,,9418393,,,3133962,,2627182,,2627182,9418393,,,,,,31897,,,,,,,,,,,,,,,110496,,,4604,58210,31897,3412345,0
