date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－買賣業淨額,庫藏股票,待售房地,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,營建用地,現金及約當現金合計,現金及約當現金總額,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,269519,93891,98141,3772,72870,1789,848,22605,564,223,47015,89105,11877,141,89105,11736,581260,553317,27943,13654,,,2652,37,,5949,,275,0.0,980496,2013年03月31日,-25301,,,1159889,1158078,602184,123442,34804,864490,,108947.0,553317.0,,84698.0,69.0,29762.0,980496,,,152758.0,70490,,1312647.0,31657,28849,28849,1811,117954,448157,,341,0
2013-08-09,2,2013,275091,93891,101396,3616,74290,965,1027,23861,516,162,1828,86972,15871,131,86972,15740,553317,553317,0,2584,,,3361,495,,11795,,289,0.0,980496,2013年06月30日,-22046,,,1159034,1154123,35280,123442,5337,821049,,84137.0,553317.0,,130828.0,102.0,0.0,980496,,,121158.0,50954,,1280192.0,34110,28849,28849,4911,115821,459143,,354,0
2013-11-07,3,2013,278053,93891,109144,3802,67993,882,574,27535,1109,166,33160,48796,16111,121,48796,15990,553317,553317,0,2584,,,175,74,,126,,127,0.0,980496,2013年09月30日,-14298,,,1170969,1165545,35280,123442,2240,794806,,79001.0,553317.0,,80797.0,133.0,0.0,980496,,,79885.0,50954,,1250854.0,43769,28849,28849,5424,77645,456048,,943,0
2014-03-19,4,2013,276566,92021,100329,3978,70265,3392,4036,29978,921,281,901,49356,15308,900,49356,14408,553317,553317,0,2584,,,9401,1071,,39961,,2475,0.0,980496,2013年12月31日,-23113,,,1165030,1159173,35280,123442,14785,803860,,96073.0,553317.0,,61387.0,150.0,0.0,980496,,,92990.0,50954,,1258020.0,41582,28849,28849,5857,78205,454160,,640,0
2014-05-07,1,2014,282080,92021,92121,3966,65119,3522,3937,24907,962,170,966,51446,29517,101,51446,14416,556869,553317,3552,2584,,0.0,3722,0,,3703,,2612,0.0,980496,2014年03月31日,-31321,,,1151630,1145894,35280,123442,8206,771394,,77300.0,553317.0,66226.0,,214.0,0.0,980496,,,88501.0,50954,,1240131.0,55601,28849,28849,5736,80295,468737,15000.0,792,0
2014-08-06,2,2014,288017,107021,94956,3890,67958,1717,1556,27620,1061,235,17769,54906,20383,90,54906,20293,557917,553317,4600,2584,,0.0,9237,621,,9489,,2839,,980496,2014年06月30日,-5373,,,1154967,1151442,35280,100329,12636,767979,,44014.0,553317.0,69038.0,,286.0,,980496,,,96391.0,50954,,1251358.0,61181,28849,28849,3525,83755,483379,,826,0
2014-11-05,3,2014,285684,106859,99291,3963,71312,2080,2644,30990,959,159,10478,53556,22760,81,53556,22679,582029,553317,28712,2584,,0.0,10175,0,,4236,,1838,,980496,2014年09月30日,-1038,,,1162767,1159147,35280,100329,37027,795584,,55532.0,553317.0,80105.0,,327.0,23813.0,980496,,,119432.0,50954,,1282199.0,54432,28849,28849,3620,82405,486615,,800,0
2015-03-18,4,2014,286061,106916,112871,2097,75951,4033,2591,35693,899,206,1193,54464,19069,70,54464,18999,585600,553317,32283,2584,,0.0,9754,459,34754.0,34754,3897.0,3897,,980496,2014年12月31日,12542,,,1181145,1177430,35280,100329,42182,818643,,50682.0,553317.0,80555.0,,378.0,27037.0,980496,,,125495.0,50954,,1306640.0,56896,28849,28849,3715,83313,487997,,693,0
2015-05-13,1,2015,286248,106586,104940,1094,74018,2046,299,33798,1043,211,1205,54857,14616,60,54857,14556,563432,553317,10115,2584,,0.0,728,0,,217,,430,,980496,2015年03月31日,4611,,458.0,1171280,1167604,35280,100329,6017,779535,0.0,,553317.0,,152992.0,,2200.0,980496,1261003.0,89723.0,,50954,1261003.0,,59408,28849,28849,3676,83706,481468,0.0,832,0
2015-08-12,2,2015,295159,106586,106650,3869,79622,2252,651,39052,1050,225,3589,56417,17660,50,56417,17610,578727,553317,25410,2584,,,543,848,,2141,,2628,,980496,2015年06月30日,5067,,412.0,1178371,1174568,35280,101583,18612,783222,0.0,,553317.0,,151273.0,,13919.0,980496,1282249.0,103878.0,,50954,1282249.0,,39932,28849,28849,3803,85266,499027,,825,0
