date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,商譽,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,2299.0,632805,26767,-76409,0.0,5314,,32977,4705.0,-8789,3108,809,22204,21572,,23643,,319285,0,,150118,4990,316174,92611,21572.0,0.0,836771,2013年03月31日,-76409,,751573,751573,0,807738,968590,,,,89013.0,,,124598.0,616545,836771,,,905546.0,0,,1657119.0,0.0,0.0,72477,,3759.0,0.0,97808,688529,,0
2013-08-09,2,2013,19145.0,624491,26767,-73521,0.0,5124,,34705,4419.0,-7624,33691,14546,21024,21572,,20131,,289752,0,,157356,6441,311860,115658,21572.0,0.0,836771,2013年06月30日,-73521,,755626,755626,0,683591,866687,,,,43720.0,,,80208.0,451398,836771,,,787574.0,0,,1543200.0,0.0,46.0,72477,,9934.0,0.0,103983,676513,,0
2013-11-06,3,2013,15661.0,609977,26767,-67064,,5810,,29941,5864.0,-7822,18627,2966,10315,21572,,20863,,281241,0,,148427,4863,326921,117725,21572.0,0.0,836771,2013年09月30日,-67064,,761885,761885,0,677878,876374,,,,36708.0,,,97600.0,476009,836771,,,777906.0,0,,1539791.0,11.0,0.0,72477,,5979.0,,100028,663417,,0
2014-03-24,4,2013,0.0,551252,26757,-78330,,5463,,33655,76068.0,-8934,2569,2569,19203,23744,,14016,,226706,0,,145417,10551,297384,106089,23744.0,0.0,836771,2013年12月31日,-78330,,749507,749507,0,637750,885990,,,,28315.0,,,132225.0,445558,836771,,,733971.0,0,,1483478.0,,0.0,72477,,0.0,,96221,597488,,0
2014-05-12,1,2014,0.0,543193,26757,-69801,,5091,,34403,16365.0,-7483,3118,3118,16875,23617,,13523,,204976,0,0.0,151683,4743,302610,94832,23617.0,0.0,836771,2014年03月31日,-69801,,759487,759487,0,625270,892287,,,,3047.0,,252478.0,,431323,836771,,,721364.0,0,,1480851.0,,1104.0,72477,,0.0,,96094,588564,,0
2014-08-11,2,2014,0.0,539588,26757,-68641,,7612,,35967,3496.0,-6698,924,924,17532,23617,,14988,,218225,0,0.0,128422,13232,283407,95325,23617.0,0.0,836771,2014年06月30日,-68641,,761432,761432,0,642709,911290,,,,0.0,,285745.0,,464164,836771,,,738803.0,0,,1500235.0,,7560.0,72477,,0.0,,96094,588945,,0
2014-11-10,3,2014,0.0,529295,26757,-72054,,6819,,38576,2801.0,-5820,718,718,19045,23617,,15790,,229037,0,0.0,153383,11448,308323,84517,23617.0,0.0,836771,2014年09月30日,-72054,,758897,758897,0,623288,899618,,,,0.0,,243241.0,,419163,836771,,,719382.0,0,,1478279.0,0.0,12654.0,72477,,0.0,,96094,578661,,0
2015-03-10,4,2014,,525152,26757,-76015,,8265,,44182,1984.0,-739,2241,2241,25452,27988,,13184,,210707,0,0.0,150012,7910,289704,85813,27988.0,0.0,836771,2014年12月31日,-76015,,760017,760017,0,511845,798969,,,,0.0,,168584.0,,307500,836771,,,612310.0,0,,1372327.0,,16725.0,72477,,,,100465,573358,,0
2015-05-11,1,2015,,515978,26757,-67247,,7769,,30627,4691.0,-5207,1866,1866,15405,22274,,12772,,219249,0,0.0,131976,10841,245648,79250,,0.0,836771,2015年03月31日,-67247,,764317,764317,0,442833,738625,22274.0,,0.0,,,,174382.0,267523,836771,1301901.0,537584.0,,0,1301901.0,,,0.0,72477,,,,94751,563276,,0
2015-08-12,2,2015,,507272,26757,-55476,,7769,,34656,198.0,-5207,3731,3731,25453,22274,,15372,,165769,0,0.0,81184,7985,304795,80781,,0.0,836771,2015年06月30日,-55476,,776088,776088,0,381655,695324,22274.0,,,,,,118328.0,254099,836771,1252494.0,476406.0,,0,1252494.0,,,0.0,72477,,,,94751,557170,,0
2015-11-11,3,2015,,499534,26757,-30069,,8802,,52290,18738.0,-4174,2811,2811,14245,22274,,16911,,191254,0,0.0,114370,10929,287567,80899,,0.0,836771,2015年09月30日,-30069,,802528,802528,0,381605,726880,22274.0,,,,,,134177.0,201205,836771,1278884.0,476356.0,,0,1278884.0,,,0.0,72477,,,,94751,552004,,0
2016-02-15,4,2015,,491710,26757,-21194,,10124,,49123,20394.0,-2852,3742,3742,27922,25901,,12586,,167989,0,0.0,123905,11660,269245,73064,,,836771,2015年12月31日,-21194,,812725,812725,0,312708,682634,25901.0,,,,,,124020.0,124278,836771,1223811.0,411086.0,,0,1223811.0,,,0.0,72477,,,,98378,541177,,0
2016-05-12,1,2016,162619.0,1675680,33970,14090,,8596,0.0,162885,18034.0,-4345,165822,3203,3294,24876,0.0,86392,11164.0,651560,0,0.0,217496,61986,724503,81001,,0.0,2223473,2016年03月31日,14090,23297.0,2275643,2269106,0,1005569,2414904,24876.0,11164.0,,,1500.0,,878528.0,374083,2223473,4250908.0,1975265.0,,35888,4250908.0,,,,93975,18702.0,850845.0,6537.0,969696,1836004,57984.0,0
2016-08-10,2,2016,224738.0,1635036,50375,85359,,8637,0.0,195289,,-4411,227417,2679,2994,25068,0.0,84231,11164.0,640567,0,0.0,295251,23833,634013,101435,,692.0,2223473,2016年06月30日,85359,0.0,2346796,2340309,0,931262,2337478,25068.0,11164.0,,,18494.0,,916191.0,189472,2223473,4167790.0,1820994.0,,35888,4167790.0,,,,93438,21683.0,771226.0,6487.0,889732,1830312,42278.0,0
2016-11-09,3,2016,158024.0,1599833,50375,106089,,8224,0.0,200923,,-4911,169830,11806,7751,25078,,115940,11164.0,558377,0,0.0,247301,10133,585443,90337,,643.0,2223473,2016年09月30日,106089,0.0,2366417,2360539,0,883501,2307968,25078.0,11164.0,,,17960.0,,1022686.0,255314,2223473,4133415.0,1766998.0,,35888,4133415.0,,,41.0,93479,21308.0,764940.0,5878.0,883497,1825447,43333.0,0
