date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,待分配股票股利,待註銷股本股數,應付員工紅利,應付帳款合計,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應付設備款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,銀行借款,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,182772,11606,197732,2066.0,,2111.0,48237,30505.0,,,1835,,,1305,1305.0,45836,9792,36044.0,,1140,60,1882,1389.0,-231.0,-231,542.0,493.0,136120,,,,12250,52869,0.0,,4294,,1188.0,165372,11994.0,538.0,387280,2013年03月31日,173481,,,812796,818955,0,24251,134287,740335,,9517,,381013.0,0.0,31876.0,387280,,,135427.0,232108,232108.0,,948223.0,,0,,-6159.0,1140,207888,,,,0
2013-07-22,2,2013,175821,11606,165034,737.0,19973.0,774.0,113202,31978.0,,,281,,,3811,3811.0,61478,23815,37663.0,,1133,53,6097,5556.0,-456.0,-456,542.0,493.0,124880,,23237.0,,16744,47226,0.0,58092.0,6073,,315.0,187303,11137.0,538.0,387280,2013年06月30日,128958,,,799334,807940,0,36076,198227,802981,,1415,,398210.0,0.0,33988.0,410517,,,199360.0,232108,232108.0,,998694.0,,0,,-8606.0,1133,195713,48.0,,,0
2013-10-17,3,2013,195234,11606,210558,571.0,19940.0,641.0,40093,25654.0,,,-51625,-51903.0,,4676,4676.0,19113,18789,324.0,,1126,46,2069,1648.0,-293.0,-293,542.0,421.0,146106,,,,8031,50810,0.0,,4310,,2098.0,199550,245.0,538.0,522127,2013年09月30日,174482,,,1243014,1243014,0,36076,95579,1128568,,1601,,743614.0,0.0,0.0,522127,,,96705.0,561954,,,1339719.0,,0,,0.0,1126,211151,,,,0
2014-02-26,4,2013,200570,11606,280014,0.0,,0.0,52646,30941.0,,,-43483,-43689.0,-43689.0,2991,2991.0,29625,29301,324.0,4312.0,4902,38,7811,3499.0,,206,542.0,,146520,,,,15000,60600,0.0,,6705,,,168678,154.0,4322.0,522127,2013年12月31日,243938,,,1320612,1320612,0,36076,161214,1221489,,1432,,876512.0,44977.0,0.0,522127,,,166116.0,561954,,,1486728.0,,43820,,0.0,4902,265239,,,,0
2014-04-30,1,2014,250222,11606,350261,0.0,,0.0,50260,23094.0,,,-36399,-37138.0,-37138.0,17457,17457.0,33741,33120,621.0,3962.0,4800,30,13482,9520.0,,739,542.0,,166976,,,,18750,61924,,,8416,,,119013,430.0,4228.0,522127,2014年03月31日,314185,,,1397943,1397943,0,36076,178811,1261318,,1106,941158.0,,42219.0,6951.0,522127,,,183611.0,561954,,,1581554.0,,43820,,0.0,4800,320236,,,,0
2014-07-18,2,2014,292518,11606,263725,0.0,0.0,0.0,191305,24507.0,,,-30471,-30515.0,-30515.0,1901,1901.0,23356,22735,621.0,3962.0,4698,23,13065,9103.0,44.0,44,542.0,,175036,,31327.0,0.0,22500,75863,,130532.0,10126,,3640.0,203171,31.0,4133.0,522127,2014年06月30日,206317,,,1348662,1348662,0,57408,314354,1298182,,790,894958.0,,33051.0,12234.0,553454,,,319052.0,561954,561954.0,,1667714.0,1630.0,51553,,0.0,4698,369532,,,0.0,0
2014-10-27,3,2014,323278,11606,352096,0.0,0.0,0.0,24564,,,,-23237,-23818.0,-23818.0,31172,31172.0,36807,36186,621.0,4142.0,4742,161,71583,,581.0,581,542.0,,227794,,,0.0,12500,91755,,,5710,,6354.0,228674,113.0,4039.0,553454,2014年09月30日,294688,,,1444267,1444267,0,57408,203868,1194327,,530,700939.0,,36644.0,19733.0,553454,,,208610.0,561954,561954.0,,1652877.0,,51553,,0.0,4742,458550,60056.0,,7385.0,0
2015-02-16,4,2014,323504,11606,420316,,,,27541,,,,-15420,-17122.0,-17122.0,37929,37929.0,167674,167053,621.0,4743.0,5625,138,112610,,1702.0,1702,542.0,,259737,259737.0,,0.0,17500,66850,,,10041,,,179156,97.0,4945.0,553384,2014年12月31日,362908,,,1520304,1520304,0,57408,184270,1209577,,1349,602913.0,,51950.0,,553384,,,189895.0,562024,,,1710199.0,,51553,,0.0,5625,500622,100096.0,,7771.0,0
2015-02-25,4,2015,299273,74206,361791,,,,29116,,,,-731,-4620.0,-4620.0,36433,36433.0,41145,40517,628.0,4969.0,5800,78,6842,,3889.0,3889,0.0,,199791,199791.0,,0.0,22800,84997,45.0,,6316,,,239551,45.0,,600421,2015年12月31日,274069,17885.0,,1523505,1523505,0,87722,171102,1266910,5722.0,1623,,786378.0,,2626.0,600421,1700407.0,176902.0,,562024,,1700407.0,,,51553,2626.0,,5800,433497,0.0,,1873.0,0
2015-05-06,1,2015,312118,74206,453004,,,,34406,,,,-12656,-13996.0,-13996.0,28078,28078.0,89593,88965,628.0,4872.0,5654,119,25608,,1340.0,1340,542.0,,247163,247163.0,,,21875,43471,,,12531,,,127477,,,553384,2015年03月31日,395596,58340.0,,1555756,1555756,0,57408,164295,1260444,4993.0,1776,,796211.0,,0.0,553384,1725705.0,169949.0,,562024,,1725705.0,,,51553,,,5654,465261,0.0,,20736.0,0
