date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,其他預付費用,國外營運機構財務報表換算之兌換差額合計,土地改良物淨額,土地淨額,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,178950.0,6848655,1773232,6541631,263370,111804,2281277,300140,,642789,246764,254014,75064,277694,277694,121130.0,420587,0,586342,383100,,,-16606,30144.0,1591461.0,84174,1313917,187798,,,1094449,,27700.0,,873998,12912,142486,158405.0,714210.0,1992130,4279089,8857031,2013年03月31日,2425964,386499.0,,4005211.0,16762521,16762521,13753554,2204538,4639180,4786082,,14356,56836.0,,1911129,,984083.0,173291.0,2789586,8857031,,,5882407.0,1304893,214133.0,1090760.0,,22644928.0,52734,554215,26929,268425,178008,203242,14356,0.0,1243227,17858846,373665,4559,369106,0
2013-08-14,2,2013,180000.0,6765152,2523581,5627187,363056,107261,2385506,1290827,,630728,398685,285803,105803,268655,268655,110923.0,424760,4561,649567,445256,,,35629,29114.0,1591461.0,84234,1170500,187798,0.0,,941555,,28000.0,,942344,13430,128533,158405.0,710439.0,1992109,4268482,8857031,2013年06月30日,1396245,269356.0,,4053859.0,15999998,15999998,13753554,2319813,5936730,4709439,,12785,56836.0,,1911129,,1139664.0,173545.0,3217000,8857031,,,7390388.0,1304893,,,,23390386.0,47690,548898,26929,480000,177560,204311,12785,,1453658,18680947,260634,4608,256026,0
2013-11-11,3,2013,473120.0,6665429,2523581,6162073,468775,109848,2488638,222593,,842120,460563,589128,116008,234518,234518,128263.0,440252,23006,648442,447191,,,-8212,28118.0,1591461.0,85321,570386,187798,,,942509,,5000.0,,843512,15405,94748,158405.0,696361.0,1992088,4219382,8857031,2013年09月30日,1931131,278485.0,,3942741.0,16613267,16613267,13753554,2319813,4878697,4450714,,19335,57096.0,,1911129,,1335256.0,128331.0,2991136,8857031,,,6478367.0,1321398,,,,23091634.0,40389,538448,26929,620970,173520,201251,19335,,1599670,18640920,364532,4564,359968,0
2014-03-12,4,2013,178830.0,6750362,2495839,6511790,563296,59273,2583734,301841,,744120,662488,294463,115633,233495,233495,120544.0,443487,25828,547047,449459,,,99192,27131.0,1591461.0,85311,744119,187798,,,993133,,0.0,,827001,12784,64234,158390.0,683899.0,1992068,5065159,8857031,2013年12月31日,2280848,419684.0,,3907643.0,17164909,17164909,13753554,2319813,3546957,4441546,,17163,73096.0,,1911129,,1480652.0,213879.0,1743641,8857031,,,6828557.0,1321398,,,,23993466.0,53897,554993,27452,2283120,173958,97588,17163,,3281600,19551920,221971,2233,219738,0
2014-05-12,1,2014,182820.0,8956073,2495839,6560538,526648,59446,2464993,302340,,655361,627774,277292,94472,370190,370190,135346.0,448258,32270,1419691,945305,,,101126,26146.0,1591461.0,85646,836406,187798,,0.0,1165256,,0.0,,693021,129731,105534,158390.0,677054.0,1992047,3453587,8857031,2014年03月31日,2329596,2689313.0,,3836753.0,19489951,17178943,13753554,2319813,4177167,6393579,,20733,62553.0,,1911129,3124079.0,,260829.0,2171450,8857031,,,7796596.0,1321398,,,,27286547.0,68524,509452,27452,2661719,171952,474386,20733,2311008.0,3619429,20892968,351287,10682,340605,0
2014-08-13,2,2014,179190.0,11191445,2495839,5570941,761347,60597,2650178,1645974,,679664,731334,264440,85250,458261,458261,136131.0,455628,44607,906460,443492,,,-30013,25159.0,1591461.0,86171,917724,187798,,0.0,974355,,0.0,,698563,216045,94663,158390.0,687680.0,1992026,3273156,8857031,2014年06月30日,1213469,4969617.0,,3781397.0,19172158,16292906,13753554,2446343,5852088,5975553,,19594,56862.0,,1911129,2606533.0,,137051.0,2830268,8857031,,,9416407.0,1321398,,,,28588565.0,50027,483512,27452,2625179,166460,462968,19594,2879252.0,3564319,22613012,193476,10487,182989,0
2014-11-05,3,2014,486084.0,13143395,2495839,5721097,578533,59561,2294001,706832,,676035,732782,588030,101946,672913,672913,,471504,55120,1024099,551528,,159288.0,154249,,,89708,1285249,187798,,0.0,1067431,,0.0,,532406,71711,131630,158390.0,,1992005,3705794,8857031,2014年09月30日,1363625,,,,19394881,16461014,13753554,2446343,5142736,6282869,,17941,56862.0,,1911129,2381912.0,,805.0,2779638,8857031,,,11645376.0,1337902,,,,31040257.0,40995,467714,27452,5563422,168286,472571,17941,2933867.0,6502640,24757388,430457,10755,260414,0
2015-03-18,4,2014,411450.0,15784100,2856014,5552621,543136,61805,2181117,1282273,,781581,1040098,486962,75512,1093211,1093211,,493649,52346,1425100,930065,,212133.0,496962,,,96457,1116365,187798,,0.0,780127,,,,712245,97317,114445,170975.0,,1991985,3603225,8857031,2014年12月31日,1195149,,,,19651092,16599854,13753554,2446343,6201539,7373058,,20007,56862.0,,1911129,3066613.0,,56467.0,3595710,8857031,,,15670227.0,1337902,,,,35321319.0,39845,414602,29851,8560437,173871,495035,20007,3051238.0,9468688,27948261,289631,11309,66189,0
2015-04-28,1,2015,406900.0,16218291,2856014,5594282,522688,62553,2081940,710492,,284029,912877,495839,88939,1232545,1232545,,472353,30822,1412493,927695,220760.0,,390189,,,95972,1680739,187798,,,958357,,,,674564,159068,150640,,,1991964,3451435,8857031,2015年03月31日,1236810,,69731.0,,19511467,16514294,13753554,2446343,5271169,7213910,176770.0,23022,,56874.0,1911129,,2540646.0,,3036750,8857031,35336779.0,15825312.0,,1337902,,,35336779.0,,16481,376754,30836,9705036,168789,484798,23022,2997173.0,10554143,28122869,412645,11142,180743,0
2015-08-13,2,2015,308600.0,16689991,3216187,5119524,417405,61172,1978040,1538862,,459627,740206,396964,88364,1568557,1568557,,472316,30545,1440689,963279,212379.0,,322801,,,100292,2407803,187798,,,1434032,,,,651425,181772,124628,,,1991943,3352300,8857031,2015年06月30日,750464,,162911.0,,18820624,15866865,13753554,2457931,6725420,8049000,176770.0,24997,,57091.0,1911129,,2247378.0,,3192651,8857031,37040109.0,18219485.0,,1337902,,,37040109.0,,37271,565521,239871,10456228,164709,477410,24997,2953759.0,11494065,28991109,309367,11036,85952,0
