date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他應收票據,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,23442.0,693369.0,716811,3570644,278651,1737036,0.0,1139719,326.0,118867,20267,,19619,756966,40155,347967,,89055,363400,,4492,2643386,2643386.0,,,0.0,,,4243339,1586,50000.0,1084850,,5029654,5410,205876,17.0,26905.0,182273,235672,3533101,2013年03月31日,1292682,,7177938,7086279,0,348873,8585380,12992583,,59197,,102593.0,95481,,4093434.0,64333.0,1244261,3533101,,,10671878.0,1796523,,17849816.0,0.0,0,395499,167396,1601944,57658,91659,2086498,4857233,425112,0.0,0
2013-08-08,2,2013,23586.0,988587.0,1012173,3710647,303365,1707945,,1350266,20.0,202111,20608,,111687,1043223,31050,475707,,89553,432828,,3547,3214083,,,,,0.0,,5034188,11497,130000.0,1077577,276.0,4487810,9743,362505,,27362.0,181160,236070,3533101,2013年06月30日,1186203,,7237419,7149256,0,352261,10066882,14433297,,56551,,812.0,169481,,5412539.0,94314.0,1325521,3533101,,,12282758.0,1796523,,19520177.0,0.0,0,409988,166259,1716335,58644,88163,2215876,5086880,247379,0.0,0
2013-11-13,3,2013,23731.0,822545.0,846276,3610771,526562,1783006,,1420009,240.0,222317,27175,,29182,990612,144336,438390,,89227,444695,,3530,3133512,,,,,0.0,,4861046,21203,5000.0,1019400,115.0,4936205,9671,424614,,27818.0,180047,229102,3533101,2013年09月30日,1261264,,7233116,7141812,0,352261,10323901,14772644,,30208,,0.0,169481,,5282598.0,100117.0,1906159,3533101,,,12740454.0,1796523,,19973570.0,0.0,4993,397742,179541,1929584,57879,91304,2416553,5200926,293169,0.0,0
2014-03-19,4,2013,0.0,1296081.0,1296081,3752215,527798,1855614,,1586581,941.0,226549,32162,,140076,1400516,104435,447990,,82000,466755,,3203,3520761,3520761.0,,,,,,5795721,29798,0.0,1142215,218.0,5591474,2897,304952,,20199.0,178934,232035,3533101,2013年12月31日,1333872,,7417805,7325314,0,352261,12153909,16522055,,29766,,168352.0,169481,,6057919.0,119998.0,2077921,3533101,,,14478600.0,1796523,,21896405.0,0.0,2458,418690,186847,1824001,58598,92491,2324691,5374350,166541,0.0,0
2014-05-13,1,2014,0.0,1487003.0,1487003,3941538,528676,1919530,,1264698,24.0,205902,33795,,155033,1653896,166893,462468,,81007,342288,,2750,3376888,3376888.0,,,,,0.0,5994804,26778,80000.0,1226280,0.0,4786646,9062,727826,0.0,20187.0,152719,226241,3533101,2014年03月31日,1397788,,7494790,7404392,0,352261,12385090,16429559,,34501,,292550.0,169481,6171281.0,,134130.0,2004480,3533101,,,14360682.0,1796728,,21855472.0,,28961,424224,199950,1470361,58070,90398,1975592,5425913,334180,,0
2014-08-06,2,2014,0.0,1338623.0,1338623,3830329,530495,1928350,,1477335,3934.0,277552,50124,,15150,1412386,73763,398503,,79640,304176,,2735,3546531,3546531.0,,,,,0.0,5850351,29912,130000.0,1362138,0.0,5328686,7109,502564,,20186.0,151834,232912,3533101,2014年06月30日,1456016,,7350438,7273329,0,376853,12433308,16448564,,30348,,190854.0,95481,5931407.0,,88957.0,2078295,3533101,,,14387044.0,1796728,,21737482.0,,36192,442475,208824,1431621,56719,77109,1953736,5288918,179042,,0
2014-11-12,3,2014,0.0,1427976.0,1427976,4140269,261358,2288824,,1746583,0.0,218669,13810,,211820,1510773,82797,497840,,87399,981814,,9353,3769066,3769066.0,,,,,0.0,6378754,340,0.0,1438696,0.0,5293764,1114,522642,,20192.0,156577,248512,3533101,2014年09月30日,1816490,,7983849,7830473,0,376853,12795837,16941981,,20513,,218245.0,95481,6109685.0,,44727.0,1675964,3533101,,,15067628.0,1796728,,23051477.0,,34045,552820,300453,1631572,57854,153376,2271791,6109496,263101,,0
2015-03-23,4,2014,,1337108.0,1337108,4617409,263258,2449510,,1861526,0.0,335182,8857,365272.0,507220,1401793,64685,577911,,310444,945512,,9580,4208129,4208129.0,,,,,0.0,6385585,541,,1401147,0.0,5431851,947,365272,,12314.0,155579,269966,3533101,2014年12月31日,1977176,,8482352,8286559,0,376853,12566051,17006075,,32592,,298576.0,95481,5592249.0,,62825.0,1452634,3533101,,,15120203.0,1796728,,23602555.0,,41249,600567,312164,1643141,288550,195793,2554152,6596480,145852,,0
2015-05-13,1,2015,,1139884.0,1139884,4864965,258915,2604677,,1721852,0.0,266517,1524,,418572,1209707,69823,526807,,307406,977854,,9521,4071485,,,,,,,5930187,536,0.0,1593239,,4769962,1566,554625,,,154582,287725,3533101,2015年03月31日,2132343,121432.0,8562053,8353140,0,376853,12458772,17235927,12313.0,28775,283162.0,,95481,,6353936.0,,1881819,3533101,24120940.0,15558887.0,,1796790,24120940.0,,,53988,589180,312197,2203529,285572,208913,3100115,6885013,352355,,0
2015-08-11,2,2015,,1087001.0,1087001,4875448,258196,2403734,,2121647,0.0,261394,3533,,283652,1217181,130180,468765,,526344,1018623,,9243,3629049,,,,,,,5580554,158,0.0,1520442,,5040309,315,906988,,,153584,280680,3533101,2015年06月30日,1858500,83414.0,8204957,8017277,0,449753,12447910,16730376,12314.0,31468,274236.0,,95481,,5800262.0,,1924514,3533101,23668349.0,15463392.0,,1796790,23668349.0,,,18892,594282,319974,1894856,504787,187680,3015482,6937973,326633,,0
2015-11-12,3,2015,,1122160.0,1122160,5139825,291162,2622461,,2592697,,328438,10086,,727343,1253414,131254,512401,512401.0,774991,1151820,,4385,3565741,3565741.0,,,,,,6127064,82,,1583530,,5820918,376,1068189,,,152587,293705,3533101,2015年09月30日,2077227,100861.0,8866597,8679695,0,449753,13485822,18524547,12318.0,43756,298660.0,,95481,,6537882.0,,1828174,3533101,25930259.0,17063662.0,,1796790,25930259.0,,,32383,687694,332857,2115155,758288,186902,3577840,7405712,349473,,0
2016-03-17,4,2015,,,1448069,5249021,106089,2828770,,1980215,,237164,8423,,439622,1531094,83025,661974,,980995,1107305,,3010,4527263,,,,,,,7092003,0,,1666006,,5426745,280,541915,,,127716,313247,3533101,2015年12月31日,2283536,117796.0,8739447,8598283,0,449753,13799983,19690021,21715.0,39300,308827.0,,95481,,7705596.0,,1412869,3533101,26974870.0,18235423.0,,1796790,26974870.0,,,23981,701329,342171,2753116,956270,141164,4435440,7284849,247853,,0
2016-05-12,1,2016,,1823950.0,1823950,5257792,105246,3039394,,1833376,,270693,3307,,354199,1888183,64233,500766,,976180,1321245,1321245.0,2987,3897684,,3897684.0,,,,,5974825,0,50000.0,2064864,,4467228,200,600319,,,126780,299840,3533101,2016年03月31日,2494160,168250.0,8863045,8723484,0,449753,12683142,18213393,21714.0,39745,315853.0,,95481,,7793625.0,,703644,3533101,25714597.0,16851552.0,,1796790,25714597.0,,,3978,681864,350556,2510366,951479,139561,4168410,7501204,359740,,0
2016-08-10,2,2016,,1716162.0,1716162,5547200,96933,2870530,,2236113,,200447,6438,,144499,1795125,78963,533758,,951355,1178812,,2989,3491781,,,7640024.0,,,,5730563,0,,1801148,,4842002,178,727454,,,107634,299490,3533101,2016年06月30日,2251161,105606.0,8481554,8344920,0,523888,12813770,18137620,21706.0,37761,288738.0,,95481,,7640024.0,,1145215,3533101,25733607.0,17252053.0,,1796790,25733607.0,,,23253,705404,328157,2781524,926660,136634,4438283,7595987,383547,,0
2016-11-10,3,2016,,1728789.0,1728789,5753172,95439,3086279,,2458538,,271312,4785,,-197238,1825898,97109,546735,,921608,1037446,,2811,3910997,,,,,,,6554141,0,,1578827,,5034995,32,827166,,,106813,270911,3533101,2016年09月30日,2466910,123599.0,8380244,8218932,0,523888,13899175,19097637,21705.0,35376,265714.0,,95481,,7911036.0,,1358172,3533101,26768790.0,18388546.0,,1796790,26768790.0,,,20642,726073,371996,2841690,897092,161312,4489371,7671153,304223,,0
