date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,585901,79447,148342,60828,24148,554,4811,,171840,,775,10884,168550,4811,496218,,0.0,119437,5373,8621,20021,407110,5005,2153,32220,57544,827897,2013年03月31日,34882,,,1081445,1073905,0,97231,675046,1175532,,16229,,178722.0,7338.0,273164,827897,,8424,,999663.0,92855,,3309,87744,1802,,2081108.0,,0.0,775,9350,14134,304383,7540,324617,905576,27852,0
2013-08-12,2,2013,,579802,137929,170776,69276,13808,557,11686,,142959,,775,10508,85234,11686,465119,,0.0,167463,9429,7458,5183,478041,2209,4297,38102,63772,827897,2013年06月30日,57297,,,1110510,1103214,0,97250,709726,1274638,,16229,,247657.0,6124.0,295000,827897,,6834,,1043161.0,92855,,3309,87744,1802,,2153671.0,,0.0,656,11516,12296,311411,7296,333435,879033,23417,0
2013-11-05,3,2013,55394.0,566025,137929,177417,70141,8056,571,6437,0.0,62523,7129.0,775,10508,82798,6437,520361,,0.0,164308,9815,10798,3579,417181,4960,693,54837,62620,827897,2013年09月30日,63938,,,1111992,1104606,0,97250,624689,1251682,,16229,,205108.0,6864.0,290000,827897,,6661,,1001691.0,92855,,3309,87744,1802,,2113683.0,,0.0,617,9241,12629,357253,7386,377002,862001,38523,0
2014-03-25,4,2013,78569.0,556082,137929,179378,60941,8655,562,13672,0.0,88334,9765.0,775,6694,84908,13672,542527,,0.0,119857,12303,11252,3331,304633,3334,1105,49577,63960,827897,2013年12月31日,65899,,,1121063,1113802,0,97250,465518,1205191,,16229,,265448.0,7854.0,155000,827897,,6646,,940219.0,92855,0.0,3309,87946,1600,,2061282.0,,0.0,781,10959,13212,457048,7261,474701,856091,27794,0
2014-05-07,1,2014,78593.0,546027,137929,188840,52598,2849,573,12546,0.0,100690,22097.0,775,6246,83874,12546,470997,0.0,,126557,14740,4190,2996,302188,4010,22897,43776,66273,827897,2014年03月31日,75361,,,1129392,1122138,0,97250,383612,1136628,,16229,261387.0,,6666.0,70000,827897,,5175,,854090.0,92855,,3309,87946,1600,,1983482.0,0.0,0.0,919,11296,12751,452936,7254,470478,846854,26257,0
2014-08-04,2,2014,78590.0,532041,137929,177360,114080,5752,233,4357,0.0,101401,22811.0,775,5776,79666,4357,474986,0.0,,217301,17039,9752,2779,459229,1190,153,57990,63140,827897,2014年06月30日,61120,,,1109869,1102469,0,100011,536989,1255650,,16229,212060.0,,8818.0,60000,827897,,5819,,970312.0,92855,,3309,87946,1600,,2080181.0,0.0,0.0,874,9763,11755,417784,7400,433323,824531,42408,0
2014-11-03,3,2014,78557.0,529642,137929,231351,88211,7175,107,15219,0.0,96950,18393.0,775,5307,78916,15219,538448,0.0,,232499,9971,4322,2241,532425,944,2670,68035,64072,827897,2014年09月30日,115111,,,1174902,1167322,0,100011,611866,1397018,,16229,220918.0,,20057.0,150000,827897,,7615,,1042335.0,92855,,3309,87946,1600,,2217237.0,0.0,0.0,653,11550,9660,413612,7580,430469,820219,24868,0
2015-03-23,4,2014,251730.0,538401,133729,256634,112919,6259,247,29381,0.0,268001,16271.0,775,5982,76455,29381,553061,0.0,,175095,11171,4503,3486,497984,1252,1521,64611,66643,827897,2014年12月31日,140394,,,1214229,1206767,0,100011,797386,1412121,,16229,228200.0,,24584.0,190000,827897,,7627,,1024318.0,92855,,3309,87946,1600,,2238547.0,0.0,,668,15690,11198,205260,7462,226932,826426,57543,0
2015-05-06,1,2015,109522.0,529666,133729,265118,84946,3761,312,24904,0.0,124505,14983.0,846,5434,74670,24904,547690,0.0,,206919,14483,953,2642,428758,5082,9645,53339,66740,827897,2015年03月31日,148878,28171.0,,1218056,1210774,0,100011,619048,1382575,,16229,,260851.0,,150000,827897,2198170.0,6429,980114.0,,92855,,3309,87946,1600,2198170.0,,0.0,,535,12307,10790,343325,7282,361066,815595,71756,0
2015-08-12,2,2015,139501.0,533998,133729,175236,168335,5638,260,17332,0.0,147907,8406.0,775,4873,72094,17332,532898,0.0,,202881,11174,306,2496,409877,8356,5286,89202,66043,827897,2015年06月30日,46206,13865.0,,1120332,1113320,0,112801,722136,1318927,,16229,,201888.0,,169784,827897,2135556.0,5388,1015224.0,,92855,,3309,87946,1600,2135556.0,,0.0,,335,10015,10765,278200,7012,293088,816629,64412,0
