date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,在建工程（營造業適用）合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,銀行長期借款,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,10094336,38281321,20063986,-320422,9.0,2283981,,16134741,18624,16134741,1960067,1090,1106422,11369271,6014360,628346,1943897,1643912,1643912,1513634,74605.0,91790,299985,21251725,21177120,1334660,,,,47899029,99835,252330,65645,221315,39929642,61008,148441,,315241.0,,3458840,,22959994,2013年03月31日,12216081,,77925730,69647450,27978772,7847905,87188997,131313331,,15969916,,7515336.0,102448.0,,,,54398427.0,-86790.0,1803508.0,7961159,23029887,,1606624,,117605902.0,26781815,,0.0,10120217,6883.0,,370094,14276,8729957,16270345,,7540388,,195531632.0,43876,33226,2446012,2177898,,86790.0,,27255757,221315,8278280,30416905,64218301,0.0,1209290,69893.0,6989250
2013-08-12,2,2013,,11771492,37795825,16704500,100555,12.0,2383203,,23752668,13463,23752668,1565351,28545,2167799,12982039,5517784,611051,2432241,2034557,2034557,2138421,75790.0,87747,397684,22677741,22601951,1334660,,151589.0,,48314018,128750,357807,68462,208324,42614738,94542,154158,,314980.0,,3519398,,23029886,2013年06月30日,7413196,,75217111,67789953,27978772,8601391,98412744,138087008,,15900115,,7495491.0,104575.0,,689913.0,,57893072.0,-71177.0,1990780.0,9255290,23206878,,1604143,,127509066.0,27045436,134320.0,0.0,10120217,6112.0,,430242,19424,8794733,16335121,,7540388,,202726177.0,13786,45574,2781203,2503812,,71177.0,,25632891,208324,7427158,29096322,64639169,0.0,1142085,25403.0,2540250
2013-11-12,3,2013,,11988711,36891365,18816431,171549,11.0,2441897,,18462138,15229,18462138,1560957,17457,1535301,13390495,6614215,571305,2564033,2187390,2187390,1418525,75023.0,70046,376643,24577687,24502664,1334660,23452.0,,,54301320,384746,376513,69307,187562,48761114,91585,165491,,313697.0,,3435478,,23206877,2013年09月30日,9525127,,75836397,69403714,28079381,8601391,101576789,142027813,,15843257,,1081972.0,106196.0,,689913.0,,59113445.0,-54773.0,1710371.0,11287855,23246552,,1604746,,129823795.0,27140090,,0.0,10120217,8286.0,,430242,14869,9026088,16566476,,7540388,,205660192.0,43376,20427,2770404,2350153,,54773.0,,24850524,187562,6432683,28247006,63632379,0.0,1332477,39675.0,3967500
2014-03-27,4,2013,,8867669,37001382,21463386,83231,13.0,2143990,,20723468,11699,20723468,2319810,18951,2419302,10342343,5037428,490227,1316432,925989,925989,2383040,0.0,81608,390443,27203533,27203533,1334660,,,,60307826,568624,191488,72735,172948,49500169,81554,175756,,235671.0,,3531425,,23246552,2013年12月31日,12172082,,79237155,73036304,28118091,8601391,111356983,150430691,,15716262,,147441.0,14100.0,,689913.0,,65931169.0,-46969.0,2102971.0,15576780,23276257,,1503948,,133124331.0,27212019,,0.0,10120217,8587.0,,430851,15487,9096489,16636877,,7540388,,212361486.0,27836,14867,2721656,2207204,,46969.0,,18508496,172948,6200851,21767348,61930795,0.0,1401939,29705.0,2970500
2014-05-13,1,2014,,9131648,35683988,22891167,279623,16.0,2295720,,21121495,33538,21121495,1035543,993,2656419,10795219,5650484,533375,1324969,894708,894708,2411730,0.0,78896,430261,28488828,28488828,1334660,,,0.0,52906153,536834,317707,74157,151657,45420645,146513,243599,15.0,261661.0,,4207450,41161.0,23276257,2014年03月31日,13599863,,80273691,74839651,28118091,8601391,106568244,142502197,,15865863,,300627.0,701.0,,689913.0,61188684.0,,-34934.0,2182873.0,16911173,23276257,,1727884,,124031911.0,27350468,,,10120217,8623.0,136339.0,430851,17561,9096489,16636877,,7540388,,204305602.0,35368,26250,2773851,2424714,,34934.0,,14121507,151657,5434040,17463667,61803405,,1589414,0.0,0
2014-08-12,2,2014,,9018661,35326273,17954716,367066,15.0,2230619,,25364139,8091,25364139,825351,39029,1829529,11026497,5575268,472363,1299608,882796,882796,1489022,0.0,74196,416812,30588499,30588499,1248722,,157230.0,0.0,54564811,480333,257019,76417,136921,49392745,103543,365515,,242107.0,,4173429,19139.0,23259507,2014年06月30日,8428171,,74256385,69499940,26443075,9476876,113583454,142570909,,16441071,,136449.0,1112.0,,49669.0,55490670.0,,-26559.0,2017031.0,17988845,23416737,,1855279,,130405052.0,27547680,,,10112934,0.0,,445664,194560,9238932,16773894,20628.0,7534962,,204661437.0,21409,53825,2755917,2618416,,26558.0,,13566760,136921,4756445,16821598,62090528,,1931419,0.0,0
2014-11-11,3,2014,,8445195,34995478,19504631,130132,13.0,1486718,,19878536,5745,19878536,1065483,1152,2549829,10400060,5367126,447449,1471813,909536,909536,2437203,0.0,74340,562277,32005264,32005264,1248722,0.0,,0.0,59221204,915731,122083,79906,119172,49471245,108063,271342,2.0,253937.0,,4299711,,23416737,2014年09月30日,9978086,,75879974,71806782,26536282,9476876,118535714,150040754,,16352619,,1209373.0,912.0,,49669.0,60480618.0,,-17506.0,1886138.0,24126225,23416737,,1955131,,135472374.0,27584307,,,10112934,0.0,,445694,221907,9238931,16773893,29879.0,7534962,,211352348.0,7356,61073,2879889,2704343,17505.0,0.0,,13609322,119172,4073192,16936660,61311594,,1874959,0.0,0
2015-03-25,4,2014,,8358989,36107216,20955605,139072,0.0,1326255,,19693248,6741,19693248,1420019,3053,4252180,11276990,4561144,291466,1381583,889328,889328,4125097,,80871,492255,29513791,29513791,1248722,129505.0,,0.0,61920859,953666,122947,85232,101721,51134012,73069,311666,,108874.0,537030.0,4055902,,23416737,2014年12月31日,11429060,,79161991,74970727,26575362,9476876,120288626,153720896,,16298963,,78170.0,518.0,,49669.0,66483356.0,,-11989.0,2272036.0,22911114,23416737,,1080628,,137374044.0,27594927,,,10112934,0.0,,445694,231446,9238931,16773893,30960.0,7534962,,216536035.0,38408,13111,3229792,3107672,11989.0,0.0,,13564160,101721,4191264,17085418,62815139,,2832769,0.0,0
2015-05-13,1,2015,,5660704,34555511,22604834,72651,0.0,1159994,0.0,18421508,4895,18421508,1109876,2079,3257767,8285525,4541390,242843,1343219,885961,885961,3191244,,79933,457258,28554024,28554024,1248722,0.0,,,52873138,694753,129517,85457,76374,45144744,40854,264069,0.0,,524538.0,4043486,0.0,23416737,2015年03月31日,13078289,2115117.0,79773270,75640578,26575362,9476876,100650936,138643871,86536.0,16170015,239575.0,,,67737.0,49669.0,,58701055.0,-6128.0,,17002350,23416737,199751881.0,1113657,119978611.0,,27609962,,,10112934,0.0,,445694,244943,9238931,16773893,32498.0,7534962,199751881.0,,4348,46205,3235210,3243510,6128.0,0.0,,15849622,76374,4132692,19327675,61108010,,2539364,0.0,0
2015-08-11,2,2015,5428930.0,5428930,34642844,19305176,-14670,0.0,1066364,0.0,24492721,9191,24492721,1030335,78515,2312814,8190303,4834472,216126,1424961,923073,923073,2330558,,80528,501888,27934025,27934025,1248722,0.0,160416.0,,50022869,937817,252317,87831,53394,45237740,66112,278756,,,511156.0,4032248,0.0,23416737,2015年06月30日,8949921,1996417.0,75436148,71709691,26575362,10123042,103308889,136454145,82204.0,16029620,245670.0,,,0.0,232213.0,,56732819.0,-3074.0,,16285429,23577153,197522453.0,1109904,122086305.0,,27763270,,,10112934,0.0,,493473,246002,9341891,16876853,34008.0,7534962,197522453.0,,8847,15701,2986111,3361115,3074.0,0.0,15575179.0,15575179,53394,3726457,18777416,61068308,,2673542,0.0,0
2015-11-12,3,2015,,5615869,35674387,20943729,-180298,0.0,762241,,21220128,5728,21220128,970784,10750,4556487,8855926,4878852,205020,1470032,925140,925140,4736785,,93106,544892,30568987,30568987,1955401,0.0,,,58751278,902621,183272,93835,31384,51920141,70069,196613,0.0,,518683.0,4141399,534.0,23577153,2015年09月30日,10588474,1891566.0,78688464,74899954,49455968,10123042,114117289,150713210,79996.0,16031241,271179.0,,,0.0,232213.0,,61746562.0,0.0,,21193227,23577153,212667115.0,1098284,133978651.0,,27777986,,,10112934,0.0,,493473,254517,9341891,16876853,40209.0,7534962,212667115.0,,15259,79273,3830997,3355922,0.0,0.0,,15825345,31384,3788510,19861362,61953905,,3146222,0.0,0
2016-03-25,4,2015,,4796118,33389439,23366328,-152714,0.0,670328,,21118958,12941,21118958,1289849,10481,3195188,8167447,3744824,252264,1327040,747282,747282,3347902,,91012,579758,28826436,28826436,1248722,0.0,,,58224636,856945,178594,95501,5398,50079869,66338,300825,,,499950.0,4095167,,23349283,2015年12月31日,13011073,2475535.0,79683593,75988511,26708228,10123042,109830689,150568075,155854.0,15938232,694435.0,,,834.0,232213.0,,65501807.0,0.0,,17670878,23349283,209653863.0,1068810,129970270.0,,27326434,,,10015194,0.0,,275516,278747,9251603,16713741,43236.0,7462138,209653863.0,,55945,53211,3531564,3164798,0.0,0.0,16355753.0,16355753,5398,3695082,20139581,59085788,,3275828,0.0,0
2016-05-12,1,2016,,7155192,31681875,25074271,-135945,,667450,,19663247,11784,19663247,1021067,10320,2302457,10217664,4016372,238949,1302823,723150,723150,2438402,,79073,579673,27569785,27569785,1248722,,,,50194877,710383,118072,71277,4885,43458914,44821,166529,,,485908.0,4043456,1894.0,23349283,2016年03月31日,14719016,2578866.0,80432796,76797167,26708228,10123042,99216844,140040732,153097.0,15853410,1057381.0,,,832.0,232213.0,,62477263.0,0.0,,14610442,23349283,197206652.0,1047757,116773856.0,,27319878,,,10015194,,,275516,272858,9251603,16713741,42569.0,7462138,197206652.0,,63752,218280,3474426,3130166,0.0,,,13843637,4885,3635629,17557012,57165920,,2991195,,0
