date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,保留盈餘合計,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,1117181,,224981,,33079,47308,-427,260703,,17777,43059,41902,1598631,1598631,0.0,,0.0,352805,11701,216760,12623,,1031812,2013年03月31日,50220,,2365219,2364983,0,154460,813123,2221028,0.0,,0.0,20301,,323986.0,4761.0,150000,1031812,,,1020183.0,1108617,,3385402.0,74.0,0.0,14001,5291,150000,236,207060,1164374,3943,0
2013-08-09,2,2013,,,1304997,,102295,,122517,18058,5050,14118,,15542,43575,33356,1522232,1522232,0.0,,0.0,216919,15973,225805,2223,,1031812,2013年06月30日,-77347,,2248010,2247774,0,159341,730800,2198873,0.0,,1420.0,20301,,396570.0,1273.0,360000,1031812,,,1295108.0,1108617,,3543118.0,0.0,0.0,14733,5892,506000,236,564308,1344245,17023,0
2013-11-04,3,2013,,,1416728,,189281,270.0,61975,20845,1472,18116,,14809,44095,23274,1322573,1322573,0.0,,0.0,131009,10256,137141,5460,,1031812,2013年09月30日,9639,,2332511,2332276,0,159341,521356,1969335,0.0,,1609.0,20301,,460786.0,0.0,300000,1032082,,,1081374.0,1109441,,3413885.0,0.0,0.0,13167,4548,502756,235,560018,1444550,6112,0
2014-03-21,4,2013,,,1589919,,150778,0.0,115543,13514,6557,14264,,11737,18320,36846,1190267,1190267,0.0,,0.0,82422,5389,103345,3587,,1032082,2013年12月31日,-28864,,2299117,2298858,0,159341,517618,1699477,0.0,,1654.0,20301,,368287.0,0.0,300000,1032082,,,1038029.0,1109441,,3337146.0,0.0,0.0,9065,10904,493026,259,520411,1637669,7086,0
2014-05-07,1,2014,,,1710292,,162856,,60168,13970,5175,23874,,11957,18443,29051,1023632,1023632,0.0,0.0,,26882,10710,45098,5453,,1032082,2014年03月31日,-16786,,2309812,2309554,0,159341,426333,1496516,,,1629.0,20301,353062.0,,4699.0,300000,1032082,,,936864.0,1109441,,3246676.0,0.0,,8793,10817,483295,258,510531,1750160,41715,0
2014-08-07,2,2014,,,1759118,,164139,,31827,18731,656,41263,,4890,18553,33599,1189125,1189125,0.0,0.0,,51145,9292,43439,5153,,1032082,2014年06月30日,-15503,,2306573,2306318,0,159341,570216,1684491,23.0,,7557.0,20301,408194.0,,6689.0,430000,1032082,,,1181561.0,1109441,,3488134.0,,,7856,10903,584936,255,611345,1803643,7402,0
2014-11-04,3,2014,,,1825448,,168980,0.0,46686,15488,7986,76248,,9687,18880,63827,1452077,1452077,0.0,0.0,,50831,23816,62054,2164,,1032082,2014年09月30日,-10662,,2318745,2318489,0,159341,506380,1836514,22.0,,11241.0,20301,275390.0,,8799.0,300000,1032082,,,1418002.0,1109441,,3736747.0,,,9357,10936,883385,256,911622,1900233,8413,0
2015-03-09,4,2014,,,1916967,,188394,0.0,66318,11703,15686,75636,,5800,18714,98359,1261552,1261552,0.0,0.0,0.0,31373,15346,47649,1313,,1032082,2014年12月31日,8752,,2345855,2345603,0,159341,499498,1715142,20.0,,2801.0,20301,377325.0,,10825.0,300000,1032082,,,1394127.0,1109441,,3739982.0,0.0,0.0,10934,9494,864981,252,894629,2024840,6999,0
2015-05-12,1,2015,,,1942435,,197079,,32364,9700,12841,77923,,10250,18791,108491,1229787,1229787,0.0,0.0,,30141,16313,57566,2657,,1032082,2015年03月31日,17437,13546.0,2351696,2351443,0,159341,570287,1737307,18.0,6266.0,,20301,,407433.0,,400000,1032082,3797702.0,1446006.0,,1109441,3797702.0,,,,10351,9451,846577,253,875719,2060395,13648,0
2015-08-03,2,2015,,,2017909,,161344,,32046,9586,9278,79301,,2565,18922,106199,1225076,1225076,0.0,0.0,,50255,22031,40756,0,3375.0,1032082,2015年06月30日,-19173,631.0,2312398,2312145,0,160216,594264,1623668,16.0,6167.0,,20301,,328258.0,,410000,1032082,3763379.0,1450981.0,,1109441,3763379.0,,,,9622,12212,828173,253,856717,2139711,11260,0
2015-11-10,3,2015,,73615.0,2024443,,137930,,26327,9149,19467,78968,5353.0,7445,19054,109278,1110352,1110352,0.0,0.0,,34797,10885,37408,3391,3887.0,1032082,2015年09月30日,-42587,631.0,2299173,2298920,0,160216,561608,1551478,14.0,5999.0,,20301,,370036.0,,410000,1032082,3701377.0,1402204.0,,1109441,3701377.0,,,,11773,12277,809769,253,840596,2149899,7698,0
2016-03-29,4,2015,,73615.0,2030288,0.0,63974,,25584,8833,10792,77284,3669.0,3783,16381,108402,1103008,1103008,,,,66590,3175,39131,417,4318.0,1032082,2015年12月31日,-116543,631.0,2216544,2216289,0,160216,523264,1402189,12.0,790.0,,20301,,223247.0,,350000,1032082,3557486.0,1340942.0,,1109441,3557486.0,,,,9931,12277,791366,255,817678,2155297,22980,0
2016-05-09,1,2016,,73615.0,2048466,,54165,,22095,5545,9854,77325,3710.0,8143,16399,87928,1168250,1168250,,,,50443,2756,46405,0,7030.0,1032082,2016年03月31日,-126352,631.0,2205797,2205542,0,160216,803250,1652436,10.0,786.0,,20301,,415309.0,,650000,1032082,3808147.0,1602350.0,,1109441,3808147.0,,,,9739,12277,772962,255,799100,2155711,7998,0
2016-08-09,2,2016,73615.0,73615.0,2053512,,78448,,17542,11776,4117,77760,4145.0,2632,16470,87771,1163050,1163050,,,,53590,2693,62112,0,6304.0,1032082,2016年06月30日,-102069,631.0,2224343,2224088,0,160216,702216,1546280,7.0,767.0,,20301,,299401.0,,550000,1032082,3706151.0,1481808.0,,1109441,3706151.0,,,,8564,12277,754558,255,779592,2159871,6542,0
2016-11-09,3,2016,73615.0,73615.0,2050266,,58332,,20045,14339,-2410,77619,4004.0,3894,16535,87489,1180552,1180552,,,,31176,3665,60542,193,5223.0,1032082,2016年09月30日,-122185,631.0,2197699,2197445,0,160216,733136,1535492,5.0,744.0,,20301,,272577.0,,600000,1032082,3690752.0,1493053.0,,1109441,3690752.0,,,,7228,12277,736154,254,759917,2155260,2651,0
