date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,土地淨額,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1020333,7548797,132705,8200727,,1192065,,156831,-113923,1350727,5024,304715,228,507862.0,206696.0,304487,543684,13274,1348702,13433,-113923,831155.0,75978.0,4414391,4414391,0,,,1686969,9192,139295,33847,,2621712,989011,443548,1971.0,530410.0,3107230.0,1820553.0,7336800,2013年03月31日,6053220,1017234.0,,,8955381.0,3460707.0,15423645,15423645,0,1399375,6455452,18760907,,9637,748132,,9261212.0,509304.0,101688.0,1534053,301166.0,1286677.0,5494674.0,418218.0,7336800,,,,12444589.0,41,,27868234.0,630670.0,212452.0,22881,968307,67486,4477146,347924,0.0,5989137,9107327,442947,911367.0,325370,0
2013-08-13,2,2013,1083185,7986772,133003,7548453,,2733860,,111591,121112,1359660,6286,373792,187,1100119.0,407145.0,373605,535342,13561,1643680,1128,121112,831315.0,81844.0,4713923,4713923,0,293500.0,,2003377,18867,139711,42125,,2909990,948179,416589,511.0,521781.0,3967102.0,2627748.0,7336800,2013年06月30日,5165132,443004.0,,,9477036.0,3677560.0,15299906,15299906,0,1663771,7879933,19250499,,8878,719550,,9275152.0,361713.0,0.0,1220620,692974.0,1339354.0,5799476.0,,7630300,,,,13791880.0,41,,29091786.0,,,16945,1014738,68954,4361867,352318,0.0,5911947,9841287,483827,1208390.0,270189,0
2013-11-10,3,2013,815961,8010060,132271,8359221,,2785844,,95970,-53279,1099118,5480,310970,353,1127663.0,412706.0,310617,527065,13598,1753107,324,-53279,830923.0,112103.0,4103100,4103100,0,0.0,,1643929,9388,149356,18239,,2737443,662544,236688,0.0,513467.0,3962531.0,2597924.0,7630300,2013年09月30日,5975900,469129.0,,,9561028.0,3699378.0,15936283,15936283,0,1663771,7077245,19322351,,7797,719550,,10652887.0,356623.0,0.0,1014748,714957.0,1364607.0,5861650.0,,7630300,,,,13357944.0,41,,29294227.0,,,17744,975634,68641,4778000,346272,0.0,6280699,9971876,505005,1294408.0,277677,0
2014-03-26,4,2013,801568,9540220,132671,9013084,0.0,1828910,,55681,169241,1070453,13057,1031975,157100,1275215.0,494743.0,874875,523218,14060,895128,545953,169241,855464.0,,5810623,5810623,0,0.0,,1983990,6271,149340,5679,,3153339,19753,321692,1386.0,509158.0,4893546.0,3295618.0,7630300,2013年12月31日,6629763,302889.0,,,11163290.0,4591506.0,16812666,16812666,0,1663771,7084809,21675686,,60547,719550,,10528408.0,452000.0,0.0,1588166,780472.0,1597928.0,6571784.0,,7630300,,,,15585887.0,41,,32398553.0,,,21181,1062173,94301,6915687,349175,0.0,8501078,10722867,731648,,255828,0
2014-05-12,1,2014,1185385,9524198,133803,9869188,0.0,1720870,,52420,437843,1565537,5922,1522886,2660,1309518.0,494886.0,1520226,518851,14495,1039089,688138,437843,856613.0,,6174229,6174229,0,,0.0,1906938,5558,149473,4713,,3709512,21886,316415,0.0,504356.0,5018270.0,3350172.0,7630300,2014年03月31日,7485867,139816.0,,,11522981.0,4682711.0,17937372,17937372,0,1663771,7675037,22867090,,59370,719550,10323131.0,,371506.0,0.0,1950442,814632.0,1668098.0,6840270.0,,7630300,,,,15752693.0,41,,33690065.0,,,18809,1090793,66515,6468012,350951,0.0,8077656,10822975,727802,,374230,0
2014-08-12,2,2014,1149081,9397098,132773,8872025,0.0,3380174,,56280,84582,1516425,7435,1967535,4097,1346323.0,528409.0,1963438,518273,19128,1091302,750113,84582,855567.0,,6268904,6268904,0,534200.0,0.0,1929915,7890,149311,3985,,3702960,17088,170582,0.0,499145.0,5063877.0,3379419.0,7630300,2014年06月30日,6164930,32386.0,,,11508738.0,4601317.0,17121148,17121148,0,1987545,9388936,23658562,,58536,719550,10580048.0,,370513.0,0.0,2030723,817914.0,1684458.0,6907421.0,,8164500,,,,17280942.0,41,,34402090.0,,,18716,1009565,63819,6364168,341189,,7892006,10743528,876449,,359909,0
2014-11-12,3,2014,904185,9539678,133718,9807787,0.0,3368410,,53293,423189,1286047,6085,1554448,5206,,,1549242,513203,19302,1102655,757915,423189,,,6173484,6173484,0,0.0,0.0,1805906,13190,149401,85281,,3858310,14836,281579,0.0,493901.0,,,8164500,2014年09月30日,7100692,,,,,,18395517,18395517,0,1987545,9076700,24923807,,57903,719550,12196778.0,,402275.0,0.0,1966190,,,,,8164500,,,,17421164.0,41,,35816681.0,,,11729,1086617,58920,6744644,344740,,8344464,10892874,779350,,375777,0
2015-03-25,4,2014,1450699,10318243,135813,10743257,0.0,2210528,,63490,1265005,1728129,13005,2987707,18052,,,2969655,1068505,531752,981067,345925,1265005,,,6579874,6579874,0,0.0,0.0,1823903,19117,149377,179255,,3819747,11057,298327,1752.0,536753.0,,,8164500,2014年12月31日,8036162,,,,,,20172835,20172803,0,1987545,8270146,26804471,,63616,719550,12279655.0,,277801.0,5855.0,1882036,,,,,8164500,,,,18256033.0,41,,38428868.0,,,11887,1309105,125658,7608277,635142,32.0,9985887,11624397,745120,,264425,0
2015-05-11,1,2015,1366040,10143045,135217,11311150,0.0,1856329,,82815,956034,1793096,6987,3467047,3121,,,3463926,1057032,525116,1130706,297774,956034,,,6064440,6064440,0,,0.0,1595423,83719,149463,91520,,3501518,11776,365485,0.0,,,,8164500,2015年03月31日,8604055,,345008.0,12284.0,,,20431755,20431725,0,1987545,7614510,26374500,531916.0,59928,719550,,12152567.0,,,1699952,,,,,8164500,37985495.0,,17553740.0,,41,37985495.0,,,,1136,1233384,142099,7648814,832932,30.0,9939230,11610995,715432,,420069,0
2015-08-11,2,2015,2001953,9953253,127735,9909855,,3686996,1849984.0,63465,720734,2315945,8495,3721337,3651,,,3717686,1049271,521802,1345417,468970,720734,,,6119302,6119302,0,408300.0,0.0,1684733,93587,149216,5543,1837012.0,3677124,10330,375899,0.0,,,,8164500,2015年06月30日,6835018,,360544.0,7294.0,,,19203460,19203430,0,2355287,9658264,26691625,527469.0,59646,719550,,12046145.0,,,1361700,,,,,8572800,38320652.0,,19117192.0,,41,38320652.0,,,,1225,1175553,142976,7234104,876447,30.0,9458928,11629027,669504,,305497,0
2015-11-12,3,2015,2936390,10128179,131159,11181302,0.0,3791213,1954201.0,88656,1481120,3244483,6138,3874804,2979,,,3871825,1057110,533871,1423071,526091,1481120,,,6008888,6008888,0,0.0,0.0,1510138,81675,149532,3972,1837012.0,3714743,9768,304357,0.0,,,,8572800,2015年09月30日,8106465,,302761.0,10965.0,,,21235293,21235263,0,2355287,10311032,28414986,523239.0,60339,719550,,13876670.0,,,1227258,,,,,8572800,40322179.0,,19086886.0,,41,40322179.0,,,,926,1360834,164445,6357910,896980,30.0,8775854,11907193,525209,,301955,0
2016-03-22,4,2015,1779971,10501413,131082,11931858,0.0,1974488,,132071,1181656,2043003,8024,3607313,2095,,,3605218,1081048,521970,1849924,467091,1181656,,,5820556,5820556,0,0.0,0.0,1428034,76962,149288,5953,,3280619,14774,348081,0.0,,,,8572800,2015年12月31日,8857021,,372928.0,36466.0,,,21686385,21686355,0,2355287,7124604,28072069,559078.0,66453,719550,,14299773.0,,,1018146,,,,,8572800,40824560.0,55802.0,19138175.0,,41,40824560.0,,,,862,1293523,203619,9639000,1382833,30.0,12013571,12752491,531554,,255008,0
2016-05-03,1,2016,2023174,10299882,129992,12570668,0.0,1756768,,131274,833103,2427922,6887,3241923,8024,,,3233899,890116,513358,1833228,459725,833103,,,5156716,5156716,0,,0.0,1389131,77705,149605,12781,,3448915,10062,489090,,,,,8572800,2016年03月31日,9495831,,361190.0,31612.0,,,21976642,21976612,0,2355287,6875102,27930160,376758.0,64268,719550,,14803672.0,,,657075,,,,,8572800,40453816.0,42925.0,18477174.0,,41,40453816.0,,,,900,1204838,196286,9507118,1373503,30.0,11602072,12523656,615996,,397861,0
2016-08-10,2,2016,1589443,10441435,125200,11379155,,3758073,1872057.0,102064,533579,1912839,7057,3168360,5159,,,3163201,868372,496192,1811785,446162,533579,,,5105415,5105415,0,171500.0,0.0,1592151,51784,149380,10743,1886016.0,3308147,3472,402308,,,,,8572800,2016年06月30日,7957620,,289428.0,22548.0,,,20657105,20657075,0,2701985,8446105,28186626,372180.0,65456,719550,,15475824.0,,,639985,,,,,8744300,40812574.0,41722.0,20155469.0,,41,40812574.0,,,,813,1145926,182072,9695066,1365623,30.0,11709364,12625948,597675,,316339,0
2016-11-10,3,2016,1902580,10445759,123641,12125452,0.0,3826004,1939988.0,99447,-226734,2217799,8450,3754047,5280,,,3748767,856376,488631,1812309,486549,-226734,,,5130051,5130051,0,0.0,0.0,1474730,69763,149482,6497,1886016.0,3030140,8359,275930,,,,,8744300,2016年09月30日,8703917,,165709.0,9820.0,,,20643089,20643059,0,2701985,8578333,27765539,367745.0,62905,719550,,15013163.0,,,634364,,,,,8744300,40384117.0,33985.0,19741028.0,,41,40384117.0,,,,837,985742,173964,9320577,1325760,30.0,11162695,12618578,443745,,306769,0
