date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－其他應收款項,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,商品存貨,土地成本,土地淨額,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－買賣業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待售房地,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應付薪資,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據,應收票據淨額,應收票據－關係人淨額,房屋及建築成本,房屋及建築淨額,持有供交易之金融資產－流動,持有至到期日金融資產－流動淨額,按攤銷後成本衡量之金融資產－流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅資產合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,避險之衍生金融資產－流動,銀行存款,零用金／週轉金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付所得稅,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,552864,173331.0,173331,-282870,,0.0,51169.0,10622.0,1135,,1135.0,466,51635.0,,0.0,,295,295.0,22.0,22.0,2442.0,0.0,6824,107,,4581.0,4891.0,488144.0,488144.0,6824.0,107.0,4891,,4891.0,159275,51909.0,51909.0,,,,50.0,50,840.0,840,0.0,11731.0,1109,,,,,328.0,,271544.0,63921.0,9640.0,,,1397801,2013年03月31日,-282870.0,,956942,956958,14424000,,2320,400495,1035,,34380.0,,,292830.0,,,339.0,168300.0,-282870.0,2442.0,207623.0,2047.0,1962.0,1397801,,,170890.0,1302,1302.0,,1127832.0,2570.0,523.0,,9640,2238.0,276.0,161746,,124450.0,80.0,1035.0,1035.0,-16,168570,727337,339.0,4581,0
2013-08-09,2,2013,551459,170331.0,170331,-284584,,0.0,51169.0,10622.0,1514,,1308.0,478,51647.0,,0.0,,294,294.0,0.0,0.0,2442.0,0.0,6824,88,,5533.0,4859.0,488144.0,488144.0,6824.0,88.0,4859,,4859.0,159275,51909.0,51909.0,,,,110.0,110,310.0,310,206.0,12012.0,1390,,,,,10.0,,271544.0,62616.0,15540.0,,,1397801,2013年06月30日,-284584.0,,955228,955244,14424000,,2228,403173,975,,69480.0,,,253603.0,,,371.0,165400.0,-284584.0,2442.0,208928.0,2083.0,2026.0,1397801,,,170798.0,1302,1302.0,,1126026.0,2570.0,487.0,,15540,2238.0,212.0,161746,,88123.0,80.0,975.0,975.0,-16,168570,722853,371.0,5533,0
2013-11-07,3,2013,550062,167666.0,167666,-284122,,0.0,51169.0,10622.0,1205,,1205.0,345,51514.0,,0.0,,247,247.0,0.0,0.0,2442.0,0.0,5358,88,,7605.0,4828.0,488144.0,488144.0,5358.0,88.0,56737,51909.0,4828.0,159275,,,,51909.0,,26.0,26,119.0,119,0.0,11176.0,554,,,,16.0,16.0,,271544.0,61311.0,16734.0,,,1397801,2013年09月30日,-284122.0,,955690,955706,14424000,,1597,405661,914,,66580.0,,,256749.0,,,341.0,168300.0,-284122.0,2442.0,210233.0,2112.0,2089.0,1397801,,,168701.0,1302,1302.0,,1124391.0,2570.0,458.0,,16734,2238.0,149.0,161746,,88369.0,80.0,914.0,914.0,-16,167104,718730,341.0,7605,0
2014-03-20,4,2013,551180,,160371,-292898,,,,,2526,2526.0,,381,,,0.0,,149,,,,,,5641,88,88.0,,,,,,,58158,,,159275,,,,,,,40,,106,,,493,,,,,160.0,,,,,,,1397801,2013年12月31日,-292898.0,,946914,946930,14424000,,2821,404630,853,,52380.0,,,243132.0,,,403.0,,,,,,,1397801,,,170208.0,1302,,,1117122.0,,,,20092,,,161746,,,,,,-16,167387,712492,,29431,0
2014-05-06,1,2014,575950,,160371,-292895,,,,,1934,1934.0,,102,,,,,591,,0.0,,,,5641,88,88.0,,,,,,,58306,,,159275,,,,,0.0,,38,,60,,,153,,,,,288.0,,,,,,,1397801,2014年03月31日,-292895.0,,946917,946933,14424000,,2623,379725,793,,52380.0,,243518.0,,,,456.0,,,,,,,1397801,,,170010.0,1302,,,1116927.0,,,,20217,,,161746,,,,,,-16,167387,737202,,4305,0
2014-08-14,2,2014,574725,,156708,-292886,,,,,1424,,,102,,,0.0,0.0,589,,,,,,5746,88,,,,,,,,58300,,58300.0,159275,,,,,0.0,,26,,12,,,188,,,,,0.0,,,,,,,1397801,2014年06月30日,-292886.0,,946926,946942,14424000,0.0,2051,384216,732,,52380.0,0.0,246680.0,,,,347.0,168300.0,,,,,,1397801,,,169543.0,1302,,,1116469.0,,,,20736,,,161746,,78349.0,31.0,,,-16,167492,732253,,5483,0
2014-10-30,3,2014,575000,,151410,-291913,,,,,1555,,,112,,,0.0,0.0,476,,,,,,5746,69,,,,,,,,58246,,,159275,,,,,0.0,,66,,26,,,303,,,,,0.0,,,,,,,1397801,2014年09月30日,-291913.0,,947899,947915,14424000,0.0,2123,390364,671,,52380.0,0.0,239618.0,,,,403.0,,,,,,,1397801,,,169615.0,1302,,,1117514.0,,,,30563,,,161746,,,,,,-16,167492,727150,,8739,0
2015-03-10,4,2014,577772,,151294,-294553,,,,,2430,,,147,,,0.0,,212,,,,,,6007,69,,,,,,,,58234,,,159275,,,,,0.0,,31,,3,,,250,,,,,0.0,,,,,,,1397801,2014年12月31日,,,945259,945275,14424000,,2676,385942,611,,57875.0,,233566.0,,,,471.0,,,,,,,1397801,,,170429.0,1302,,,1115688.0,,,,31062,,,161746,,,,,,-16,167753,729746,,4337,0
2015-05-07,1,2015,576037,,149564,-293830,,,,,3788,,,62,,,0.0,,888,,,,,,6207,24,,,,,,,,58212,,,159275,,,,,,,0,,117,,,549,,,,,714.0,,,,,,,1397801,2015年03月31日,,539.0,945982,945998,14424000,,4793,392553,550,57509.0,,,,235777.0,,,,,,,,,,1397801,1118728.0,172746.0,,1302,,1118728.0,,,,,33804,,,161746,,,,,,-16,167953,726175,,5387,0
2015-08-14,2,2015,575666,,148726,-294515,,,,,815,,,3859,,,0.0,,217,,,,,,6255,24,,,,,,,,58182,,58182.0,159275,,,,,,,0,,600,,,419,,,,,57.0,,,,,,,1397801,2015年06月30日,-294515.0,372.0,945297,945313,14424000,,1632,390025,489,69580.0,,,,208508.0,,,,,,,,,,1397801,1114930.0,169633.0,,1302,,1114930.0,,,,,45606,,,161746,,,,,,-16,168001,724905,,3442,0
