date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－流動,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,,241236,1765085,1584953,,188970,34043,23470,289690,48454,755190,,,1181.0,122846,1812,1429.0,1226137,0.0,,,,811687,737805,35704,1445634,199661,,762750,2013年03月31日,3807729,3807729,0,2483471,4613537,1994,,952686.0,418186,762750,,1429.0,,2695733.0,1436556,,6503462.0,,186.0,211081,121034,0.0,212262,1889925,0
2013-07-27,2,2013,,,272895,2123859,1561959,,336625,12677,100532,325254,52359,546220,,,1284.0,127385,3873,0.0,1471217,0.0,240266.0,,,716725,1116239,56536,1263062,71053,,762750,2013年06月30日,4102063,4102063,0,2905366,4816399,1713,,1451095.0,353987,1003016,,0.0,,2967293.0,1436556,,7069356.0,,1075.0,60643,123512,0.0,61927,2252957,0
2013-10-26,3,2013,,,283062,2405314,1728045,,170192,10759,46798,355620,72558,330960,,,1096.0,305970,56771,,1282516,,,,952897.0,592167,763813,34151,1514450,105669,,1153016,2013年09月30日,5297510,5297510,0,2003140,5914356,1453,,2669305.0,72697,1153016,,,,3329583.0,2369651,,8627093.0,14500.0,697.0,372450,249199,,1326443,2712737,0
2014-03-22,4,2013,,,75407,2632142,1862504,,233844,7205,173095,151500,76093,438823,341433.0,97390.0,1049.0,297737,3634,,1075971,,,,956892.0,543803,589250,37126,1231765,191990,,1153016,2013年12月31日,5558266,5558266,0,1739931,5400039,1627,,2454285.0,173153,1153016,,,,2773279.0,2369651,,8331545.0,11255.0,,75407,294103,,1033348,2931506,0
2014-05-03,1,2014,,,90560,2777821,2002112,,177294,1026,135412,195298,104738,431843,325822.0,106021.0,0.0,299348,5338,,1106955,0.0,,0.0,960903.0,713105,427265,21244,1503579,168537,,1153016,2014年03月31日,5660191,5660191,0,1714641,5317104,1835,2095351.0,,171735,1153016,,,,2735917.0,2369651,,8396108.0,8700.0,9813.0,60373,294010,0.0,1021276,3079004,0
2014-08-02,2,2014,,,59327,2723115,1628240,,178347,6883,14193,124950,65623,415363,352375.0,62988.0,0.0,478003,190296,,1033875,,363200.0,0.0,964931.0,360375,301928,16726,1251145,126093,,1153016,2014年06月30日,5528300,5528300,0,1371028,4720704,1764,1877703.0,,373202,1516216,,,,2395286.0,2369651,,7923586.0,15500.0,9642.0,59327,287707,,1024258,3202882,0
2014-11-01,3,2014,968977.0,61001.0,1029978,3006157,1675817,,144237,1094,199398,1100048,70070,530624,399790.0,130834.0,0.0,616357,322190,,1009659,,,0.0,0.0,484373,167507,8006,876960,167869,48001.0,1516216,2014年09月30日,5761082,5761082,0,2262153,4397067,1404,1810861.0,,337182,1516216,,,,2307904.0,2369651,,8068986.0,20800.0,0.0,45751,294167,,45751,3671919,0
2015-03-21,4,2014,973039.0,31283.0,1004322,3255662,1670940,0.0,113973,2587,408758,1124897,120575,608298,536056.0,72242.0,0.0,1098219,796574,,972841,,,0.0,0.0,488683,251139,15158,990204,96225,45200.0,1516216,2014年12月31日,5965565,5965565,0,2510617,4118058,5968,1446247.0,,487167,1516216,,,,2557542.0,2369651,,8523107.0,29600.0,1656.0,46925,301645,0.0,46925,4405049,0
2015-05-01,1,2015,977118.0,0.0,977118,3934805,1747107,,127192,9545,342815,1115654,138536,591550,499309.0,92241.0,0.0,593318,296185,,956890,0.0,,0.0,0.0,519397,371541,13878,1188700,100435,43809.0,1516216,2015年03月31日,5975789,5975789,0,2804953,4202387,6423,,1355267.0,631691,1516216,8780742.0,,2804953.0,,2369651,8780742.0,,25600.0,0.0,0,297133,0.0,0,4578355,0
2015-08-01,2,2015,981214.0,49712.0,1030926,4022577,1645499,,262018,123799,261027,1115383,84457,652404,572906.0,79498.0,,621155,328912,,1033822,0.0,0.0,0.0,0.0,445409,397852,7479,1143082,88962,40704.0,1516216,2015年06月30日,5792393,5792393,0,3238958,4446373,6180,,1402353.0,980717,1516216,9136989.0,,3344596.0,,2369651,9136989.0,,30100.0,1951.0,105638,292243,0.0,105638,4690616,0
2015-10-31,3,2015,49365.0,53005.0,102370,4297422,1723033,,136572,4904,518842,203354,100984,584201,480292.0,103909.0,,896649,594458,,1129051,0.0,0.0,0.0,0.0,576431,506199,4594,1428852,139391,40646.0,1516216,2015年09月30日,6127742,6127742,0,2166020,4456024,6104,,1169625.0,738870,1516216,9696845.0,,3569103.0,,2369651,9696845.0,,0.0,0.0,1403083,302191,0.0,1403083,5240821,0
2016-03-26,4,2015,49572.0,52906.0,102478,4218211,1771707,0.0,195540,7027,338042,189768,87290,467444,431587.0,35857.0,0.0,973231,530382,,794483,,,0.0,0.0,510105,248651,3392,1410872,230356,32739.0,1516216,2015年12月31日,5995616,5995616,0,1640136,4052562,5665,,1142380.0,492680,1516216,9282408.0,,3286792.0,,2369651,9282408.0,,0.0,0.0,1646656,442849,0.0,1646656,5229846,0
2016-04-30,1,2016,49780,54879,104659,4100814,1892567,,166481,7192,199745,191950,87291,552317,501549,50768,0,993771,562110,,702476,,,0,,493674,340911,1749,1345162,229274,1911,1516216,2016年03月31日,5978179,5978179,0,1575198,4074920,5259,,1238499,380433,1516216,9176675,,3198496,,2369651,9176675,,0,,1623298,431661,0,1623298,5101755,0
2016-07-30,2,2016,49988.0,59083.0,109071,4044291,1855716,,234996,3153,-6483,175387,66316,601872,547817.0,54055.0,0.0,1008738,590804,,801004,,68230.0,0.0,,321853,437279,327,919690,134227,1695.0,1516216,2016年06月30日,5803330,5803330,0,1541812,3913533,6242,,1453587.0,371970,1584446,8974499.0,,3171169.0,,2369651,8974499.0,,0.0,0.0,1629357,417934,0.0,1629357,5060966,0
2016-10-29,3,2016,0.0,74024.0,74024,4418683,2008816,,365386,2122,-233658,161353,87329,562039,497171.0,64868.0,0.0,617677,215563,,767540,,,0.0,,471038,567122,0,1408603,113974,0.0,1584446,2016年09月30日,5729255,5729255,0,2025885,4389243,5697,,1534965.0,460986,1584446,9431300.0,,3702045.0,,2369651,9431300.0,,,0.0,1676160,402114,0.0,1676160,5042057,0
