date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收票據,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,土地改良物淨額,土地淨額,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良淨額,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,銀行借款,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,1608154,12274,1277871,2874.0,0.0,656599,996,664,0.0,-188,40659,,3820,54753.0,107131,,267704,-188.0,,737388.0,7087.0,230956,230956.0,0.0,,,94538,,12014,95383.0,92509,19126,12241.0,12241,68359.0,472948.0,262566,1302350,2013年03月31日,1002544,,,337779.0,2952069,2584396,0,200656,971369,1933124,0.0,,,,74671,,1096714.0,163012.0,0.0,2628.0,1302350,,3551.0,,1146963.0,4363,4363,,4099032.0,462355,,2658.0,68463,15210,,,31685.0,31685.0,367673,175594,2165908,14739,0
2013-08-12,2,2013,,,1744358,12274,996953,3285.0,,1325770,1388,206,0.0,-1344,28781,,2609,62948.0,106161,,160168,-1344.0,81.0,854140.0,6173.0,221091,221091.0,0.0,,,88449,,12650,105508.0,102223,19224,11010.0,11010,67980.0,498100.0,288600,1302350,2013年06月30日,659735,,,323838.0,2537810,2302322,0,262547,1577116,2068325,0.0,,,,74671,,923397.0,117234.0,0.0,2565.0,1302350,,2844.0,,1751740.0,4363,4363,,4289550.0,773182,,2686.0,68463,15825,,,32008.0,32008.0,235488,174624,2221225,15383,0
2013-11-11,3,2013,,,1773185,12274,1202863,2977.0,,745584,1635,651,0.0,-666,39030,,865,70747.0,103201,,458187,-666.0,988.0,854140.0,4230.0,237632,237632.0,0.0,,,86577,,8783,83102.0,80125,14740,6482.0,6482,67393.0,531891.0,287349,1302350,2013年09月30日,865645,,,311015.0,2842737,2508910,0,262547,974248,1442666,0.0,,,,74671,,675242.0,91427.0,0.0,2617.0,1302350,,1212.0,,1145912.0,4363,4363,,3988649.0,408260,,1787.0,68463,14988,,,31578.0,31578.0,333827,171664,2545983,18669,0
2014-03-24,4,2013,,,1820462,12274,1467154,,,917039,1708,517,,-1973,42857,,725,,119538,28932.0,645404,,,,4180.0,235165,,,,,74496,,13397,,73239,8394,,4717,54414.0,,305609,1302350,2013年12月31日,1129937,,,,3220811,2771894,0,262546,1218433,1829990,0.0,,,,74671,,1068695.0,168435.0,0.0,,1302350,,501.0,,1408040.0,4363,4363,,4628851.0,423805,,,70069,15112,,,32012.0,32012.0,448917,189607,2798861,14733,0
2014-05-08,1,2014,,,1824349,12274,1661766,2945.0,,790314,1265,800,,-1638,34316,,580,101055.0,128063,38157.0,743696,-1638.0,902.0,858626.0,4180.0,240745,240745.0,,0.0,,86260,,8769,87697.0,84752,6122,2314.0,2314,51395.0,543289.0,314127,1302350,2014年03月31日,1324549,,,313539.0,3509850,2966841,0,262546,1155072,1952422,,,,,74671,1073270.0,,230288.0,,5267.0,1302350,,3860.0,,1353204.0,4363,4363,,4863054.0,524402,,1671.0,70069,16186,,,34331.0,34331.0,543009,198132,2910632,19437,0
2014-08-11,2,2014,,,1892806,12274,1221241,2940.0,,1646498,1363,996,,147,41509,,839,96313.0,138904,52788.0,929098,147.0,859.0,926168.0,4180.0,223600,223600.0,0.0,0.0,,92304,,8755,78773.0,75833,11107,3481.0,3481,50411.0,541810.0,258740,1302350,2014年06月30日,800447,14454.0,,306968.0,2922769,2528101,0,346123,1941953,1965395,,,,,74671,660810.0,,150324.0,,4944.0,1302350,,1200.0,,2150926.0,4363,4363,,5073695.0,964907,,1290.0,70069,15382,,,31525.0,31525.0,394668,208973,3108300,23822,0
2014-11-06,3,2014,,,1925385,12274,1467073,2971.0,,829509,1441,313,,-2442,54976,,1570,100400.0,143284,57492.0,928759,-2442.0,816.0,926167.0,4281.0,245037,245037.0,0.0,0.0,,106555,,10691,75634.0,72663,11758,4826.0,4826,49273.0,549342.0,272972,1302350,2014年09月30日,1046279,43384.0,,299251.0,3281719,2771344,0,346123,1103541,1435491,8462.0,,,,74671,765957.0,,98748.0,,4798.0,1302350,,1621.0,,1316894.0,4363,4363,,4598613.0,313805,,1227.0,70069,15270,,,32238.0,32238.0,510375,213353,3163122,19562,0
2015-03-24,4,2014,,,2067880,18502,1758316,,,1098463,1645,1714,,5923,49573,,1196,,119015,57466.0,1111188,,,,4297.0,268268,,,0.0,,120829,987.0,6391,,78212,13336,,6880,40406.0,,185985,1302350,2014年12月31日,1337522,,,,3716708,3070952,0,346123,1463042,1965711,11211.0,,,,74671,1373835.0,,183735.0,,,1302350,,1419.0,,1652111.0,4363,4363,,5368819.0,205971,,,70054,8342,,,16846.0,16846.0,645756,189069,3403108,16299,0
2015-05-08,1,2015,,,5027581,18502,1996106,,,2988442,1361,1668,,3227,47209,,1171,,113893,,226006,3227.0,,,,285388,285388.0,,0.0,,136940,0.0,7286,,88090,10139,3017.0,3017,,,185985,1302350,2015年03月31日,1575312,,255978.0,,4061046,3306046,0,346123,3437216,2203431,12339.0,,,,74671,,1550427.0,,,,1302350,7682209.0,,3621163.0,,4363,4363,7682209.0,,246254,,,70054,8365,,,,,755000,183947,5478778,17277,0
2015-08-12,2,2015,15559.0,15559.0,5364079,18502,1550187,3386.0,,1866859,9897,1887,,-804,76809,61250.0,5708,,116038,,142582,-804.0,,,,325175,325175.0,0.0,0.0,,177508,0.0,7703,88283.0,84897,10965,2002.0,2002,,,185985,1302350,2015年06月30日,1035145,,166920.0,,3324081,2856096,0,440371,2305696,1869049,12412.0,,,,74671,,1270749.0,,,,1302350,7600310.0,0.0,4276229.0,,4363,4363,7600310.0,,144687,,,70054,7701,,1784441.0,,,467985,1970533,5731261,22979,0
2015-11-10,3,2015,20771.0,20771.0,5493452,28028,1811819,,,1024287,14412,1911,,10801,101469,80698.0,2628,,119286,,136725,,,,,365463,365463.0,0.0,0.0,952103.0,152225,0.0,1860,,88685,18695,8202.0,8202,,,185985,1302350,2015年09月30日,1296777,,100008.0,,3773727,3174606,0,440371,1394261,2020892,12590.0,5176.0,,,74671,,710544.0,,,,1302350,7885327.0,,4111600.0,,49636,49636,7885327.0,,794939,1100.0,,70054,6555,,1575896.0,,,599121,2717339,5864435,24649,0
2016-03-14,4,2015,97672.0,97672.0,5596702,28028,2115246,,,1317835,27347,1688,,395,97672,,10419,,122306,122306.0,129541,,,,,359474,,,0.0,946164.0,152077,0.0,774,,75553,12720,,8312,,,185985,1303001,2015年12月31日,1600204,,192612.0,,4219556,3478209,0,440371,1788317,2650568,13195.0,4995.0,,,74671,,1432560.0,,,,1303001,8612365.0,,4392809.0,,59567,59567,8612365.0,,721594,2373.0,,69155,5973,,1466867.0,,,741347,2604492,5961797,23253,0
2016-05-12,1,2016,221500.0,221500.0,5710225,28028,2398415,,,1240638,34478,4187,,-978,221500,,9923,,113641,,187308,-978.0,,,,389383,389383.0,,0.0,945478.0,163915,,1273,,99973,14365,8451.0,8451,,,185985,1303324,2016年03月31日,1883373,,274808.0,,4635843,3765279,0,440371,1971612,2861631,12748.0,25272.0,,,74671,,1462042.0,,35000.0,,1303324,8993469.0,,4357626.0,,64518,64518,8993469.0,,822251,1868.0,,69155,5676,,1257740.0,,,870564,2386014,6131838,25784,0
2016-08-11,2,2016,32493.0,32493.0,5755259,28028,1964166,,,2204042,15027,2714,,-8554,290404,257911.0,10526,,125703,,193887,-8554.0,,,,464550,464550.0,0.0,0.0,939837.0,236884,,8737,,97100,12416,13493.0,13493,,,185985,1303946,2016年06月30日,1343959,,231630.0,,3981245,3333632,0,545536,2986724,3050157,28284.0,29990.0,4460.0,4460.0,74671,,1383314.0,,,,1303946,9254945.0,,5273700.0,,74074,74074,9254945.0,,1002162,2432.0,,69155,6453,,1152281.0,,,647613,2286976,6204788,33892,0
