date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,3780840,37098,2310221,,176483,345565,8280.0,15133,,63069,55630,556310,128717,48890,1272893,,146019,,391140,0.0,1680.0,277041.0,310979,,112433,,150552.0,,82000.0,90000,3166040,2013年03月31日,916651,,,5596548,5543721,11979701,1368890,947506,3320886,,12697.0,,24680,,22979.0,51926.0,1677.0,10235,3166040,,83891,43498,,1759596.0,198346,,,7356144.0,,1243595,212282,65733,277041.0,52827,812090,4035258,33937.0,0
2013-08-08,2,2013,3782063,37098,2107052,,201299,779830,10753.0,12558,,85242,55769,555427,133226,38869,1050596,,146019,,334450,,0.0,274213.0,582160,,108497,,147988.0,,0.0,90000,3166040,2013年06月30日,683380,,,5392108,5337977,11979701,1398992,1332880,3520519,,12645.0,,24680,,31812.0,10218.0,110.0,15339,3166040,,107801,50127,,2151734.0,198346,,,7543842.0,,1452206,213300,62648,274213.0,54131,818854,4023323,27317.0,0
2013-11-08,3,2013,3768593,141498,2170922,,212395,937507,17899.0,20332,,70458,59735,544710,133523,43200,832301,832301.0,132299,,278425,,,271384.0,303290,,96018,,139803.0,,0.0,90000,2691134,2013年09月30日,747249,,,5018993,4957921,10182746,1398993,1351702,3072756,,12488.0,,24680,,50663.0,2795.0,3067.0,12835,2691134,,49682,56547,,2167307.0,207832,,,7186300.0,,1486664,214348,57765,271384.0,61072,815605,4113544,10724.0,0
2014-03-19,4,2013,2834214,141498,2261514,,213303,336826,2573.0,26994,,66010,58632,532957,129432,40430,838565,838565.0,132298,,240550,0.0,818.0,268553.0,267946,0.0,74269,0.0,134972.0,928833.0,0.0,90000,2691134,2013年12月31日,837842,,,5116961,5055176,10182744,1398992,737641,2529314,,12763.0,,24680,,42820.0,4574.0,5828.0,16854,2691134,,72009,29519,,1515311.0,207832,,,6632272.0,0.0,1013878,215194,55220,268553.0,61785,777670,4102958,11500.0,0
2014-05-07,1,2014,2806705,142938,2267736,,207254,293405,5119.0,20946,,58683,58477,530695,130132,53834,914780,,132298,0.0,338074,0.0,7599.0,265721.0,275224,,86516,,134842.0,935724.0,0.0,90000,2691134,2014年03月31日,844064,,,5113066,5055350,10182744,1398992,787065,2579391,,16547.0,,24680,33216.0,,3205.0,4322.0,3719,2691134,,82380,34893,,1568768.0,207832,,,6681834.0,,946818,216115,56695,265721.0,57716,781703,4102443,47665.0,0
2014-08-08,2,2014,2796267,145299,2108373,,210674,665043,2365.0,24375,,60161,59445,519920,129058,87676,860719,,132298,0.0,385998,,0.0,262888.0,463456,,82063,,127974.0,929964.0,0.0,90000,2691134,2014年06月30日,660608,,,4958381,4899416,10182744,1423085,1247374,2863586,,15978.0,,24680,66843.0,,14717.0,6534.0,9456,2691134,,111999,40628,,2024970.0,207832,,,6983351.0,,1081095,217048,54581,262888.0,58965,777596,4119765,30392.0,0
2014-11-11,3,2014,2824688,158499,2188871,,211456,495757,6567.0,15222,,52792,56899,524089,138496,76656,642514,,132298,0.0,378165,,0.0,260052.0,329552,,92058,,125541.0,977001.0,,90000,2691134,2014年09月30日,741106,,,5039620,4979241,10182744,1423085,1015527,2646374,,16801.0,,24680,36884.0,,19995.0,12045.0,17255,2691134,,51563,47459,,1805048.0,216312,,,6844668.0,,1179959,217973,54649,260052.0,60379,789521,4198294,78440.0,0
2015-03-25,4,2014,2821387,200271,2245714,,222215,430830,6092.0,19917,,47776,60366,516148,139706,103617,829313,829313.0,132298,0.0,350512,0.0,829.0,257215.0,272345,0.0,61946,0.0,119227.0,1288605.0,0.0,90000,2691134,2014年12月31日,797949,,,5096164,5040779,10182744,1423085,928899,2235932,,15932.0,,24680,105375.0,,33378.0,10045.0,11495,2691134,,54079,52472,,1716454.0,216312,,,6812618.0,0.0,626801,218935,56874,257215.0,55385,787555,4576686,41434.0,0
2015-05-08,1,2015,2810896,207593,2242400,24409.0,212765,307996,,24409,,30663,93965,493373,375223,76370,1187278,,132298,0.0,422196,,107.0,,314714,,64095,,,1308145.0,,0,2691134,2015年03月31日,794635,33705.0,10045.0,5098034,5041957,10182744,1423085,900607,2185562,118150.0,,90004.0,24680,,54519.0,,,22459,2691134,6740138.0,83481,28271,1642104.0,,216312,,6740138.0,,,248181,219853,61568,,56077,741497,4554576,,0
2015-08-11,2,2015,2803178,203825,2148359,18587.0,198426,710887,,18587,0.0,21166,68820,489522,360808,89815,945399,,132298,0.0,330580,,1476.0,,567535,,55705,,,1364950.0,,0,2691134,2015年06月30日,677954,28495.0,7501.0,4997743,4942094,10182744,1445725,1223538,2355491,128714.0,,90004.0,24680,,65569.0,,,17507,2691134,6965272.0,113427,33702,1967529.0,,216312,216312.0,6965272.0,,,446536,220767,58009,0.0,55649,743991,4609781,,0
