date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,120667.0,120667.0,546038,427907,91855,,109111,109111,25352,,-32489,183768,63101,36751,4786,31965,20543,,28878,10057,2118,9582,528370,0,,356930,,,1492,522004,0.0,376,18425.0,546038,62581,,1032856,2013年03月31日,126356,,1601424,1567767,0,198457,743518,1781085,,16944,103094,,443012.0,10274.0,80000,1032856,,1943,,855037.0,139493,,2456461.0,,,9309,20935,81667.0,,,33657,111519,675376,133365,9239,0
2013-08-06,2,2013,96667.0,96667.0,540729,408094,86566,,140901,140901,65410,,-16250,169620,72953,34687,2819,31868,20265,,25362,5379,1750,7020,498283,0,,326373,,,1512,532160,0.0,383,18515.0,540729,62354,,1032856,2013年06月30日,105894,,1596365,1564193,0,199106,688964,1704625,,16383,103094,,389809.0,9160.0,40000,1032856,,1398,,776596.0,139493,,2372961.0,,,9867,23508,57500.0,,,32172,87632,668336,97327,12963,0
2013-11-08,3,2013,96667.0,96667.0,521075,435044,92418,,132531,132531,52942,,-23522,179581,82914,66716,9528,57188,20252,,27384,6918,1646,7027,492005,0,,380374,,,1034,502013,0.0,547,18606.0,521075,62128,,1032856,2013年09月30日,132844,,1615008,1583871,0,199106,743694,1777740,,16152,103094,,492039.0,9145.0,40000,1032856,,1029,,807996.0,139493,,2423004.0,,389.0,10717,18525,33333.0,,,31137,64302,645264,78671,13439,0
2014-03-26,4,2013,101667.0,101667.0,522465,437600,96157,,118960,118960,44434,,-5247,173165,71498,82260,10758,71502,19005,,18897,6618,1734,5046,550790,0,,507097,,,1359,548726,0.0,1078,17271.0,522465,61901,66696.0,1032856,2013年12月31日,135400,,1630637,1604702,0,199106,854599,1815146,,17004,103094,,407321.0,12720.0,40000,1032856,,958,,887428.0,139493,,2518065.0,340.0,957.0,9658,15956,4166.0,,,25935,32829,702919,83423,7233,0
2014-05-07,1,2014,81667.0,81667.0,508564,495758,91349,,137365,137365,55974,,13659,187970,106303,95769,2882,92887,19194,,21730,8130,1827,4793,576291,0,0.0,592891,,,2036,657749,,1961,17367.0,508564,61674,70307.0,1032856,2014年03月31日,193558,,1706620,1681766,0,199106,993467,2034814,,16389,103094,396031.0,,24557.0,40000,1032856,,3446,,1022928.0,139493,,2729548.0,5202.0,0.0,10267,16070,0.0,,,24854,29461,694734,159690,8807,0
2014-08-07,2,2014,57500.0,57500.0,495751,508275,89390,,219202,219202,71507,,-17663,148118,90618,68609,5424,63185,19259,,31734,7999,1796,5009,611247,0,0.0,635884,,,2150,697309,0.0,1821,17463.0,495751,61448,66455.0,1032856,2014年06月30日,201068,,1687880,1662961,0,204113,1076668,2107790,,15717,103094,403253.0,,27652.0,40000,1032856,,3497,,1107291.0,139493,,2795171.0,165.0,0.0,11364,16276,0.0,,,24919,30623,687381,164654,18726,0
2014-11-11,3,2014,33333.0,33333.0,513511,548481,94447,,181860,181860,39543,,9281,130088,96755,80991,11871,69120,19438,,51770,8188,1879,5140,573829,0,0.0,525869,,,1723,777189,,6367,17559.0,513511,61221,62970.0,1032856,2014年09月30日,241274,,1753887,1730111,0,204113,941903,2004611,,16028,103094,342449.0,,28512.0,70000,1032856,,3543,,972446.0,139493,,2726333.0,308.0,1266.0,11105,16222,0.0,,,23776,30543,721722,88530,38442,0
2015-03-10,4,2014,4166.0,4166.0,528178,598367,95537,65516.0,184525,184525,89512,,76101,119944,115778,78409,4553,73856,19310,,41832,5810,2014,5096,572142,0,0.0,621411,,,584,872933,,1230,17296.0,528178,60994,0.0,1032856,2014年12月31日,291160,,1861539,1846817,0,204113,1046886,2204570,,15410,103094,385218.0,,42555.0,70000,1032856,,5903,,1071352.0,139493,,2932891.0,1964.0,0.0,5156,16391,0.0,,,14722,24466,728321,109589,30926,0
2015-05-11,1,2015,0.0,0.0,527692,658523,94447,64791.0,183801,183801,95540,,49285,112255,112255,93502,9644,83858,19344,,30159,7265,2014,3954,573599,0,0.0,580855,,,1131,860906,,883,,527692,60768,0.0,1032856,2015年03月31日,351316,46646.0,1893129,1880157,0,204113,997383,2200325,17330.0,14700,103094,,300316.0,,70000,1032856,2915095.0,2695,1021966.0,,139493,2915095.0,,0.0,1321.0,5239,16660,,,,12972,24583,714770,179811,18940,0
2015-08-06,2,2015,0.0,0.0,507014,480340,89544,63880.0,389539,389539,82760,,28262,110843,110843,87821,5400,82421,19379,,40533,7646,2049,3806,604742,0,0.0,514729,,,1454,757848,0.0,3562,,507014,60541,0.0,1032856,2015年06月30日,151813,24506.0,1693999,1680951,0,225433,1138207,2153958,17330.0,14009,103094,,349787.0,,95000,1032856,2857344.0,2136,1163345.0,,139493,2857344.0,,0.0,660.0,5759,17409,0.0,,,13048,25138,703386,177234,29081,0
2015-11-10,3,2015,0.0,0.0,509811,566982,69746,68041.0,199897,199897,65311,,63708,124629,124629,96079,3878,92201,19479,,40762,8435,2149,3872,601829,0,0.0,731137,,100000.0,851,1041341,,3657,,509811,60314,0.0,1032856,2015年09月30日,238455,16908.0,1817264,1803039,0,225433,1362498,2497535,17330.0,13366,103094,,391996.0,,185000,1032856,3206949.0,2225,1389685.0,,139493,3206949.0,,1851.0,0.0,7708,17120,,,,14225,27187,709414,227576,28455,0
