date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預收款,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應付股利,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅資產,銀行借款,銀行長期借款,長期借款合計,長期應付款,長期應付票據及款項合計,長期應收款,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,44399.0,44399,2849330,4593.0,4593.0,452888,,,9526.0,9526,,179723,,42105,,-1188,154285,1669,20663,,160449,6278,103059,,10108,,,,-1188.0,7461,581918,581918.0,0.0,,,,93179.0,93179,111216.0,111216,,311440.0,311440,85229.0,85229,154171.0,0.0,1493252,2013年03月31日,254625,,,3337891,2855343,0,117312,736792,2146593,,37895,,204500.0,204500.0,80951,,797891.0,30359.0,168030,797891.0,,1493252,,,1838622.0,910391,,,,,5176513.0,35043,168030.0,941381.0,941381,,,40510.0,40510.0,27542,482548,1101830,3029920,93321,17438,108217,,0
2013-08-08,2,2013,,44258,3000667,,2986.0,421941,-1294.0,,,4475,90420.0,253398,163803.0,42952,,2643,135159,1638,16440,,159080,4369,114130,,10008,,,,3937.0,7398,617381,,,0.0,,,64984.0,64984,113703.0,113703,89595.0,337185.0,337185,91524.0,91524,154711.0,,1493252,2013年06月30日,211548,,,3307882,2826277,0,129442,815952,1974814,,43145,,,282861.0,80951,,536430.0,14077.0,234631,536430.0,211548.0,1493252,,,1951735.0,908441,,,,,5259617.0,33455,234631.0,976703.0,976703,,,44706.0,44706.0,27793,481605,1135783,3284803,45566,24225,89263,,0
2013-11-07,3,2013,373118.0,373118,3088501,,1769.0,511046,-2273.0,,,6475,88357.0,185381,185381.0,43480,43480.0,-7301,478487,2703,15293,42046.0,154831,4449,119569,11972.0,11972,101214.0,102666.0,,-5028.0,9896,560903,,0.0,,,,87221.0,87221,114501.0,114501,,325499.0,325499,77886.0,77886,150382.0,,1493252,2013年09月30日,300653,,,3455092,2958526,0,129442,1128695,2083294,,42046,,,195317.0,80951,,757227.0,25015.0,238090,757227.0,,1493252,,,1990131.0,961529,,,,,5445223.0,21687,238090.0,706605.0,706605,,,44832.0,44832.0,27233,496566,861436,3361929,101214,25636,102666,,0
2014-03-24,4,2013,51121.0,51121,3153532,,1092.0,551204,-3688.0,,,6475,85534.0,253993,253993.0,46933,,2180,208836,2560,19034,,184449,41094,149721,,11887,,,,5868.0,11910,734554,,,,,,,138663,,152305,,,382921,,78033,143355.0,,1493252,2013年12月31日,340811,,,3494040,3008164,0,129442,1219497,2233961,,39993,,,131590.0,80951,,756380.0,50862.0,414838,,,1493252,,,2209409.0,961528,,,,,5703449.0,39616,,,805463,,,46638.0,46638.0,27681,485876,989912,3469488,78041,51605,155155,0.0,0
2014-05-09,1,2014,62163.0,62163,3206373,,698.0,612116,21463.0,,,6475,135677.0,196111,196111.0,30096,,23742,225752,3205,11483,,182070,40321,115142,,10964,,,,2279.0,11646,733676,,,,,0.0,,114790,,115089,,,397533,,71434,141749.0,,1493252,2014年03月31日,401723,,60912.0,3593264,3090638,0,129442,871181,2190839,,47221,,,209588.0,80951,650040.0,,49439.0,170000,,340811.0,1493252,,,2135021.0,961528,247834.0,713694.0,713694.0,,5728285.0,32335,,,1081770,,,47248.0,47248.0,27399,502626,1263840,3537446,80514,17885,160384,,0
2014-08-11,2,2014,48729.0,48729,3223326,,114.0,443269,13813.0,,,6475,120428.0,320000,200540.0,74280,,6543,199065,2252,15494,,194361,41354,62465,,11764,,,,-7270.0,8991,733899,,,,119460.0,0.0,,122291,,95367,119460.0,,369109,,75626,153007.0,,1493252,2014年06月30日,245807,,,3506118,3024052,0,159511,912572,2316555,,46237,,,204534.0,37951,788476.0,,35849.0,140000,,,1612712,,,2289285.0,961528,,,,,5795403.0,26278,,,1182352,,,0.0,0.0,26730,482066,1376713,3478848,48662,14980,148084,,0
2014-11-08,3,2014,47517.0,47517,3262251,,114.0,421365,-4077.0,,,6475,118538.0,201465,201465.0,75998,,2358,200483,3060,17091,,196521,42750,59515,,12059,,,,6435.0,8883,813778,,,,,0.0,,91841,,133458,,,307802,,74236,153771.0,,1612712,2014年09月30日,223903,,,3431037,2997963,0,159511,782359,2077523,,71053,,,164444.0,37951,577524.0,,15112.0,140000,,,1612712,,,2179720.0,961528,,,,,5610757.0,21763,,,1200840,,,0.0,0.0,27847,433074,1397361,3533234,40175,10726,149906,,0
2015-03-25,4,2014,46072.0,46072,3295504,,0.0,471365,-7235.0,-7235.0,,6601,110193.0,349339,349339.0,82724,,20393,187278,2375,2214,,211988,64657,68590,,27785,,,27628.0,27628.0,9367,861872,,0.0,,,0.0,,98481,,124655,,,377860,,83601,147331.0,,1612712,2014年12月31日,273903,,,4078543,3304230,0,159511,1133994,2785175,,185653,,,153375.0,37951,1166822.0,,42241.0,332000,,,1612712,,,2385360.0,1199760,,,,,6463903.0,18788,,,1039378,,,0.0,0.0,28512,774313,1251366,3678728,50106,2926,138831,,0
2015-05-06,1,2015,45908.0,45908,3286211,,3419.0,445024,85920.0,,,6601,320686.0,253506,253506.0,62374,,99579,200471,6343,333,,205712,57755,72235,,28972,,,,13659.0,9347,821962,821962.0,,,,,,72384,,101615,,,331265,,84223,,,1612712,2015年03月31日,247562,24005.0,,4210289,3357075,0,159511,983981,2544313,147957.0,179988,84601.0,,,37951,,1093196.0,,332000,,,1612712,6428064.0,2217775.0,,1199760,,,,6428064.0,,21212,,,1028082,,,0.0,0.0,28026,853214,1233794,3883751,59758,5890,148220,,0
2015-08-11,2,2015,45746.0,45746,3280895,,0.0,306303,44130.0,,,6601,226259.0,326179,197162.0,72116,,48998,195236,2894,174,,206410,61860,74512,,31582,,,,4868.0,9427,766336,,,,0.0,0.0,,84726,,88891,129017.0,,311872,,83214,,,1612712,2015年06月30日,92501,6667.0,,3944210,3167773,0,175851,1063699,2513646,144550.0,173052,69622.0,,,37951,,1142947.0,,362000,,,1612712,6290915.0,2346705.0,,1199760,,,,6290915.0,,22551,,,1076596,,,,,27485,776437,1283006,3777269,60764,6018,146596,,0
