date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1820725,7620240,102653,2037192,0.0,0.0,,1687507,1687507,382785,-145783,1949677,128952,616574,461927,6966.0,,154647,,101778,3134,1598816,677235,277227.0,-145783,68109.0,50996,3087818,0.0,,,0.0,3849411,77271,7238.0,6880473,260284,10928.0,30535.0,284754,,10000,230617,5315469,2013年03月31日,1091821,,10714418,10670148,0,810184,11410878,15839832,284193,135187,,4592576.0,152131.0,3677850,5315469,,,15268389.0,3463270,,25982807.0,9793.0,0.0,8394,56618,11702,3699115,0.0,870585,44270,3857511,10142975,0
2013-08-12,2,2013,2222882,7616104,102653,1990940,0.0,0.0,,1438408,1438408,404022,-64774,2295862,72980,1325754,337404,6925.0,,988350,,96529,3134,1550329,607971,278854.0,-64774,62207.0,67813,3109886,0.0,,,0.0,4696057,29932,3560.0,7268753,204133,0.0,31188.0,282651,,10000,238554,5315469,2013年06月30日,625431,,10742633,10704905,0,818690,11938434,16338070,285779,546819,,4018088.0,54673.0,3406292,5315469,,,15693609.0,3463270,,26436242.0,13650.0,0.0,7434,56117,12102,3602529,,874545,37728,3755175,10098172,0
2013-11-11,3,2013,1856826,7689582,102653,2021239,0.0,0.0,,2120888,2120888,428887,-222856,1940134,83308,1572466,287423,6743.0,,1285043,,112179,2633,1191676,285608,274857.0,-222856,77459.0,48140,3125385,0.0,,,0.0,4790406,51951,3906.0,7773072,250143,0.0,32087.0,280556,,10000,238175,5315469,2013年09月30日,655730,,10611529,10577122,0,818690,12291103,16906257,281600,546819,,3748486.0,46264.0,3337554,5315469,,,16101172.0,3463270,,26712701.0,0.0,0.0,7818,56118,12202,3641772,,857928,34407,3810069,9806444,0
2014-03-13,4,2013,1490028,7727213,102653,1698243,0.0,0.0,,1829609,1829609,339585,-123818,1596590,106562,1513236,312037,,,1201199,,106859,106859,1033111,105743,,-123818,,64265,3057433,,,,0.0,5195395,52619,,7683603,277971,,,278506,,10000,262217,5315469,2013年12月31日,332734,,10386473,10353164,0,818690,11498631,16414220,254915,546819,,3534784.0,76211.0,2748207,5315469,,,15707262.0,3463270,,26093735.0,0.0,0.0,7608,56117,10900,4045655,,863103,33309,4208631,9679515,0
2014-05-08,1,2014,2084737,7694889,102653,1680687,,,,1581919,1581919,322010,88271,2212604,127867,2519315,255053,,,2264262,,109485,109485,1118887,149134,,88271,,100235,2811017,0.0,,0.0,,4270617,31189,206.0,7220264,150232,13403.0,,277099,,10000,290410,5315469,2014年03月31日,315178,,10581829,10547697,0,818690,11548879,16316346,260987,546819,3273079.0,,51276.0,3401068,5315469,,,15504142.0,3463270,,26085971.0,0.0,,7026,56118,14700,3789660,,869518,34132,3955263,9769625,0
2014-08-11,2,2014,2045329,7338135,102653,1713107,,,,1559887,1559887,404687,-129684,2174791,129462,2400833,314327,,240726.0,2086506,240726.0,118551,118551,1432702,246509,,-129684,,97407,2901965,0.0,,0.0,,4493878,38762,213.0,8007909,152285,15908.0,,275731,,10000,294640,5315469,2014年06月30日,720994,,10403437,10363677,0,818690,11866107,17214201,254983,173423,2885160.0,,59573.0,3539003,5315469,,,16535508.0,3464785,,26938945.0,0.0,,445454,56318,15900,4494532,,848060,39760,4669401,9724744,0
2014-11-11,3,2014,1632785,7178368,102653,1810740,,,,1580462,1580462,370079,88527,1862229,229444,3188068,315116,,247744.0,2872952,247744.0,113910,113910,1735182,382801,,88527,,100145,2908540,0.0,,0.0,,4412279,55484,0.0,8199820,115917,7668.0,,274402,,10000,557584,5315469,2014年09月30日,818627,,10721403,10679521,0,818690,11871427,17656859,259172,173423,2459772.0,,64260.0,3896713,5315469,,,17073917.0,3464785,,27795320.0,,,406995,56218,21100,5032362,,1004492,41882,5202490,10138461,0
2015-02-16,4,2014,1188362,6915475,102653,1834579,,,,1800465,1800465,422085,529999,1681498,493136,3489049,371967,,254979.0,3117082,254979.0,98513,98513,1438479,248650,,529999,,101482,2680755,,751673.0,0.0,,3769248,51131,163.0,8039083,96039,1325.0,,273065,,10000,895316,5315469,2014年12月31日,842466,,11189085,11146213,0,818690,10899211,17894737,269075,173423,2404600.0,,51148.0,3545558,5315469,,,16630915.0,3466166,,27820000.0,,,10128,61118,21200,5572073,,833368,42872,5731704,9925263,0
2015-04-28,1,2015,890091,6804974,101822,1608443,,,,1562870,1562870,302713,402244,1349737,459646,1668294,345880,,252415.0,1322414,252415.0,88445,88445,1420733,247348,,402244,,101075,3043894,0.0,744117.0,0.0,,3443792,28351,,6526271,95076,255.0,,271728,,10000,902005,5315469,2015年03月31日,616330,56420.0,10833987,10792322,0,818690,9144147,15977904,266154,173423,,3566646.0,,2702977,5315469,25776620.0,14942633.0,,3466166,25776620.0,,,,30638,58118,21300,5651923,,819895,41665,5798486,9798716,0
2015-07-28,2,2015,890073,6665089,101822,1680959,-189.0,,,1468941,1468941,335110,236239,1082494,192421,1770210,358650,,0.0,1411560,0.0,81966,81966,1148104,244934,,236428,,99473,2811495,481.0,0.0,0.0,,2828654,29324,129.0,5764424,95096,746.0,,270391,,10000,889115,5315469,2015年06月30日,675335,104048.0,10744851,10698352,60000,832201,7959464,14608093,261819,173423,,3742916.0,,2445874,5315469,23975833.0,13230982.0,,3466166,23975833.0,,,,88096,57418,21400,5132134,,803697,46499,5271518,9367740,0
