date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,長期借款合計,長期應付款,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付租金,預收股本,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,16310982,61789063,0.0,870866,32005865,12832146,537367,,15817413,3295977,-2677249,,20561917,4250935,9321368,3950393,1971372,22195,7368500,1260143,8615112,39954536,,,188728.0,49927,,9823866,1605965,0.0,2527418,24822,32339,26756126,188083,81098,356,1288958.0,1764107,,,38023737,29437801,2013年03月31日,21421930,,135708630,62881865,9934059,7320919,69377823,123060349,,12565505,,524026.0,23212.0,,3263016,,29346249.0,1242752.0,17620156,29437801,0.0,,,111151694.0,4304176,,246860324.0,118533,548507,434281,2166948,423337,2642.0,0.0,37635551,660219,660219,6108357,72826765,41773871,123799975,0.0,161950,161950.0,0.0,0
2013-08-14,2,2013,1192487,61413092,4980.0,1028798,30260313,12254780,307854,,22046889,2927691,-7149916,,6313978,5121491,10094307,3959622,2024119,36236,6443303,1201630,8666550,40085724,,,188728.0,677070,,11073567,1562399,0.0,2334362,37547,40974,30486436,276361,80823,129,1291341.0,2188857,,,34830764,29441372,2013年06月30日,17488670,,131184882,56724735,9934059,8336553,60233505,123501205,,12626172,,498445.0,25430.0,,4435090,,25379149.0,973366.0,15513470,29441372,0.0,,,111865783.0,4361694,,243050665.0,336953,572170,287579,2371809,397611,0.0,0.0,47236350,696542,696542,5241673,74460147,51632278,119549460,0.0,163140,163140.0,0.0,0
2013-11-13,3,2013,1530163,59925847,4911.0,996343,34163877,12900654,421341,,19061480,2907315,-10339134,,5292032,3761869,9623126,3854065,1997279,36128,6326575,1113648,8530550,40652236,,,188728.0,159648,,11375764,1459363,0.0,2426003,18782,34718,27939680,251177,21670,91,1293129.0,2079900,,,34336905,29441372,2013年09月30日,21392234,,131702677,57443397,9934059,8336553,61640300,127029348,,12384615,,232497.0,19610.0,,4435090,,31718523.0,1749851.0,20144391,29441372,53906.0,,,112511547.0,4366010,,244214224.0,24010,456959,297300,1802671,396440,0.0,0.0,47071297,668022,668022,5212927,74259280,50871247,117184876,0.0,160861,160861.0,,0
2014-03-28,4,2013,8785643,59099839,4950.0,876405,36772186,14250585,444958,,20069301,4180464,-9180047,,12105792,3320149,9592557,3523633,2255612,38129,6599506,1363792,8599567,41082506,,,188728.0,0,,12762966,1513745,0.0,2201866,13366,38804,29959225,215018,16481,65,1534353.0,2153463,,,34822264,29441372,2013年12月31日,24000543,,137620177,61210882,9934059,8336553,67273859,131246086,,12123200,,1556437.0,40549.0,,4435090,,29606164.0,1907298.0,16640291,29441372,0.0,,,110509049.0,4366099,,248129226.0,20430,630225,311801,1769337,411155,0.0,0.0,39210241,683130,683130,5235714,76409295,43235190,116883140,0.0,151409,151409.0,,0
2014-05-15,1,2014,12971219,59388366,0.0,874185,37825098,13267795,485201,,18601564,3786928,-7646442,,16404629,3433410,11156509,3465385,2275363,33157,6856159,1594756,8790844,42691202,,,0.0,0,0.0,12737794,1475243,,2252337,16417,28202,28185057,230159,19410,80,1539174.0,2158704,,,36954920,29441372,2014年03月31日,25053455,,142866449,64204182,0,8336553,73522151,136469966,,12256229,,2610789.0,37770.0,,4435090,34155275.0,,1807101.0,19488326,29441372,,,,113352061.0,4584154,,256218510.0,710538,212432,317251,1910069,419759,0.0,,35644478,703032,703032,5261403,78662267,39829910,119748544,,154330,154330.0,,0
2014-08-14,2,2014,14190356,58527705,0.0,760249,36033252,13849693,539342,,25847255,3466268,-6801870,,18039838,3849482,9299777,3508266,2250676,39099,6787585,1611298,8617490,39174417,,,0.0,0,0.0,11668210,1720470,,2028586,45321,34728,31556358,244629,26913,114,1543784.0,2149522,,,39063062,29441372,2014年06月30日,17454707,,137920943,63257148,0,9398498,77229688,132186800,,12125756,,2565920.0,33830.0,,9180047,31430565.0,,996546.0,16095976,29441372,,,,115042985.0,4584394,,252963928.0,752758,420910,316719,1935096,473358,,,33627525,667793,667793,5128234,74663795,37813297,120777128,48053.0,151236,151236.0,,0
2014-11-14,3,2014,9541134,60301737,0.0,762260,39968671,13881903,513110,,23894704,3779671,-10279634,,13284880,3743746,9673392,3535105,2241102,40274,7142748,1931896,8781055,43469836,4442176.0,39027660.0,0.0,0,0.0,14203150,1767815,,1875259,27333,39905,28683152,209531,12975,103,1529257.0,2250376,,,36341008,29441372,2014年09月30日,21390126,,140357529,63707990,0,9398498,75236531,140048961,,12316160,,3313052.0,31854.0,,9180047,36648439.0,,1503038.0,18110982,29441372,0.0,,,120147176.0,4577581,,260504705.0,529465,222738,322756,1644903,473735,,,41024640,671571,671571,5210852,76649539,44910645,120455744,,154169,154169.0,,0
2015-03-24,4,2014,8247500,63500454,0.0,741401,42253851,13568135,569519,,23856859,4228115,-5608553,,13228642,4981142,9386875,3590003,2426903,40738,7667958,1982114,9136165,46440710,4541642.0,41899068.0,0.0,484910,0.0,13379025,1719010,,1752076,38302,36515,31231528,189500,18249,53,1714985.0,2254309,,,41071544,29441372,2014年12月31日,23675306,,152125595,70714219,0,9398498,74638733,143594963,,12726168,,2908384.0,21542.0,,9180047,34734908.0,,1350485.0,18422674,29441372,180911.0,,,120916350.0,4627549,,273041945.0,674234,227685,337449,1882324,556638,,,41968390,671180,671180,5685844,81411376,46277617,129446982,,175911,175911.0,,0
2015-05-15,1,2015,10386000,63893866,,714495,44350341,14306890,883173,0.0,24031853,3608672,-4065635,,15491730,5105730,10223845,3494520,2346855,40662,7558215,1982156,9032036,46477756,,,0.0,479547,0.0,13555222,1586433,,2234353,49183,19819,27591773,225993,18908,55,,2300595,,,42911891,29441372,2015年03月31日,25771796,1495349.0,154039629,74354007,0,9398498,78807693,144426514,1609785.0,12526556,1558430.0,,,29719.0,9180047,,39526667.0,,19628023,29441372,178911.0,276413047.0,122373418.0,,4627929,276413047.0,,536817,233981,638192,1989965,529831,,,39228905,696408,696408,5576059,79685622,43565725,131986533,,173997,,,0
2015-08-14,2,2015,21437500,63556879,,631870,42616781,15210030,829090,,27169042,3818525,-6591706,,25898217,4460717,9757550,3384072,2274302,39451,8457815,2576928,8948131,41132606,4542187.0,36590419.0,0.0,0,,13195455,1764982,,2524239,31522,24691,32894180,209709,11029,88,,2280958,,,40071426,29441372,2015年06月30日,26748180,1651029.0,150577074,70094620,0,10260048,87105906,140324356,1615072.0,12332203,2145849.0,,,30380.0,5608553,,34686431.0,,14683762,29441372,0.0,269744188.0,119167114.0,,4628173,269744188.0,,162967,286808,639823,2109639,589388,,,27677267,619779,619779,5333122,80482454,32061208,129419832,547765.0,171551,171551.0,,0
