date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,,290000,1233429,39651,2501854,198282,,,108630,395074,105074,49856,,,196868,22787,111085,20003,174081,202584,202584.0,2969,,,,85203,0.0,48928,242572,18840,,7267232,,2039649,2013年03月31日,,5011248,4963828,200000,,872803,1158940,,,,,459562.0,343598,2039649,,,5094217.0,316664,,10105465.0,185526,,406958,96846,62588,3555000,91082,91082.0,47420,4221414,8946525,,0
2013-08-09,2,2013,,,1165000,1133443,38681,2484557,200085,,,134652,1293759,128759,73074,,,194300,19819,112153,19742,174481,211565,,2969,,,,84277,0.0,46152,256074,20312,,7311819,,2039649,2013年06月30日,,5019452,4972553,200000,,1616688,1145186,,,,,399768.0,192500,2039649,,,5018687.0,316664,,10038139.0,184393,,407184,96772,55515,2745000,92411,92411.0,46899,3401999,8892953,,0
2013-11-08,3,2013,,,1000000,1036308,37613,2403341,185110,,,123369,1134644,134644,56007,,,191625,17320,111997,18500,174305,179113,,2969,,,600000.0,77189,0.0,42429,237471,17075,,7299188,,2039649,2013年09月30日,,4923793,4880054,200000,,1415725,1086434,,,,,409941.0,161463,2039649,,,4929277.0,316664,,9853070.0,186827,,407369,96420,44558,2270000,93497,,43739,3513552,8766636,,0
2014-03-21,4,2013,,,975000,679205,37613,1960511,207160,,,147347,1134496,159496,69499,,,188435,15135,119186,18666,173300,127429,,2969,,,600000.0,56680,0.0,31815,214158,11762,0.0,7286579,,2039649,2013年12月31日,-563220.0,4495092,4461202,200000,28959.0,1412296,1017125,,,2494772.0,,405286.0,189305,2039649,,,4903448.0,316664,,9398540.0,188991,,438432,51672,44285,2220000,98493,,33890,3491152,8381415,2027.0,0
2014-05-09,1,2014,,,950000,660434,37613,2058848,207931,,,155869,1064476,114476,54470,,,187063,13642,137130,34610,173135,105555,,3396,,0.0,600000.0,58139,,41529,221832,14566,286.0,7258008,,2039649,2014年03月31日,-464883.0,4600670,4567634,220000,28959.0,1409114,1107794,,,2494772.0,526546.0,,244970,2039649,,,4862102.0,316664,,9462772.0,184825,,438528,53862,42397,2185000,99053,,33036,3452988,8354978,3467.0,0
2014-08-05,2,2014,,,50000,647057,36886,2153154,212819,,,153363,175394,125394,72480,,,185708,12573,109245,6800,173135,85731,,24342,,0.0,600000.0,48671,,47628,236244,15671,0.0,7245423,,2039649,2014年06月30日,-370577.0,4672472,4638488,1275000,28959.0,541058,1150008,,,2494772.0,576011.0,,269365,2039649,,,4781433.0,316664,,9453905.0,163871,,438447,52467,41220,2975000,98965,,33984,4240375,8303897,3480.0,0
2014-11-07,3,2014,,,50000,624259,36886,2158240,196975,,,151972,171711,121711,46111,,,184879,11744,105569,2336,173135,77077,,2969,,0.0,600000.0,46593,10000.0,41146,193681,9304,0.0,7232838,,2028899,2014年09月30日,-365491.0,4685515,4651141,200000,28959.0,624370,1170269,,,2494772.0,669407.0,,354920,2028899,,,4732350.0,314999,,9417865.0,174689,,438390,51069,34711,2850000,98627,,34374,4107980,8247596,4606.0,0
2015-03-20,4,2014,,,50000,339033,37562,2166194,209572,,,180740,157888,107888,44007,,,183081,9845,100465,2081,173236,89358,,0,,0.0,600000.0,43823,10000.0,33609,124691,8843,0.0,7491985,,2026899,2014年12月31日,-357537.0,4724366,4688521,0,28959.0,485970,1092584,,,2494772.0,632063.0,,240650,2026899,,,4595147.0,314688,,9319513.0,193622,,437684,48312,38412,2850000,98290,,35845,4109177,8226929,94.0,0
2015-05-08,1,2015,,,50000,315665,36759,2201161,221025,,,186497,164958,114958,44911,,,182008,8752,101423,3271,173256,81289,,48708,,0.0,600000.0,37673,0.0,33506,138487,3846,,7479416,,2026899,2015年03月31日,-322570.0,4715634,4680537,2303000,28959.0,586175,1181424,0.0,199.0,2494772.0,,701949.0,350038,2026899,9383958.0,4668324.0,,314688,9383958.0,,210942,,437626,48246,37515,2825000,97953,,35097,4082149,8202534,,0
2015-08-11,2,2015,,,50000,315392,36759,2217062,222054,,,185815,133536,83536,50187,,,181122,7955,101179,3324,173167,79731,,65155,,0.0,600000.0,30829,15000.0,31905,91219,4401,,7466848,66750.0,2026899,2015年06月30日,-306669.0,4714817,4679309,3303000,28959.0,619588,1154808,0.0,901.0,2494772.0,,714404.0,408318,2026899,9411857.0,4697040.0,,314688,9411857.0,,214866,,437456,48067,33874,2825000,96954,,35508,4077452,8257049,,0
