date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,員工福利負債準備－非流動,存入保證金,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,873952,,1267747,311309,311309.0,4801,19077,82742,82742.0,210744,210744.0,,4775,122550,122550.0,122550.0,105111.0,,883,611115,,1374972,21794,1538424,1836,3892.0,62411,863434,2013年03月31日,941903,145044.0,2682081,2682081,0,252830,2362797,4096089,,7647,73014,,1624058.0,568251,796859.0,863434,,3729,,,2491821.0,531823,,5173902.0,0.0,124249,0.0,26241.0,98008.0,11253,568251.0,129024,1077813,105111,0
2013-08-09,2,2013,876892,19998.0,1136169,583979,,6256,35397,12103,,169609,,,4489,122126,,,,,924,644763,,1493935,15944,1534396,1867,3565.0,62240,863434,2013年06月30日,768973,,2566823,2566823,0,294182,2521886,4143648,,7073,73014,,1757404.0,412417,768973.0,863434,,3508,,,2684239.0,531823,,5251062.0,0.0,157864,,,,19085,,162353,1107414,29353,0
2013-11-08,3,2013,887067,19998.0,1268246,378978,,6116,17029,7978,,86664,,,4164,120050,,,,,922,652272,,1429814,6051,1558368,2083,3242.0,62069,863434,2013年09月30日,901050,,2680532,2680532,0,294182,2351727,4088544,,6423,73014,,1752990.0,527508,901050.0,863434,,1398,,,2521132.0,531823,,5201664.0,0.0,165241,,,,17513,,169405,1113120,30051,0
2014-03-25,4,2013,887689,19998.0,1400403,360786,,10594,46408,32242,,49183,,,5575,121928,,,,,3757,727702,,1474051,32301,1732491,2421,1818.0,61899,863434,2013年12月31日,1033207,,2842068,2842068,0,294182,2478402,4392157,,5865,73014,,1841708.0,578026,1033207.0,863434,,996,,,2669243.0,531823,,5511311.0,0.0,185266,,,,21775,,190841,1119154,28058,0
2014-05-06,1,2014,980410,60498.0,1507382,340718,,6085,40726,20363,,26603,,,6899,120757,,120757.0,,1478.0,6899,697257,,1234278,11043,1521362,762,,61728,863434,2014年03月31日,1140186,,2943365,2943365,0,294182,2215731,4106943,,5213,73014,1819447.0,,608706,,863434,,623,1478.0,,2412208.0,531823,,5355573.0,,188100,,,,20024,,196477,1248630,35427,0
2014-07-28,2,2014,979954,60498.0,1402498,669011,,5010,7835,20730,,62647,,,5275,117973,,,,,4161,694502,0.0,1294180,9326,1754838,2273,1114.0,61558,863434,2014年06月30日,981739,,2805590,2805590,0,347745,2497116,4255527,,4550,73014,1708987.0,,503246,,863434,,623,,,2696703.0,531823,,5502293.0,,194312,,,,22233,,199587,1246766,27270,0
2014-10-30,3,2014,998782,60498.0,1564577,418297,,6597,54048,29585,,41624,,,4915,120339,,,,,4167,741142,0.0,1391623,0,1783063,1293,748.0,61387,863434,2014年09月30日,1143818,,3013882,3013882,0,347745,2227602,4192218,,3998,73014,1569068.0,,387554,,863434,,543,,,2446357.0,531823,,5460239.0,,213840,,,,23017,,218755,1268021,49431,0
2015-03-25,4,2014,983736,43682.0,1691084,369425,,22148,116454,60560,,31717,,,7785,123516,,,,,4177,773034,0.0,1351466,5529,1818352,1114,3608.0,61217,863434,2014年12月31日,1270325,,3202795,3202795,0,347745,2088174,4295853,,3922,73014,1621362.0,,300741,1270325.0,863434,,453,,,2332949.0,531823,,5535744.0,,236990,,,,23818,,244775,1239891,28126,0
2015-05-04,1,2015,966150,43682.0,1822357,350970,,6542,97222,75414,,21190,,,11483,121680,,,,,8209,817538,0.0,1274910,16947,1543732,1022,,61046,863434,2015年03月31日,1401598,,3314836,3314836,0,347745,2282239,4629216,3274.0,3434,73014,,2188172.0,563778,1401598.0,863434,5850042.0,220,,2535206.0,,531823,5850042.0,,,241484,,,,24834,,252967,1220826,51020,0
2015-08-10,2,2015,950253,43682.0,1579025,667987,,6194,70163,59254,,27788,,,8594,129124,,,,,5661,670222,0.0,1085681,23425,1502537,676,,60875,863434,2015年06月30日,1101246,,3044445,3044445,0,404765,2179699,4259821,2933.0,3397,73014,,2008867.0,343172,1101246.0,863434,5474443.0,180,,2429998.0,,531823,5474443.0,,,241705,,,,27291,,250299,1214622,43537,0
2015-11-05,3,2015,1000098,43682.0,1799739,324648,,3869,154446,105016,,28194,,,7291,138767,,,,,4699,839718,0.0,1438335,15018,1720998,840,,60705,863434,2015年09月30日,1321960,,3349442,3349442,0,404765,2295862,4628958,2592.0,3400,73014,,1992208.0,412714,1321960.0,863434,5904379.0,131,,2554937.0,,531823,5904379.0,,,251784,,,,28769,,259075,1275421,43131,0
2016-03-11,4,2015,1037103,19998.0,2017953,395588,,12180,81134,81172,,34835,,,5506,131495,,,,,4570,879203,0.0,1584252,0,1847180,1243,,60535,863434,2015年12月31日,1540174,,3494344,3494344,0,404765,2455377,4935071,936.0,3667,73014,,2127039.0,394234,1540174.0,863434,6215259.0,131,,2720915.0,,531823,6215259.0,,,260032,,,,27390,,265538,1280188,33391,0
