date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,899516,1244961,-1948,18052,137502,-23320,,37260,37400,27656,79753,-21372,1198116,,133013,12036,768404,45991,55897,815854,2013年03月31日,913681,,2712077,2656304,0,225150,786228,2615403,3414,106130.0,,459690.0,94087.0,361827,815854,,8513,,1003079.0,618809,22146,4485,592178,,,3715156.0,1990.0,5024,189195,43121,55773,216851,1099753,100778,0
2013-08-09,2,2013,907778,1009196,12024,32024,522058,-979,,27374,29112,27525,80581,-13003,1381325,,180474,11083,582057,33643,55787,815854,2013年06月30日,542319,,2499005,2442880,0,286961,1209485,2805498,3147,179916.0,,660358.0,68033.0,389798,815854,,9881,,1426449.0,618809,22146,4485,592178,,,3925454.0,784.0,5031,189439,40639,56125,216964,1119956,113972,0
2013-11-12,3,2013,921614,1135451,16301,36301,164210,-17918,,25445,18641,20551,79189,-34219,1375434,,264757,8445,652905,27528,55678,815854,2013年09月30日,668574,,2609719,2552196,0,286961,1019811,2711651,2831,179916.0,,528295.0,51779.0,494792,815854,,10383,,1241867.0,618809,22146,4485,592178,,,3851586.0,0.0,6129,201505,44322,57523,222056,1139935,102719,0
2014-03-21,4,2013,943879,1269349,19810,39810,151315,-1085,,42343,31174,20919,76465,-20895,1334308,,384374,18371,687355,35818,55569,815854,2013年12月31日,802472,,2757962,2702927,0,286961,987239,2821232,2386,179916.0,,625378.0,57153.0,320786,815854,,11079,,1221908.0,618809,22146,4485,592178,,,3979870.0,1818.0,8046,213750,40529,55035,234669,1158638,99153,0
2014-05-03,1,2014,976550,1417246,36370,56370,165559,51839,,58979,23847,19553,88114,15469,1364728,0.0,242072,10090,659080,37587,55460,815854,2014年03月31日,950369,,2955112,2903748,0,286961,839476,2831454,2114,179916.0,641820.0,,77980.0,273618,815854,,10551,,1086177.0,618809,22146,4485,592178,,,4041289.0,627.0,17860,227148,31227,51364,246701,1209835,86532,0
2014-08-13,2,2014,958849,1107480,29351,49351,615222,16960,,45106,22688,22086,73025,-12391,1391681,0.0,217581,18175,723064,36135,55351,815854,2014年06月30日,762143,,2619235,2559103,0,344252,1359920,3066752,1728,1085.0,729348.0,,74230.0,379980,815854,,9626,,1625317.0,618809,22146,4485,592178,,,4244552.0,0.0,23226,243311,39496,60132,265397,1177800,140610,0
2014-11-06,3,2014,991120,1289941,21675,41675,196439,44312,,55436,25012,22173,75509,22637,1526784,0.0,216418,15580,766280,25547,55241,815854,2014年09月30日,944604,,2834051,2768916,0,344252,982947,2899342,1993,1085.0,431740.0,,52928.0,432611,815854,,11758,,1261656.0,618809,22146,4485,592178,,,4095707.0,1777.0,23517,256536,30827,65135,278709,1196365,100462,0
2015-03-25,4,2014,1039007,1481806,18384,38384,215799,118896,,50436,37912,20515,74091,100512,1543500,0.0,260610,13805,798007,36879,55132,815854,2014年12月31日,1136469,,3098664,3035365,0,344252,895155,3029631,1673,1085.0,489665.0,,105601.0,236593,815854,,11651,,1154645.0,618809,22146,4485,592178,,,4253309.0,660.0,24182,238975,15391,63299,259490,1223678,99486,0
2015-04-29,1,2015,1043145,1636370,24087,44087,168802,103177,,43505,14509,20606,74465,79090,1372092,0.0,273893,12280,755072,28791,55023,815854,2015年03月31日,1291033,130485.0,3246082,3174210,0,344252,888934,3164137,2234,1085.0,,838609.0,,250827,815854,4401410.0,9142,1155328.0,,618809,22146,4485,592178,,4401410.0,,0.0,40248,245788,18319,71872,266394,1237273,114816,0
2015-08-07,2,2015,1033150,1264689,19700,39700,714732,69221,,44506,36713,20697,68394,49521,1385881,0.0,296029,11233,825583,38323,54914,815854,2015年06月30日,854465,71370.0,2846048,2768573,0,410224,1271958,3176710,1694,0.0,,754237.0,,125905,815854,4401080.0,8183,1555032.0,,618809,22146,4485,592178,,4401080.0,,0.0,39886,262377,26518,77475,283074,1224370,96087,0
