date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之權益－母公司,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收款,長期應收票據及款項淨額,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,10849,2502623,,172224,,4960,,106189,106189,29331,-9318,,,262725,26424,109157,10036,99121,105538,0.0,346384,52480,9376.0,,7023,12601,825240,0.0,14505.0,,669277,20000.0,144406,3084.0,1058200,65248,95431.0,1818025,2013年03月31日,-12354,,,2082739,2021300,0,20311.0,2108222,2723396,,6935,164267,,375238.0,5876.0,4423.0,895136,1818025,,,4613.0,,,9376.0,,3575106.0,40369.0,,,,5657845.0,155056,78507,1196914,3084.0,46744.0,46744.0,75246,6935,61439,1466884,2934449,237094,159313,225452,0
2013-08-07,2,2013,33351,2540324,,99047,,7602,,180342,180342,25540,17732,,11563.0,299117,24247,161017,12332,148685,92844,0.0,401317,55055,,,7159,13347,892161,0.0,14505.0,,630105,20000.0,143215,2499.0,1033656,84915,83186.0,1818025,2013年06月30日,-89115,,,2038441,1975173,0,23895.0,2337011,2830491,,6127,164267,,363246.0,9451.0,4845.0,1050168,1818025,6169.0,,4613.0,,,,,3811744.0,40369.0,,,,5850185.0,161765,71926,1220124,2499.0,41893.0,41893.0,76013,6127,63268,1474733,3019694,243004,215009,241519,0
2013-11-06,3,2013,43582,2418002,0.0,30324,,2862,,205095,205095,25487,5164,,,347860,16545,124086,6630,117456,82914,0.0,381943,54643,,,7147,19211,1087129,,65674.0,,561590,20000.0,143465,1905.0,802914,111689,73862.0,1818025,2013年09月30日,-157838,,,1959226,1893882,0,23895.0,2330874,2874453,,13996,164267,,367011.0,11000.0,6737.0,1037251,1818025,,,4613.0,,0.0,,,3802141.0,40369.0,,,,5761367.0,157123,72973,1231230,1905.0,30963.0,30963.0,74770,13996,65344,1471267,2886914,280864,202356,287733,0
2014-03-21,4,2013,42665,2497916,,62711,,2887,,226500,226500,93436,27623,,,161122,16383,128089,22236,105853,87490,0.0,352867,82182,,,7068,17430,861852,,14505.0,,724200,50000.0,139509,1382.0,1262328,50489,79040.0,1818025,2013年12月31日,-125451,,,2017492,1948728,0,23895.0,2366495,2923529,,12702,164267,,374411.0,37479.0,365.0,1023072,1818025,,,4613.0,,,,,3845114.0,40369.0,,,,5862606.0,169396,75592,1221733,1382.0,54258.0,54258.0,77514,12702,68764,1478619,2939077,135167,121483,102074,0
2014-05-08,1,2014,81350,2561830,,-16301,,2947,,229279,229279,80037,44767,,,273485,16082,141787,23554,118233,77736,0.0,360637,84678,,,7038,17747,932247,,14505.0,0.0,662078,50000.0,143926,1012.0,1169951,53207,69686.0,1818025,2014年03月31日,-204463,,,1958480,1886860,0,23895.0,2504744,2878331,,11619,164267,305160.0,,21505.0,374.0,1119858,1818025,,,4613.0,,,,,3925089.0,40369.0,,,,5883569.0,169554,71152,1173055,1012.0,40450.0,40450.0,133433,11619,71620,1420345,3005238,178116,84329,176053,0
2014-08-07,2,2014,79898,2535000,,-42260,,3042,,225708,225708,75270,18244,,12075.0,313468,16054,159126,20558,138568,67741,,367899,96148,,,7019,9787,993022,,14505.0,0.0,652872,50000.0,149990,637.0,1127494,59576,60085.0,1818025,2014年06月30日,-206527,,,1864952,1794009,0,0.0,2650990,2923548,,10859,164267,284517.0,,8652.0,378.0,1245687,1818025,6169.0,6169.0,4613.0,,,,,4046409.0,0.0,0.0,0.0,,5911361.0,163300,74055,1164378,637.0,53985.0,53985.0,130847,10859,70943,1395419,2987813,206618,77132,217516,0
2014-11-07,3,2014,112491,2503037,,-102834,,4472,,203763,203763,189813,43335,,,321378,16733,118187,9613,108574,57876,,309997,84370,,,7039,9731,864223,,14505.0,0.0,588707,50000.0,123903,256.0,1011037,63939,50581.0,1818025,2014年09月30日,-267101,,,1831822,1758526,0,0.0,2518515,2817434,,10377,164267,319426.0,,10838.0,397.0,1215313,1818025,,,4613.0,,,,,3865857.0,0.0,,,,5697679.0,167766,56834,1121700,256.0,43604.0,43604.0,132368,10377,73296,1347342,2880245,231435,39924,192154,0
2015-03-20,4,2014,120382,2535549,,-157788,,0,,250653,250653,175450,100028,100028.0,100028.0,272112,2878,172538,19856,152682,82118,,339572,71276,,,7099,8981,810680,,0.0,0.0,693282,50000.0,144735,0.0,1111562,67498,75019.0,1818025,2014年12月31日,-322055,,,1839869,1760265,0,0.0,2605044,2891042,,9159,164267,356798.0,,14876.0,39.0,1179386,1818025,0.0,0.0,0.0,,,,,3994678.0,0.0,,,,5834547.0,173493,59225,1134023,0.0,44252.0,44252.0,137464,9159,79604,1389634,2943505,196477,77599,148852,0
2015-05-08,1,2015,269492,2589802,,-220547,,3524,,144616,144616,23672,79038,,79038.0,439738,2800,155222,30136,125086,94873,,239040,47364,,,20334,8614,787435,,0.0,,606098,0.0,134429,0.0,991386,53403,,1818025,2015年03月31日,-384814,10452.0,43.0,1757408,1676516,0,0.0,2510764,2627058,74539.0,8298,164267,,408747.0,,,1175431,1818025,0.0,,0.0,5518210.0,,,3760802.0,,0.0,,,5518210.0,,165650,54012,989515,0.0,43585.0,43585.0,134569,8298,80892,1250038,2891152,203626,4908,167446,0
2015-08-07,2,2015,260117,2537878,,-327705,,4921,,144152,144152,23072,46156,,46156.0,444390,2867,190989,12752,178237,71991,,234988,46193,,,7075,11609,750827,,0.0,,547873,0.0,132081,0.0,808416,46949,,1818025,2015年06月30日,-491972,4091.0,485.0,1761149,1536476,0,0.0,2257117,2399601,64916.0,7485,164267,,346415.0,,,984530,1818025,0.0,,0.0,5228291.0,,,3467142.0,,0.0,,,5228291.0,,154816,48339,983218,0.0,40478.0,40478.0,132430,7485,224673,1210025,2828690,227527,4278,181406,0
