date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,34835.0,89720.0,124555.0,663436,,14435,,169072,,2969,-6690,136277,11722,36536,278,46991,,-6690,278,1940,697899,209876,488023,,0.0,,,648331,,0,474493,1160.0,999496,,2013年03月31日,-33768,,,1268717,1268717,0,25843.0,1233431,2343597,,404,,,22360,,1128484.0,19751.0,968.0,260000,999496,,,1787425.0,261476,3867.0,,256751,858.0,,3056142.0,,0.0,0.0,0,1714,553716,41080,404.0,0.0,553994,712545,1088,1088,3971.0,0
2013-08-12,2,2013,34934.0,102210.0,137144.0,650035,0.0,-4185,0.0,154034,,2737,-4749,151633,14489,37736,281,47598,,-4749,281,2046,532915,213472,319443,,,,,362178,,193,408668,3413.0,999496,,2013年06月30日,-26545,,,1243924,1243924,0,0.0,940643,2003494,,396,,,22360,,1015877.0,2695.0,1041.0,269910,999496,,,1459607.0,253362,0.0,,252504,858.0,,2703531.0,,0.0,0.0,0,2008,518683,41530,396.0,0.0,518964,700037,1107,1107,4022.0,0
2013-11-12,3,2013,0.0,117358.0,117358.0,637113,0.0,-52057,0.0,170726,,2980,-10834,143143,25785,32957,279,46899,,-10834,279,2038,537715,215222,322493,,,,,583400,,13,622177,1343.0,999496,,2013年09月30日,-74417,,,1189967,1189967,0,0.0,1202268,2214962,,348,,,22360,,1015590.0,151.0,1105.0,304835,999496,,,1712623.0,253362,0.0,,253362,0.0,,2902590.0,,0.0,0.0,0,3268,510076,40789,348.0,0.0,510355,687628,1095,1095,4072.0,0
2014-03-27,4,2013,0.0,181474.0,181474.0,640950,0.0,-92540,0.0,198477,,6277,-8735,197938,16464,32074,282,46506,,-8735,282,866,566716,215222,351494,,,,,806010,,2,488437,0.0,999496,,2013年12月31日,-114900,,,1151583,1151583,0,0.0,1477363,2406397,,299,,,22360,,1310644.0,26.0,1135.0,274910,999496,,,1945458.0,253362,0.0,,253362,0.0,,3097041.0,,0.0,0.0,1203,2889,466610,41236,299.0,0.0,468095,690644,1114,1114,4404.0,0
2014-05-15,1,2014,0.0,168245.0,168245.0,629730,,-149923,,180915,,7487,2254,186978,18733,30473,281,58171,8047.0,2254,281,4870,553882,215362,338520,,,,0.0,555207,,4002,280012,0.0,999496,,2014年03月31日,-172283,,,1105189,1105189,0,0.0,1217871,2088571,,254,,,22360,1214423.0,,234.0,1184.0,290535,999496,,,1675047.0,253362,0.0,,253362,0.0,,2780236.0,,,,5652,3510,451243,40799,254.0,,457176,691665,1110,1110,4455.0,0
2014-08-13,2,2014,0.0,76136.0,76136.0,616650,,-204243,,157818,,5931,-4719,97188,21052,27704,278,52306,3158.0,-4719,278,4857,524393,215360,309033,,,,0.0,602339,70000.0,4002,503497,0.0,999496,,2014年06月30日,-226603,,,1043896,1043896,0,,1252126,2142205,,209,,,22360,1078169.0,,204.0,1421.0,320575,999496,,,1770781.0,253362,,253362.0,253362,0.0,,2814677.0,,,,3697,3307,514680,39786,209.0,,518655,672472,1090,1090,4505.0,0
2014-11-14,3,2014,,145131.0,145131.0,617752,,-172886,,151399,151399.0,8571,183,163286,18155,26156,282,48290,2338.0,183,282,873,550608,215360,335248,,,,0.0,748885,69965.0,2,478226,0.0,999496,,2014年09月30日,-195246,,,1080155,1080155,0,,1424282,2260408,,195,,,22360,1194406.0,,210.0,1323.0,290535,999496,,,1849280.0,253362,,,253362,,,2929435.0,,,,6349,2790,418367,40524,,,424998,669027,1118,1118,4555.0,0
2015-03-27,4,2014,,57198,57198,616887,,-126412,,155624,155624,6416,16745,73931,16733,29153,287,48209,1659,16745,287,899,511896,216693,295203,966355,,,0,645091,69975,30,442181,,999496,,2014年12月31日,-148772,,,1143191,1143191,0,,1353476,2250192,,181,,291643,22360,966355,,195,1394,408630,999496,,,1775216,253362,,,253362,,,2918407,,,,12353,2938,409100,41533,,,421740,668215,1154,1154,4118,0
2015-05-11,1,2015,,44210.0,44210.0,605666,,-142204,,150547,150547.0,7938,12371,60905,16695,26276,285,46563,657.0,12371,285,890,418226,216693,201533,,,,,467675,69985.0,2,336803,,999496,,2015年03月31日,-164564,410.0,1537.0,1123025,1123025,0,,1189104,2070041,4160.0,167,258824.0,,22360,,1019294.0,,,439580,999496,2726859.0,1603834.0,,253362,,,253362,,2726859.0,,,,,7612,4422,406833,40856,,,414730,656818,1143,1143,,0
2015-08-13,2,2015,,39932,39932,590972,,-131177,,154014,154014,6169,6847,57321,17389,24360,283,45753,648,6847,283,877,380355,216937,163418,,,,,450128,69997,2,407706,,999496,,2015年06月30日,-153537,212,1581,1128528,1128528,0,,1170374,2060856,4229,248,139118,,22360,,1063563,,,438700,999496,2703232,1574704,,253362,,,253362,,2703232,,,,36877,6480,5403,397567,39999,,,404330,642376,1127,1127,,0
