date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,370775,97230,887482,-3023,2221,294419,5612,-10947,14021,3200,12459,29910,-7924,446795,,,366119.0,864954,9809.0,2988,1580078,9499,119857,211070,872809,2013年03月31日,636650,,1776763,1776763,0,200652,1343857,2791037,3084,50180,,627008.0,41829.0,100000,872809,,10000.0,0.0,,1856111.0,27419,7095,20324,,3632874.0,5837,41248,133676,9911,,512254,841837,75376,0
2013-08-09,2,2013,362281,97230,687431,-3135,2108,503642,13017,3134,21204,2396,12428,30932,6269,410331,0.0,,367841.0,749108,3817.0,3375,1587824,8709,119513,209463,872809,2013年06月30日,385009,,1590793,1590793,0,230041,1417872,2689352,3022,72381,,550144.0,27662.0,90000,872809,,10000.0,0.0,,1930914.0,27419,7095,20324,,3521707.0,9064,39755,132773,9914,,513042,832355,75068,0
2013-11-08,3,2013,349497,97133,751922,-1923,3321,304912,17895,-7800,28667,2570,12447,30619,-5877,430382,0.0,,369575.0,786889,283.0,2593,1637734,3820,119170,208648,872809,2013年09月30日,449500,,1644350,1644350,0,230041,1508068,2848365,3013,72381,,688318.0,7915.0,356500,872809,,10000.0,0.0,,2023161.0,27419,7095,20324,,3667511.0,10309,45545,133071,11066,,515093,819146,18780,0
2014-03-25,4,2013,350762,96420,814018,-1973,3271,311527,5145,9567,53286,1336,8034,31868,11540,436589,,,371321.0,841050,0.0,1888,1754786,4814,118617,213562,872809,2013年12月31日,511596,,1723813,1723813,0,230041,1672084,3093848,2008,72381,,823069.0,26693.0,430615,872809,,0.0,0.0,,2192875.0,27419,7095,20324,,3916688.0,7025,43425,141436,9603,,520791,822840,21413,0
2014-04-30,1,2014,342875,96173,881115,-2677,2567,275897,4819,23393,53670,623,106292,32346,26070,446767,,0.0,135816.0,763384,0.0,964,1584311,2163,118221,213430,970376,2014年03月31日,578693,,2044034,2044034,0,230041,1540077,3157283,3272,72381,980274.0,,27876.0,416874,970376,,0.0,,,1930043.0,169150,161804,7346,,3974077.0,1412,54074,147858,10477,,389966,816794,81685,0
2014-08-13,2,2014,331596,95897,753115,-2835,2408,418698,13432,-1720,110340,284,105010,106641,1115,436169,,0.0,0.0,735321,0.0,2956,1583255,5946,117825,207200,1001517,2014年06月30日,454095,,1967591,1967591,0,249294,1657984,2993052,4038,49726,831788.0,,20077.0,370171,1001517,,0.0,,,1900605.0,214679,211607,3072,,3868196.0,421,37753,137611,11947,,242621,875144,82017,0
2014-11-07,3,2014,330722,95897,755056,-3168,2075,435013,10185,23271,102750,217,107132,219185,26439,489559,50041.0,0.0,0.0,852092,0.0,2384,1787123,6838,117607,211106,1003333,2014年09月30日,456036,,2049072,2049072,0,249294,1742200,3057195,4230,49726,663548.0,,12152.0,337124,1053374,,0.0,,,1996255.0,217371,214524,2847,,4045327.0,685,31732,146923,9385,,254055,988132,65918,0
2015-03-13,4,2014,340066,89947,775568,-1161,4083,285917,10491,77960,125047,602,110732,214438,79121,477999,,0.0,0.0,860777,,4560,1886236,8900,117204,218330,1053374,2014年12月31日,476548,,2124273,2124273,0,249294,1743543,3138565,2918,49726,671192.0,,21842.0,444524,1053374,,,,,2007338.0,217371,214524,2847,,4131611.0,876,32603,153063,10143,,263795,993046,46459,0
2015-05-12,1,2015,331766,89947,810061,-1790,3454,274054,12593,61150,130619,284,109172,215557,62940,497737,,0.0,0.0,764167,,3402,1686061,9857,117099,215601,1053374,2015年03月31日,511041,27789.0,2141956,2141956,0,249294,1638752,3051805,3912,49726,,767606.0,,437704,1053374,4036833.0,,,1894877.0,,217371,214524,2847,4036833.0,,1017,34972,146953,11146,,256125,985028,39241,0
2015-08-14,2,2015,323569,89284,759938,-2457,2787,392761,16326,44907,101484,1639,123358,228148,47364,446191,,0.0,,625109,,2270,1537858,72738,116682,213439,1053374,2015年06月30日,446627,26297.0,2012387,2012387,0,264397,1582668,2891952,3621,48914,,730313.0,,432957,1053374,3878364.0,,,1865977.0,,154168,151675,2493,3878364.0,,1790,27803,141951,11669,18000.0,283309,986412,56297,0
2015-11-12,3,2015,364589,89284,846192,-2853,2392,277619,17158,94367,80249,1662,131417,351646,97220,489202,0.0,0.0,0.0,729453,,1525,1683453,90730,116266,229789,1053374,2015年09月30日,532881,17711.0,2148101,2148101,0,264397,1698481,3002111,3545,48914,,656907.0,,590197,1053374,4167313.0,,,2019212.0,,154168,152549,1619,4167313.0,,1727,28048,161314,10083,28000.0,320731,1165202,32559,0
