date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他預付款,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付員工紅利,應付帳款合計,應付票據合計,應付股利,應付董監事酬勞,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,776968,869217,1861789,154597.0,290162,,195542,282409,221376,408019,9623,,,441591,0.0,23057,,10128,1192178,1192178,227634,,168255,769463,,,27287,1095553,24643,431463.0,43300,43300,4282277,2013年03月31日,1041511,,7702008,7596667,19848889,820278,1626689,7483679,,226437,,,,4285999.0,210665.0,43000.0,4282277,,,2068280.0,1458859,,122597.0,128852,,,1207410,,,9770288.0,409377,,,57468,105341,441591,2286609,29300,0
2013-08-06,2,2013,759192,862409,1303288,151490.0,274899,,1497367,315773,203298,588175,3153761,10211.0,3143550.0,445252,0.0,21586,,11582,1260167,1260167,227634,,176803,899556,,1293344.0,27220,1369359,43794,433670.0,36945,36945,4325985,2013年06月30日,366897,,7073895,6984022,19848889,936391,3168658,8457156,,218150,,,,1662925.0,178560.0,5000.0,4325985,,,3613910.0,1379085,,,128852,,,1161029,89204.0,,10687805.0,473199,,,57468,89873,445252,2230649,26688,0
2013-11-01,3,2013,744489,852861,1597641,0.0,233141,0.0,151224,289531,152111,705001,2851319,9669.0,2841650.0,447585,0.0,31874,,11720,1227050,1227050,540891,,138841,774143,,,12383,1304355,40077,435865.0,32608,32608,4332125,2013年09月30日,661250,,7056917,6985718,26078889,936391,1871662,7215585,,208138,,,,1113945.0,218294.0,23000.0,4332125,,,2319247.0,1444732,,,171904,,,1188315,84513.0,,9376164.0,354901,,,57468,71199,447585,2160579,34407,0
2014-03-20,4,2013,727203,854538,1953741,0.0,246003,0.0,130000,296616,166428,565562,3324688,338.0,3324350.0,452109,,29581,,14149,1182713,1182713,528196,,115000,716996,3433.0,,15000,1190860,12067,437960.0,30385,30385,4332125,2013年12月31日,1017350,,7439353,7374610,25536274,936391,1627743,7408380,,207097,,,,994563.0,211752.0,0.0,4332125,,,2082354.0,1450512,,,176611,,,1188315,85586.0,,9521707.0,384340,2502.0,2502.0,18520,64743,454611,2113327,22533,0
2014-05-12,1,2014,709226,854538,2273348,0.0,356357,0.0,165705,169057,278761,482048,3555207,10157.0,3545050.0,456502,,31778,,16940,1191595,1191595,528196,0.0,144992,728061,1880.0,,20713,1117696,36501,439562.0,29669,29669,4350234,2014年03月31日,1336957,,7975584,7918899,25536274,936391,1659867,7833032,,261059,,,1331913.0,,276173.0,6000.0,4350234,,,2118871.0,1544752,,72461.0,176762,26755.0,,1268774,,,10094455.0,408010,2502.0,,18796,56685,459004,2261423,23053,0
2014-08-13,2,2014,698653,818321,1820842,0,310891,0,1747501,214723,254497,530964,3629785,9535,3620250,460793,,32880,,19606,1196366,1196366,506486,0,195040,789018,1115,1523244,29217,1165493,63640,441187,12247,12247,4385978,2014年06月30日,782716,,7065632,7030888,24783789,1038126,3251473,8625427,,263185,,,1919590,,161375,21500,4385978,,,3714768,1076057,0,43423,187626,26722,,818286,,,10780400,388126,2502,,18796,34744,463295,2154973,47704,0
2014-11-06,3,2014,694030,814070,2212191,,252869,0.0,199814,239441,198602,622928,3076655,505.0,3076150.0,457791,,28762,,15012,1144104,1144104,481421,0.0,178868,720724,2894.0,0.0,20946,1234147,8014,442779.0,34500,34500,4393348,2014年09月30日,1174065,,7502490,7437088,24783789,1038126,1653824,7435026,,338553,,,1196857.0,,63464.0,44000.0,4393348,,,2114082.0,1114368,,37799.0,225224,2452.0,,848893,,,9616572.0,507063,2467.0,,18762,65402,460258,2181546,28745,0
2015-03-03,4,2014,678708,856165,2526175,0.0,282567,0.0,200000,202491,230837,663621,3364850,,3364850.0,464048,,29154,,19661,1218863,1218863,481421,0.0,174000,803640,5898.0,,26000,1174715,26808,444387.0,174739,174739,4411448,2014年12月31日,1488049,,7913466,7860314,24783789,1038126,1783442,7799627,,326061,,,1158599.0,,110283.0,,4411448,,,2253513.0,1173275,,23989.0,225224,,924062.0,924062,,,10166979.0,633001,6023.0,6023.0,19958,53152,470071,2367352,20300,0
2015-05-11,1,2015,654683,859770,2728922,,276065,0.0,230614,174196,228224,488095,3604086,138.0,3603948.0,499860,,27213,17549.0,10599,1199999,1199999,481421,0.0,199904,696789,2319.0,,30710,1040121,28014,,177248,177248,4411448,2015年03月31日,1690796,163990.0,8089316,8061222,24783789,1038126,1587807,7836469,489261.0,314349,17251.0,17251.0,,1154261.0,,6000.0,4411448,10183006.0,2093690.0,,1174049,23989.0,0.0,225224,774.0,,924062,,10183006.0,,618243,6023.0,,19958,28094,505883,2346537,17549,0
2015-08-03,2,2015,640933,803893,1552438,,251810,0.0,1837723,84590,205760,495277,2831550,0.0,2831550.0,501278,,27070,25769.0,10452,1199197,1199197,481421,0.0,216125,685467,1153.0,1588121.0,33477,963024,44231,,208788,208788,4411448,2015年06月30日,365508,121607.0,6623328,6610821,24783789,1186930,3213227,8070243,490826.0,303910,17251.0,17251.0,,2370238.0,,72000.0,4411448,10343856.0,3720528.0,,922596,23989.0,0.0,225224,774.0,,672609,,10343856.0,,551644,6023.0,,19958,12507,507301,2273613,25769,0
