date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,135500,,416740,15844,205063,0.0,37,-2827,999113,466187,2687,111827,4982044,,,478279,227601,0.0,,506200,11725,29470,17410,,1342767,2013年03月31日,318315,,,2045699,2045699,0,92609,3563967,5831830,10377,5816,,37016.0,4553.0,,1609712,1342767,,,4044933.0,289019,,6090632.0,,0.0,0.0,1098,0.0,,480966,258802,283822,0.0,0
2013-08-09,2,2013,137035,,246307,14320,215930,0.0,36,-4352,1298340,485409,2650,112023,6067134,292252.0,,453306,206377,3.0,,606500,9641,21282,44673,,1352572,2013年06月30日,73143,,,2057834,2057834,0,168772,4833541,7087181,10337,4392,,146069.0,54398.0,,2442352,1644824,,,5289497.0,171055,,7347331.0,0.0,0.0,0.0,755,0.0,,455956,260150,308258,,0
2013-11-12,3,2013,136228,,232387,15727,227279,0.0,36,-2944,1578213,474853,2651,167399,6440109,0.0,,451522,187556,0.0,,546500,5808,2873,17548,,1639122,2013年09月30日,59223,,,2048209,2048209,0,168772,5141457,7328649,10298,4392,,51546.0,53919.0,,2542182,1639122,,,5595630.0,179644,,7643839.0,0.0,0.0,0.0,1265,0.0,,454173,315190,325957,,0
2014-03-25,4,2013,135850,,218467,16468,429620,0.0,211,-2203,2179187,170485,3382,168571,7959439,,,445862,179192,0.0,,545900,1021,20714,20571,,1641954,2013年12月31日,45303,,,2041703,2041703,0,168772,6706842,8881633,10258,4392,,144632.0,53849.0,,3318073,1642172,,,7156086.0,183267,,9197789.0,,0.0,0.0,1477,0.0,,449244,316156,549113,218.0,1
2014-05-12,1,2014,141740,,181068,17353,325105,,281,-1319,2659836,190897,2650,168738,9387003,,0.0,444529,178938,,1645.0,571900,5173,17380,83008,,1643261,2014年03月31日,7904,,,2007596,2007596,0,168772,8650148,10782364,10749,4392,408870.0,,53849.0,,4853702,1643261,,,9097327.0,184586,,11104923.0,,,,1332,,,447179,322559,677572,0.0,0
2014-08-05,2,2014,141091,,1015251,19555,318779,0.0,269,883,2244736,202107,2650,498161,10116129,43595.0,0.0,1643674,617519,0.0,,439900,4729,13873,18330,,1643261,2014年06月30日,840442,,,2889510,2889510,0,172606,7375227,11260141,10662,2203,303301.0,,0.0,2.0,3749564,1687727,,,9021551.0,185649,,11911061.0,,,0.0,1006,,,1646324,650920,586575,871.0,1
2014-11-10,3,2014,141773,,1597843,9897,416062,0.0,414,2006,1940624,433629,2649,495844,10104174,,0.0,1636493,500516,16.0,,200000,4225,2892,34040,,1688500,2014年09月30日,1423034,,,3481456,3481456,0,172606,6899509,11371196,10576,2203,173242.0,,0.0,,3838066,1690813,,,8538651.0,190794,,12020107.0,,,,718,,,1639142,648911,612908,2313.0,48911
2015-03-27,4,2014,143208,,1699160,13565,426111,,3899,-707,1817944,230615,2651,495325,10266814,,0.0,1630450,673170,2020.0,,300000,113,3159,20860,,1690812,2014年12月31日,1524351,,,3587162,3587162,0,172606,6803491,11372168,12832,2203,141774.0,,0.0,,3584133,1694075,,,8436592.0,194634,,12023754.0,,,,221,0.0,,1633101,651586,691482,3263.0,27194
2015-05-12,1,2015,142126,,1892189,13430,352050,,1006,-841,1447805,145892,2650,779183,9684760,,0.0,1586882,583192,2633.0,0.0,400000,3483,46063,10080,,1711197,2015年03月31日,1717380,0.0,,3824635,3824635,0,172606,6258551,10738664,12547,2203,,182234.0,,,3469388,1714505,11672718.0,7848083.0,,218782,11672718.0,,,,,198,,,1589532,934054,655199,3308.0,1
2015-08-10,2,2015,142196,,1021140,3978,991330,,380,-619,1360985,168082,2651,665191,9549634,228568.0,0.0,1499769,480506,2533.0,,940000,7,2249,12960,,1711197,2015年06月30日,695485,,0.0,3270314,3270314,0,324948,7363319,11315462,12959,707,,917614.0,,,3587958,1983305,12136053.0,8865739.0,,266488,12136053.0,,,,,245,,,1502420,820591,660565,43540.0,1953507
2015-11-09,3,2015,141083,1000.0,1013904,13790,995854,,394,-61,1672306,230482,2650,990004,9968095,,0.0,2485114,445817,5991.0,,320000,4268,1668,20630,,1972984,2015年09月30日,688249,,,3276057,3276057,0,324948,6671474,11287957,12738,707,,359232.0,,,3227238,1972984,12435295.0,9159238.0,,289230,12435295.0,,,,,2513,,,2487764,1147338,693666,0.0,0
2016-03-22,4,2015,140524,1000.0,1501833,9480,336290,,4835,24,1289764,145361,2650,941336,8818722,,0.0,2472883,648031,16678.0,,140000,10825,28598,42566,,1980625,2015年12月31日,1176178,1586.0,,3777548,3777548,0,324948,5720405,10875687,12411,707,,1238625.0,,,3277231,1980734,11973486.0,8195938.0,,294957,11973486.0,,,,,2528,0.0,,2475533,1097799,587500,109.0,1
2016-05-11,1,2016,139600,1000.0,1670468,109575,363725,,521,-7483,1059390,136426,3748,940336,8340996,,0.0,2469893,491939,7436.0,,550000,5746,16660,17293,341161.0,1981063,2016年03月31日,1344813,0.0,,3942928,3942928,0,324948,5482467,10692011,12089,707,,1496298.0,,,3004231,1983088,12128469.0,8185541.0,,296855,12128469.0,,,,,2272,,229433.0,2703074,1436458,574242,2025.0,1
2016-08-09,2,2016,138634,1000.0,1181310,109446,954209,,451,-7052,1370888,164192,5615,938597,9424105,28872.0,0.0,2457996,404545,521.0,,699840,3835,49895,17481,973548.0,1990571,2016年06月30日,784849,0.0,,3496200,3496200,0,396461,6324782,10869114,11766,0,,485869.0,,,2890944,2019443,12936835.0,9440635.0,,302499,12936835.0,,,,,4176,,652242.0,3115853,2067721,617675,0.0,0
2016-11-07,3,2016,137939,1000.0,1208036,11796,747447,,977,-18793,1737579,171504,6045,1021923,10174397,,0.0,3160546,364437,56.0,,250000,982,7868,19350,942622.0,2014865,2016年09月30日,811575,0.0,,3534788,3534788,0,396461,6857899,12069619,11444,0,,987020.0,,,3757398,2028972,14186693.0,10651905.0,,316573,14186693.0,,,,,2146,,627415.0,3794006,2117074,696707,14107.0,308408
