date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,24798,7000,673396,,42054,,101768,,,-43622,19660,251458,88594.0,162864.0,52130,9251,,,,,1304820,0.0,,801502,0.0,20201,,1852519,27498,,702813,2013年03月31日,,1593080,1593080,0,2430603,3997509,,10781,,515350.0,30467.0,1457005,702813,,,2564372.0,260493,,4157452.0,0.0,81639,66059,0.0,133769,159943,45864,0
2013-08-08,2,2013,25529,7000,560374,,90124,,200112,80634.0,,3833,28386,290034,126319.0,163715.0,52308,9288,,,,,1293374,,,818909,0.0,11870,119478.0,2123997,13754,,702813,2013年06月30日,,1527513,1527513,0,2717356,4175761,,9863,,436976.0,6160.0,1651919,702813,,,2856111.0,260493,,4383624.0,0.0,86447,66059,,138755,207863,17626,0
2013-11-08,3,2013,23580,7000,560650,,76435,,93956,93956.0,,-19363,27273,316504,84504.0,232000.0,52480,10128,,,,,1188802,,,756250,0.0,9602,,2170391,22408,,702813,2013年09月30日,,1504593,1504593,0,2809715,4260561,,9375,,519482.0,14609.0,1908025,702813,,,2948545.0,260493,,4453138.0,0.0,86350,66059,,138830,192577,42974,0
2014-03-25,4,2013,21573,7000,612084,59658.0,80651,,93740,,71999.0,-13787,11970,225166,,,49927,10355,,-73445.0,,,838828,,,624872,0.0,5811,,2340368,24320,,702813,2013年12月31日,,1561603,1561603,0,2516125,4036185,,8654,,499784.0,106.0,1779626,702813,,,2649642.0,260493,,4211245.0,0.0,83590,46827,,133517,175060,35720,0
2014-05-12,1,2014,20881,7000,646059,91495.0,116830,,87414,,78473.0,32792,10029,173120,,,50138,11113,,-58703.0,,,873312,,0.0,648856,,6513,,2113318,43170,,702813,2014年03月31日,,1642157,1642157,0,2357621,3926294,,8902,564925.0,,7035.0,1597774,702813,,,2495690.0,260493,,4137847.0,0.0,87931,46827,,138069,211553,79976,0
2014-08-08,2,2014,20137,7000,586931,,138448,,156825,,101656.0,39084,21420,206142,,,50342,10979,,,,,1042832,,0.0,734123,,5364,,2078123,23468,,702813,2014年06月30日,,1589321,1589321,0,2506562,4005350,,8010,486161.0,,15316.0,1573514,702813,,,2647430.0,260493,,4236751.0,0.0,90526,46827,,140868,231401,66968,0
2014-11-10,3,2014,18204,7000,611775,,121356,,104092,,91798.0,36010,27501,202543,,,50544,10427,,,,,1179841,,0.0,872268,,10639,,2258155,21646,,702813,2014年09月30日,,1611091,1611091,0,2828361,4367272,,7384,541687.0,,20354.0,1793507,702813,,,2967379.0,260493,,4578470.0,0.0,88474,46827,,139018,211198,71602,0
2015-03-26,4,2014,17389,7000,684082,,135608,,107765,,68941.0,68802,31948,239967,,,53465,13865,,,1344.0,,1037886,,0.0,746860,,5339,,2423662,24243,52121.0,702813,2014年12月31日,,1716190,1716190,0,2705751,4363522,,6594,543293.0,,7775.0,1806064,702813,,,2853676.0,260493,,4569866.0,,94460,25888,,147925,206344,25530,0
2015-05-12,1,2015,16885,7000,693188,,131746,,106007,,79759.0,58154,30694,260900,,,53929,14941,,,,,1227085,,0.0,652304,,4785,,1928761,25114,,702813,2015年03月31日,15317.0,1714648,1714648,0,2549176,4208748,,6550,,621714.0,,1740069,702813,4411758.0,2697110.0,,260493,4411758.0,,0.0,94005,25888,,147934,203010,65415,0
2015-08-11,2,2015,16282,7000,527855,,125149,0.0,227157,,65851.0,42323,28169,246027,,,54069,13751,,,,,1387431,0.0,0.0,658850,,7844,,1844564,10027,,702813,2015年06月30日,4724.0,1533484,1533484,0,2640841,4127414,,6123,,523500.0,,1714097,702813,4321607.0,2788123.0,,260493,4321607.0,,0.0,93213,25888,0.0,147282,194193,50014,0
