date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,催收款項,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,235,401,-55906,1330,1170,,362,,0,183,,0,,,,,51350,50000,2472,1350,1142,376,376,0,,,,,,,120346,0,,,,0,117140,70000,2013年03月31日,-55906,,,20268,19650,0,121699,73069,,9980.0,,47976.0,,101.0,,70000,,,173049.0,5556,5556,,,193317.0,0.0,,,,1330,,618,51350,120248,14274,,0
2013-08-12,2,2013,302,401,-94635,1330,3105,,396,,0,275,,0,,,,,51350,50000,2472,1350,1142,288,288,0,,,,,,,113612,0,,,,0,116953,140000,2013年06月30日,-94635,,,51538,50921,0,116992,99752,,0.0,,84645.0,,110.0,,140000,,,168342.0,5556,5556,,,219880.0,0.0,,,,1330,,617,51350,120128,14313,,0
2013-11-12,3,2013,2389,5906,-110697,1330,13695,,291,291.0,0,1047,922.0,222,222.0,,,,51350,50000,2400,1350,1070,200,200,0,,,,36177.0,,,111152,7352,53365.0,1000.0,,0,116765,140000,2013年09月30日,-110697,,,35477,34859,0,169423,128790,,9980.0,,42672.0,,120.0,,140000,,,220773.0,5556,5556,,,256250.0,0.0,,,,1330,,618,51350,127460,20940,125.0,0
2014-03-27,4,2013,2191,5906,-54295,1330,23377,,36190,36190.0,0,32481,1781.0,88093,434.0,,87659.0,,51350,50000,952060,1350,90730,610383,610383,0,,,,392937.0,17424.0,35833.0,104823,12725,66367.0,24135.0,62425.0,75247,116577,966000,2013年12月31日,-54295,,,1537926,1537261,0,619600,1130939,1203.0,0.0,,32928.0,,143.0,,966000,,,670950.0,625556,5556,620000.0,,2208876.0,0.0,,,,1330,860000.0,665,51350,1077937,135028,30700.0,0
2014-05-07,1,2014,2053,5906,-97705,1330,15501,30000.0,1209,1209.0,0,52635,3191.0,88082,435.0,,87647.0,,51350,50000,952269,1350,93292,760234,760234,0,0.0,,,178266.0,7511.0,56540.0,102338,141981,160096.0,31740.0,85640.0,8483,116810,966000,2014年03月31日,-97705,,,1494516,1493851,0,966702,1434364,1166.0,0.0,108478.0,,,67.0,381930.0,966000,,,1018052.0,625556,5556,620000.0,,2512568.0,,,,,1330,857647.0,665,51350,1078204,190335,49444.0,0
2014-08-13,2,2014,2239,5906,-22852,1330,22786,,1191,1191.0,0,66065,5544.0,135142,2450.0,,132692.0,,51350,50000,951804,1350,97131,771843,771843,0,0.0,,,205837.0,8107.0,27593.0,49703,81667,228522.0,11970.0,133230.0,17722,116622,966000,2014年06月30日,-22852,,,1569370,1568704,0,845688,1990636,1201.0,,410241.0,,2000.0,73.0,381930.0,966000,,,1499038.0,625556,5556,620000.0,,3068408.0,,,,602000.0,1330,853343.0,666,653350,1077772,280702,60521.0,0
2014-11-07,3,2014,103597,5906,48511,1330,20535,,1389,1389.0,0,80758,3217.0,123868,844.0,,123024.0,,51350,50000,856772,1350,7286,935672,935672,0,0.0,,,202462.0,13.0,24728.0,49712,237992,310613.0,6937.0,244662.0,14664,120065,966000,2014年09月30日,48511,,,1640732,1640067,0,929504,2135870,1376.0,0.0,165142.0,,2000.0,76.0,311304.0,966000,,,1582854.0,625556,5556,620000.0,,3223586.0,,,,602000.0,1330,848156.0,665,653350,1087716,332847,77541.0,0
2015-03-25,4,2014,96786,5906,22829,1330,33485,,1239,1239.0,0,88383,2882.0,97045,162.0,,96883.0,,51350,50000,852721,1350,7535,1433252,1433252,0,0.0,,,149869.0,737.0,80611.0,0,134507,375673.0,7069.0,348538.0,73834,125570,1466000,2014年12月31日,22829,,,3565049,3564385,0,808926,3925904,1578.0,,1300709.0,,19404.0,66.0,301930.0,1466000,,,1462682.0,2075556,5556,2070000.0,,5027731.0,,406.0,19266.0,602000.0,1330,843856.0,664,653756,1101827,288479,85501.0,0
2015-05-07,1,2015,115816,5906,53993,1330,17238,0,1226,1226,0,95173,2009,84449,1826,,82623,,51350,50000,848461,1350,7575,2108357,2108357,0,0,,,237284,17,42177,49963,70328,183626,7256,389254,14051,125763,1466000,2015年03月31日,53993,24404,72,3595865,3595549,0,932514,4074868,1401,,,926735,,,395930,1466000,5188481,1592616,,2075556,5556,2070000,5188481,,,6752,16266,602000,1330,839556,316,660102,1113613,359842,93164,0
2015-08-10,2,2015,115645,5906,56316,1330,21285,,1053,1053.0,0,107465,3755.0,67658,1119.0,,66539.0,,51350,50000,944418,1350,107832,3146441,3146441,0,0.0,,,137780.0,330112.0,50531.0,49783,48120,262116.0,18087.0,374360.0,16320,126536,1466000,2015年06月30日,56316,7277.0,66.0,3598188,3597872,0,1604389,4643049,1223.0,,,416169.0,,,852036.0,1466000,5862679.0,2264491.0,,2075556,5556,2070000.0,5862679.0,,,6752.0,25902.0,602000.0,1330,835256.0,316,660102,1219630,340779,103710.0,0
2015-11-09,3,2015,145857,5906,115744,1330,26447,,2952,2952.0,0,127693,3057.0,71348,2356.0,,68992.0,,51735,50285,940248,1450,107962,3569553,3569553,0,0.0,,,174770.0,330044.0,7038.0,49796,50769,152478.0,81601.0,379406.0,13881,126576,1466000,2015年09月30日,115744,911.0,4482.0,3657616,3657300,0,1668118,4753034,1045.0,,,116363.0,,,900650.0,1466000,5986221.0,2328605.0,,2075556,5556,2070000.0,5986221.0,,,6752.0,13555.0,602000.0,1330,830956.0,316,660487,1233187,360970,124636.0,0
2016-03-28,4,2015,835303,5906,237502,1330,41418,,1651,1651.0,0,107803,2166.0,62345,251.0,,62094.0,,52025,50275,936048,1750,108062,6226628,6226628,0,0.0,,,2447002.0,0.0,24925.0,49801,32212,162337.0,38393.0,346474.0,14594,126551,1466000,2015年12月31日,237502,26017.0,1314.0,3779374,3779058,0,4059610,7256483,867.0,,,60833.0,,,1330432.0,1466000,9178185.0,5398811.0,,2075556,5556,2070000.0,9178185.0,,,6346.0,17027.0,1280830.0,1330,826656.0,316,1339201,1921702,341914,105637.0,0
2016-05-11,1,2016,835743,5906,243208,1330,31114,170000.0,3063,3063.0,0,146301,3542.0,91131,4593.0,152925.0,86538.0,152925.0,52009,50259,1080448,1750,103837,6258937,6258937,0,0.0,,500000.0,88862.0,108.0,47302.0,79917,424387,123636.0,37108.0,359305.0,8933,130953,1466000,2016年03月31日,243208,38224.0,1314.0,3785080,3784764,0,3903751,7449871,1526.0,,,196376.0,,,2877536.0,1466000,9528016.0,5742936.0,,2075556,5556,2070000.0,9528016.0,,,6346.0,23569.0,1280830.0,1330,822356.0,316,1839185,2078145,370068,142759.0,0
2016-08-09,2,2016,835006,5906,283274,1330,37168,40000.0,1769,1769.0,0,146112,2408.0,89983,2124.0,152925.0,87859.0,152925.0,51996,50246,1077698,1750,105387,6430646,6430646,0,0.0,,500000.0,63381.0,5.0,0.0,129658,523561,44220.0,96411.0,349140.0,340,140684,1466000,2016年06月30日,283274,29476.0,1314.0,3825146,3824830,0,3957558,7552724,1525.0,,,147002.0,,,2988197.0,1466000,9621876.0,5796730.0,,2075556,5556,2070000.0,9621876.0,,,6346.0,8333.0,1280830.0,1330,818056.0,316,1839172,2069152,391899,143704.0,0
2016-11-11,3,2016,834368,5906,439151,1330,46347,40000.0,2336,2336.0,0,140360,2927.0,96691,4396.0,152925.0,92295.0,152925.0,51962,50232,974472,1730,6461,6511124,6511124,0,0.0,500000.0,500000.0,134467.0,56.0,14676.0,49683,439655,281535.0,207166.0,330808.0,26732,150923,1466000,2016年09月30日,439151,67505.0,14001.0,3981023,3980707,0,4220629,8062947,1029.0,,,132225.0,,,3287880.0,1466000,10040790.0,6059767.0,,2075556,5556,2070000.0,10040790.0,,,6346.0,11145.0,1280830.0,1330,813756.0,316,1839138,1977843,460329,137433.0,0
