date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,756326,457785,252513,46443,133938,0.0,42223,238240,29270,345007,141477,103952,83625,803245,0.0,,,105303,96,65745,193216,55060,13978,43720,863394,2013年03月31日,229703,,2228594,1703937,0,171838,653974,2049045,1734,56244,,231815.0,3885.0,0.0,863394,,,758456.0,353488,,2987050.0,,18180.0,530,6157,524657,104482,938005,59098,0
2013-08-13,2,2013,749050,406497,282845,44763,220310,0.0,41117,286084,37016,347838,141235,94617,84559,803899,,,,142683,20705,163357,239361,59507,15113,43669,863394,2013年06月30日,170165,,2186078,1660395,0,180088,903000,2255492,1365,56244,,320275.0,8107.0,0.0,863394,,,998245.0,353488,,3184323.0,0.0,0.0,628,5425,525683,95245,928831,66056,0
2013-11-12,3,2013,730421,434004,97707,68622,145352,0.0,23795,139461,50468,246839,146700,84029,83367,773921,,,,118038,10602,59086,277635,44747,16168,43617,863394,2013年09月30日,197672,,2229256,1701354,0,180088,591712,1973116,860,56244,,410832.0,11795.0,0.0,863394,,,676078.0,353488,,2905334.0,,0.0,337,5331,527902,84366,932218,42150,0
2014-03-19,4,2013,724571,466049,175266,62322,151839,0.0,9583,149286,55363,188125,142447,78630,85449,741840,,,,123077,4864,23623,248040,78965,7295,43566,863394,2013年12月31日,229717,,2294143,1738294,0,180088,499046,1951450,473,56244,,365356.0,7518.0,0.0,863394,,,578525.0,353488,,2872668.0,,0.0,849,4837,555849,79479,921218,33372,0
2014-05-13,1,2014,710530,496689,157913,54997,131003,,10731,117593,51023,104354,417958,73406,65902,767276,,,0.0,155580,12685,57687,271528,87749,15750,31836,863394,2014年03月31日,260357,,2333164,1764594,0,180088,469816,2008878,410,56244,119205.0,,8507.0,,863394,,,544399.0,353488,,2877563.0,,0.0,1177,5010,568570,74583,868685,43175,0
2014-08-13,2,2014,691380,307791,128125,64639,185699,,32386,174090,46273,168020,420153,71240,64142,774961,,172679.0,0.0,150934,2968,58255,254164,62093,14995,31785,863394,2014年06月30日,61015,,2304657,1743625,0,190532,572148,2091096,378,56244,181581.0,,6272.0,,1036073,,,644052.0,353488,,2948709.0,,,664,5289,561032,71904,857613,48548,0
2014-11-13,3,2014,693112,330135,156501,62412,172728,,11890,202305,62605,160746,439444,66154,62648,733752,,,0.0,146721,10566,14982,263269,45557,15948,31733,1036073,2014年09月30日,83359,,2345602,1782301,0,190532,515233,2072994,315,56244,163421.0,,9490.0,,1036073,,,582881.0,353488,,2928483.0,,,1494,5269,563301,67648,855489,40907,0
2015-03-13,4,2014,698897,358886,122771,62022,150153,,10999,218997,89765,111098,271733,63196,64357,711499,,,0.0,171895,2036,25462,282225,41140,17439,31682,1036073,2014年12月31日,112110,,2425277,1838212,0,190532,467963,2096504,259,56244,392060.0,,7319.0,,1036073,,,533814.0,353488,,2959091.0,,,2655,5370,587065,65851,862587,27641,0
2015-05-12,1,2015,686202,379696,17425,55074,103736,,12346,216959,74251,105880,588241,63407,62752,672066,,,,123869,7064,23002,240313,45645,15843,31630,1036073,2015年03月31日,132920,9154.0,2436321,1843508,0,190532,372705,2032622,203,56244,,207449.0,,,1036073,2873817.0,437496.0,,353488,2873817.0,,,,1384,5334,592813,64791,841195,16335,0
2015-08-12,2,2015,668289,294052,15004,46872,228697,,13930,215649,54538,102738,600984,62243,61722,710308,,0.0,,180012,15212,38892,224910,44133,17357,31579,1036073,2015年06月30日,36446,5248.0,2292392,1738151,0,201362,570896,2113042,156,56244,,240557.0,,,1036073,2928466.0,636074.0,,353488,2928466.0,,97.0,,2935,6806,554241,65178,815424,30210,0
2015-11-12,3,2015,673827,345448,0,38382,234430,,62057,191602,87475,104968,645401,58309,65199,714959,,,,138042,11663,6718,212806,51732,7782,31528,1036073,2015年09月30日,87842,4655.0,2407027,1822484,0,201362,500476,2157088,110,56244,,257276.0,,,1036073,2971348.0,564321.0,,353488,2971348.0,,,,5536,5214,584543,63845,814260,13473,0
2016-03-18,4,2015,649268,362838,125075,44622,132406,,19793,165253,74131,105314,604906,56725,60772,620182,,,,79194,104,12001,158007,41456,22872,31476,1036073,2015年12月31日,105232,8754.0,2396071,1826530,0,201362,337773,2002572,63,56244,,232894.0,,,1036073,2794053.0,397982.0,,353488,2794053.0,,,,3484,5280,569541,60209,791481,12134,0
2016-05-12,1,2016,636852,377880,17122,42822,107560,,9095,224005,63309,105290,625511,43856,61101,612673,,,,85418,12566,13458,189881,31573,5876,31425,1036073,2016年03月31日,120274,10940.0,2407819,1830750,0,201362,335232,2011657,39,56244,,276262.0,,,1036073,2788557.0,380738.0,,353488,2788557.0,,,,1650,4661,577069,45506,776900,19659,0
2016-08-12,2,2016,621928,389943,10036,39957,122834,1211.0,9983,174401,47978,48256,675502,44135,58050,573817,,,,104822,6751,14821,191452,22535,7362,31373,1036073,2016年06月30日,132337,3736.0,2363367,1827482,0,201362,302431,1954880,314,56244,,269615.0,,,1036073,2711714.0,348347.0,,353488,2711714.0,,0.0,,1781,5212,535885,45916,756834,20177,0
2016-11-11,3,2016,602138,303925,0,39338,216702,,18136,168892,21431,36896,672963,38681,55566,525796,,,,83244,3905,14904,197257,20671,11294,31322,1036073,2016年09月30日,35981,733.0,2208272,1714917,0,211700,356384,1870133,277,56244,,231600.0,,,1036073,2603433.0,395161.0,,353488,2603433.0,,,,96,4659,493355,38777,733300,23524,0
