date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,2725273,1217453,58745,0.0,126294,13586,25707,,41380,41380,13670,,90644,,86660,86660.0,59320,,303301,0.0,,33992,50672,,142079,12546,31324.0,1097873,63014,313807,,2780955,2013年03月31日,116100,,6528376,6528376,0,1054529,256071,2613763,,,,250000.0,55540.0,,46824,,1031910.0,3733.0,2780955,,5722,,387522.0,2504261,,6915898.0,692446,35085,22982,,0.0,131451,4302135,32466,,0
2013-07-26,2,2013,2721621,1155201,49951,0.0,247104,14022,22534,,35464,35464,10052,,90298,,85328,,59285,,342757,,,34485,41133,,195549,13399,31013.0,1096765,57164,332924,,2780955,2013年06月30日,46037,,6462951,6462951,0,1062340,366643,2653764,,,,195000.0,44540.0,,46824,,1111223.0,8457.0,2780955,,5952,,496986.0,2504261,,6959937.0,663441,34093,24995,,,130343,4306173,1206,,0
2013-10-25,3,2013,2713719,1180415,43825,0.0,158350,13121,21961,,30355,30355,9834,,94748,,77348,,63341,,277581,,,34021,55578,,260750,11191,31407.0,1098734,113882,269742,,2780955,2013年09月30日,71251,,6487592,6487592,0,1062340,285860,2678271,,,,145000.0,44540.0,,46824,,1111824.0,7556.0,2780955,,6182,,420883.0,2504261,,6908475.0,660779,34093,26121,,,135023,4230204,30484,,0
2014-02-27,4,2013,2703097,1230273,0,0.0,175667,34190,112,,32019,32019,12065,,96773,,74736,74736.0,67243,,302397,,,27014,53999,,185545,12324,29530.0,1098145,139541,243544,,2000000,2013年12月31日,121109,,5734646,5734646,0,1062340,300292,1981241,,,,0.0,44540.0,,46824,,688572.0,11593.0,2000000,,5504,,436662.0,2504261,,6171308.0,604995,34093,26005,,,136370,4190067,1612,,0
2014-04-29,1,2014,2679639,1307022,40442,,122172,14341,1900,,35748,35748,26596,,92810,,61606,44845.0,62960,8634.0,318495,,0.0,42495,41398,,173130,10378,29850.0,1086143,89257,246470,,2000000,2014年03月31日,198327,,5813183,5813183,0,1062340,259479,2046523,,19848.0,,393500.0,43040.0,,46355,505732.0,,17666.0,2000000,,5745,,391902.0,2504261,,6205085.0,472185,33868,21816,,,132423,4158562,2467,8127.0,0
2014-07-25,2,2014,2690684,1237412,68822,,261470,8765,-1608,,48289,48289,30145,,93993,,57700,45802.0,63814,8366.0,269148,,0.0,47370,47547,,194312,11325,30179.0,1086017,119506,242232,,2000000,2014年06月30日,116606,,5740065,5740065,0,1074451,420396,2132591,,17800.0,,482600.0,42640.0,,46355,501625.0,,15720.0,2000000,,5985,,554242.0,2504261,,6294307.0,401696,33868,24643,,,133846,4161716,44647,3532.0,0
2014-10-24,3,2014,2690143,1291533,67264,,169625,11478,-6948,,38807,38807,31103,,94624,,55493,45650.0,64120,8506.0,321441,,0.0,53963,64845,,205577,12725,30504.0,1085448,57082,272855,,2000000,2014年09月30日,170727,,5788846,5788846,0,1074451,343591,2077447,,19460.0,,494900.0,42640.0,,46355,469375.0,,16351.0,2000000,,6225,,478308.0,2504261,,6267154.0,402504,33868,23668,,,134717,4189707,3998,1337.0,0
2015-03-20,4,2014,2712906,1325620,77495,,179185,14379,-4913,,34879,34879,34744,,515524,,56006,47257.0,71229,8599.0,306687,,0.0,45604,73540,,194133,14738,52568.0,1458147,28465,283615,,2000000,2014年12月31日,204814,,5824968,5824968,0,1074450,354439,2137491,,18563.0,,510700.0,42640.0,,46356,719848.0,,21231.0,2000000,,6466,,913152.0,2504261,,6738120.0,233467,36723,28752,391727.0,,558713,4600629,2835,150.0,0
2015-05-08,1,2015,2696715,1373893,83648,,151225,5253,-4976,-4976.0,45300,45300,23025,,536840,,51724,45967.0,94676,5607.0,338193,,0.0,69166,72801,,183840,12136,,1456203,26550,276291,,2000000,2015年03月31日,253087,32974.0,5873178,5873178,0,1074450,371466,2254649,53323.0,16583.0,304140.0,,,42640.0,46356,,886839.0,,2000000,6821818.0,6466,948640.0,,2504261,6821818.0,,334554,33868,27013,388841.0,,577174,4567169,56471,150.0,0
2015-07-24,2,2015,2693824,1257708,82126,,376066,8331,-9100,,69074,69074,18072,,551462,,64752,58767.0,97072,5709.0,311913,,0.0,69994,63356,,221759,12840,,1452763,30785,244222,14919.0,2000000,2015年06月30日,116421,27386.0,5736869,5736869,0,1094931,605876,2377796,53805.0,14674.0,299880.0,,,42640.0,46356,,845869.0,,2000000,6934541.0,6466,1197672.0,,2488261,6934541.0,,485314,33868,28951,400585.0,,591796,4556745,60907,276.0,0
