date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融資產－流動,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,,315707,10393,159865,,,,81314,,128943,128943.0,10854,28351,28351,25358,5887.0,5887.0,7577,574,574.0,360087,,,,,593758,,702644,50179,7577.0,47856,,947442,2013年03月31日,87947,,,1344333,1344333,0,71918,925756,1791989,,5887,,460312.0,6300.0,,,,64189.0,13504.0,161200,,947442,,,933333.0,226172,,,,,,,2277666.0,,128396,,,17646,824.0,,7577,485677,0
2013-08-08,2,2013,,314348,10393,114585,,,,76270,,221964,221964.0,7039,44550,44550,16166,5956.0,5956.0,7459,574,574.0,355548,,,,,600308,,936657,133098,7459.0,48666,,947442,2013年06月30日,34858,,,1287251,1286428,0,79727,1366835,2162608,,5956,,430700.0,6300.0,,,,163298.0,4513.0,495500,,947442,,,1374294.0,217362,,,,,,,2661545.0,,125725,20810.0,,15620,1416.0,823.0,7459,498937,0
2013-10-31,3,2013,,314798,10393,130931,,,,75970,,197346,197346.0,5529,40632,40632,15974,4946.0,4946.0,7414,964,964.0,411296,,,,,601816,,918237,88312,7414.0,48186,,947442,2013年09月30日,51204,,,1301990,1301115,0,79727,1276082,2086696,,4946,,387510.0,6300.0,,,,154974.0,3378.0,432910,,947442,,,1283860.0,217213,,,,,,,2585850.0,,110393,21204.0,364.0,16393,,875.0,7778,499154,0
2014-03-13,4,2013,,313344,5393,168936,,,,68712,,184902,184902.0,8408,44711,44711,24613,4798.0,4798.0,9792,1055,1055.0,438911,,,,,789038,,1120892,129638,9792.0,48982,,947442,2013年12月31日,89209,,,1342732,1342028,0,79727,1604046,2472168,,4798,,336580.0,6700.0,,,,142048.0,9472.0,575923,,947442,,,1613981.0,217242,,,,,,,2956713.0,,278647,20562.0,143.0,14999,839.0,704.0,9935,484545,0
2014-04-23,1,2014,,312172,5643,186958,,,,61581,,78607,78607.0,2997,54793,54793,20106,4290.0,4290.0,9531,1637,1637.0,397205,,,0.0,,690129,,808908,143709,9531.0,48795,9509.0,947442,2014年03月31日,107231,,,1355068,1354639,0,79727,1375591,2158968,,4290,,333590.0,6700.0,,,180657.0,,13648.0,538400,,947442,,,1385122.0,217242,,,,,,,2740190.0,14.0,274793,114218.0,0.0,16677,0.0,429.0,9531,581222,0
2014-08-07,2,2014,,311611,5643,138646,,,,56743,,173205,173205.0,-2385,60273,60273,21044,3377.0,3377.0,9436,1637,1637.0,563844,,,0.0,452138.0,828177,,924231,94609,9436.0,47907,10571.0,947442,2014年06月30日,50681,,,1333948,1333941,0,87965,1096634,2432406,,3377,,298660.0,6704.0,,,196598.0,,8365.0,23400,,947442,,,1559591.0,250238,,,,,,,2893539.0,3214.0,333420,0.0,1383.0,16940,0.0,7.0,462957,461133,0
2014-10-30,3,2014,,313411,5393,164128,,,,52436,,137860,137860.0,-6854,76196,76196,6206,3690.0,3690.0,9385,2108,2108.0,604446,,,0.0,445383.0,985220,,993747,51923,9385.0,49145,10273.0,947442,2014年09月30日,76163,,,1357545,1354644,0,87965,1252502,2602500,,3690,,240620.0,6704.0,,,240260.0,,8265.0,40600,,947442,,,1708287.0,249928,,,,,,,3065832.0,4361.0,465298,0.0,1017.0,20172,0.0,2901.0,455785,463332,0
2015-03-20,4,2014,,309571,1836,206439,-7213.0,-7213.0,,56545,0.0,111014,111014.0,-7213,67515,67515,5028,3221.0,3221.0,13311,2131,2131.0,555655,0.0,,0.0,407496.0,1126382,,1476562,121003,13311.0,50734,7578.0,947442,2014年12月31日,118474,,111870.0,1403912,1398279,0,87965,1552008,2903985,,3221,,246213.0,19204.0,,,162005.0,,18929.0,224600,6604.0,947442,,,1972903.0,251611,25343.0,185410.0,185410.0,2975.0,37883.0,,3376815.0,3568.0,337519,0.0,88.0,22010,0.0,5633.0,420895,472830,0
2015-04-28,1,2015,,308157,3836,257643,-5606.0,-5606.0,3719.0,64258,,78785,78785.0,-5606,79328,79328,22359,2961.0,2961.0,13137,2202,2202.0,427627,,,,409600.0,746131,,1098924,46090,,50241,7425.0,947442,2015年03月31日,169678,25867.0,51204.0,1456548,1451090,0,87965,979655,2391056,13137.0,2961,240157.0,,,10708.0,,,111132.0,,46600,118474.0,947442,2859173.0,1402625.0,,251611,25343.0,185410.0,185410.0,2975.0,37883.0,2859173.0,,2944.0,441048,0.0,233.0,18329,,5458.0,422970,468117,0
2015-07-28,2,2015,,308752,3836,196688,,,4446.0,54354,,127053,127053.0,-16106,64530,64530,12275,2618.0,2618.0,8404,3200,3200.0,523435,,47372.0,,81417.0,915022,,1073460,157004,,49645,0.0,1134771,2015年06月30日,97536,17160.0,,1762731,1757788,0,99152,1171765,2571557,8404.0,2618,239059.0,,,10708.0,,,346413.0,,48000,,1182143,3024321.0,1261590.0,,395063,,,,,,3024321.0,,0.0,215465,,4.0,19651,,4943.0,89825,452764,0
