date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,316211711,198490.0,-23295532,789596,93481,7438301,18051598,1967210,-698253,-633463,72906482,,1298393,,,,7843150,13245538,,-1300928,45183183,0.0,404534.0,,0.0,84171457,7700348,0.0,78597752,2832300,716730,5343341,91019608,2013年03月31日,-25624513,,191891691,190268583,0,2328981,214781092,174705011,22485036,,,42652394.0,446542,347325.0,29681014,91019608,,1405177,,366239302.0,123242760,189512.0,,1635437,40505,121377306,,,558130993.0,252582,0.0,627959,165280,819788,17621555,265109.0,50984.0,142744288,1623108,151458210,383425982,1047805,0
2013-08-08,2,2013,53463236.0,304175071,198490.0,8083488,-1692552,0,3338144,25281058,2448112,-1962516,-540691,55123721,1660485.0,1330367,276970.0,1053397.0,11745000.0,8002847,13520853,1775853.0,-184339,44549676,,113681.0,,0.0,68163241,7946850,0.0,68843875,2157345,713437,4993719,91019608,2013年06月30日,5754507,,194647544,193116865,0,2328981,195009203,159077928,22077056,,,37882475.0,455066,646230.0,35438730,91019608,,2012859,,332036141.0,95976285,,,1673570,44117,94069086,189512.0,,526683685.0,269419,0.0,321555,550777,842113,18038210,127095.0,38492.0,128143486,1530679,137026938,367605757,1430842,0
2013-11-12,3,2013,65351169.0,287720557,198490.0,8769133,-1340575,0,3994707,23978882,4269979,-2121952,-448020,66843809,1492640.0,1175856,282454.0,893402.0,11976000.0,8040248,13107600,1131600.0,-803913,50376874,,113681.0,,0.0,66389551,6093600,0.0,63437301,1863694,710143,4854003,91016708,2013年09月30日,6440152,,195211690,193681681,0,2328981,191960688,163430483,21644558,,,40920556.0,470556,328590.0,25174192,91016708,,2820791,,319098595.0,96017792,,0.0,1667071,55889,94102420,192412.0,,514310285.0,198580,0.0,225066,693865,913309,17955879,132693.0,27360.0,118156990,1530009,127137907,350879802,1047476,0
2014-02-17,4,2013,169097708.0,273505759,0.0,7421697,-1544345,0,3952530,20372113,4255683,-1531497,-387268,171406952,2309244.0,2839781,295214.0,2544567.0,12327722.0,12104654,13363177,1035455.0,-78074,50524156,,113681.0,,0.0,65435586,8756243,0.0,66358291,2049985,706850,4919134,91094288,2013年12月31日,5092716,,194577854,193043229,0,2328981,300586751,171701969,21214994,,,44137818.0,478190,454482.0,31179767,91094288,,2292511,,313623031.0,96058741,,0.0,1697935,56303,94106611,197892.0,,508200885.0,689097,0.0,227703,712603,909708,18123869,,21918.0,0,1534625,13036280,336498916,1194871,0
2014-05-06,1,2014,56010147.0,261666588,0.0,7574257,-1413969,0,3995952,19809925,3103835,-550507,-333683,58088054,2077907.0,1444155,582549.0,861606.0,12076562.0,12359327,13134377,1057815.0,712439,50934517,,113681.0,,,62962833,8318145,0.0,67789097,2565367,703557,4325983,91064572,2014年03月31日,5245276,,195738690,194212353,0,2328981,191183861,163533078,20830472,,36244705.0,,484706,273950.0,40387474,91064572,,1231483,,291711469.0,96124031,0.0,0.0,1717080,55754,94141406,209791.0,,487450159.0,97929,0.0,90518,1075434,906848,18184718,14068.0,0.0,87261433,1526337,100527608,323917081,1247203,0
2014-07-28,2,2014,64279584.0,250192047,0.0,8166003,-1023790,0,4440634,24370919,1928389,-1351810,-267106,65897748,1618164.0,2750548,361893.0,2388655.0,11745362.0,12121302,13576980,1831618.0,-550489,45659460,,113681.0,0.0,,69165961,8882551,0.0,70764750,4412258,700263,3716744,91064572,2014年06月30日,6512502,,196609453,195085095,0,509272,191259311,152388247,20531808,1144229.0,24903724.0,,489575,617024.0,20671851,91064572,,1559091,,268249389.0,97206330,0.0,0.0,1732382,60715,95203455,209778.0,,464858842.0,85963,0.0,88742,986629,961892,18325490,8203.0,0.0,63906884,1524358,76990078,312470595,1766695,0
2014-10-30,3,2014,64984323.0,241773374,0.0,15524549,-1222440,0,4104083,22224201,2878561,-680481,-200530,66878384,1894061.0,1024350,353297.0,671053.0,11114642.0,11397274,12764063,1649421.0,249516,38288059,,,0.0,,67239401,8513689,0.0,73485338,4381483,696970,3499628,99554076,2014年09月30日,13871048,,215440498,213959586,0,509272,177507769,156775577,20451619,1144229.0,34575186.0,,492973,794074.0,8685401,99554076,,2525455,,243674591.0,99561442,0.0,0.0,1339783,59330,97942060,220269.0,,459115089.0,643055,0.0,59014,815061,1105653,18234714,4109.0,0.0,53663895,1480912,66166822,302339512,2083586,0
2015-02-10,4,2014,66162663.0,233609843,,26632674,-1259847,220000,5137117,23912180,2849589,1927656,-142515,68166820,2004157.0,2951179,666309.0,2284870.0,11160082.0,11438618,12728073,1567991.0,3082948,33787842,,,0.0,,74954439,5252946,,70976005,6112400,693677,2364225,99545364,2014年12月31日,24979173,,229171436,227690063,0,509272,199135498,189380812,20219137,1144229.0,70989741.0,,247070,582258.0,22526999,99545364,,3133489,,253345119.0,99584369,0.0,0.0,1373859,9273,97972912,228325.0,,482516555.0,605016,,52453,605155,477580,17778516,1351.0,0.0,42293423,1481373,54209621,293135743,1441603,0
2015-04-28,1,2015,16346697.0,222590627,,35283281,-1102664,220000,5157443,23276855,2713505,542124,-110689,18199314,1852617.0,1120925,700766.0,420159.0,9883373.0,10047808,11184682,1301309.0,1755477,33300255,,,0.0,,64680682,3806274,,59677081,5013696,690383,2088898,99542240,2015年03月31日,33629780,578760.0,236422063,234969894,0,509272,125777294,145539799,19968114,1144229.0,,42332691.0,0,,11368898,99542240,424466859.0,3732440,188044796.0,,99602249,0.0,0.0,1377647,23124,98096198,105280.0,424466859.0,,134071,,37155,667680,455152,16579233,0.0,,51764542,1452169,62267502,278927060,1124491,0
2015-07-30,2,2015,16354695.0,211767648,,33742387,2135204,220000,8316401,27764804,2439671,3169249,-78951,18511299,2156604.0,903194,155909.0,747285.0,192173.0,337123,1386688,1194515.0,1112996,33222354,,,0.0,,58172538,2931508,,56836147,3876879,687090,1500688,99537972,2015年06月30日,31065439,1421654.0,237535218,236084848,0,2676948,112385966,143147113,19722306,0.0,,44073514.0,0,,0,99537972,402549563.0,3464263,165014345.0,,99635240,0.0,0.0,1058335,48059,98419427,109419.0,402549563.0,,119900,,121963,409764,501390,15611865,0.0,0.0,51789866,1450370,52628379,259402450,1453391,0
