date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2014-09-30,2,2014,1275817,151319,0,0,998680,6378,124024,706,0,306198,79542,187146,498900,161302,0,142819,,21975,187,105623,135,16519,436652,12079,1008000,2014年06月30日,81518,,,1219415,1219319,0,69801,1557913,856176,5426,211717,,57676,19,24000,1008000,,,1930790,60000,60000,,3150205,109910,65155,185731,96,372877,2294029,46679,0
2015-03-16,4,2014,1207396,261731,2711,36655,843101,7013,5660,9,2711,453510,173230,188213,504287,162412,0,167011,,7984,767,99166,488,3599,436652,20017,1008000,2014年12月31日,191930,,,1332543,1332442,0,69801,1547680,895169,5232,189458,,48294,20,20000,1008000,,,1800785,60000,60000,,3133328,181115,64575,64892,101,253105,2238159,43357,0
2015-08-11,2,2015,1098773,238801,-10161,33408,917674,5460,254,0,-10161,379646,111452,188099,521835,158709,0,146008,,8984,3970,71717,716,825,436652,21062,1008000,2015年06月30日,149807,27569,3,1236738,1236640,0,88994,1511311,829296,3996,,207917,,,22000,1008000,2973648,1736910,,0,0,2973648,,206675,62034,37500,98,225599,2144352,37620,0
2016-03-15,4,2015,1017745,394592,-11277,43279,770364,6977,435,0,-11277,461638,197955,201589,536489,164633,0,170336,,20953,85,89627,1018,4889,436652,30063,1008000,2015年12月31日,305598,25631,2,1391418,1391315,0,88994,1478984,986340,4925,,191944,,,23000,1008000,3071991,1680573,,0,0,3071991,,258340,59777,0,103,201589,2085651,34218,0
2016-05-12,1,2016,962959,492833,-21594,36523,633750,5090,245,4,-21594,422470,159163,193918,542161,166989,0,155623,,20264,250,94951,706,2544,436652,34376,1008000,2016年03月31日,403839,43508,2,1479341,1479239,0,88994,1295955,931088,4074,,193276,,,15000,1008000,2969214,1489873,,0,0,2969214,,244502,57904,0,102,193918,2038126,32183,0
2016-08-05,2,2016,911078,269542,-26922,38702,894205,5640,1581,,-26922,395265,132000,194068,576492,164546,0,136673,,22354,40,75284,591,1024,436652,30056,1115260,2016年06月30日,150278,25488,0,1823339,1823240,0,119264,1494665,1498078,3230,,720469,,,15000,1115260,3512072,1688733,,465360,465360,3512072,,330279,56486,0,99,194068,2013994,33602,0
2016-11-09,3,2016,861774,305863,-28754,39951,617486,4519,505,0,-28754,390560,110837,198808,600459,164495,0,130076,0,32866,370,75409,7230,881,436652,24935,1115260,2016年09月30日,186599,5183,165,1857827,1857729,0,119264,1196060,1273010,2445,,708361,,,15000,1115260,3252695,1394868,,465360,465360,3252695,,131685,53420,0,98,198808,1979685,33491,0
