date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,其他預收款,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,67612,706656,-454318,,13,25596,,49000,,1109,-2008,69896,2284,13982,13982.0,0.0,94955,62144,,,,,1174.0,250,310610,,0.0,,39811,0.0,17184,148073,100341,93781.0,3572,1475701,2013年03月31日,-454318,1019375,1019375,0,,205891,819690,,,,,245562.0,30000,1475701,,,607727.0,0,,1627102.0,55647,9444,251234,55752,0.0,401836,807412,,6142.0,,0
2013-08-09,2,2013,,62838,728591,-478539,,11,25596,,44947,,90,4717,65098,2260,17814,,,95332,47651,,,,,1174.0,250,313938,,0.0,,41010,0.0,20897,136386,76041,94158.0,3556,1475701,2013年06月30日,-478539,1001879,1001879,0,,201952,787379,,,,,243099.0,30000,1475701,,,591772.0,0,,1593651.0,57174,878,237314,41131,,389820,806272,,6270.0,,0
2013-11-08,3,2013,,57232,752658,-497173,,11,25596,,39349,,57,613,98444,41212,17613,,,95747,48212,,,,,1174.0,250,336669,336669.0,,,34951,0.0,22222,131539,57581,94573.0,3539,1475701,2013年09月30日,-497173,979141,979141,0,,224966,748642,,,,,205172.0,30000,1475701,,,600277.0,0,,1579418.0,56227,771,223337,40501,,375311,830776,,7461.0,,0
2014-03-28,4,2013,,55793,696283,-612471,,11,11350,0.0,55489,,58,8717,202733,2545,13368,,,88750,55885,,25316.0,144395.0,,1174.0,250,351971,,,,20750,0.0,17864,162862,28697,87576.0,3523,1475701,2013年12月31日,-612471,871947,871947,0,,326836,786912,,,,,204629.0,30000,1475701,,,682353.0,0,,1554300.0,57464,347,209303,41511,0.0,355517,767388,25316.0,14124.0,144395.0,0
2014-05-14,1,2014,,56023,622953,-291545,,11,11350,0.0,21392,,29222,8731,59477,3454,34659,,,89116,31496,0.0,0.0,0.0,,1174.0,12634,273915,273915.0,,0.0,3134,,10805,173982,2146,87942.0,3506,1475701,2014年03月31日,-291545,1192887,1192887,0,,194808,1048920,,,,534985.0,,100000,1475701,,,525338.0,0,,1718225.0,46203,0,195211,18862,0.0,330530,669305,0.0,,0.0,0
2014-08-13,2,2014,56253.0,56253,594841,-371398,2.0,10,11350,0.0,23754,,29222,2415,62661,6408,28796,28796.0,,89541,45250,,0.0,0.0,2413.0,1174.0,12387,245251,245251.0,,0.0,4829,,14582,170889,3083,88367.0,3490,1475701,2014年06月30日,-371398,1106718,1106718,0,,205826,974912,,,54382.0,443279.0,,100000,1475701,,,523472.0,0,,1630190.0,47044,347,181061,18388,0.0,317646,655278,0.0,14475.0,0.0,0
2014-11-13,3,2014,,56485,599285,-431646,2.0,10,11350,0.0,35243,,29222,5550,61217,4732,31068,31068.0,,89932,32050,,0.0,0.0,5548.0,1174.0,12587,292976,,,0.0,36206,,14068,158343,2352,88758.0,3473,1475701,2014年09月30日,-431646,1049605,1049605,0,,246734,954304,,,55772.0,384561.0,,100000,1475701,,,550857.0,0,,1600462.0,47339,0,166852,11865,0.0,304123,646158,0.0,7598.0,0.0,0
2015-03-27,4,2014,,55049,626230,16719,,10,4359,,42750,,32018,14006,56855,1806,84304,,,102978,47019,,,,,,13033,349833,,,0.0,19458,,9408,116760,26111,,3457,1106776,2014年12月31日,16719,1137501,1137501,0,,228471,993562,,,,384526.0,,100000,1106776,,,540117.0,0,,1677618.0,54414,2991,154254,12346,,311646,684056,0.0,21640.0,0.0,0
2015-05-13,1,2015,,52783,613650,-27861,5.0,13,2918,0.0,35945,,32241,11148,55577,2794,65247,,,103396,52184,,,,11143.0,1619.0,12715,372771,,,,21621,,10913,104990,29966,,3440,1106776,2015年03月31日,-27861,1090063,1090063,0,,224056,938070,101777.0,,,,332842.0,100000,1106776,1611271.0,521208.0,,0,1611271.0,,51328,1009,142428,12097,0.0,297152,673201,,27372.0,,0
2015-08-12,2,2015,,51351,614914,-76814,5.0,13,2918,0.0,37920,37920.0,32169,9426,53025,1674,62536,62536.0,,103333,41493,,,,9421.0,1174.0,12937,369665,,,,11462,,10714,96916,34448,,3424,1106776,2015年06月30日,-76814,1039388,1039388,0,,143121,805190,102159.0,0.0,,,209443.0,30000,1106776,1468763.0,429375.0,,0,1468763.0,,52378,824,130543,11918,0.0,286254,663573,,16638.0,,0
