date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融負債－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,確定福利計畫再衡量數總額,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,銀行借款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,0.0,271539,,3909,263881,,133821,,3400,9709,2171.0,8505,5943.0,1533.0,29552,34368,5027,3400,894,254950,254950.0,0.0,0.0,,,,126712,7553.0,99942,755,277663,16788.0,13122,817.0,28658.0,135446.0,534812,2013年03月31日,173783,,822175,822175,0,73480,425710,825269,,6906,,5000.0,16618.0,,199604.0,17218.0,30000.0,,534812,,0.0,,455262.0,20082,,,,,1277437.0,,413,,,26091,0.0,29552,452168,,48407,1717.0,1595.0,0
2013-08-09,2,2013,0.0,274135,24269.0,8909,223167,,208583,,11445,9968,2433.0,11322,,1533.0,29578,35512,5040,11445,839,254522,254522.0,,0.0,,,,99749,6061.0,49972,137,276671,16164.0,9586,0.0,28739.0,135446.0,534812,2013年06月30日,124521,,789506,789506,0,82028,417738,778478,,4342,,5000.0,16618.0,,146907.0,13268.0,30000.0,,534812,,,,447316.0,20082,,,,,1236822.0,,609,0.0,,26493,,29578,458344,,33428,2446.0,7535.0,0
2013-11-07,3,2013,0.0,270322,58236.0,8909,252327,,153678,,7891,13455,3758.0,6423,,1533.0,29656,33285,4079,7891,832,266341,266341.0,0.0,135446.0,,,,109341,3179.0,59965,5093,286339,25080.0,9373,0.0,28824.0,0.0,534812,2013年09月30日,153681,,815112,815112,0,82028,385339,913456,,4135,,5000.0,16618.0,,102855.0,10628.0,30000.0,,534812,,,,414995.0,20082,,,,,1230107.0,,1329,0.0,,26123,,29656,316651,,17034,1550.0,9697.0,0
2014-03-25,4,2013,0.0,272376,58516.0,8909,380723,,183254,4891.0,13111,9837,9837.0,5053,,,29751,36368,8739,13111,843,263399,263399.0,0.0,0.0,,,,118108,,19999,244,339443,16431.0,9495,0.0,28908.0,,534812,2013年12月31日,282077,,948728,948728,0,82028,358844,1015170,,4500,,5000.0,16618.0,,279708.0,17402.0,10000.0,,534812,,,,388595.0,20082,,,,,1337323.0,,2317,0.0,,26318,,29751,322153,1311.0,30917,,,0
2014-05-09,1,2014,,270883,0.0,8909,402199,,137350,675.0,19050,6076,,5156,,,29025,40103,12260,19050,38,271043,271043.0,0.0,,0.0,,,98211,,0,667,276305,11310.0,23094,,28987.0,0.0,534812,2014年03月31日,303553,,976143,976143,0,82028,266670,947901,,4042,,14874.0,16618.0,323607.0,,22734.0,0.0,,534812,,,,295695.0,20082,,,,,1271838.0,1632.0,523,,,26532,,29025,323937,1311.0,21314,,,0
2014-08-08,2,2014,,266754,18434.0,5220,283039,,301198,0.0,11150,7966,,5705,,,29590,36807,10922,11150,523,254415,254415.0,0.0,,0.0,,,82285,,19999,248,291654,19613.0,10429,,29067.0,0.0,534812,2014年06月30日,181142,,849083,849083,0,101897,428549,994416,,4025,,9622.0,0.0,358617.0,,14880.0,0.0,,534812,,,,458139.0,20082,,,,,1307222.0,1973.0,506,,,25885,,29590,312806,0.0,25421,,,0
2014-10-31,3,2014,,278319,14828.0,5220,314170,0.0,158438,0.0,19034,6298,,5967,,,29678,38850,12627,19034,532,272219,272219.0,0.0,0.0,0.0,,,90145,,0,275,316060,18632.0,5220,,29146.0,,534812,2014年09月30日,212273,,888098,888098,0,101897,265268,857130,,3525,,9868.0,0.0,187653.0,,9746.0,0.0,,534812,,,,294946.0,20082,,,,,1183044.0,366.0,396,,,26223,0.0,29678,325914,0.0,26287,,,0
2015-03-13,4,2014,,319792,0.0,5220,351027,0.0,241333,0.0,37177,6997,,5578,,,29347,43918,16753,37177,1248,304748,304748.0,0.0,0.0,0.0,,,126088,,139937,26024,400417,18057.0,10668,,28099.0,,534812,2014年12月31日,249130,,1107381,943098,0,101897,561342,1053451,,275739,,0.0,0.0,285901.0,,20963.0,0.0,,534812,,,,590739.0,20082,,,,,1698120.0,0.0,410,50.0,,27165,164283.0,29397,644669,0.0,27672,,,0
2015-04-27,1,2015,,319744,35797.0,5220,385781,,205628,0.0,32275,8032,8032.0,4668,,,24832,59446,17926,33895,549,287084,,,,,,,105693,,129939,36194,377610,17229.0,8430,,,,534812,2015年03月31日,283884,31871.0,1143212,972950,0,101897,517357,1032228,24283.0,268763,,,0.0,,271687.0,,,-1620.0,534812,1685401.0,,542189.0,,20082,,,,1685401.0,,0.0,355,0.0,,26820,170262.0,24832,653173,14700.0,29368,,,0
2015-07-31,2,2015,,325996,37888.0,5220,323987,,272307,0.0,26703,10081,10081.0,7008,,,25092,43816,17476,28323,695,291632,291632.0,,0.0,0.0,,,98666,,89895,25140,351488,20806.0,6108,,,,534812,2015年06月30日,210620,28434.0,1082757,905584,0,113367,530944,1002069,24397.0,261714,0.0,,0.0,,245536.0,,6421.0,-1620.0,534812,1638815.0,,556058.0,,20082,,,,1638815.0,,0.0,352,22.0,6421.0,26340,177173.0,25114,636746,0.0,41251,,,0
2015-10-27,3,2015,,329866,28408.0,5220,367415,0.0,197664,,39172,10157,,7745,,,25918,44318,17544,40792,1407,319224,319224.0,0.0,,0.0,,,112524,,129914,16199,390888,30868.0,5118,,,,534812,2015年09月30日,254048,19177.0,1143728,961481,0,113367,532474,1067328,24511.0,255445,,,,,263104.0,,46839.0,-1620.0,534812,1702177.0,,558449.0,,20082,,,,1702177.0,,0.0,313,57.0,,26774,182247.0,25975,634849,,21660,,,0
