date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,824440,333272,45350,207792,4527,7787,141032,94798,56991,306161,1150498,180629,,530470,1470090,3049,1227129,27679,19597.0,2147020,2013年03月31日,264582,,,3126156,2814146,9527000,64358,2380974,4818929,24070,4332,,1927204.0,45634.0,7.0,513377,2155542,,,,,2971415.0,498174,,6097571.0,0,2788,115011,0.0,192,59024,,312010,590441,1278642,272076,8522,852169
2013-08-07,2,2013,857820,220696,45350,551647,6173,-8899,181480,97086,58714,309429,1063857,180629,,508493,1847855,5647,1683777,5159,19317.0,2147020,2013年06月30日,121524,,,3000878,2709797,9527000,92606,3246919,5501813,24886,6566,,2207116.0,37555.0,129.0,622323,2177909,,,,,3816761.0,500720,,6817639.0,412,2434,98555,0.0,201,59024,,291081,569842,1315826,339961,30889,861152
2013-11-13,3,2013,850712,195427,45350,238703,4737,6616,141576,69056,59043,312321,1583287,180629,,495913,1459159,4419,1202418,1327,19036.0,2169455,2013年09月30日,96255,,,3018952,2714900,9527000,92606,2629997,5041949,25363,6566,,1721354.0,3719.0,6182.0,777849,2192101,,,,,3335724.0,501385,,6354676.0,4572,2434,140154,0.0,262,59945,148075.0,304052,705727,1312727,313434,22646,2282759
2013-11-14,3,2014,982008,208576,45350,267287,47640,21369,313447,8894,53810,352683,1740135,0,0.0,59698,1321143,6888,1183296,6698,0.0,2404049,2014年09月30日,112011,,,3452919,3139059,0,96565,3324613,5659628,61688,0,2061254.0,,40566.0,5518.0,1369193,2405487,,2106.0,,,3747342.0,503627,,7200261.0,3983,0,100712,6.0,1507,98898,307714.0,313860,422729,1540633,505481,1438,143834
2014-03-20,4,2013,835732,138764,45350,510201,6711,14618,58647,67839,52869,391298,1356658,180629,,489309,1221290,3480,1544598,7711,18756.0,2192790,2013年12月31日,39592,,,3025324,2676210,9527000,92606,2878226,5185747,25640,6566,,1784540.0,64362.0,0.0,1006138,2201934,,11581.0,,,3575452.0,501523,,6600776.0,2527,1899,118777,0.0,4049,98253,149100.0,349114,697226,1415029,298913,9144,932514
2014-05-07,1,2014,1003774,187233,45350,265151,4507,8954,99146,15660,51132,263615,1423110,180629,0.0,139478,1169468,2902,1063368,15970,0.0,2192790,2014年03月31日,88061,,,3436456,3072790,9527000,92606,2596951,5054060,54212,6566,2085348.0,,70577.0,0.0,985861,2447459,,1549.0,,,3077496.0,609773,,6513952.0,2297,97,119576,,3441,92941,286397.0,363666,480545,1459892,326521,254669,25505283
2014-08-12,2,2014,974064,176565,45350,435524,6551,4119,58784,17374,53475,261621,1575236,180629,0.0,61495,1168313,5824,807999,7878,0.0,2457507,2014年06月30日,80000,,,3380017,3065577,9527000,96565,2552564,4885797,54701,0,1992863.0,,44251.0,0.0,811913,2499319,,19708.0,,,2933457.0,566203,,6313474.0,8247,0,97314,346.0,130,91595,265793.0,314440,380893,1427677,380582,41812,4181175
2015-03-20,4,2014,992505,232521,42550,299901,34841,35894,112252,59718,40474,218298,1516146,136540,0.0,59957,1295589,16950,1378218,9036,0.0,2405487,2014年12月31日,135956,,,3481512,3085681,8854000,96565,2283481,5712808,59853,0,2121276.0,,36764.0,0.0,506391,2405487,,11440.0,,,3618277.0,548319,,7099789.0,4194,0,152752,24.0,5467,73751,1228898.0,395831,1334796,1386981,440821,0,0
2015-05-13,1,2015,1001898,188000,42550,338874,1172,38135,175468,95660,38305,218158,1596706,0,0.0,38344,1267753,935,1345770,23148,0.0,2321373,2015年03月31日,91435,51082.0,0.0,3514280,3100451,0,96565,2588516,5860977,54312,0,,2163255.0,,,606548,2335962,7242285.0,147738.0,41999.0,3728005.0,,538354,7242285.0,,118,0,66167,4.0,2403,64386,1018438.0,413829,1139489,1381308,569099,14589,1458887
2015-08-13,2,2015,967779,117965,42550,593487,19841,27603,417317,73719,46621,242495,1498123,0,0.0,0,1395489,4441,1093815,20900,0.0,2339112,2015年06月30日,7804,44191.0,0.0,3367069,3024412,0,110161,3055901,5707190,51390,0,,2346272.0,,,406265,2339112,7076090.0,160152.0,40338.0,3709021.0,,539732,7076090.0,,34559,0,74537,0.0,2681,64686,563480.0,342657,653120,1368900,579983,0,0
